Áfríkà	África
Líbyà	Líbia
Madagáskàr	Madagáscar
Màláwì	Malawi
Stuttgart	Estugarda
Mauritáníà	Mauritânia
Àwọn ọmọ Pólàndì	Polacos
Mọ́rísì	Maurícia
Mòrókò	Marrocos
Mòsámbìk	Moçambique
Nàmíbíà	Namíbia
Nìjẹ̀r	Níger
Nàìjíríà	Nigéria
Charles Darwin	Charles Darwin
Ùgándà	Uganda
Rùwándà	Ruanda
Zirconium	Zircônio
Sao Tome àti Principe	São Tomé e Príncipe
Sẹ̀nẹ̀gàl	Senegal
Ṣèíhẹ́lẹ́sì	Seicheles
Carl Linnaeus	Carolus Linnaeus
Siẹrra Léònè	Serra Leoa
Sòmálíà	Somália
Niobium	Nióbio
Jawaharlal Nehru	Jawaharlal Nehru
Juliu Késárì	Júlio César
Sudan	Sudão
Swásílándì	Suazilândia
Molybdenum	Molibdênio
Technetium	Tecnécio
Hamburg	Hamburgo
Gujarat	Gujarate
Àgbájọ àwọn Orílẹ̀-èdè Aṣòkan	Organização das Nações Unidas
Dante Alighieri	Dante Alighieri
Jẹ́ọ́gráfì	Geografia
Ọkàn	Coração
Prague	Praga
Ruthenium	Rutênio
Rhodium	Ródio
Palladium	Paládio
Fàdákà	Prata
Kadmium	Cádmio
Indium	Índio (elemento químico)
Tánganran	Estanho
Ùráníọ̀m	Urânio
Antimony	Antimônio
Tellurium	Telúrio
Plùtòníọ̀m	Plutónio
Iodínì	Iodo
Nẹ́ptúníọ̀m	Neptúnio
Ksenon	Xenônio
Anime	Anime
Kesium	Césio
Protaktiníọ̀m	Protactínio
Àdìjọ ìtanná	Carga elétrica
Barium	Bário
Tóríọ̀m	Tório
Hafnium	Háfnio
Àktíníọ̀m	Actínio
Tantalum	Tântalo (elemento químico)
Bill Clinton	Bill Clinton
Radiomu	Rádio (elemento químico)
Radon	Rádon
Ununennium	Ununénnio
Indira Gandhi	Indira Gandhi
Mumbai	Bombaim
Andhra Pradesh	Andra Pradexe
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Goa	Goa
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Jammu àti Kashmir	Jammu e Caxemira
Púẹ́rtò Ríkò	Porto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Querala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Vorpommern	Mecklemburgo-Pomerânia Ocidental
Lower Saxony	Baixa Saxônia
Nordrhein-Westfalen	Renânia do Norte-Vestfália
Hesse	Hesse
Rhineland-Palatinate	Renânia-Palatinado
Saarland	Sarre
Saxony	Saxônia
John Lennon	John Lennon
Illinois	Illinois
Thuringia	Turíngia
Saxony-Anhalt	Saxônia-Anhalt
Àríwá Dakota	Dakota do Norte
Brandenburg	Brandemburgo
Bremen (ìpínlẹ̀)	Bremen (estado)
Gúúsù Dakota	Dakota do Sul
Montana	Montana
Wyoming	Wyoming
Jerúsálẹ́mù	Jerusalém
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Ìpínlẹ̀ Washington	Washington
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordium	Rutherfórdio
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Francesco Cossiga	Francesco Cossiga
Dubnium	Dúbnio
Sandro Pertini	Sandro Pertini
Seaborgium	Seabórgio
Giovanni Leone	Giovanni Leone
Giuseppe Saragat	Giuseppe Saragat
Òkun Índíà	Oceano Índico
Antonio Segni	Antonio Segni
Giovanni Gronchi	Giovanni Gronchi
Luigi Einaudi	Luigi Einaudi
Enrico De Nicola	Enrico De Nicola
Kósófò	Kosovo
Òkun Kàríbẹ́ánì	Mar do Caribe
Bohriomu	Bóhrio
Hassiomu	Hássio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneriomu	Meitnério
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Darmstadtium	Darmstácio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Roentgenium	Roentgênio
Kopernisiomu	Copernício
Ẹ̀ka:Àwọn àkóónú	Categoria:Conteúdo
Blaise Pascal	Blaise Pascal
Ramón Barros Luco	Ramón Barros Luco
Ṣìkágò	Chicago
Pedro Montt	Pedro Montt
The Beatles	The Beatles
Ununtrium	Unúntrio
Flẹ́rófíọ́mù	Fleróvio
Ununpentium	Ununpêntio
Livermorium	Livermório
Ununseptium	Ununséptio
Ununoctium	Ununóctio
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Jorge Montt	Jorge Montt
Èdè Spéìn	Língua castelhana
José Manuel Balmaceda	José Manuel Balmaceda
Friedrich Hayek	Friedrich Hayek
Federico Errázuriz Zañartu	Federico Errázuriz Zañartu
José Joaquín Pérez	José Joaquín Pérez
Manuel Montt	Manuel Montt Torres
Manuel Bulnes	Manuel Bulnes Prieto
José Joaquín Prieto	José Joaquín Prieto Vial
Manuel Blanco Encalada	Manuel Blanco Encalada
Ramón Freire	Ramón Freire
Francisco Antonio Pinto	Francisco Antonio Pinto
Montevideo	Montevidéu
Johann Sebastian Bach	Johann Sebastian Bach
Philadelphia	Filadélfia
Delhi	Deli
Dhaka	Daca
Bangalore	Bangalore
Ìwọòrùn Bẹ̀ngál	Bengala Ocidental
Islàmabad	Islamabad
Tripura	Tripura
Ọ̀bọ	Macaco
Firginia	Virgínia
Ìwọ̀orùn Firginia	Virgínia Ocidental
Ìpínlẹ̀ New York	Nova Iorque (estado)
Cerium	Cério
Praseodymium	Praseodímio
Erékùṣù Rhode	Rhode Island
Neodymium	Neodímio
Kòkòrò	Insetos
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Lenin
Europium	Európio
Ohio	Ohio
Virgil	Virgílio
Niccolò Machiavelli	Nicolau Maquiavel
Pennsylvania	Pensilvânia
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	Augusto
Microsoft Windows	Microsoft Windows
Tiberius	Tibério
New Jersey	Nova Jérsia
Caligula	Calígula
Gibraltar	Gibraltar
Claudius	Cláudio
Èdè Fínlándì	Língua finlandesa
Nero	Nero
Galba	Galba
Indiana	Indiana
Otho	Otão
Vitellius	Vitélio
Vespasian	Vespasiano
Titu	Tito (imperador)
Domitian	Domiciano
Nerva	Nerva
Trajan	Trajano
Roger Federer	Roger Federer
Hadrian	Adriano
Ìpínlẹ̀ Georgia	Geórgia (Estados Unidos)
Antoninus Pius	Antonino Pio
Marcus Aurelius	Marco Aurélio
Lucius Verus	Lúcio Vero
Commodus	Cómodo
Zagreb	Zagreb
Pertinax	Pertinax
Rajasthan	Rajastão
Texas	Texas
Didius Julianus	Dídio Juliano
Septimius Severus	Septímio Severo
Tamil Nadu	Tamil Nadu
Caracalla	Caracala
Àríwá Carolina	Carolina do Norte
Gúúsù Carolina	Carolina do Sul
Sicily	Sicília
Manila	Manila
Noynoy Aquino	Noynoy Aquino
Ìlú Quezon	Cidade Quezon
Bordeaux	Bordéus
Buenos Aires	Buenos Aires
Ìlú Mẹ́ksíkò	Cidade do México
Tokyo	Tóquio
La Paz	La Paz
Ìpínlẹ̀ Mississippi	Mississippi
Ferdinand Magellan	Fernão de Magalhães
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Mizoram	Mizoram
Sikkim	Siquim
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abidjã
Abu Dhabi	Abu Dhabi
Astana	Astana
Ìpínlẹ̀ Titun Mẹ́ksíkò	Novo México
Ramesses 2k	Ramsés II
Áténì	Atenas
Ramesses 1k	Ramsés I
Minnesota	Minnesota
Ramesses 3k	Ramsés III
Baghdad	Bagdá
Ramesses 4k	Ramsés IV
Caracas	Caracas
Ajọfọ̀nàkò Àsìkò Káríayé	Tempo Universal Coordenado
Wisconsin	Wisconsin
Kísẹ́rò	Cícero
Iowa	Iowa
Nebraska	Nebraska
Ìlú Guatẹmálà	Cidade da Guatemala
Kansas	Kansas
Havana	Havana
Èdè Híndì	Língua hindi
Ìpínlẹ̀ Missouri	Missouri
Georg Ohm	Georg Simon Ohm
Louisiana	Luisiana
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Oklahoma	Oklahoma
Yohan Blake	Yohan Blake
Odò Dánúbì	Rio Danúbio
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hanôver
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Munich	Munique
Erfurt	Erfurt
Dresden	Dresden
Magdeburg	Magdeburgo
Volleyball	Voleibol
Fienna	Viena
Madonna	Madonna
Copenhagen	Copenhaga
Kaliningrad Oblast	Oblast de Kaliningrado
Macrinus	Macrino
Stockholm	Estocolmo
Helsinki	Helsínquia
Dublin	Dublin
Elagabalus	Heliogábalo
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Alexandre Severo
Tallinn	Tallinn
Riga	Riga
Zanzibar	Zanzibar
Maximinus Thrax	Maximino Trácio
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapeste
Gordian 1k	Gordiano I
Frankfurt	Frankfurt am Main
Pupienus	Pupieno
Lanthanum	Lantânio
Gordian 2k	Gordiano II
Balbinus	Balbino
Promethium	Promécio
Gordian 3k	Gordiano III
Filip Áràbù	Filipe, o Árabe
Samarium	Samário
Aceh	Achém
Decius	Décio
Gadolinium	Gadolínio
Terbium	Térbio
Luxembourg (ìlú)	Luxemburgo (cidade)
Dysprosium	Disprósio
Vaduz	Vaduz
Bíbélì Mímọ́	Bíblia
Holmium	Hólmio
Ìlú San Màrínò	San Marino (cidade)
Erbium	Érbio
Phnom Penh	Phnom Penh
Thulium	Túlio
Ytterbium	Itérbio
Lutetium	Lutécio
Hanoi	Hanói
Ìjọ Jéésù Lótìítọ́	Verdadeira Igreja de Jesus
Èdè Gẹ̀ẹ́sì	Língua inglesa
Bangkok	Banguecoque
Andorra la Vella	Andorra-a-Velha
Kuala Lumpur	Kuala Lumpur
Taipei	Taipé
Amẹrísíọ̀m	Amerício
Kùríọ̀m	Cúrio
Concepción, Chile	Concepción (Chile)
Bẹ́rkẹ́líọ̀m	Berquélio
Kalifọ́rníọ̀m	Califórnio
Einsteiniom	Einstênio
Fẹ́rmíọ̀m	Férmio
Mẹ̀ndẹ̀lẹ́fíọ̀m	Mendelévio
Kiev	Kiev
Nobelium	Nobélio
Lawrencium	Laurêncio
Ottawa	Ottawa
Yerevan	Erevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
Khartoum	Cartum
Formula One	Fórmula 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Kárbónì ọlọ́ksíjínìméjì	Dióxido de carbono
2013	2013
2014	2014
2015	2015
Newfoundland àti Labrador	Terra Nova e Labrador
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
1 Oṣù Kínní	1 de janeiro
Oṣù Kínní 2	2 de janeiro
1920	1920
Oṣù Kínní 3	3 de janeiro
1919	1919
1921	1921
1922	1922
Oṣù Kínní 4	4 de janeiro
1923	1923
1924	1924
Ìgbàjá ástẹ́rọ́ìdì	Cintura de asteroides
Orílẹ̀-èdè Olómìnira Àpapọ̀ Sófìẹ̀tì Sósíálístì Rọ́síà	República Socialista Federativa Soviética da Rússia
Georges Pompidou	Georges Pompidou
Graphics Interchange Format	Graphics Interchange Format
Windows Media Audio	Windows Media Audio
JPEG	Joint Photographic Experts Group
Oṣù Kínní 5	5 de janeiro
Oṣù Kínní 6	6 de janeiro
Ẹ̀lẹ́ktrọ́nù	Elétron
Oṣù Kínní 7	7 de janeiro
Oṣù Kínní 8	8 de janeiro
Oṣù Kínní 9	9 de janeiro
Oṣù Kínní 10	10 de janeiro
Oṣù Kínní 11	11 de janeiro
Oṣù Kínní 12	12 de janeiro
Buzz Aldrin	Buzz Aldrin
Oṣù Kínní 13	13 de janeiro
Oṣù Kínní 14	14 de janeiro
Oṣù Kínní 15	15 de janeiro
Oṣù Kínní 16	16 de janeiro
