Aafrika	África
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Türgi keel	Língua turca
Lõuna-Aafrika Vabariik	África do Sul
Jean-François Champollion	Jean-François Champollion
Linkin Park	Linkin Park
Alžeeria	Argélia
Vikitekstid	Wikisource
Sandy (orkaan)	Furacão Sandy (2012)
Usbekistan	Uzbequistão
Huulhein	Drosera
Poznań	Poznań
Taškent	Tashkent
Varssavi	Varsóvia
Islay	Islay
Forthi sild	Ponte do Forth
Eurovisiooni lauluvõistlus	Festival Eurovisão da Canção
Modena	Módena
Viski	Uísque
Vein	Vinho
Vesi	Água
Konjak	Cognac (bebida)
Nahk (materjal)	Couro
Puit	Madeira
Tours	Tours
Televisioon	Televisão
Pornograafia	Pornografia
Islandi keel	Língua islandesa
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Tšiili	Chile
El Greco	El Greco
Jeesus	Jesus
Elvis Presley	Elvis Presley
Ihunuhtlus	Castigo corporal
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileu Galilei
Merkuur	Mercúrio (planeta)
Ajalugu	História
Père-Lachaise'i kalmistu	Cemitério do Père-Lachaise
Apple Inc.	Apple
Veenus	Vénus (planeta)
Keel	Linguagem
Armastus	Amor
Diktatuur	Ditadura
Galaktika	Galáxia
Jupiter	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Linnutee galaktika	Via Láctea
Llanfair­pwllgwyn­gyllgo­gery­chwyrn­drobwll­llanty­silio­gogo­goch	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Suur Pauk	Big Bang
Uraan (planeet)	Urano (planeta)
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Bretagne'i poolsaar	Bretanha
Ingliskeelne Vikipeedia	Wikipédia em inglês
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Neptuun	Netuno (planeta)
Astronoomia	Astronomia
Singapur	Singapura
Teadus	Ciência
Kosmoloogia	Cosmologia
Pluuto	Plutão
Montréal	Montreal
Vaba tarkvara	Software livre
Quimper	Quimper
Tulevik	Futuro
Maarja	Maria (mãe de Jesus)
Louis IX	Luís IX de França
Liechtenstein	Liechtenstein
Ajakapsel	Cápsula do tempo
Sport	Desporto
Cambridge	Cambridge
Yellowstone'i rahvuspark	Parque Nacional de Yellowstone
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Esimene maailmasõda	Primeira Guerra Mundial
Teine maailmasõda	Segunda Guerra Mundial
Köln	Colônia (Alemanha)
Korruptsioon	Corrupção
Vikiõpikud	Wikilivros
Augusto Pinochet	Augusto Pinochet
Vikitsitaadid	Wikiquote
Vikiülikool	Wikiversidade
!!!	!!!
Wikivoyage	Wikivoyage
Viin (jook)	Vodca
Kell	Relógio
Janka Kupała	Yanka Kupala
Ubuntu	Ubuntu
Skopje	Escópia
Gdynia	Gdynia
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Estetino
Matemaatika	Matemática
U2	U2
Ladina keel	Língua latina
Bahrein	Bahrein
Armeenia	Arménia
Jenna Jameson	Jenna Jameson
Kiilkiri	Escrita cuneiforme
Higgsi boson	Bóson de Higgs
Serbia	Sérvia
Kuu	Lua
İstanbul	Istambul
Austraalia	Austrália
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobioloogia	Exobiologia
Füüsika	Física
Argentina	Argentina
Telekommunikatsioon	Telecomunicações
Peruu	Peru
Bioloogia	Biologia
UFO	Objeto voador não identificado
Põhja-Korea	Coreia do Norte
Kambodža	Camboja
Betsiboka	Rio Betsiboka
Kuiperi vöö	Cintura de Kuiper
Koraan	Alcorão
Dinosaurused	Dinossauros
Zooloogia	Zoologia
Islam	Islão
Pirnipuu (perekond)	Pera
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Botaanika	Botânica
Ich bin ein Berliner	Ich bin ein Berliner
Lech Wałęsa	Lech Wałęsa
Ratas	Roda
Entsüklopeedia (Diderot)	Encyclopédie
Denis Diderot	Denis Diderot
Georges Brassens	Georges Brassens
Vaim (mens)	Mente
Rahu	Paz
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Euroopa Liit	União Europeia
Plovdiv	Plovdiv
Interneti arhiiv	Internet Archive
Tähtede sõda	Star Wars
Rhône-Alpes	Ródano-Alpes
Veeb	World Wide Web
Naine	Mulher
Dysoni sfäär	Esfera de Dyson
Sofia	Sófia
Akvedukt	Aqueduto
Eduardo Frei Montalva	Eduardo Frei Montalva
Ñ	Ñ
Don Quijote	Dom Quixote
Luule	Poesia
Arvutiviirus	Vírus de computador
Tšornobõli katastroof	Acidente nuclear de Chernobil
Bill Maher	Bill Maher
Milano	Milão
Sõprus	Amizade
Mälu	Memória
Arthur Rimbaud	Arthur Rimbaud
Torino	Turim
Roe	Fezes
Pärak	Ânus
Harilik sidrunipuu	Limão
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banaan	Banana
Émile Zola	Émile Zola
666	666
Õis	Flor
Googol	Googol
Mariaani süvik	Fossa das Marianas
Vladimir Võssotski	Vladimir Vysotsky
Džomolungma	Monte Everest
Anatoomia	Anatomia
Linn	Cidade
Napoleon I	Napoleão Bonaparte
Olympus Mons	Monte Olimpo (Marte)
Füsioloogia	Fisiologia
Täht (astronoomia)	Estrela
Vesuuv	Vesúvio
Päike	Sol
Louis Pasteur	Louis Pasteur
Ingemar Stenmark	Ingemar Stenmark
Valgusaasta	Ano-luz
Küla	Aldeia
Victor Hugo	Victor Hugo
Okeaania	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Kergejõustik	Atletismo
Tsensuur	Censura
Päikesesüsteem	Sistema Solar
Läänemeri	Mar Báltico
Trieste	Trieste
Wisła	Rio Vístula
Siiami tapluskala	Betta splendens
Champs-Élysées	Champs-Élysées
Odra	Rio Oder
Hambad	Dente
Vesinik	Hidrogénio
Heelium	Hélio
Põrgu	Inferno
Wikimedia Commons	Wikimedia Commons
Puhastustuli	Purgatório
Angela Merkel	Angela Merkel
Liitium	Lítio
Berüllium	Berílio
Kõlar	Altifalante
Raamat	Livro
Ööpäev	Dia
Ida-Timor	Timor-Leste
Öö	Noite
Jorge Alessandri	Jorge Alessandri
Aasta	Ano
Sajandid	Século
Łódź	Łódź
Villeurbanne	Villeurbanne
Mont Blanc	Monte Branco
Rein	Reno
Oslo	Oslo
Bonn	Bona
Pühakutepäev	Dia de Todos-os-Santos
Katowice	Katowice
Must auk	Buraco negro
Luís Vaz de Camões	Luís de Camões
Gei	Gay
Ceres (kääbusplaneet)	Ceres (planeta anão)
Lissabon	Lisboa
Rzeszów	Rzeszów
Ichirō Suzuki	Ichiro Suzuki
Haumea (kääbusplaneet)	Haumea
Rhône	Rio Ródano
Makemake (kääbusplaneet)	Makemake
Michael Bloomberg	Michael Bloomberg
Iona	Iona (Escócia)
136199 Eris	Éris (planeta anão)
Dubai emiraat	Dubai
Lionel Messi	Lionel Messi
Padova	Pádua
Boor	Boro
Mikołaj Kopernik	Nicolau Copérnico
Versailles	Versalhes
Ludwigsburg	Ludwigsburgo
Süsinik	Carbono
Alessandro Del Piero	Alessandro Del Piero
Volga	Rio Volga
Lämmastik	Azoto
Bergamo	Bérgamo
Hapnik	Oxigénio
Milano Internazionale	Football Club Internazionale Milano
Jean Moulin	Jean Moulin
Planeet	Planeta
Kleopatra VII	Cleópatra
Kate Bush	Kate Bush
Muusika	Música
Aberratsioon (optika)	Aberração óptica
Veneetsia	Veneza
Naruto (manga)	Naruto
Po	Rio Pó
Sharm el Sheikh	Sharm el-Sheikh
Neeva	Rio Neva
Termomeeter	Termômetro
Rennes	Rennes
Lille	Lille
Moskva	Moscovo
Fluor	Flúor
Itaalia keel	Língua italiana
Chihuahua	Chihuahua (cão)
Neoon	Néon
Chihuahua osariik	Chihuahua
Peterburi	São Petersburgo
Tšaad	Chade
Naatrium	Sódio
Põhi	Norte
Magneesium	Magnésio
Vesioinas	Carneiro hidráulico
Alumiinium	Alumínio
Uus-Meremaa	Nova Zelândia
Lõuna	Sul
India	Índia
Räni	Silício
Frantsium	Frâncio
Tuvalu	Tuvalu
One Piece	One Piece
Fosfor	Fósforo
André-Marie Ampère	André-Marie Ampère
Proosa	Prosa
Raud	Ferro
Tonga	Tonga
Lääs	Oeste
Alessandro Volta	Alessandro Volta
Väävel	Enxofre
Samoa	Samoa
Ida	Leste
Saalomoni Saared	Ilhas Salomão
Vanuatu	Vanuatu
Molière	Molière
Kloor	Cloro
Delft	Delft
Paapua Uus-Guinea	Papua-Nova Guiné
William Shakespeare	William Shakespeare
Valm	Fábula
Lõuna-Holland	Holanda do Sul
Belau	Palau
Argoon	Árgon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Muinasjutt	Contos de fadas
Põhja-Holland	Holanda do Norte
Mikroneesia Liiduriigid	Estados Federados da Micronésia
Kaalium	Potássio
Lyoni Olympique	Olympique Lyonnais
Zeelandi provints	Zelândia (Países Baixos)
Kaltsium	Cálcio
Flevoland	Flevolândia
Plii	Chumbo
Marshalli Saared	Ilhas Marshall
Kiribati	Kiribati
Mongoolia	Mongólia
Fidži	Fiji
Skandium	Escândio
Stevie Wonder	Stevie Wonder
Heilbronn	Heilbronn
Titaan	Titânio
Venezuela	Venezuela
Male	Xadrez
Tšingis-khaan	Gengis Khan
Vanaadium	Vanádio
Maine	Maine
Kroom	Crômio
Hobune	Equus ferus caballus
Amsterdam	Amesterdão
Relv	Arma
Loomad	Animalia
Suriname	Suriname
Mangaan	Manganês
Paraguay	Paraguai
Guyana	Guiana
Kunst	Arte
Ecuador	Equador
Reenium	Rênio
Colombia	Colômbia
Koobalt	Cobalto
Jean Racine	Jean Racine
Volfram	Tungstênio
Nikkel	Níquel
Maasikas	Morangueiro
Pierre Corneille	Pierre Corneille
Budism	Budismo
Groningen	Groninga
Boliivia	Bolívia
Osmium	Ósmio
Groningeni provints	Groninga (província)
Vask	Cobre
Trinidad ja Tobago	Trinidad e Tobago
Paul Verlaine	Paul Verlaine
Taimed	Plantae
Saint Vincent ja Grenadiinid	São Vicente e Granadinas
Tsink	Zinco
New Hampshire	Nova Hampshire
Saint Lucia	Santa Lúcia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts ja Nevis	São Cristóvão e Nevis
Seened	Fungi
Dario Fo	Dario Fo
Jamaica	Jamaica
Stéphane Mallarmé	Stéphane Mallarmé
Grenada	Granada (país)
Friisimaa provints	Frísia (província)
Massachusetts	Massachusetts
Drenthe provints	Drente
Overijsseli provints	Overissel
Guatemala	Guatemala
Gelderlandi provints	Guéldria
Utrechti provints	Utrecht (província)
Google Chrome	Google Chrome
Bahama	Bahamas
Connecticut	Connecticut
Kana	Gallus gallus domesticus
Antigua ja Barbuda	Antígua e Barbuda
Hawaii osariik	Havaí
Honduras	Honduras
Dominica	Dominica
Jersey	Jersey
Dominikaani Vabariik	República Dominicana
Siga	Sus domesticus
Põhja-Jäämeri	Oceano Ártico
Haiti	Haiti
Taumata­whakatangihanga­koauau­o­tamatea­pokai­whenua­ki­tana­tahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
El Salvador	El Salvador
Zwolle	Zwolle
Iraan	Irão
Iraak	Iraque
Alaska	Alasca
Costa Rica	Costa Rica
Iisrael	Israel
Utrecht	Utrecht
Panama	Panamá
Jeemen	Iémen
Lausanne	Lausana
Viirused	Vírus
Poola keel	Língua polaca
Jordaania	Jordânia
Nicaragua	Nicarágua
Florida	Flórida
Kõrgõzstan	Quirguistão
Arizona	Arizona
Kuveit	Kuwait
Florida provints	Florida (Bolívia)
Laos	Laos
Liibanon	Líbano
Oregon	Oregon
Maldiivid	Maldivas
Ameerika	América
Utah	Utah
Veis	Bos taurus
Malaisia	Malásia
Valais' kanton	Valais (cantão)
Mihhail Bulgakov	Mikhail Bulgákov
Birma	Myanmar
Nepal	Nepal
Andrei Rubljov	Andrei Rublev
Omaan	Omã
Pakistan	Paquistão
James Bond	James Bond
Pedro Aguirre Cerda	Pedro Aguirre Cerda
Katar	Catar
Tennis	Ténis
Arturo Alessandri Palma	Arturo Alessandri
François Villon	François Villon
MySQL	MySQL
Saudi Araabia	Arábia Saudita
Andrei Tarkovski	Andrei Tarkovski
Sri Lanka	Sri Lanka
Jossif Stalin	Josef Stalin
Vöötkood	Código de barras
Süüria	Síria
Platon	Platão
Gallium	Gálio
Jossif Brodski	Joseph Brodsky
Tadžikistan	Tajiquistão
Pokémon	Pokémon
Hiina Vabariik	República da China
YouTube	YouTube
Germaanium	Germânio
Aristoteles	Aristóteles
Tai	Tailândia
Rong	Trem
Arseen	Arsênio
Raadio	Rádio (telecomunicações)
Meryl Streep	Meryl Streep
Türkmenistan	Turquemenistão
Abakan	Abakan
Seleen	Selênio
Iriidium	Irídio
Araabia Ühendemiraadid	Emirados Árabes Unidos
Broom	Bromo
Plaatina	Platina
Vietnam	Vietname
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Lõuna-Korea	Coreia do Sul
Józef Piłsudski	Józef Piłsudski
Simpsonid	Os Simpsons
Jekaterinburg	Ecaterimburgo
Krüptoon	Crípton
Afganistan	Afeganistão
Gangnam Style	Gangnam Style
Nižni Novgorod	Níjni Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Limonaad	Limonada
Samara	Samara (Rússia)
Rubiidium	Rubídio
Kuld	Ouro
Omsk	Omsk
Suessi kanal	Canal de Suez
Kaasan	Cazã
Teadlane	Cientista
Bangladesh	Bangladesh
Bleach (manga)	Bleach (mangá)
Franz Kafka	Franz Kafka
Tšeljabinsk	Cheliabinsk
Rostov Doni ääres	Rostov do Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokrates	Sócrates
Volgograd	Volgogrado
Angola	Angola
Perm	Perm
Bhutan	Butão
Twitter	Twitter
Krasnojarsk	Krasnoyarsk
Brunei	Brunei
Brač	Brač
Tansaania	Tanzânia
Elavhõbe	Mercúrio (elemento químico)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipiinid	Filipinas
Kesk-Aafrika Vabariik	República Centro-Africana
Naruto Uzumaki	Naruto Uzumaki
Tallium	Tálio
Lõunapoolus	Polo Sul
Põhjapoolus	Polo Norte
Isaac Newton	Isaac Newton
OpenStreetMap	OpenStreetMap
Albert Einstein	Albert Einstein
Strontsium	Estrôncio
Pedro I (Brasiilia)	Pedro I do Brasil
Uimasti	Narcótico
Ütrium	Ítrio
Vismut	Bismuto
Kollane	Amarelo
Kvantmehaanika	Mecânica quântica
Togo	Togo
Donald Tusk	Donald Tusk
Tuneesia	Tunísia
John Bardeen	John Bardeen
Sambia	Zâmbia
Zimbabwe	Zimbabwe
Peking	Pequim
Lõuna-Sudaan	Sudão do Sul
Vladivostok	Vladivostok
Tõva	Tuva
Benin	Benim
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoorid	Comores
Kongo Vabariik	República do Congo
Alkmaar	Alkmaar
Ob	Rio Ob
Kongo Demokraatlik Vabariik	República Democrática do Congo
San Antonio	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Meem	Meme
Poloonium	Polônio
Baieri	Baviera
Ekvatoriaal-Guinea	Guiné Equatorial
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritreia
New Delhi	Nova Deli
Johannes Paulus II	Papa João Paulo II
Fjodor Dostojevski	Fiódor Dostoiévski
Amersfoort	Amersfoort
Kamtšatka poolsaar	Península de Kamchatka
Thbilisi	Tbilisi
Andrei Sahharov	Andrei Sakharov
Astaat	Ástato
Gabon	Gabão
Mahatma Gandhi	Mahatma Gandhi
Tšuktši poolsaar	Península de Chukotka
Koomiks	Banda desenhada
Gambia	Gâmbia
Guinea	Guiné
Guinea-Bissau	Guiné-Bissau
Elevandiluurannik	Costa do Marfim
Kamerun	Camarões
Maribor	Maribor
Roheneemesaared	Cabo Verde
Celje	Celje
Lesotho	Lesoto
Libeeria	Libéria
Koper	Koper
Liibüa	Líbia
Aachen	Aquisgrano
Madagaskar	Madagáscar
Malawi	Malawi
Kranj	Kranj
Stuttgart	Estugarda
Triglav	Triglav
Mauritaania	Mauritânia
Poolakad	Polacos
Mauritius	Maurícia
Maroko	Marrocos
Mosambiik	Moçambique
Namiibia	Namíbia
Niger	Níger
Nigeeria	Nigéria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
Tsirkoonium	Zircônio
São Tomé ja Príncipe	São Tomé e Príncipe
Karlsruhe	Karlsruhe
Senegal	Senegal
Seišellid	Seicheles
Carl von Linné	Carolus Linnaeus
Sierra Leone	Serra Leoa
Somaalia	Somália
Nioobium	Nióbio
Jawaharlal Nehru	Jawaharlal Nehru
Julius Caesar	Júlio César
Sudaan	Sudão
Svaasimaa	Suazilândia
Ivan Regen	Ivan Regen
Vikerkaar	Arco-íris
Molübdeen	Molibdênio
Tehneetsium	Tecnécio
Hamburg	Hamburgo
Metabolism	Metabolismo
Narendra Modi	Narendra Modi
Immuunsüsteem	Sistema imunitário
Gujarat	Gujarate
Ontario järv	Lago Ontário
Evolutsioon	Evolução
Ühinenud Rahvaste Organisatsioon	Organização das Nações Unidas
Ülemjärv	Lago Superior
Dante Alighieri	Dante Alighieri
Geoloogia	Geologia
Ahmadabad	Ahmedabad
Geograafia	Geografia
Süda	Coração
Peaaju	Cérebro
Nahk	Pele
Värvus	Cor
Star Trek (sari)	Star Trek (série original)
Halvale teele	Breaking Bad
Nimisõna	Substantivo
Praha	Praga
Ruteenium	Rutênio
Roodium	Ródio
Sinine	Azul
Pallaadium	Paládio
Hõbe	Prata
Kaadmium	Cádmio
Star Trek	Star Trek
Limburgi provints (Holland)	Limburgo (Países Baixos)
Indium	Índio (elemento químico)
Limburgi provints (Belgia)	Limburgo (Bélgica)
Tina	Estanho
Uraan	Urânio
Antimon	Antimônio
Telluur	Telúrio
Põhja-Brabant	Brabante do Norte
Plutoonium	Plutónio
Jood	Iodo
Hemer	Hemer
Neptuunium	Neptúnio
Ksenoon	Xenônio
Anime	Anime
Tseesium	Césio
Protaktiinium	Protactínio
Elektrilaeng	Carga elétrica
Baarium	Bário
Lääne-Flandria provints	Flandres Ocidental
Ida-Flandria	Flandres Oriental
Toorium	Tório
Antwerpeni provints	Antuérpia (província)
Flaami Brabant	Brabante Flamengo
Hafnium	Háfnio
Aktiinium	Actínio
Vallooni Brabant	Brabante Valão
Tantaal	Tântalo (elemento químico)
Bill Clinton	Bill Clinton
Namuri provints	Namur (província)
Luxembourg'i provints	Luxemburgo (Bélgica)
Liège'i provints	Liège (província)
Raadium	Rádio (elemento químico)
Hainaut	Hainaut
Iserlohn	Iserlohn
Ahlen	Ahlen
Radoon	Rádon
Lorraine	Lorena (França)
Alsace	Alsácia
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Mercurius	Mercúrio (mitologia)
Hector Berlioz	Hector Berlioz
Auvergne	Auvérnia
Busto Arsizio	Busto Arsizio
Mumbai	Bombaim
IAAF	Associação Internacional de Federações de Atletismo
Andhra Pradesh	Andra Pradexe
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Michigani järv	Lago Michigan
Goa osariik	Goa
Burgundia	Borgonha
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Maurice Ravel	Maurice Ravel
Akvitaania	Aquitânia
Jammu ja Kashmir	Jammu e Caxemira
Puerto Rico	Porto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Querala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Limousin	Limusino
Maharashtra	Maharashtra
Jean-Baptiste Lully	Jean-Baptiste Lully
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Vorpommern	Mecklemburgo-Pomerânia Ocidental
Alam-Saksi	Baixa Saxônia
Nordrhein-Westfalen	Renânia do Norte-Vestfália
Hessen	Hesse
Rheinland-Pfalz	Renânia-Palatinado
Saarimaa	Sarre
Saksimaa	Saxônia
John Lennon	John Lennon
Illinois	Illinois
Tüüringi	Turíngia
Saksi-Anhalt	Saxônia-Anhalt
Põhja-Dakota	Dakota do Norte
Brandenburg	Brandemburgo
Bremeni liidumaa	Bremen (estado)
Lombardia	Lombardia
Lõuna-Dakota	Dakota do Sul
Montana	Montana
Wyoming	Wyoming
Straight edge	Straight edge
Piemonte	Piemonte
Jeruusalemm	Jerusalém
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Valle d'Aosta	Vale de Aosta
Washingtoni osariik	Washington
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Bruce Springsteen	Bruce Springsteen
Rutherfordium	Rutherfórdio
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Don	Rio Don
Francesco Cossiga	Francesco Cossiga
Dubnium	Dúbnio
Seaborgium	Seabórgio
Trentino-Alto Adige	Trentino-Alto Ádige
India ookean	Oceano Índico
Veneto	Vêneto
Kosovo	Kosovo
Kariibi meri	Mar do Caribe
Bohrium	Bóhrio
Friuli-Venezia Giulia	Friul-Veneza Júlia
Cotti Alpid	Alpes Cócios
Hassium	Hássio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguuria	Ligúria
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneerium	Meitnério
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Emilia Romagna	Emília-Romanha
U Thant	U Thant
Colorado jõgi	Rio Colorado
Darmstadtium	Darmstácio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Penniini Alpid	Alpes valaisanos
Trygve Halvdan Lie	Trygve Lie
Röntgeenium	Roentgênio
Toscana	Toscana
Leponti Alpid	Alpes Lepontinos
Leonard Cohen	Leonard Cohen
Reetia Alpid	Alpes Réticos
Koperniitsium	Copernício
Marche	Marcas
Umbria	Úmbria
Kategooria:!JuurKategooria	Categoria:Conteúdo
Lazio	Lácio
Dolomiidid	Dolomitas
Abruzzo	Abruzos
Apenniinid	Apeninos
Alpid	Alpes
Jansenism	Jansenismo
Karpaadid	Cárpatos
Grenoble	Grenoble
Blaise Pascal	Blaise Pascal
Kabe	Damas
Dortmund	Dortmund
Gent	Gante
Chicago	Chicago
The Beatles	The Beatles
