Abĩrika	África
Canada	Canadá
Category:Rũraya	Categoria:Europa
Template:Documentation	Predefinição:Documentação
Sung Jae-ki	Sung Jae-ki
Template:Softredirect	Predefinição:Pseudorredirecionamento
Template:Delete	Predefinição:ER
Wikipedia:Statistics	Wikipédia:Estatísticas
Template:Navbox	Predefinição:Navbox
Category:Abĩrika	Categoria:África
Template:Babel	Predefinição:Babel
Template:Commons	Predefinição:Commons
Template:User af-1	Predefinição:User af-1
Template:User ar-1	Predefinição:User ar-1
Template:User az	Predefinição:User az
Template:User bar-1	Predefinição:User bar-1
Template:User eo-1	Predefinição:User eo-1
Template:User da-2	Predefinição:User da-2
Template:User be-2	Predefinição:User be-2
Template:User da-1	Predefinição:User da-1
Template:User cs-1	Predefinição:User cs-1
Template:User bg-1	Predefinição:User bg-1
Template:User eo-3	Predefinição:User eo-3
Template:User de	Predefinição:User de
Template:User de-1	Predefinição:User de-1
Template:User eu	Predefinição:User eu
Template:User et-1	Predefinição:User et-1
Template:User el	Predefinição:User el
Template:User es	Predefinição:User es
Template:User de-3	Predefinição:User de-3
Template:User en-3	Predefinição:User en-3
Template:User el-1	Predefinição:User el-1
Template:User en-1	Predefinição:User en-1
Template:User en-2	Predefinição:User en-2
Template:User eo-2	Predefinição:User eo-2
Template:User en-4	Predefinição:User en-4
Template:User fi	Predefinição:User fi
Template:User en-0	Predefinição:User en-0
Template:User en	Predefinição:User en
Template:User de-2	Predefinição:User de-2
Template:User es-1	Predefinição:User es-1
Template:User fa	Predefinição:User fa
Template:User fi-1	Predefinição:User fi-1
Template:User fr-1	Predefinição:User fr-1
Template:User ia-2	Predefinição:User ia-2
Template:User hi-1	Predefinição:User hi-1
Template:User hr	Predefinição:User hr
Template:User he-1	Predefinição:User he-1
Template:User hu	Predefinição:User hu
Template:User id-3	Predefinição:User id-3
Template:User io-3	Predefinição:User io-3
Template:User it-3	Predefinição:User it-3
Template:User sk	Predefinição:User sk
Template:User tr-2	Predefinição:User tr-2
Template:User fr-2	Predefinição:User fr-2
Template:User ja	Predefinição:User ja
Template:User ja-1	Predefinição:User ja-1
Template:User it-1	Predefinição:User it-1
Template:User hr-1	Predefinição:User hr-1
Template:User fr	Predefinição:User fr
Template:User gsw-1	Predefinição:User gsw-1
Category:Amerika ya Kuthini	Categoria:América do Sul
Category:Football	Categoria:Futebol
Template:Mod	Predefinição:Mod
Template:User uk	Predefinição:User uk
Template:User es-2	Predefinição:User es-2
Template:Welcome	Predefinição:Bem-vindo(a)
Template:Bururi wa Abĩrika	Predefinição:Países da África
Template:Documentation/docname	Predefinição:Documentação/nomedoc
Template:User zh	Predefinição:User zh
Template:Legend	Predefinição:Legenda
Template:User ru-4	Predefinição:User ru-4
Template:Pp-template	Predefinição:Pp-template
Template:User nl-1	Predefinição:User nl-1
Template:User nl-2	Predefinição:User nl-2
Category:America	Categoria:América
Template:Mikoa cia Italy	Predefinição:Itália/Regiões
Template:User pt-1	Predefinição:User pt-1
Template:ICD10	Predefinição:CID10
Template:User pl	Predefinição:User pl
Template:User nl	Predefinição:User nl
Template:User no-2	Predefinição:User no-2
Template:Emergency-bot-shutoff	Predefinição:Botão de emergência
Template:User pl-1	Predefinição:User pl-1
Template:User lt	Predefinição:User lt
Template:User nds-1	Predefinição:User nds-1
Template:User ar	Predefinição:User ar
Template:User ksh	Predefinição:User ksh
Template:User no	Predefinição:User no
Template:User sv-2	Predefinição:User sv-2
Template:User lb-1	Predefinição:User lb-1
Template:User la-1	Predefinição:User la-1
Category:Template documentation	Categoria:!Instruções de predefinições
Category:User be-2	Categoria:Usuário be-2
Template:User pdc-1	Predefinição:User pdc-1
Category:User sk-N	Categoria:Usuário sk
Template:User la-3	Predefinição:User la-3
Category:Province ya Piacenza	Categoria:Província de Piacenza
Template:User sv-1	Predefinição:User sv-1
Template:User ka-1	Predefinição:User ka-1
Category:Thayathi cia social	Categoria:Ciências sociais
Template:User ru-2	Predefinição:User ru-2
Template:User es-3	Predefinição:User es-3
Template:User ko-3	Predefinição:User ko-3
Category:Main	Categoria:Artigos
Template:ICD9	Predefinição:CID9
Category:Kenya	Categoria:Quénia
Template:User ca-3	Predefinição:User ca-3
Template:User cs-3	Predefinição:User cs-3
Template:User la-2	Predefinição:User la-2
Template:User li-1	Predefinição:User li-1
Template:User mk-1	Predefinição:User mk-1
Template:User nn-2	Predefinição:User nn-2
Template:User no-1	Predefinição:User no-1
Template:User pt	Predefinição:User pt
Template:User ru-1	Predefinição:User ru-1
Template:User sk-1	Predefinição:User sk-1
Template:User sk-2	Predefinição:User sk-2
Template:User sr-1	Predefinição:User sr-1
Template:User sxu-1	Predefinição:User sxu-1
Template:User uk-4	Predefinição:User uk-4
Template:User vo-1	Predefinição:User vo-1
Template:User zh-1	Predefinição:User zh-1
Template:User zh-2	Predefinição:User zh-2
Template:User pfl-1	Predefinição:User pfl-1
Category:Mirimu	Categoria:Doenças
Template:User sl-1	Predefinição:User sl-1
Trojany	Trojany
Template:User tokipona-1	Predefinição:User tokipona-1
Category:Mikoa cia Kenya	Categoria:Províncias do Quénia
Ebola	Vírus Ebola
Template:User sh-2	Predefinição:User sh-2
Special:RecentChanges	Especial:Mudanças recentes
