frikytu'a	África
novosibirsk	Novosibirsk
snanu zei .xanguk	Coreia do Sul
mipnavni	Crípton
afyganisTAN	Afeganistão
jyryrys. tolkien	J. R. R. Tolkien
xunsodna	Rubídio
solji	Ouro
begygu'e	Bangladesh
xorxes.luis.borxes	Jorge Luis Borges
sokrates	Sócrates
angol	Angola
tanzanias	Tanzânia
margu	Mercúrio (elemento químico)
pilipinas	Filipinas
jinmrtali	Tálio
aisak.niuton	Isaac Newton
la opyn,strit,map	OpenStreetMap
albert. ainctain	Albert Einstein
jinmrstronti	Estrôncio
jinmrtitri	Ítrio
jinmrbismu	Bismuto
tunis	Tunísia
zambias	Zâmbia
zimbabues	Zimbabwe
beidjin	Pequim
benin	Benim
botsuanas	Botswana
kongos	República do Congo
ob	Rio Ob
roltrusi'o zei.kongos	República Democrática do Congo
jicmrpoloni	Polônio
badenvirtemberg	Baden-Württemberg
klirlxastati	Ástato
gabon	Gabão
kamerun	Camarões
libgu'e	Líbia
morgu'e	Marrocos
mosambik	Moçambique
namibias	Namíbia
nixerias	Nigéria
carl. daruin.	Charles Darwin
ugandas	Uganda
jinmrzirkoni	Zircônio
senegal	Senegal
sieras. leon	Serra Leoa
somalias	Somália
jinmrni,obi	Nióbio
.iulius. kaisar.	Júlio César
sudan	Sudão
mlibdena	Molibdênio
runjinme	Tecnécio
gunma natmi	Organização das Nações Unidas
ligytedyske	Geologia
tutske	Geografia
risna	Coração
besna	Cérebro
skari	Cor
pragas	Praga
rukyjinme	Rutênio
zgujinme	Ródio
jinmrpaladi	Paládio
rijno	Prata
jinmrkadmu	Cádmio
blajinme	Índio (elemento químico)
tinci	Estanho
jinmrvurani	Urânio
antimoni	Antimônio
tedjicmu	Telúrio
jinmrplutoni	Plutónio
zirkliru	Iodo
jinmrneptuni	Neptúnio
fangynavni	Xenônio
blasodna	Césio
jinmrproktini	Protactínio
tijyjinme	Bário
lidycevjinme	Tório
jinmrxafni	Háfnio
jinmrtaktini	Actínio
jinmrtantalu	Tântalo (elemento químico)
bil. klinton	Bill Clinton
dircyjinme	Rádio (elemento químico)
dircynavni	Rádon
mymbais	Bombaim
jinmlruterfordi	Rutherfórdio
jinmrdubni	Dúbnio
jinmrsiborgi	Seabórgio
xindo braxamsi	Oceano Índico
karibes. zei xamsi	Mar do Caribe
jinmrbori	Bóhrio
jinmrxasi	Hássio
jinmrmaitneri	Meitnério
kolorados	Colorado
jinmrdarmctati	Darmstácio
crisa	Verão
cteduncitsi	Equinócio
sanbau	Língua castelhana
io'an.zebastian.bax	Johann Sebastian Bach
niu,IORK	Nova Iorque (estado)
jinmrseri	Cério
jinmrprase,odimi	Praseodímio
jinmrne,odimi	Neodímio
lenin	Lenin
ronjinme	Európio
uetersen	Uetersen
la canko	Microsoft Windows
manilias.	Manila
buenosaires	Buenos Aires
mexygu'e tcadu	Cidade do México
tokios	Tóquio
atenas	Atenas
bagdad	Bagdá
nil.armstryg.	Neil Armstrong
berti xamsi	Mar do Norte
eliogabalus	Heliogábalo
jinmrlantano	Lantânio
fagycevjinme	Promécio
jinmrsamari	Samário
jinmrgadolini	Gadolínio
jinmrterbi	Térbio
jinmrdisprosi	Disprósio
jinmrxolmi	Hólmio
jinmrberbi	Érbio
jinmrtuli	Túlio
Ho Chi Minh tcadu	Cidade de Ho Chi Minh
jinmrtiterbi	Itérbio
jinmrluteti	Lutécio
stace lijda befi la .iecuax	Verdadeira Igreja de Jesus
glibau	Língua inglesa
merjinme	Amerício
jinmrkuri	Cúrio
dong. xois.	Dong Hoi
konsepSION	Concepción (Chile)
jinmrberkeli	Berquélio
jinmrkaliforni	Califórnio
jinmrtainctaini	Einstênio
jinmrfermi	Férmio
jinmrmendelevi	Mendelévio
jinmrnobeli	Nobélio
jinmrlorensi	Laurêncio
konskovola	Końskowola
2000moi	2000
2003moi	2003
2002moi	2002
2001moi	2001
tabrelkijno	Dióxido de carbono
2004moi	2004
2005moi	2005
2006moi	2006
2007moi	2007
1901moi	1901
carl. dygol.	Charles de Gaulle
1903moi	1903
1904moi	1904
1907moi	1907
1906moi	1906
1908moi	1908
1992moi	1992
1991moi	1991
1990moi	1990
1993moi	1993
1994moi	1994
1995moi	1995
1996moi	1996
1911moi	1911
1913moi	1913
1916moi	1916
1997moi	1997
1998moi	1998
1999moi	1999
1917moi	1917
cidja	Alimento
nilsutra lo gusni	Velocidade da luz
pavma'i 1moi	1 de janeiro
pavma'i 2moi	2 de janeiro
pavma'i 3moi	3 de janeiro
1919moi	1919
pavma'i 4moi	4 de janeiro
1923moi	1923
cmaplini	Planeta anão
pavma'i 5moi	5 de janeiro
pavma'i 6moi	6 de janeiro
dutydikca kantu	Elétron
pavma'i 7moi	7 de janeiro
pavma'i 9moi	9 de janeiro
pavma'i 10moi	10 de janeiro
pavma'i 17moi	17 de janeiro
pavma'i 18moi	18 de janeiro
pavma'i 19moi	19 de janeiro
pavma'i 20moi	20 de janeiro
pavma'i 21moi	21 de janeiro
pavma'i 22moi	22 de janeiro
pavma'i 23moi	23 de janeiro
latmo sosygugje'a	Império Romano
pavma'i 24moi	24 de janeiro
pavma'i 25moi	25 de janeiro
pavma'i 26moi	26 de janeiro
maikrosaft	Microsoft
pavma'i 27moi	27 de janeiro
pavma'i 28moi	28 de janeiro
pavma'i 29moi	29 de janeiro
pavma'i 30moi	30 de janeiro
pavma'i 31moi	31 de janeiro
pavrelma'i 9moi	9 de dezembro
relma'i 1moi	1 de fevereiro
relma'i 2moi	2 de fevereiro
relma'i 3moi	3 de fevereiro
kuruf	Kurów
relma'i 4moi	4 de fevereiro
relma'i 5moi	5 de fevereiro
relma'i 6moi	6 de fevereiro
relma'i 7moi	7 de fevereiro
relma'i 8moi	8 de fevereiro
relma'i 9moi	9 de fevereiro
relma'i 10moi	10 de fevereiro
xumske	Química
relma'i 14moi	14 de fevereiro
relma'i 13moi	13 de fevereiro
relma'i 15moi	15 de fevereiro
relma'i 11moi	11 de fevereiro
relma'i 12moi	12 de fevereiro
relma'i 19moi	19 de fevereiro
relma'i 17moi	17 de fevereiro
relma'i 16moi	16 de fevereiro
relma'i 18moi	18 de fevereiro
relma'i 20moi	20 de fevereiro
relma'i 21moi	21 de fevereiro
relma'i 22moi	22 de fevereiro
relma'i 23moi	23 de fevereiro
relma'i 24moi	24 de fevereiro
relma'i 25moi	25 de fevereiro
relma'i 26moi	26 de fevereiro
relma'i 27moi	27 de fevereiro
relma'i 28moi	28 de fevereiro
cibma'i 2moi	2 de março
cibma'i 3moi	3 de março
cibma'i 5moi	5 de março
cibma'i 1moi	1 de março
cibma'i 7moi	7 de março
cibma'i 8moi	8 de março
cibma'i 4moi	4 de março
cibma'i 10moi	10 de março
cibma'i 11moi	11 de março
cibma'i 6moi	6 de março
cibma'i 13moi	13 de março
cibma'i 9moi	9 de março
cibma'i 12moi	12 de março
cibma'i 15moi	15 de março
cibma'i 14moi	14 de março
cibma'i 16moi	16 de março
cibma'i 17moi	17 de março
cibma'i 18moi	18 de março
cibma'i 19moi	19 de março
1989moi	1989
1988moi	1988
cibma'i 20moi	20 de março
1987moi	1987
1986moi	1986
1985moi	1985
1984moi	1984
cibma'i 21moi	21 de março
1983moi	1983
cibma'i 22moi	22 de março
1982moi	1982
1981moi	1981
1980moi	1980
cibma'i 23moi	23 de março
cibma'i 24moi	24 de março
cibma'i 25moi	25 de março
cibma'i 26moi	26 de março
cibma'i 27moi	27 de março
cibma'i 28moi	28 de março
cibma'i 29moi	29 de março
cibma'i 30moi	30 de março
cibma'i 31moi	31 de março
1970moi	1970
1971moi	1971
1972moi	1972
1973moi	1973
1974moi	1974
1975moi	1975
1976moi	1976
1977moi	1977
1978moi	1978
1969moi	1969
vonma'i 15moi	15 de abril
vonma'i 13moi	13 de abril
vonma'i 12moi	12 de abril
vonma'i 14moi	14 de abril
vonma'i 11moi	11 de abril
vonma'i 10moi	10 de abril
vonma'i 8moi	8 de abril
vonma'i 9moi	9 de abril
vonma'i 7moi	7 de abril
vonma'i 6moi	6 de abril
vonma'i 5moi	5 de abril
vonma'i 4moi	4 de abril
vonma'i 3moi	3 de abril
vonma'i 1moi	1 de abril
vonma'i 2moi	2 de abril
vonma'i 16moi	16 de abril
vonma'i 17moi	17 de abril
vonma'i 18moi	18 de abril
vonma'i 19moi	19 de abril
vonma'i 20moi	20 de abril
vonma'i 21moi	21 de abril
vonma'i 22moi	22 de abril
vonma'i 23moi	23 de abril
vonma'i 24moi	24 de abril
vonma'i 25moi	25 de abril
vonma'i 26moi	26 de abril
vonma'i 27moi	27 de abril
vonma'i 28moi	28 de abril
vonma'i 29moi	29 de abril
vonma'i 30moi	30 de abril
mumyma'i 1moi	1 de maio
mumyma'i 2moi	2 de maio
mumyma'i 3moi	3 de maio
mumyma'i 4moi	4 de maio
mumyma'i 5moi	5 de maio
mumyma'i 6moi	6 de maio
mumyma'i 7moi	7 de maio
mumyma'i 8moi	8 de maio
mumyma'i 29moi	29 de maio
xavma'i 6moi	6 de junho
xavma'i 1moi	1 de junho
1968moi	1968
1967moi	1967
1966moi	1966
1965moi	1965
1964moi	1964
xavma'i 29moi	29 de junho
arnold. cyvartseneger	Arnold Schwarzenegger
zelma'i 2moi	2 de julho
zelma'i 4moi	4 de julho
zelma'i 1moi	1 de julho
1963moi	1963
pavrelma'i 26moi	26 de dezembro
1962moi	1962
bivma'i 24moi	24 de agosto
fraiburg	Friburgo em Brisgóvia
marna snexu'i	Cannabis (psicotrópico)
sozma'i 26moi	26 de setembro
antuan. dy. sant,egzuperis	Antoine de Saint-Exupéry
pavrelma'i 31moi	31 de dezembro
pavnonma'i 29moi	29 de outubro
pavypavma'i 8moi	8 de novembro
pavypavma'i 2moi	2 de novembro
xunre	Vermelho
.ganymid.	Ganímedes (satélite)
anil. zei rirxe	Rio Nilo
1961moi	1961
1960moi	1960
amazonas. zei rirxe	Rio Amazonas
Wikipedia:ciptumla	Wikipédia:Página de testes
alxebra	Álgebra
remna xadyske	Anatomia humana
rirxe	Rio
kuritcibas	Curitiba
pitr.djeksyn	Peter Jackson
kongzi	Confúcio
korbin blys	Corbin Bleu
Category:cmaci	Categoria:Matemática
ronru'u	Euro
mijytu'a xamsi	Mar Mediterrâneo
xi'ojda	Cristianismo
Template:zdotu'a	Predefinição:Países da Ásia
Template:tugni	Predefinição:Concordo
rismi	Arroz
braplu	Continente
cipni	Aves
monZON	Monzón
masti	Mês
1948moi	1948
1949moi	1949
almaZAN	Almazán
Huang Xianfan	Huang Xianfan
1956moi	1956
1941moi	1941
1945moi	1945
1958moi	1958
1926moi	1926
1947moi	1947
1944moi	1944
1952moi	1952
krilytabno	Diamante
bil. geits	Bill Gates
ponbau	Língua japonesa
ralju ckupau	Wikipédia:Página principal
1959moi	1959
pistabno	Grafite
1957moi	1957
siberias	Sibéria
baikal. zei lalxu	Lago Baikal
mitcelyngelos	Michelangelo
makax	Meca
tces.gevaras	Che Guevara
ma'os. dzedon.	Mao Tsé-Tung
vibna	Vagina
pijyske	Filosofia
Category:sutra vimcu	Categoria:!Páginas para eliminação rápida
pipno	Piano
tcati	Chá
kaurpo'esi'o	Comunismo
nonje'asi'o	Anarquismo
viltrusi'o	Fascismo
gugde	País
1452moi	1452
1453moi	1453
Category:kesyske	Categoria:Astronomia
Stanisław Lem	Stanisław Lem
sa'aras.zei kutytu'a	Deserto do Saara
jgita	Guitarra
karl.fridrix.gaus	Carl Friedrich Gauss
1627moi	1627
1807moi	1807
1809moi	1809
19xyxymoi	Século XX
1725moi	1725
1812moi	1812
20xyxymoi	Século XXI
1814moi	1814
1815moi	1815
18xyxymoi	Século XIX
17xyxymoi	Século XVIII
15moi na'acto	Século XV
caurceisi'o	Ateísmo
emis.nyter	Emmy Noether
friko gunma	União Africana
ginske	Genética
plajva	Política
roltrusi'o	Democracia
maris.kuris	Marie Curie
aleksandr. puckin	Alexandre Pushkin
jmive	Organismo
mark.tuein	Mark Twain
.alan turin	Alan Turing
cemtrusi'o	Socialismo
tadjycolnunte'a	Terrorismo
kristoforos.kolombos.	Cristóvão Colombo
ernan.kortes	Hernán Cortés
.iuxil.gygaxin.	Iuri Gagarin
banli lalxu	Grandes Lagos da América do Norte
dzipo braxamsi	Oceano Antártico
kerlo	Orelha
nazbi	Nariz
kanla	Olho
mabru	Mamíferos
xanto	Elefante
ritcard. stalman	Richard Matthew Stallman
1830moi	1830
1831moi	1831
1743moi	1743
1834moi	1834
1836moi	1836
leonard.euler	Leonhard Euler
1848moi	1848
1683moi	1683
1852moi	1852
1691moi	1691
1862moi	1862
1780moi	1780
1869moi	1869
rukybau	Língua russa
1782moi	1782
1870moi	1870
flalu	Direito
zginroknro	Rock and roll
1788moi	1788
xelso citri	História da Grécia
nanba	Pão
1794moi	1794
1882moi	1882
1885moi	1885
1887moi	1887
jugbau	Língua chinesa
ji'esle	Célula
fepri	Pulmão humano
samselkei	Jogo eletrônico
ctuske	Pedagogia
samsmacu	Rato (informática)
rarske	Ciências naturais
tedyske	Ciências da terra
.uinstyn. tcyrtcil.	Winston Churchill
dilnu	Nuvem
logji	Lógica
gerna	Gramática
vlile carna xamsi brife	Ciclone tropical
nintendos	Nintendo
dinske	Economia
bauske	Linguística
zdosible'u	Caracteres chineses
latmo lerfu	Alfabeto latino
Category:bulgarias	Categoria:Bulgária
Category:fasygu'e	Categoria:França
Category:zgike	Categoria:Música
zgirjazu	Jazz
remce'u	Sociedade
lanzu	Família
nanmu	Homem
remna selcru	Direitos humanos
selbaise'u	Escravidão
ckafi	Café
ladru	Leite
cmana	Montanha
simon.bolivar	Simón Bolívar
rios. dis. djaneiros	Rio de Janeiro (cidade)
canxais.	Xangai
euklides	Euclides
jo'anes. kepler.	Johannes Kepler
maks.plank	Max Planck
kuarizmis	Al-Khwarizmi
nom.tcomskis	Noam Chomsky
karl. marks	Karl Marx
volter	Voltaire
ratni	Átomo
gusni	Luz
xesybau	Língua grega
samplabau	Linguagem de programação
bangrmalti	Língua maltesa
lijda	Religião
rynes dekart	René Descartes
zikmunt. freut.	Sigmund Freud
lijdrdjaina	Jainismo
.adam. smit.	Adam Smith
ractu	Coelho
menske	Psicologia
braxamsi	Oceano
sidartas.gautamas	Sidarta Gautama
marde	Ética
vasxu	Respiração
bybycys	British Broadcasting Corporation
moklu	Boca
canti	Aparelho digestivo
lerfu	Letra
Ronald Reagan	Ronald Reagan
bangrklingo	Língua klingon
kampindi	Pobreza
kanba solgrixra	Capricornus
jaurbei solgrixra	Aquarius
Category:benesuel	Categoria:Venezuela
dikni selratni cartu	Tabela periódica
respa	Répteis
banfi	Anfíbios
skoselti'e	Cordados
sutra binxo	Revolução
cirla	Queijo
sakta	Açúcar
mi'irlarcu	Tecnologia
fonxa	Telefone
kulnu	Cultura
xukmi veljmina	Composto químico
sapme'ocmaci	Aritmética
Category:razgu'e	Categoria:Brasil
Category:romanias	Categoria:Roménia
selratni	Elemento (química)
fancu	Função (matemática)
xumsle	Molécula
dicmakseldi'e	Radiação eletromagnética
maircpukai	Gravidade
gos	Go
skina	Filme
jinme	Metal
gasta	Aço
gapci	Gás
sligu	Sólido
sance	Som
cipra	Prova matemática
namcu	Número
relcimdyna'u	Número complexo
mitre	Metro
snidu	Segundo
zumri	Milho
kelvo	Kelvin
cintylarcu	Pintura
dansu	Dança
rutni menli	Inteligência artificial
uuxan	Wuhan
gugde liste	Lista de Estados soberanos
prucitri	Pré-história
rokci cedra	Idade da Pedra
ransu cedra	Idade do Bronze
cribe	Ursidae
tixa	Tychy
gurni	Cereal
madjan	Mahjong
cripu	Ponte
silna	Sal
treci'e	Sistema Internacional de Unidades
nacycmaci	Teoria dos números
jungo ke banli bitmu	Muralha da China
mulna'u	Número inteiro
la'ortu'a	América Latina
mexygu'e xamsi	Golfo do México
cladakyxa'i	Espada
remoi me la fernandos. pe la .aragon	Fernando II de Aragão
pavycimdyna'u	Número real
frederik. bastias	Frédéric Bastiat
drupepa	Drupa
djirafa	Girafa
sofygu'e	União Soviética
selrunme	Ponto de fusão
Queen	Queen
rober.cuman	Robert Schuman
Template:Link FA	Predefinição:Link FA
konstantinupolis	Constantinopla
monopolis	Monopoly
tibet	Tibete
strutione	Avestruz
dcosyn/xanguk	Coreia
1927moi	1927
abumoi mivytcuxu'i	Vitamina A
1955moi	1955
1954moi	1954
1953moi	1953
1951moi	1951
1950moi	1950
1946moi	1946
1943moi	1943
1942moi	1942
1940moi	1940
1939moi	1939
1937moi	1937
1936moi	1936
1934moi	1934
1933moi	1933
1932moi	1932
1930moi	1930
mlijilkle	Metal alcalinoterroso
binjimkle	Metal de transição
klirylei	Halogênio
luvr	Museu do Louvre
1928moi	1928
xindo ropno bangu	Línguas indo-europeias
tirxu	Tigre
cidjrspageti	Espaguete
bertu'a	Escandinávia
samske	Ciência da computação
kacna'u	Número natural
sornai bacru alfabeta	Alfabeto fonético internacional
sovmabru	Monotremata
ctile	Petróleo
lalxu	Lago
di,orsais. zei muzga	Museu de Orsay
remske	Antropologia
daplu	Ilha
blabi	Branco
paltoga	Paltoga
997moi	997
stedu	Cabeça
timske	Meteorologia
jacke'o	Grau Celsius
sirenias	Sirenia
troneim	Trondheim
1xyxyxymoi	Segundo milénio d.C.
0xyxyxymoi	Primeiro milénio d.C.
1812moi nanca jamna	Guerra anglo-americana de 1812
2xyxyxymoi	Terceiro milénio d.C.
pifcpi	Calau
jmive remske	Antropologia física
beryrontu'a	Europa Setentrional
mijropno	Europa Central
sanga	Canto (música)
selpliske	Ciências aplicadas
paiton	Python
denmi	Densidade
pinpedi	Pinípedes
avril.lavin	Avril Lavigne
sumji	Adição
runbau	Língua artificial
pardali	Jaguatirica
lev. trotskis	Leon Trótski
cionmau la barda	Ailuropoda melanoleuca
bercribe	Ursus maritimus
runbau liste	Lista de línguas artificiais
rarbau	Língua natural
pidjni	Pidgin
plugri	Arquipélago
fla,ui,us.klaudius.iulianus	Juliano (imperador)
xeldraci	Ator
fla,ui,us.klaudius.io,ui,anus	Joviano
la by sy dy poi gubni	OpenBSD
zgitci	Instrumento musical
zbabu	Sabonete
198xymoi	Década de 1980
199xymoi	Década de 1990
makfartci	Bússola
rutrpaupau	Mamão
200xymoi	Década de 2000
liste be lo merja'a	Lista de presidentes dos Estados Unidos
nikitas. xrucof.	Nikita Khrushchov
rabybau	Árabes
titikakas. zei lalxu	Lago Titicaca
voksnaske	Fonética
mergu'e vipygu'e	Estados dos Estados Unidos
192moi na'ardekto	Década de 1920
marji	Matéria
bambusa	Bambu
interlingua	Língua interlíngua
mleske	Estética
finci'a	Escritor
lojban.	Lojban
loglan	Loglan
ctemidju	Meia-noite
ki'orna'a	Milênio
zgifi'i	Compositor
rianys	Rihanna
tokiponas	Toki Pona
volapuk	Língua volapuque
Tociro Mifune	Toshiro Mifune
zgirpopu	Música pop
alzaitu	Oliveira
boxna	Onda
preske	Professor
genlalske	Sintaxe
zunsna	Consoante
zatsi'o	Existencialismo
nobel.zei termu'eske velne'u	Nobel de Física
rafske	Morfologia (linguística)
184moi na'ardekto	Década de 1840
ka sezga'o	Autismo
remna kamfarvi namcu	Índice de Desenvolvimento Humano
smuske	Semântica
lastu	Latão
dekna'a	Década
selpinxe	Bebida
jordo rirxe	Rio Jordão
vraga	Alavanca
merko jecta vlile binxo fasnu	Guerra da Independência dos Estados Unidos
odbenu	Morsa
snage'a	Fonologia
kurt.gedyl	Kurt Gödel
dujro'i	Rocha ígnea
biork	Björk
be'ejda be lei fanmo djedi cespre bei la iecy,ys.krist	A Igreja de Jesus Cristo dos Santos dos Últimos Dias
trixexo	Peixe-boi
dikca mi'irlarcu	Engenharia elétrica
kantrbocuni	Bóson
xasyske	Oceanografia
mataios	Mateus (evangelista)
mu'amad.djunus	Muhammad Yunus
ranmi	Lenda
ritcard.dokinz	Richard Dawkins
gynus	GNU
182moi na'ardekto	Década de 1820
imazixen	Berberes
The Doors	The Doors
rikteropu	Orictéropo
fla,ui,us.iulius konstantius	Constâncio II
ma'arlinsi	Cordilheira
djosef.smit	Joseph Smith Jr.
auskalerik	País Basco
grin.deis	Green Day
363moi	363
fedoras	Fedora Linux
nalfendi kacna'u	Número primo
Template:selro'i datyta'e	Predefinição:Info/Mineral
Template:Taxobox	Predefinição:Info/Taxonomia
jbonunsla	Ciclismo
toiotas	Toyota Motor
visbis	Visby
astrid. lindgren	Astrid Lindgren
sambau	Código de máquina
gombesa	Coelacanthiformes
rafsi	Afixo
.siluren. cedran.	Siluriano
la glico selmikce	O Paciente Inglês (filme)
.devon. cedran.	Devoniano
karl. von. klausevits	Carl von Clausewitz
me la napoleon nunjamna	Guerras Napoleónicas
sampla	Programação de computadores
tcimpazi	Chimpanzé
aris.puakares	Henri Poincaré
bolci danti cecla xarci	Canhão
nimre	Citrus
akenatyn	Aquenáton
onkapi	Ocapi
cmevla	Nome
nalre'ucti	Vegetarianismo
oradeas	Oradea
nalvelganzu sligu	Sólido amorfo
fu'ivla	Empréstimo (linguística)
rokci pelji jinci	Pedra, papel e tesoura
gismu	Radical (linguística)
namsos	Namsos
kalkopairait	Calcopirita
condi jorne xamsi	Fossa oceânica
mivyfu'i	Clonagem
1036 .ganymed.	1036 Ganymed
snanilsutra	Velocidade do som
skalduna	Bascos
nikolaus.lobatceskis	Nikolai Lobachevsky
ketlete	Índice de massa corporal
konstantius.xlorus	Constâncio Cloro
me la .OIdipus. stura	Complexo de Édipo
.ganymidis.	Ganímedes
cange	Granja
befsraku	Seppuku
iosef.ben.matitia'uv	Flávio Josefo
kumte	Camelidae
sordaivla	Plural
Wikipedia:galfi lo ckupau ta'i ma kau	Ajuda:Guia de edição/Formatação
moresnet	Moresnet
spatrmeliace	Meliaceae
mari'an.re'iefskis	Marian Rejewski
jgenanba	Pretzel
euklidi tamcmaci	Geometria euclidiana
prolog	Prolog
kauntyr. straik	Counter-Strike
starkraft	StarCraft
la .alkubi,er. ci'efanc.	Propulsão Alcubierre
nunjamna le gligu'e la zanzibar	Guerra Anglo–Zanzibari
Nagardjunas	Nagarjuna
