ئافرىقا	África
شىمالىي چاۋشيەن	Coreia do Norte
كامبوجا	Camboja
قۇرئان كەرىم	Alcorão
دىنوزاۋر	Dinossauros
ئىسلام دىنى	Islão
ليۇبليانا	Liubliana
Lion	Lyon
ياۋروپا ئىتتىپاقى	União Europeia
سوفىيە	Sófia
شېئىر	Poesia
Milan	Milão
Turin	Turim
سوڭ	Ânus
ئېۋېرېست	Monte Everest
ﻧﺎﭘﻮﻟﯧﺌﻮﻥ ﺑﻮﻧﺎﭘﺎﺭﺕ	Napoleão Bonaparte
ۋېزۇۋىي	Vesúvio
قۇياش	Sol
قۇياش سىستېمىسى	Sistema Solar
ھىدروگېن	Hidrogénio
گېلىي	Hélio
لىتىي	Lítio
بېرىللىي	Berílio
شەرقىي تىمور	Timor-Leste
ئوسلو	Oslo
Bonn	Bona
سېرېرا	Ceres (planeta anão)
لىسبون	Lisboa
ئېرىدا	Éris (planeta anão)
دۇبائى	Dubai
بور	Boro
Wérsayl	Versalhes
كاربون	Carbono
ۋولگا دەرياسى	Rio Volga
ئازوت	Azoto
ئوكسىگېن	Oxigénio
مۇزىكا	Música
Wénitsiye	Veneza
Rénn Shehiri	Rennes
Lil	Lille
Moskwa	Moscovo
فىتور	Flúor
ئىتاليان تىلى	Língua italiana
نىئون گازى	Néon
Sankt-Pétérburg	São Petersburgo
چاد	Chade
ناترىي	Sódio
ماگنىي	Magnésio
ئاليۇمىن	Alumínio
يېڭى زېلاندىيە	Nova Zelândia
ھىندىستان	Índia
سىلىتسىي	Silício
فرانسىي	Frâncio
Tuwalu	Tuvalu
فوسفور	Fósforo
تۆمۈر	Ferro
Ton’ga	Tonga
گۈڭگۈرت	Enxofre
ساموئا	Samoa
سولومون تاقىم ئاراللىرى	Ilhas Salomão
ۋانۇئاتۇ	Vanuatu
خلور گازى	Cloro
پاپۇئا يېڭى گۋىنېيە	Papua-Nova Guiné
پالاۋ	Palau
ئارگون	Árgon
ناۋرۇ	Nauru
مىكرونېزىيە فېدېراتسىيىسى	Estados Federados da Micronésia
كالىي	Potássio
كالتىسىي	Cálcio
قوغۇشۇن	Chumbo
مارشال تاقىم ئاراللىرى	Ilhas Marshall
كىرىباتى	Kiribati
موڭغۇلىيە	Mongólia
فىجى	Fiji
سكاندىي	Escândio
تىتان	Titânio
ۋېنېسۇئېلا	Venezuela
چىڭگىزخان	Gengis Khan
ۋانادىي	Vanádio
Méané Shitati	Maine
خروم	Crômio
ئات	Equus ferus caballus
ئامستېردام	Amesterdão
ھايۋانات	Animalia
سۇرىنام	Suriname
مانگان	Manganês
پاراگۋاي	Paraguai
گايانا	Guiana
ئېكۋادور	Equador
رېنىي	Rênio
كولومبىيە	Colômbia
كوبالت	Cobalto
ۋولفرام	Tungstênio
نىكېل	Níquel
بۇددا دىنى	Budismo
بولىۋىيە	Bolívia
مىس	Cobre
ترىنىداد ۋە توباگو	Trinidad e Tobago
سېنت ۋىنسېنت ۋە گرېنادىن ئاراللىرى	São Vicente e Granadinas
سىنك	Zinco
Yéngi Xampishir Shitati	Nova Hampshire
سېنت ليۇسىيە	Santa Lúcia
داۋېىنچى	Leonardo da Vinci
سېنت كىتس ۋە نېۋىس	São Cristóvão e Nevis
زەمبۇرۇغ	Fungi
يامايكا	Jamaica
گرېنادا	Granada (país)
Massachuséts Shitati	Massachusetts
گۋاتېمالا	Guatemala
باھاما	Bahamas
Konnéktikat Shitati	Connecticut
ئانتىگۇئا ۋە باربۇدا	Antígua e Barbuda
Haway Shitati	Havaí
ھوندۇراس	Honduras
دومىنىكا	Dominica
دومىنىكان جۇمھۇرىيەتى	República Dominicana
ھايتى	Haiti
ئەل سالۋادور	El Salvador
ئىران	Irão
ئىراق	Iraque
Alyaska Shitati	Alasca
كوستارىكا	Costa Rica
ئىسرائىلىيە	Israel
پاناما	Panamá
يەمەن	Iémen
پولەك تىلى	Língua polaca
ئىئوردانىيە	Jordânia
نىكاراگۇئا	Nicarágua
Florida Shitati	Flórida
قىرغىزىستان	Quirguistão
Arizona Shitati	Arizona
كۇۋەيت	Kuwait
لائوس	Laos
لىۋان	Líbano
Orégon Shitati	Oregon
مالدىۋ ئاراللىرى	Maldivas
ئامېرىكا قىتئەسى	América
Yuta Shitati	Utah
مالايسىيا	Malásia
بىرما	Myanmar
نېپال	Nepal
ئومان	Omã
پاكىستان	Paquistão
قاتار	Catar
سەئۇدى ئەرەبىستان	Arábia Saudita
سرىلانكا	Sri Lanka
ستالىن	Josef Stalin
سۇرىيە	Síria
بىراتۇ	Platão
گاللىي	Gálio
تاجىكىستان	Tajiquistão
تەيۋەن	República da China
گېرمانىي	Germânio
تايلاند	Tailândia
ئارسېن	Arsênio
تۈركمەنىستان	Turquemenistão
سېلېن	Selênio
ئەرەب بىرلەشمە خەلىپىلىكى	Emirados Árabes Unidos
بروم	Bromo
Platina	Platina
ۋيېتنام	Vietname
Nowosibirski	Novosibirsk
جەنۇبىي چاۋشيەن	Coreia do Sul
كرىپتون	Crípton
ئافغانىستان	Afeganistão
رۇبىدىي	Rubídio
ئالتۇن	Ouro
قازان	Cazã
بانگلادېش	Bangladesh
مالى	Mali
ئانگولا	Angola
بۇتان	Butão
برۇنېي	Brunei
تانزانىيە	Tanzânia
فىلىپپىن	Filipinas
ئوتتۇرا ئافرىقا جۇمھۇرىيىتى	República Centro-Africana
جەنۇبى قۇتۇپ	Polo Sul
شىمالى قۇتۇپ	Polo Norte
ئىسساك نيوتۇن	Isaac Newton
ئالبېرىت ئېينىشتېين	Albert Einstein
سترونتسىي	Estrôncio
ئىتترىي	Ítrio
ۋىسمۇت	Bismuto
سېرىق رەڭ	Amarelo
توگو	Togo
تۇنىس	Tunísia
زامبىيە	Zâmbia
زىمبابۋې	Zimbabwe
بېيجىڭ شەھىرى	Pequim
تۇۋا	Tuva
بېنىن	Benim
بوتسۋانا	Botswana
بۇركىنا فاسو	Burkina Faso
بۇرۇندى	Burundi
كومور ئاراللىرى	Comores
كونگو جۇمھۇرىيىتى	República do Congo
كونگو دېموكراتىك جۇمھۇرىيىتى	República Democrática do Congo
San Antonio	San Antonio
جىبۇتى	Djibouti
پولونىي	Polônio
ئېكۋاتور گۋىنېيىسى	Guiné Equatorial
ئېرىترېيە	Eritreia
Yéngi Déhli	Nova Deli
تبىلىسى	Tbilisi
ئاستاتىن	Ástato
گابون	Gabão
گامبىيە	Gâmbia
ۋىنېيە	Guiné
گۋىنېيە بىسسائۇ	Guiné-Bissau
پىل چىشى قىرغىغى	Costa do Marfim
كامېرۇن	Camarões
يېشىل تۇمشۇق ئاراللىرى	Cabo Verde
لېسوتو	Lesoto
لىبېرىيە	Libéria
لىۋىيە	Líbia
ماداگاسكار	Madagáscar
مالاۋى	Malawi
Shtutgart	Estugarda
ماۋرىتانىيە	Mauritânia
ماۋرىتىئۇس	Maurícia
ماراكەش	Marrocos
موزامبىك	Moçambique
نامىبىيە	Namíbia
نىگېر	Níger
نىگېرىيە	Nigéria
دارۋىن	Charles Darwin
ئۇگاندا	Uganda
رۋاندا	Ruanda
سىركونىي	Zircônio
San Tomé we Prinsipé	São Tomé e Príncipe
سېنېگال	Senegal
سېيشېل ئاراللىرى	Seicheles
سيېررا لېئونې	Serra Leoa
سومالى	Somália
نىئوبىي	Nióbio
جولیس سیزر	Júlio César
سۇدان	Sudão
سۋازىلېند	Suazilândia
مولبېدىن	Molibdênio
تېخېتىسىي	Tecnécio
Hamburg	Hamburgo
گۇجارات	Gujarate
بىرلەشكەن دۆلەتلەر تەشكىلاتى	Organização das Nações Unidas
گېئولوگىيە	Geologia
Exmetabad	Ahmedabad
يۈرەك	Coração
تېرە	Pele
پراگا	Praga
كۆك رەڭ	Azul
كۈمۈش	Prata
قەلەي	Estanho
ئۇران	Urânio
سۈرمە	Antimônio
پلوتونىي	Plutónio
نېپتونىي	Neptúnio
كسېنون	Xenônio
سېزىي	Césio
پروتاكتىنىي	Protactínio
بارىي	Bário
تورىي	Tório
گافنىي	Háfnio
ئاكتىنىي	Actínio
تانتال	Tântalo (elemento químico)
بىل كلىنتون	Bill Clinton
رادىي	Rádio (elemento químico)
رادون	Rádon
Bombay	Bombaim
Michigan Shitati	Michigan
پوئېرتو رىكو	Porto Rico
Illinoyiz Shitati	Illinois
Shimaliy Dakota Shitati	Dakota do Norte
لومبارد	Lombardia
Jenubiy Dakota Shitati	Dakota do Sul
Montana Shitati	Montana
Wyoming Shitati	Wyoming
قۇدس	Jerusalém
Aydaxo Shitati	Idaho
Washin'giton Shitati	Washington
رۇزېرفوردىي	Rutherfórdio
Néwada shitati	Nevada
دۇبنىي	Dúbnio
سىبورگىي	Seabórgio
بوھرىي	Bóhrio
ھاسسىي	Hássio
مېيتنېرىي	Meitnério
Kolorado Shitati	Colorado
دارمستادتىي	Darmstácio
رۆنتگېنىي	Roentgênio
كوپېرنىي	Copernício
تۈر:تۈرلەر يولباشچىسى	Categoria:Conteúdo
ئاپېنىن تاغ تىزمىسى	Apeninos
ئالپ تاغلىرى	Alpes
پاسكال	Blaise Pascal
Gant	Gante
Chikago	Chicago
ئۇنۇنترىي	Unúntrio
فلېروۋىي	Fleróvio
ئۇنۇنپېنتىي	Ununpêntio
لىۋىرمورىي	Livermório
ئۇنۇنسېپتىي	Ununséptio
ئۇنۇنئوكتىي	Ununóctio
Arném	Arnhem
ئىسپان تىلى	Língua castelhana
مونتېۋىدېئو	Montevidéu
Filadélfiye	Filadélfia
Kalkutta	Calcutá
Déhli	Deli
داكا	Daca
Ban'galor	Bangalore
Ömüchük	Aranha
ئىسلامئاباد	Islamabad
ظاصتاص يئضةن مئؤة	Fruto
مايمۇن	Macaco
Wirginiye Shitati	Virgínia
غەربىي ۋىرگىنىيە شىتاتى	Virgínia Ocidental
Nyuyork Shitati	Nova Iorque (estado)
سېرىي	Cério
پرازېئودىمىي	Praseodímio
Rodé Arili Shitati	Rhode Island
نېئودىي	Neodímio
Maryland Shitati	Maryland
Délawiyer Shitati	Delaware
يېۋروپىي	Európio
Oxayo Shtati	Ohio
Pénsilwaniye Shitati	Pensilvânia
Yéngi Jérséy Shtati	Nova Jérsia
فىنلاندىيە تىلى	Língua finlandesa
Indiyanna Shitati	Indiana
ئاپتوموبىل	Automóvel
Giorgiye Shitati	Geórgia (Estados Unidos)
Zagréb	Zagreb
Téksas Shitati	Texas
Jenubiy Karolina Shitati	Carolina do Sul
سىتسىلىيە	Sicília
مانىلا	Manila
ساردىنىيە ئارىلى	Sardenha
Bordo	Bordéus
Buénos Ayrés	Buenos Aires
مېكسىكا شەھىرى	Cidade do México
توكيو	Tóquio
Barsélona	Barcelona
Missisipi Shitati	Mississippi
Ténnéssi Shitati	Tennessee
Astana	Astana
Yéngi Méksika Shitati	Novo México
ئافېنا	Atenas
Minnésota Shitati	Minnesota
باغداد	Bagdá
Karakas	Caracas
Wiskonsin Shitati	Wisconsin
Puna	Pune
AC مىلان	Associazione Calcio Milan
Lowa Shitati	Iowa
Nébraska Shitati	Nebraska
گۋاتېمالا شەھىرى	Cidade da Guatemala
Kanzas Shitati	Kansas
ھىندى تىلى	Língua hindi
ماراتىچە	Língua marata
Missori Shitati	Missouri
Loyizanna Shitati	Luisiana
Kéntukki Shitati	Kentucky
Arkanzas Shtati	Arkansas
ئوردو تىلى	Língua urdu
Oklaxoma Shitati	Oklahoma
Potsdam	Potsdam
Hanofér	Hanôver
Myunxén	Munique
Drézdén	Dresden
ۋالىبول	Voleibol
Wyéna	Viena
Kopénhagén	Copenhaga
Stokgolm	Estocolmo
Xélsinki	Helsínquia
دۇبلىن	Dublin
رېيكياۋىك	Reykjavík
Tallin	Tallinn
رىگا	Riga
براتىسلاۋا	Bratislava
Budapésht	Budapeste
Danzig	Gdańsk
Frankfort	Frankfurt am Main
Wroklaw	Breslávia
لانتان	Lantânio
جۈي	Promécio
چالغا	Samário
گادولنىي	Gadolínio
تېربىي	Térbio
Katolik dini	Catolicismo
ليۇكسېمبۇرگ شەھىرى	Luxemburgo (cidade)
دىسپروزىي	Disprósio
ۋادۇز	Vaduz
ئىنجىل	Bíblia
گولمىي	Hólmio
ئېربىي	Érbio
فنوم پېن	Phnom Penh
تۇلىي	Túlio
سايگون	Cidade de Ho Chi Minh
ئىتتېربىي	Itérbio
لۇتېتسىي	Lutécio
خانوي	Hanói
ھەقىقى ئەيسا چېركاۋى	Verdadeira Igreja de Jesus
ئىنگىلىز تىلى	Língua inglesa
Bangkok	Banguecoque
ئاندوررا كەنتى	Andorra-a-Velha
كۇئالالۇمپۇر	Kuala Lumpur
تەيبېي شەھىرى	Taipé
ئامېرىتسىي	Amerício
كىيۇرىي	Cúrio
Concepción, Chile	Concepción (Chile)
بېركېلىي	Berquélio
كالىفورنىي	Califórnio
ئېينشتېينىي	Einstênio
فېرمىي	Férmio
مېندېلېيېۋىي	Mendelévio
كىيېۋ	Kiev
نوبېلىي	Nobélio
لاۋرېنسىي	Laurêncio
كارېلىيە	República da Carélia
Ottawa	Ottawa
Manitoba Ölkisi	Manitoba
Albérta	Alberta
Nowa Skotiye Ölkisi	Nova Escócia
يېرېۋان	Erevan
دارېسسالام	Dar es Salaam
خارتۇم	Cartum
Yéngi Brunswik Ölkisi	Nova Brunswick
Britani Kolumbiye	Colúmbia Britânica
Saskachéwan	Saskatchewan
Néwfundland Ölkisi	Terra Nova e Labrador
Gherbiy Shimal Rayoni	Territórios do Noroeste
Yukon Rayoni	Yukon
Florénsa	Florença
Ésén	Essen
كومى	República de Komi
Léypzig	Leipzig
Nyurnbérg	Nuremberga
Édmonton	Edmonton
Man'géym	Mannheim
Wiktoriye, Britani Kolumbiye	Victoria (Colúmbia Britânica)
Winnipég	Winnipeg
Halifaks	Halifax
Kwébék Shehiri	Quebec (cidade)
ئېلېكترون	Elétron
Birmin'gxam	Birmingham
مىنىسكى	Minsk
مىكروسوفىت شىركىتى	Microsoft
پروتون	Próton
Kurow	Kurów
Naplés	Nápoles
Braunshwéyg	Brunsvique
Madrid	Madrid
سۇ ئاستى كېمىسى	Submarino
مايكېل جېكسۇن	Michael Jackson
Bogota	Bogotá
لىما	Lima
Santiyago	Santiago (Chile)
كىتو	Quito
سۇكرې	Sucre
ئاسۇنسىئون	Assunção
Öçke	Capra aegagrus hircus
Héydélbérg	Heidelberg
كاتماندۇ	Catmandu
سان خوسې (كوستارىكا)	San José (Costa Rica)
سان سالۋادور	San Salvador
Kanbérra	Camberra
Sidnéy	Sydney
يېشىل رەڭ	Verde
Mélburn	Melbourne
قىزىل رەڭ	Vermelho
ماناگۇئا	Manágua
رابات	Rabat
قۇيرۇقلۇق يۇلتۇز	Cometa
ئالجىر	Argel
تۇنىس شەھىرى	Tunes
ترىپولى	Trípoli
تېھران	Teerã
جاكارتا	Jacarta
Enqere	Ancara
رىياد	Riade
بېلگراد	Belgrado
ئادىگېيە	Adiguésia
پرايا	Praia (Cabo Verde)
دەمەشىق	Damasco
يامۇسسۇكرو	Yamoussoukro
فرانسىيىگە قاراشلىق گۋىئانا	Guiana Francesa
لومې	Lomé
ئاممان	Amã
بېيرۇت	Beirute
مۇسكات	Mascate
نىكوسىيە	Nicósia
دوھا	Doha
نايروبى	Nairóbi
لۇساكا	Lusaka
ئامازون	Amazon.com
قۇياش تۇتۇلۇشى	Eclipse solar
كامپالا	Kampala
Mektep	Escola
ھارارې	Harare
Prétoriye	Pretória
Astiraxan	Astracã
Tiktak top	Tênis de mesa
Wikipedia:Sandbox	Wikipédia:Página de testes
قالماقىستان	Calmúquia
Osasko	Osasco
Glasgow	Glasgow
Kuritiba	Curitiba
Orman	Floresta
بوغاز كۆۋرۈكى	Ponte do Bósforo
كۇڭزى	Confúcio
كوربين بيلو	Corbin Bleu
Surat	Surate
ياۋرۇ	Euro
ئامېرىكا دولىرى	Dólar dos Estados Unidos
يەر ئوتتۇرا دېڭىزى	Mar Mediterrâneo
خاڭجۇ شەھىر	Hangzhou
مەسىھچىلىك	Cristianismo
قېلىپ:ئاسىيا	Predefinição:Países da Ásia
Séatl	Seattle
Baltimor	Baltimore
ئادېلايدې	Adelaide (Austrália)
داغىستان	Daguestão
Monzón	Monzón
گۇجارات تىل	Língua gujarati
پورتۇگال تىلى	Língua portuguesa
مۇستاپا كامال	Mustafa Kemal Atatürk
چېچېنىيە	Chechênia
كۋېچۇئا تىلى	Língua quíchua
ئىنگۇشېتىيە	Inguchétia
شىمالىي ئوسېتىيە	Ossétia do Norte-Alânia
كاباردىنو-بالقارىستان	Cabárdia-Balcária
ئالماس	Diamante
ياپون تىلى	Língua japonesa
Énsklopédiye	Enciclopédia
ئۇيغۇرچە ۋىكىپىدىيە	Wikipédia:Página principal
Latex	LaTeX
كوندېنساتور	Capacitor
قاراچاي-چېركېسىيە	Carachai-Circássia
موردوۋىيە	Mordóvia
ۋاسكېتبول	Basquetebol
چاڭجياڭ دەرياسى	Rio Yangtzé
ئۇدمۇرتىيە	Udmúrtia
مارى	Mari El
ھىمالايا تاغ تىزمىسى	Himalaia
ئاند تاغلىرى	Cordilheira dos Andes
قىيىلىق تاغلار	Montanhas Rochosas
Kapétown	Cidade do Cabo
چۇۋاشىيە	Chuváchia
تەڭرىتاغ	Tian Shan
كاۋكاز تاغ تىزمىسى	Cordilheira do Cáucaso
تاتارىستان	Tartaristão
1279-يىلى	1279
ۋېىنىست	Vincent van Gogh
باشقۇرتىستان	Bascortostão
Semerqend	Samarcanda
Buxara	Bucara
بېتلېخېم	Belém (Palestina)
Andalusiye	Andaluzia
كايمان تاقىم ئاراللىرى	Ilhas Cayman
Kordowa	Córdova (Espanha)
شىئەن شەھىرى	Xian
كابۇل	Cabul
لاسا شەھىرى	Lassa
غىلاپ	Vagina
تامىل تىلى	Língua tâmil
پەلسەپە	Filosofia
ئالەم ئايرۇپىلانى	Viagem espacial
ئالتاي تاغ تىزمىسى	Montanhas Altai
تۈر:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
ئالتاي	Altai (república)
پىئانىنو	Piano
Hebe Camargo	Hebe Camargo
Portland, Orégon	Portland (Oregon)
ئانارخىزم	Anarquismo
لىبېرالىزىم	Liberalismo
فاشىسىت	Fascismo
مىللەتچىلىك	Nacionalismo
غەربىي ساھارا	Saara Ocidental
ھىلاري كلىنتون	Hillary Clinton
خاكاسىيە	Cacássia
Strasburg	Estrasburgo
ياكۇتىيە	Iacútia
كرودىيە تىلى	Língua croata
گائۇس	Carl Friedrich Gauss
بۇرياتىيە	Buriácia
جامىس جويىس	James Joyce
كاتالان تىلى	Língua catalã
Burχa	Buda
دىنسىزلىق	Ateísmo
لى بەي	Li Bai
دۇنيا بانكىسى	Banco Mundial
كونسېرۋاتىپ	Conservadorismo
شىمالىي ئاتلانتىك ئەھدى تەشكىلاتى	Organização do Tratado do Atlântico Norte
نوبېل مۇكاپاتى	Prémio Nobel
چىن شىخۇاڭ	Qin Shihuang
خەن سۇلالىسى	Dinastia Han
فېمىنىزم	Feminismo
ئىدېئولوگىيە	Ideologia
پەي توپ	Badminton
يۈەن سۇلالىسى	Dinastia Yuan
كولۇمبو	Cristóvão Colombo
يەھۇدىلار	Judeu
سېرىق دەريا	Rio Amarelo
قۇلاق	Orelha
بۇرۇن	Nariz
كۆز	Olho
مۇسكۇل	Músculo
Töge	Camelo
پىل	Elefante
چۈمۈلە	Formiga
سۈي سۇلالىسى	Dinastia Sui
گوللاندىيە تىلى	Língua neerlandesa
ماگرىت ساچىر	Margaret Thatcher
ياڭ جىيەن	Yang Jian
دېئوكسىرىبونۇكلېئىك كىسلاتا	Ácido desoxirribonucleico
سۇڭ سۇلالىسى	Dinastia Sung
Çeyze	Beringela
رۇس تىلى	Língua russa
ساخالىن	Sacalina
نېفىت ئېكىسپورت قىلغۇچى دۆلەتلەر تەشكىلاتى (OPEC)	Organização dos Países Exportadores de Petróleo
خەلقئارا پۇل فوندى تەشكىلاتى	Fundo Monetário Internacional
دۇنيا سودا تەشكىلاتى	Organização Mundial do Comércio
سۋاھىلىچە	Língua suaíli
توكيو ئۇنىۋېرستېتى	Universidade de Tóquio
خەنزۇ تىلى	Língua chinesa
ئۆپكە	Pulmão humano
نەپەسلىنىش سىستېمى	Sistema respiratório
رۇمىنىيە تىلى	Língua romena
بۇلغارىيە تىلى	Língua búlgara
يەر تەۋرەش	Sismo
ماگادان	Magadan
تەبىئىي پەن	Ciências naturais
فرانكلىن روزۋېلت	Franklin Delano Roosevelt
ﺋﯩﺒﯩﻦ ﺳﯩﻨﺎ	Avicena
نىلسۇن ماندىلا	Nelson Mandela
مارتىن لوتىر كىڭ	Martin Luther King Jr.
Yanardag	Vulcão
ئىسسىق بەلباغ سىكلونى	Ciclone tropical
تېلۇگۇ تىلى	Língua telugu
گرۇزىن تىلى	Língua georgiana
ئىقتىسادشۇناسلىق	Economia
يېن	Iene
قىزىل تۈلكە	Raposa-vermelha
ئىسكىرىپكا	Violino
چوڭ ئىسكىروپكا	Violoncelo
ئىسكەندەر زۇلقەرنەيىن	Alexandre, o Grande
ئۆمەر ئىبنى خەتتاب	Omar
ئامۇ دەرياسى	Amu Dária
سۈت	Leite
سۇن جۇڭشەن	Sun Yat-sen
شياڭگاڭ	Hong Kong
Miami	Miami
كاراچى	Carachi
Rio dé Janéyro	Rio de Janeiro (cidade)
سوغۇق ئۇرۇش	Guerra Fria
شاڭخەي شەھىرى	Xangai
Bilbaw	Bilbau
Séwéliye	Sevilha
چىڭ سۇلالىسى	Dinastia Qing
توماس ئىدىسون	Thomas Edison
ئالبان تىلى	Língua albanesa
باسكى تىلى	Língua basca
ئاراگون تىلى	Língua aragonesa
ئەرمەن تىلى	Língua arménia
ئۇكرائىن تىلى	Língua ucraniana
Walénsiye	Valência (Espanha)
Malaga	Málaga
شۋېتسىيە تىلى	Língua sueca
دانىش تىلى	Língua dinamarquesa
نورۋېگىيە تىلى	Língua norueguesa
ليۇكسېمبۇرگ تىلى	Língua luxemburguesa
چېخ تىلى	Língua tcheca
سلوۋاك تىلى	Língua eslovaca
كارل ماركىس	Karl Marx
سلوۋېن تىلى	Língua eslovena
ماجار تىلى	Língua húngara
ۋولتىر	Voltaire
ئېستون تىلى	Língua estónia
لاتۋىيە تىلى	Língua letã
لىتۋا تىلى	Língua lituana
ھىندى دىنى	Hinduísmo
بېلورۇس تىل	Língua bielorrussa
يېلىن	Mama
ئاتوم	Átomo
گرېك تىلى	Língua grega
ئرېلاندىيە تىلى	Língua irlandesa
مالتا تىلى	Língua maltesa
پارس تىلى	Língua persa
ئىسلام	Religião
كورىيەچە	Língua coreana
Injilning birinchi tomi	Gênesis
كانتونچە	Cantonês
ئېكسودۇس	Livro do Êxodo
ۋيېتنام تىلى	Língua vietnamita
كخمېر تىلى	Língua khmer
لائوس تىلى	Língua laociana
تايلاندچە	Língua tailandesa
بىرما تىلى	Língua birmanesa
مالاي تىلى	Língua malaia
