IYunayithedi Steyitsi	Estados Unidos
Wikipedia:Statistics	Wikipédia:Estatísticas
Template:Col-break	Predefinição:Col-break
Template:Col-begin	Predefinição:Col-begin
Wikipedia:Vital articles	Wikipédia:Artigos essenciais
Category:Afrika	Categoria:África
Category:Eyekhala	Categoria:Julho
Category:IPhondo yaFreyistata	Categoria:Província do Estado Livre
Category:IPhondo yaMpuma-Koloni	Categoria:Província do Cabo Oriental
Category:IPhondo yaRhawuti	Categoria:Província de Gauteng
Category:Amanani	Categoria:Números
Category:Eyesilimela	Categoria:Junho
Category:IPhondo yaKwaZulu-Natala	Categoria:Província de KwaZulu-Natal
Category:IPhondo yaMpumalanga	Categoria:Província de Mpumalanga
Category:IPhondo yaseMntla-Koloni	Categoria:Província do Cabo Setentrional
Category:Ubuchwepheshe	Categoria:Eletrônica
Category:Ilali	Categoria:Aldeias
Category:IBhayibhile	Categoria:Bíblia
Category:Amaxwebhu	Categoria:Documentos
Category:IPhondo yaLimpopo	Categoria:Província do Limpopo
Category:IPhondo yaNtshona-Koloni	Categoria:Província do Cabo Ocidental
Category:IPhondo yaseMntla-Ntshona	Categoria:Província do Noroeste
Category:Iincwadi	Categoria:Livros
Category:Inyanga	Categoria:Meses
Template:Wikisource	Predefinição:Wikisource
Template:Babel	Predefinição:Babel
Template:Commons	Predefinição:Commons
Template:Link GA	Predefinição:Bom interwiki
Template:Reflist	Predefinição:Referências
Template:Stub	Predefinição:Esboço
Template:User af-1	Predefinição:User af-1
Template:User ar-1	Predefinição:User ar-1
Template:User ast-1	Predefinição:User ast-1
Template:User az	Predefinição:User az
Template:User bar-1	Predefinição:User bar-1
Template:User eo-1	Predefinição:User eo-1
Template:See also	Predefinição:VT
Template:User da-2	Predefinição:User da-2
Template:User da	Predefinição:User da
Template:User ca-1	Predefinição:User ca-1
Template:User be-2	Predefinição:User be-2
Template:User da-1	Predefinição:User da-1
Template:User cs-1	Predefinição:User cs-1
Template:User bg-1	Predefinição:User bg-1
Template:User eo-3	Predefinição:User eo-3
Template:User de	Predefinição:User de
Template:User de-1	Predefinição:User de-1
Template:User eu	Predefinição:User eu
Template:User et-1	Predefinição:User et-1
Template:User el	Predefinição:User el
Template:User es	Predefinição:User es
Template:User de-3	Predefinição:User de-3
Template:User en-3	Predefinição:User en-3
Template:User el-1	Predefinição:User el-1
Template:User en-1	Predefinição:User en-1
Template:User en-2	Predefinição:User en-2
Template:User fa-1	Predefinição:User fa-1
Template:User eo-2	Predefinição:User eo-2
Template:User en-4	Predefinição:User en-4
Template:User fi	Predefinição:User fi
Template:User en-0	Predefinição:User en-0
Template:User en	Predefinição:User en
Template:User de-2	Predefinição:User de-2
Template:User es-1	Predefinição:User es-1
Template:User fa	Predefinição:User fa
Template:User fi-1	Predefinição:User fi-1
Template:User fr-1	Predefinição:User fr-1
Template:User gl-1	Predefinição:User gl-1
Template:User ia-2	Predefinição:User ia-2
Template:User hi-1	Predefinição:User hi-1
Template:User hr	Predefinição:User hr
Template:User he-2	Predefinição:User he-2
Template:User he-1	Predefinição:User he-1
Template:User hu	Predefinição:User hu
Template:User id-3	Predefinição:User id-3
Template:User io-3	Predefinição:User io-3
Template:User it-3	Predefinição:User it-3
Template:User grc-1	Predefinição:User grc-1
Template:User sk	Predefinição:User sk
Template:User tr-2	Predefinição:User tr-2
Template:User fr-2	Predefinição:User fr-2
Template:User tr	Predefinição:User tr
Template:User ja	Predefinição:User ja
Template:User ja-1	Predefinição:User ja-1
Template:User it-1	Predefinição:User it-1
Template:User hr-1	Predefinição:User hr-1
Template:User fr	Predefinição:User fr
Template:User gsw-1	Predefinição:User gsw-1
Category:Uluhlu lweendawo eMzantsi Afrika	Categoria:Províncias da África do Sul
Template:Mod	Predefinição:Mod
Template:Pn	Predefinição:Falta página
Template:SIL	Predefinição:ISO639-3Documentação
Template:User es-2	Predefinição:User es-2
Template:USA	Predefinição:USA
Template:Country data Indonesia	Predefinição:Country data Indonésia
Category:User fr-1	Categoria:Usuário fr-1
Template:Country showdata	Predefinição:Country showdata
Template:Infobox School	Predefinição:Info/Escola
Template:Rnd	Predefinição:Rnd
Template:Location map	Predefinição:Mapa de localização
Category:User en-4	Categoria:Utilizador en-4
Category:User en	Categoria:Usuários en
Category:User en-2	Categoria:Usuário en-2
Template:Infobox	Predefinição:Info
Template:Template other	Predefinição:Template other
Template:Cite web	Predefinição:Citar web
Template:Country data	Predefinição:Dados de país
Template:Coor URL	Predefinição:Coor URL
Template:Pp-template	Predefinição:Pp-template
Category:User hi	Categoria:Usuários hi
Template:Infobox settlement	Predefinição:Info/Assentamento
Template:Flagicon/core	Predefinição:ÍconeBandeira/core
Template:PoSA Commons	Predefinição:Commonscat em linha
Category:Country data templates	Categoria:!Predefinições Country data
Template:Fmbox	Predefinição:Fmbox
Template:Tlx	Predefinição:Tlx
Template:Geobox coor	Predefinição:Geobox coor
USteve Kekana	Steve Kekana
Template:Location map USA	Predefinição:Mapa de localização/Estados Unidos
Template:Flag/core	Predefinição:Country flag2
Template:User	Predefinição:Usuário2
Template:Emergency-bot-shutoff	Predefinição:Botão de emergência
Template:Pp-meta	Predefinição:Pp-meta
Template:Coord/link	Predefinição:Coord/link
Category:User ja-N	Categoria:Usuário ja
Template:Br separated entries	Predefinição:Br separated entries
Template:Order of magnitude	Predefinição:Ordem de magnitude
Category:User gsw-1	Categoria:Usuário gsw-1
Template:Infobox person	Predefinição:Info/Biografia
Template:Coord	Predefinição:Coord
Category:User az	Categoria:Usuários az
Category:User be	Categoria:Usuários be
Category:User hr	Categoria:Usuários hr
Category:User sk	Categoria:Usuários sk
Category:User eo	Categoria:Usuários eo
Category:User et	Categoria:Usuários et
Category:User fr	Categoria:Usuários fr
Category:User gl	Categoria:Usuários gl
Category:User hu-N	Categoria:Usuário hu
Category:User id	Categoria:Usuários id
Category:User ia	Categoria:Usuários ia
Category:User ja	Categoria:Usuários ja
Category:User it-3	Categoria:Usuário it-3
Category:User cs-1	Categoria:Usuário cs-1
Category:User da-1	Categoria:Usuário da-1
Category:User et-1	Categoria:Usuário et-1
Category:User fi-1	Categoria:Usuário fi-1
Category:User gl-1	Categoria:Usuário gl-1
Category:User hi-1	Categoria:Usuário hi-1
Category:User ar-1	Categoria:Usuário ar-1
Category:User be-2	Categoria:Usuário be-2
Category:User da-2	Categoria:Usuário da-2
Category:User fr-2	Categoria:Usuário fr-2
Category:User ia-2	Categoria:Usuário ia-2
Category:User tr-2	Categoria:Usuário tr-2
Category:User hr-N	Categoria:Usuário hr
Category:User fr-N	Categoria:Usuário fr
Category:User eu-N	Categoria:Usuário eu
Category:User af	Categoria:Usuários af
Category:User af-1	Categoria:Usuário af-1
Category:User als	Categoria:Usuários als
Category:User als-1	Categoria:Usuário als-1
Category:User ar	Categoria:Usuários ar
Category:User ast	Categoria:Usuários ast
Category:User ast-1	Categoria:Usuário ast-1
Category:User az-N	Categoria:Usuário az
Category:User bar	Categoria:Usuários bar
Category:User bar-1	Categoria:Usuário bar-1
Category:User bg	Categoria:Usuários bg
Category:User bg-1	Categoria:Usuário bg-1
Category:User ca	Categoria:Usuários ca
Category:User ca-1	Categoria:Usuário ca-1
Category:User cs	Categoria:Usuários cs
Category:User da	Categoria:Usuários da
Category:User sk-N	Categoria:Usuário sk
Category:User de	Categoria:Usuários de
Category:User de-2	Categoria:Usuário de-2
Category:User de-3	Categoria:Usuário de-3
Category:User de-N	Categoria:Usuário de
Category:User el	Categoria:Usuários el
Category:User el-1	Categoria:Usuário el-1
Category:User el-N	Categoria:Usuário el
Category:User en-3	Categoria:Usuário en-3
Category:User en-N	Categoria:Usuário en
Category:User eo-1	Categoria:Usuário eo-1
Category:User eo-2	Categoria:Usuário eo-2
Category:User eo-3	Categoria:Usuário eo-3
Category:User es	Categoria:Usuários es
Category:User es-1	Categoria:Usuário es-1
Category:User es-2	Categoria:Usuário es-2
Category:User es-4	Categoria:Usuário es-4
Category:User es-N	Categoria:Usuário es
Category:User eu	Categoria:Usuários eu
Category:User fa	Categoria:Usuários fa
Category:User fa-1	Categoria:Usuário fa-1
Category:User fa-N	Categoria:Usuário fa
Category:User fi	Categoria:Usuários fi
Category:User fi-N	Categoria:Usuário fi
Category:User grc	Categoria:Usuários grc
Category:User grc-1	Categoria:Usuário grc-1
Category:User gsw	Categoria:Usuários gsw
Category:User he	Categoria:Usuários he
Category:User he-1	Categoria:Usuário he-1
Category:User he-2	Categoria:Usuário he-2
Category:User hr-1	Categoria:Usuário hr-1
Category:User hu	Categoria:Usuários hu
Category:User id-3	Categoria:Usuário id-3
Category:User io	Categoria:Usuários io
Category:User io-3	Categoria:Usuário io-3
Category:User it	Categoria:Usuários it
Category:User it-1	Categoria:Usuário it-1
Category:User ja-1	Categoria:Usuário ja-1
Template:Infobox settlement/lengthdisp	Predefinição:Lengthdisp
Category:User tr	Categoria:Usuários tr
Category:User tr-N	Categoria:Usuário tr
Template:Spaces	Predefinição:Espaços
Template:Country data United States	Predefinição:Country data Estados Unidos
Ikhalenda yesiXhosa	Calendário xhosa
Template:Refbegin	Predefinição:Refbegin
Template:Citation/core	Predefinição:Citation/core
U-Ngubengcuka	Ngubengcuka
E-Paradise Cay	Paradise Cay (Califórnia)
Umnqathe	Cenoura
Template:Location map Indonesia	Predefinição:Mapa de localização/Indonésia (províncias)
Category:Province templates	Categoria:!Predefinições sobre províncias
Template:Coord/prec dec	Predefinição:Coord/prec dec
Template:Flag	Predefinição:Flag
Template:Country data Texas	Predefinição:Country data Texas
Trojany	Trojany
Template:Getalias	Predefinição:Getalias
Category:IDolophu	Categoria:Cidades
Template:Coord/display/title	Predefinição:Coord/display/title
Template:Coord/input/ERROR	Predefinição:Coord/input/ERROR
Category:User en-1	Categoria:Usuário en-1
Category:User de-1	Categoria:Usuário de-1
Category:User da-N	Categoria:Usuário da
Template:Coord/negzeropad	Predefinição:Coord/negzeropad
Template:Location map~	Predefinição:Mapa de localização~
Template:Location map+	Predefinição:Location map+
Wikipedia:VisualEditor	Wikipédia:Editor Visual
IHanoveri	Hanover
Module:Citation/CS1/Whitelist	Módulo:Citation/CS1/Whitelist
Template:Location map/decdeg	Predefinição:Mapa de localização/decdeg
Template:Documentation/docspace	Predefinição:Documentação/docspace
Template:Infobox settlement/areadisp	Predefinição:Areadisp
Wikipedia Zero	Wikipedia Zero
Template:Style/IPA	Predefinição:Style/IPA
Template:Style/yid	Predefinição:Style/yid
Template:Tld	Predefinição:Tld
Module:Yesno	Módulo:Yesno
Module:Category handler	Módulo:Category handler
Module:Arguments	Módulo:Arguments
Special:RecentChanges	Especial:Mudanças recentes
Module:Citation/CS1	Módulo:Citation/CS1
Module:Citation/CS1/Configuration	Módulo:Citation/CS1/Configuration
Module:HtmlBuilder	Módulo:HtmlBuilder
Module:String	Módulo:String
Module:Math	Módulo:Math
Module:InfoboxImage	Módulo:InfoboxImage
Module:Infobox	Módulo:Infobox
Module:Namespace detect/data	Módulo:Namespace detect/data
Module:Namespace detect/config	Módulo:Namespace detect/config
Industrial and Mining Water Research Unit	Industrial and Mining Water Research Unit (IMWaRU)
