Aprika	África
Miyerkules	Quarta-feira
Huwebes	Quinta-feira
Biyernes	Sexta-feira
Sabado	Sábado
Linggo (araw)	Domingo
Leon	Leão
Pransiya	França
Esperanto	Esperanto
Aso	Canis lupus familiaris
United Kingdom	Reino Unido
Pusa	Gato
Tsina	República Popular da China
Nyan Cat	Nyan Cat
Wikang Pranses	Língua francesa
Wiktionary	Wikcionário
Isda	Peixe
Inuming alkohol	Bebida alcoólica
Brazil	Brasil
Alkohol	Álcool
François Hollande	François Hollande
Rusya	Rússia
Cetacea	Cetáceos
Parisukat	Quadrado
Dagat	Mar
Dagat Itim	Mar Negro
Pi	Pi
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
Québec	Quebec
Pasta	Massa alimentícia
Boeing 747	Boeing 747
Pundasyong Wikimedia	Wikimedia
Jimmy Wales	Jimmy Wales
Alemanya	Alemanha
Belarus	Bielorrússia
Wikang Aleman	Língua alemã
Iceland	Islândia
Diyos	Deus
Estonia	Estónia
David Cameron	David Cameron
Saturno (planeta)	Saturno (planeta)
Tsokolate	Chocolate
Eroplano	Avião
Digmaan	Guerra
1 (bilang)	Um
2 (bilang)	Dois
3 (bilang)	Três
4 (bilang)	Quatro
5 (bilang)	Cinco
0 (bilang)	0 (número)
Kawalang hangganan	Infinito
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Parihaba	Retângulo
Latbiya	Letónia
Ukraine	Ucrânia
Republikang Tseko	República Checa
Eslobakya	Eslováquia
Eslobenya	Eslovénia
Vilna	Vilnius
Moldavia	Moldávia
Romania	Roménia
Bulgarya	Bulgária
Roma	Roma
Republika ng Macedonia	República da Macedónia
Albanya	Albânia
Greenland	Gronelândia
Kroasya	Croácia
Bosnia at Herzegovina	Bósnia e Herzegovina
Aserbayan	Azerbaijão
Andorra	Andorra
Tsipre	Chipre
Georgia (bansa)	Geórgia
Valonia	Valônia
Kazakhstan	Cazaquistão
Malta	Malta
Flandes	Flandres
Monako	Mónaco
Montenegro	Montenegro
Lungsod ng Vaticano	Vaticano
San Marino	San Marino
Lungsod ng Bruselas	Cidade de Bruxelas
Kuba	Cuba
Belise	Belize
Toreng Eiffel	Torre Eiffel
Barbados	Barbados
Tipaan (ng kompyuter)	Teclado (informática)
Java (wikang pamprograma)	Java (linguagem de programação)
Indonesia	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Wikang Turko	Língua turca
South Africa	África do Sul
Linkin Park	Linkin Park
Algeria	Argélia
Uzbekistan	Uzbequistão
Taskent	Tashkent
Varsovia	Varsóvia
Paligsahang Pang-awitin ng Eurovision	Festival Eurovisão da Canção
Modena (lungsod)	Módena
Alak	Vinho
Tubig	Água
Katad	Couro
Kahoy	Madeira
Telebisyon	Televisão
Pornograpiya	Pornografia
Claude Monet	Claude Monet
Chile	Chile
Hesus	Jesus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileu Galilei
Merkuryo (planeta)	Mercúrio (planeta)
Kasaysayan	História
Apple Inc.	Apple
Benus (planeta)	Vénus (planeta)
Wika	Linguagem
Pag-ibig	Amor
Diktadura	Ditadura
Galaksiya	Galáxia
Hupiter (planeta)	Júpiter (planeta)
Daang Magatas	Via Láctea
Big Bang	Big Bang
Urano	Urano (planeta)
Bretanya	Bretanha
Nicolas Sarkozy	Nicolas Sarkozy
Neptuno	Netuno (planeta)
Astronomiya	Astronomia
Singapore	Singapura
Agham	Ciência
Kosmolohiya	Cosmologia
Pluton (astronomiya)	Plutão
Montréal, Québec	Montreal
Malayang sopwer	Software livre
Kinabukasan	Futuro
Maria (ina ni Hesus)	Maria (mãe de Jesus)
Louis IX ng Pransiya	Luís IX de França
Liechtenstein	Liechtenstein
Palakasan	Desporto
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Unang Digmaang Pandaigdig	Primeira Guerra Mundial
Ikalawang Digmaang Pandaigdig	Segunda Guerra Mundial
Cologne	Colônia (Alemanha)
Korupsiyon	Corrupção
Augusto Pinochet	Augusto Pinochet
Yanka Kupala	Yanka Kupala
Ubuntu	Ubuntu
Skopje	Escópia
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Estetino
Metrolohiya	Metrologia
Matematika	Matemática
U2	U2
Wikang Latin	Língua latina
Barein	Bahrein
Armenya	Arménia
Kuneiporme	Escrita cuneiforme
Higgs boson	Bóson de Higgs
Serbiya	Sérvia
Buwan (astronomiya)	Lua
Istanbul	Istambul
Linda Lovelace	Linda Lovelace
Australya	Austrália
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiyolohiya	Exobiologia
Pisika	Física
Arhentina	Argentina
Telekomunikasyon	Telecomunicações
Peru	Peru
Biyolohiya	Biologia
UFO	Objeto voador não identificado
Hilagang Korea	Coreia do Norte
Kambodya	Camboja
Koran	Alcorão
Dinosauro	Dinossauros
Soolohiya	Zoologia
Islam	Islão
Peras	Pera
Liubliana	Liubliana
Botanika	Botânica
Lech Wałęsa	Lech Wałęsa
Gulong	Roda
Isip	Mente
Kapayapaan	Paz
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Unyong Europeo	União Europeia
Plovdiv	Plovdiv
Star Wars	Star Wars
World Wide Web	World Wide Web
Babae	Mulher
Sofia	Sófia
Akwedukto	Aqueduto
Ñ	Ñ
Don Quixote	Dom Quixote
Panulaan	Poesia
Birus ng kompyuter	Vírus de computador
Ngiti	Riso
Lungsod ng Milano	Milão
Kaibigan	Amizade
Alaala	Memória
Arthur Rimbaud	Arthur Rimbaud
Lungsod ng Turino	Turim
Ipot	Fezes
Butas ng puwit	Ânus
Kili-kili	Axila
Lemon	Limão
Saging	Banana
Émile Zola	Émile Zola
666	666
Bulaklak	Flor
Googol	Googol
Bambang ng Marianas	Fossa das Marianas
Bundok Everest	Monte Everest
Anatomiya	Anatomia
Lungsod	Cidade
Napoleon I ng Pransiya	Napoleão Bonaparte
Pisyolohiya	Fisiologia
Bituin	Estrela
Vesubio	Vesúvio
Araw (astronomiya)	Sol
Louis Pasteur	Louis Pasteur
Sinag-taon	Ano-luz
Victor Hugo	Victor Hugo
Oceania	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletiks	Atletismo
Sistemang Pang-araw	Sistema Solar
Dagat Baltiko	Mar Báltico
Champs-Élysées	Champs-Élysées
Ngipin	Dente
Idrohino	Hidrogénio
Helyo	Hélio
Impiyerno	Inferno
Wikimedia Commons	Wikimedia Commons
Purgatoryo	Purgatório
Angela Merkel	Angela Merkel
Lityo	Lítio
Berilyo	Berílio
Palakas-tinig	Altifalante
Aklat	Livro
Araw (panahon)	Dia
Silangang Timor	Timor-Leste
Taon	Ano
Daang taon	Século
Canegrate	Canegrate
Ilog Rin	Reno
Oslo	Oslo
Undas	Dia de Todos-os-Santos
Itim na butas	Buraco negro
Seres (astronomiya)	Ceres (planeta anão)
Lisboa	Lisboa
Ichiro Suzuki	Ichiro Suzuki
Haumea (astronomiya)	Haumea
Rodano (ilog)	Rio Ródano
Makemake (astronomiya)	Makemake
Michael Bloomberg	Michael Bloomberg
Gawaing seksuwal ng tao	Comportamento sexual humano
Kateri Tekakwitha	Kateri Tekakwitha
Eris (astronomiya)	Éris (planeta anão)
Dubai	Dubai
Lionel Messi	Lionel Messi
Lungsod ng Padua	Pádua
Boron	Boro
Nicolaus Copernicus	Nicolau Copérnico
Karbon	Carbono
Ilog Volga	Rio Volga
Nitroheno	Azoto
Lungsod ng Bergamo	Bérgamo
Oksiheno	Oxigénio
Planeta	Planeta
Cleopatra VII ng Ehipto	Cleópatra
Tugtugin	Música
Lungsod ng Venezia	Veneza
Naruto	Naruto
Mosku	Moscovo
Plurina	Flúor
Wikang Italyano	Língua italiana
Tsiwawa	Chihuahua (cão)
Neon	Néon
Chihuahua	Chihuahua
San Petersburgo	São Petersburgo
Chad	Chade
Sodyo	Sódio
Magnesyo	Magnésio
Neon Genesis Evangelion (anime)	Neon Genesis Evangelion
Aluminyo	Alumínio
New Zealand	Nova Zelândia
India	Índia
Silikon	Silício
Pransiyo	Frâncio
Tuvalu	Tuvalu
One Piece	One Piece
Posporo (elemento)	Fósforo
André-Marie Ampère	André-Marie Ampère
Tuluyan	Prosa
Bakal	Ferro
Tonga	Tonga
Alessandro Volta	Alessandro Volta
Asupre	Enxofre
Samoa	Samoa
Kapuluang Salomon	Ilhas Salomão
Vanuatu	Vanuatu
Molière	Molière
Kloro	Cloro
Papua New Guinea	Papua-Nova Guiné
William Shakespeare	William Shakespeare
Pabula	Fábula
Palau	Palau
Argon	Árgon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Kuwentong bibit	Contos de fadas
Mga Estadong Pederado ng Mikronesya	Estados Federados da Micronésia
Potasyo	Potássio
Kalsiyo	Cálcio
Tingga	Chumbo
Kapuluang Marshall	Ilhas Marshall
Kiribati	Kiribati
Mongolia	Mongólia
Fiji	Fiji
Eskandiyo	Escândio
Stevie Wonder	Stevie Wonder
Titanyo	Titânio
Venezuela	Venezuela
Ahedres	Xadrez
Genghis Khan	Gengis Khan
Banadyo	Vanádio
Maine	Maine
Kromyo	Crômio
Kabayo	Equus ferus caballus
Amsterdam	Amesterdão
Sandata	Arma
Hayop	Animalia
Surinam	Suriname
Mangganeso	Manganês
Paraguay	Paraguai
Guyana	Guiana
Sining	Arte
Ecuador	Equador
Colombia	Colômbia
Kobalto	Cobalto
Wolpramyo	Tungstênio
Budismo	Budismo
Bolivia	Bolívia
Tanso	Cobre
Trinidad at Tobago	Trinidad e Tobago
Halaman	Plantae
San Vicente at ang Kagranadinahan	São Vicente e Granadinas
Sink	Zinco
Bagong Hampshire	Nova Hampshire
Santa Lucia (bansa)	Santa Lúcia
Leonardo da Vinci	Leonardo da Vinci
San Cristobal at Niyebes	São Cristóvão e Nevis
Fungus	Fungi
Hamayka	Jamaica
Grenada	Granada (país)
Massachusetts	Massachusetts
Guwatemala	Guatemala
Google Chrome	Google Chrome
Bahamas	Bahamas
Connecticut	Connecticut
Manok	Gallus gallus domesticus
Antigua at Barbuda	Antígua e Barbuda
Hawaii	Havaí
Honduras	Honduras
Dominika	Dominica
Hersey	Jersey
Republikang Dominikano	República Dominicana
Baboy	Sus domesticus
Karagatang Artiko	Oceano Ártico
Hayti	Haiti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
El Salvador	El Salvador
Iran	Irão
Gago	Estupidez
Iraq	Iraque
Alaska	Alasca
Karunungan	Sapiência
Costa Rica	Costa Rica
Israel	Israel
Panama	Panamá
Yemen	Iémen
Birus	Vírus
Wikang Polako	Língua polaca
Hordan	Jordânia
Nicaragua	Nicarágua
Florida	Flórida
Kyrgyzstan	Quirguistão
Arisona	Arizona
Kuwait	Kuwait
Laos (bansa)	Laos
Lebanon	Líbano
Oregon	Oregon
Maldives	Maldivas
Kaamerikahan	América
Utah	Utah
Baka	Bos taurus
Malaysia	Malásia
Myanmar	Myanmar
Nepal	Nepal
Oman	Omã
Pakistan	Paquistão
James Bond	James Bond
Qatar	Catar
Tenis	Ténis
Saudi Arabia	Arábia Saudita
Sri Lanka	Sri Lanka
Joseph Stalin	Josef Stalin
Syria	Síria
Platon	Platão
Tayikistan	Tajiquistão
Pokémon	Pokémon
Republika ng Tsina	República da China
YouTube	YouTube
Aristoteles	Aristóteles
Taylandiya	Tailândia
Tren	Trem
Arseniko	Arsênio
Radyo	Rádio (telecomunicações)
Meryl Streep	Meryl Streep
Turkmenistan	Turquemenistão
Abakan	Abakan
United Arab Emirates	Emirados Árabes Unidos
Bromina	Bromo
Platino	Platina
Vietnam	Vietname
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Timog Korea	Coreia do Sul
The Simpsons	Os Simpsons
Yekaterinburg	Ecaterimburgo
Kripton	Crípton
Afghanistan	Afeganistão
Gangnam Style	Gangnam Style
Nizhny Novgorod	Níjni Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Rubidyo	Rubídio
Ginto	Ouro
Omsk	Omsk
Agusan ng Suez	Canal de Suez
Kazan	Cazã
Bangladesh	Bangladesh
Bleach	Bleach (mangá)
Franz Kafka	Franz Kafka
Chelyabinsk	Cheliabinsk
Rostov-on-Don	Rostov do Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali (bansa)	Mali
Socrates	Sócrates
Volgograd	Volgogrado
Angola	Angola
Perm	Perm
Bhutan	Butão
Twitter	Twitter
Krasnoyarsk	Krasnoyarsk
Brunei	Brunei
Tanzania	Tanzânia
Asoge	Mercúrio (elemento químico)
Roald Amundsen	Roald Amundsen
Pilipinas	Filipinas
Republika ng Gitnang Aprika	República Centro-Africana
Uzumaki Naruto	Naruto Uzumaki
Polong Timog	Polo Sul
Hilagang Polo	Polo Norte
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estronsiyo	Estrôncio
Pedro I ng Brasil	Pedro I do Brasil
Itriyo	Ítrio
Bismuto	Bismuto
Dilaw	Amarelo
Mekaniks na kwantum	Mecânica quântica
Togo	Togo
Tunisya	Tunísia
John Bardeen	John Bardeen
Sambya	Zâmbia
Zimbabwe	Zimbabwe
Beijing	Pequim
Timog Sudan	Sudão do Sul
Vladivostok	Vladivostok
Tuva	Tuva
Benin	Benim
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Comores
Republika ng Congo	República do Congo
Demokratikong Republika ng Congo	República Democrática do Congo
San Antonio, Texas	San Antonio
Tomsk	Tomsk
Djibouti	Djibouti
Meme	Meme
Polonium	Polônio
Bavaria	Baviera
Gineang Ekwatoriyal	Guiné Equatorial
Eritrea	Eritreia
New Delhi	Nova Deli
Papa Juan Pablo II	Papa João Paulo II
Fëdor Dostoevskij	Fiódor Dostoiévski
Tangway ng Kamchatka	Península de Kamchatka
Tiflis	Tbilisi
Astatino	Ástato
Gabon	Gabão
Mahatma Gandhi	Mahatma Gandhi
Komiks	Banda desenhada
Ang Gambiya	Gâmbia
Ginea	Guiné
Ginea-Bissau	Guiné-Bissau
Côte d'Ivoire	Costa do Marfim
Cameroon	Camarões
Kabo Berde	Cabo Verde
Lesoto	Lesoto
Liberia	Libéria
Libya	Líbia
Aachen	Aquisgrano
Madagascar	Madagáscar
Malawi	Malawi
Stuttgart	Estugarda
Mauritania	Mauritânia
Mauritius	Maurícia
Maruekos	Marrocos
Mozambique	Moçambique
Namibia	Namíbia
Niger	Níger
Nigerya	Nigéria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
Sirkonyo	Zircônio
Santo Tome at Prinsipe	São Tomé e Príncipe
Senegal	Senegal
Seychelles	Seicheles
Carl Linnaeus	Carolus Linnaeus
Sierra Leone	Serra Leoa
Somalia	Somália
Julio Cesar	Júlio César
Sudan	Sudão
Swaziland	Suazilândia
Bahaghari	Arco-íris
Metabolismo	Metabolismo
Sistemang immuno	Sistema imunitário
Gujarat	Gujarate
Ebolusyon	Evolução
Mga Nagkakaisang Bansa	Organização das Nações Unidas
Dante Alighieri	Dante Alighieri
Heolohiya	Geologia
Ahmedabad	Ahmedabad
Heograpiya	Geografia
Puso (anatomiya)	Coração
Utak	Cérebro
Balat (anatomiya)	Pele
Kulay	Cor
Pangngalan	Substantivo
Praga	Praga
Bughaw	Azul
Pilak	Prata
Star Trek	Star Trek
Lata	Estanho
Uranyo	Urânio
Antimonyo	Antimônio
Plutonyo	Plutónio
Iodine	Iodo
Henon (elemento)	Xenônio
Anime	Anime
Sesyo	Césio
Karga ng kuryente	Carga elétrica
Baryo (elemento)	Bário
Aktinyo	Actínio
Bill Clinton	Bill Clinton
Radyo (elemento)	Rádio (elemento químico)
Radon	Rádon
Indira Gandhi	Indira Gandhi
Merkuryo (mitolohiya)	Mercúrio (mitologia)
Busto Arsizio	Busto Arsizio
Mumbai	Bombaim
Andhra Pradesh	Andra Pradexe
Michigan	Michigan
Goa	Goa
Borgonya	Borgonha
Maurice Ravel	Maurice Ravel
Aquitania	Aquitânia
Puerto Rico	Porto Rico
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Hilagang Renania-Westfalia	Renânia do Norte-Vestfália
Hesse	Hesse
Sahonya	Saxônia
John Lennon	John Lennon
Illinois	Illinois
Hilagang Dakota	Dakota do Norte
Brandeburgo	Brandemburgo
Lombardy	Lombardia
Timog Dakota	Dakota do Sul
Montana	Montana
Wyoming	Wyoming
Piemonte	Piemonte
Herusalem	Jerusalém
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lambak ng Aosta	Vale de Aosta
Washington	Washington
Nebada	Nevada
Trentino-Alto Adige/Südtirol	Trentino-Alto Ádige
Karagatang Indiyano	Oceano Índico
Veneto	Vêneto
Kosovo	Kosovo
Dagat Karibe	Mar do Caribe
Boryo	Bóhrio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligúria
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Colorado	Colorado
Frederic Francois Chopin	Frédéric Chopin
Minatamis (prutas)	Doce (alimento)
Tuskanya	Toscana
Marche	Marcas
Umbria	Úmbria
Kategorya:Mga nilalaman	Categoria:Conteúdo
Lazio	Lácio
Abruzzo	Abruzos
Alpes	Alpes
Jansenismo	Jansenismo
Kabundukang Carpatos	Cárpatos
Blaise Pascal	Blaise Pascal
Dama	Damas
Gante	Gante
Chicago	Chicago
The Beatles	The Beatles
Ununquadium	Fleróvio
Ununoctium	Ununóctio
Como (lungsod)	Como
Taglamig	Inverno
Tagsibol	Primavera
Tag-init	Verão
Taglagas	Outono
Ekinoks	Equinócio
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Wikang Kastila	Língua castelhana
Montevideo	Montevidéu
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Tolyatti	Togliatti
Pittsburgh, Pennsylvania	Pittsburgh
Opera	Ópera
Philadelphia, Pennsylvania	Filadélfia
Kolkata	Calcutá
Chennai	Chennai
Delhi	Deli
Dhaka	Daca
Bangalore	Bangalore
West Bengal	Bengala Ocidental
Gagamba	Aranha
Arachnida	Aracnídeos
Arthropoda	Artrópode
Hyderabad, Andhra Pradesh	Hyderabad (Andhra Pradesh)
Islamabad	Islamabad
Bungang-kahoy	Fruto
Unggoy	Macaco
Salapi	Dinheiro
Virginia (estado)	Virgínia
West Virginia	Virgínia Ocidental
New York	Nova Iorque (estado)
Seryo	Cério
Rhode Island	Rhode Island
Neodimyo	Neodímio
Kulisap	Insetos
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Lenin
Ohio	Ohio
Vergilius	Virgílio
Niccolò Machiavelli	Nicolau Maquiavel
Pennsylvania	Pensilvânia
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Cesar Augusto	Augusto
Microsoft Windows	Microsoft Windows
Tiberius	Tibério
New Jersey	Nova Jérsia
Caligula	Calígula
Gibraltar	Gibraltar
Claudius	Cláudio
Wikang Pinlandes	Língua finlandesa
Nero	Nero
Galba	Galba
Indiyana (Estado ng Estados Unidos)	Indiana
Otho	Otão
Vitellius	Vitélio
Nokia	Nokia
Vespasian	Vespasiano
Kotse	Automóvel
Titus	Tito (imperador)
Domitian	Domiciano
Nerva	Nerva
Trajan	Trajano
Roger Federer	Roger Federer
Hadrian	Adriano
Georgia	Geórgia (Estados Unidos)
Antoninus Pius	Antonino Pio
Marcus Aurelius	Marco Aurélio
Lucius Verus	Lúcio Vero
Commodus	Cómodo
Lungsod ng Zagreb	Zagreb
Pertinax	Pertinax
Rajasthan	Rajastão
Campania	Campânia
Texas	Texas
Didius Julianus	Dídio Juliano
Septimius Severus	Septímio Severo
Molise	Molise
Caracalla	Caracala
Apulia	Apúlia
Lungsod ng Genova	Génova
Bruno Mars	Bruno Mars
Bundok Pinatubo	Pinatubo
Basilicata	Basilicata
Hilagang Karolina	Carolina do Norte
South Carolina	Carolina do Sul
Calabria	Calábria
Sicilia	Sicília
Maynila	Manila
Sardinia	Sardenha
Ferdinand Marcos	Ferdinando Marcos
Benigno Aquino III	Noynoy Aquino
Lungsod ng Cebu	Cebu (cidade)
Ilog Sena	Sena
Lungsod ng Dabaw	Davao
Lungsod Quezon	Cidade Quezon
Kalookan	Caloocan
Burdeos	Bordéus
Corazon Aquino	Corazón Aquino
Lungsod ng Kabite	Cavite (cidade)
Bulkang Mayon	Vulcão Mayon
Lungsod ng Buenos Aires	Buenos Aires
Lungsod ng Mehiko	Cidade do México
Tokyo	Tóquio
Lungsod ng Barcelona	Barcelona
Pinya	Ananás
Misisipi	Mississippi
Fernando de Magallanes	Fernão de Magalhães
Ilog Mississippi	Rio Mississippi
José Rizal	José Rizal
Manuel L. Quezon	Manuel Quezón
Sikkim	Siquim
Makati	Makati
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Nagpur	Nagpur
Janis Joplin	Janis Joplin
Abidjan	Abidjã
Abu Dhabi	Abu Dhabi
Astana	Astana
Bagong Mehiko	Novo México
Ramesses II	Ramsés II
Atenas	Atenas
Rotonda	Rotatória
Ramesses I	Ramsés I
Minesota	Minnesota
Ramesses III	Ramsés III
Baghdad	Bagdá
Ramesses IV	Ramsés IV
Caracas	Caracas
Pandaigdigang Batayan ng Oras	Tempo Universal Coordenado
Wisconsin	Wisconsin
Pune	Pune
Cicero	Cícero
Cyndi Lauper	Cyndi Lauper
Ayowa	Iowa
Nebraska	Nebraska
Lungsod ng Guwatemala	Cidade da Guatemala
Kansas	Kansas
Havana	Havana
Tabako	Tabaco
Wikang Hindi	Língua hindi
Internet Explorer	Internet Explorer
Sigarilyo	Cigarro
Missouri	Missouri
George Ohm	Georg Simon Ohm
Louisiana	Luisiana
Luigi Galvani	Luigi Galvani
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Charles Lindbergh	Charles Lindbergh
Lungsod ng Valenzuela	Valenzuela (Filipinas)
Lungsod ng Pasig	Pasig
Lungsod ng Zamboanga	Zamboanga
Édith Piaf	Édith Piaf
Antipolo	Antipolo
Taguig	Taguig
Ilog Elba	Rio Elba
Cagayan de Oro	Cagayan de Oro
Oklahoma	Oklahoma
Danubio	Rio Danúbio
Dagat Hilaga	Mar do Norte
Moscow Oblast	Oblast de Moscou
Serge Gainsbourg	Serge Gainsbourg
Balanga	Balanga
Mainz	Mainz
Wiesbaden	Wiesbaden
Munich	Munique
Samara Oblast	Oblast de Samara
Dresde	Dresden
Balibol (palakasan)	Voleibol
Vienna	Viena
Madonna	Madonna
Copenhague	Copenhaga
Kaliningrad Oblast	Oblast de Kaliningrado
Macrinus	Macrino
Estokolmo	Estocolmo
Lungsod ng Helsinki	Helsínquia
Murmansk Oblast	Oblast de Murmansk
Dublin	Dublin
Elagabalus	Heliogábalo
Murmansk	Murmansk
Reikiavik	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Alexandre Severo
Tallin	Tallinn
Riga	Riga
Maximinus Thrax	Maximino Trácio
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapeste
Gordian I	Gordiano I
Frankfurt	Frankfurt am Main
Pupienus	Pupieno
Breslavia	Breslávia
Gordian II	Gordiano II
Balbinus	Balbino
Prometyo	Promécio
Yunit na pang-astronomiya	Unidade astronômica
Gordian III	Gordiano III
Felipe ang Arabo	Filipe, o Árabe
Baguio	Baguio
Aceh	Achém
Kaliningrado	Kaliningrado
Decius (emperor)	Décio
Death Note	Death Note
Katolisismo	Catolicismo
Lungsod ng Luksemburgo	Luxemburgo (cidade)
Vaduz	Vaduz
Bibliya	Bíblia
San Marino, San Marino	San Marino (cidade)
Phnom Penh	Phnom Penh
Arkhangelsk	Arcangel
Lungsod ng Ho Chi Minh	Cidade de Ho Chi Minh
Iterbiyo	Itérbio
Hanoi	Hanói
Totoong Simbahan ni Hesus	Verdadeira Igreja de Jesus
Wikang Ingles	Língua inglesa
Bangkok	Banguecoque
Lungsod ng Andorra la Vella	Andorra-a-Velha
Kuala Lumpur	Kuala Lumpur
Taipei	Taipé
Amerisyo	Amerício
Odessa	Odessa
Arkhangelsk Oblast	Oblast de Arkhangelsk
Dong Hoi	Dong Hoi
Concepción, Tsile	Concepción (Chile)
Berkelyo	Berquélio
Diplomasya	Diplomacia
Petrozavodsk	Petrozavodsk
Lungsod ng Cagliari	Cagliari
Kiev	Kiev
Nobelyo	Nobélio
Lungsod ng Catania	Catânia
Ontario, Canada	Ontário
Republika ng Karelia	República da Carélia
Ottawa	Ottawa
Juba, Timog Sudan	Juba (Sudão do Sul)
Manitoba	Manitoba
Alberta	Alberta
Nova Scotia	Nova Escócia
Yerevan	Erevan
Vologda	Vologda
Końskowola	Końskowola
Hartum	Cartum
New Brunswick	Nova Brunswick
Formula One	Fórmula 1
British Columbia	Colúmbia Britânica
Prince Edward Island	Ilha do Príncipe Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
Dioksidong karbono	Dióxido de carbono
2013	2013
2014	2014
2015	2015
Newfoundland at Labrador	Terra Nova e Labrador
2008	2008
Hilagang Kanlurang mga Nasasakupan	Territórios do Noroeste
Yukon	Yukon
