Aprika	África
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Benedict XVI	Papa Bento XVI
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Palermo	Palermo
Soka	Futebol
1963	1963
1962	1962
Madrid	Madrid
Michael Jackson	Michael Jackson
Göttingen	Gotinga
Kambra	Camberra
Ret (kala)	Vermelho
1961	1961
Dakar	Dakar
Grup:Ol templet bilong tokples	Categoria:!Predefinições Wikipédia
1960	1960
Freetown	Freetown
Wes Papua	Nova Guiné Ocidental
Skul	Escola
Osasku	Osasco
Ples balus Dong Hoi	Aeroporto de Dong Hoi
Kuritiba	Curitiba
Jonathan Winters	Jonathan Winters
Sean Connery	Sean Connery
Kongzi	Confúcio
Corbin Bleu	Corbin Bleu
Grup:Ol matematik	Categoria:Matemática
Templet:Country data Iran	Predefinição:Country data Irã
Euro	Euro
Jason Lee	Jason Lee
Lotu Kristen	Cristianismo
Kontinen	Continente
Kapitol	Capital
Monzón	Monzón
Mun (taim)	Mês
1948	1948
1949	1949
Almazán	Almazán
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Tokples Siapan	Língua japonesa
Ensaiklopedia	Enciclopédia
Fran pes	Wikipédia:Página principal
1959	1959
1957	1957
Frank Lloyd Wright	Frank Lloyd Wright
Betlehem	Belém (Palestina)
Pilosopi	Filosofia
Grup:All articles proposed for deletion	Categoria:!Páginas para eliminação rápida
Piano	Piano
Ti	Chá
Hebe Camargo	Hebe Camargo
Grup:Estronomi	Categoria:Astronomia
Carcassonne	Carcassonne
Sahara	Deserto do Saara
1801	1801
1802	1802
1803	1803
1804	1804
1805	1805
1806	1806
1807	1807
1808	1808
1809	1809
1810	1810
1811	1811
1812	1812
1813	1813
1814	1814
1815	1815
1816	1816
1817	1817
1818	1818
1819	1819
1820	1820
1821	1821
1822	1822
1823	1823
1824	1824
1825	1825
1826	1826
1827	1827
Buda	Buda
Politikis	Política
Gavman	Governo
Kantri	Estado
Kamel	Camelo
1828	1828
1829	1829
1830	1830
1831	1831
1832	1832
1833	1833
1834	1834
1835	1835
1836	1836
1837	1837
1838	1838
1839	1839
1840	1840
1841	1841
1842	1842
1843	1843
1844	1844
Tok Rasia	Língua russa
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	Declaração Universal dos Direitos Humanos
Tok Balgeria	Língua búlgara
Nelson Mandela	Nelson Mandela
Lajik	Lógica
Grama	Gramática
Ikonimikis	Economia
Yen bilong Siapan	Iene
Stadi bilong pasin bilong ol tokples	Linguística
Hangul	Hangul
Grup:Pranis	Categoria:França
@@@u0026Weird Al@@@u0026 Yankovic	@@@u0026Weird Al@@@u0026 Yankovic
Alexander Makedon	Alexandre, o Grande
Edukesen	Educação
Famili	Família
Kopi	Café
Sol	Seul
Tokples long Albenia	Língua albanesa
Valencia	Valência (Espanha)
Tok Denmak	Língua dinamarquesa
Tok Nowe	Língua norueguesa
Tok Slovakia	Língua eslovaca
Tok Hangari	Língua húngara
Tok Lituwenia	Língua lituana
Tok Belaras	Língua bielorrussa
Tok Gris	Língua grega
Tok Aialan	Língua irlandesa
Imel	E-mail
Tokples Pesia	Língua persa
Lotu	Religião
Tok Koria	Língua coreana
Tok Vietnam	Língua vietnamita
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Judaisim	Judaísmo
Immanuel Kant	Immanuel Kant
Saikolosi	Psicologia
Sidarta	Sidarta Gautama
Martin Luther	Martinho Lutero
Elisabet II	Isabel II do Reino Unido
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
Tebol bilong ol elemen	Tabela periódica
Diwai	Árvore
Kubuntu	Kubuntu
Grup:Romenia	Categoria:Roménia
Egrikalsa	Agricultura
Elektroniks	Eletrônica
Ol kantri	Lista de Estados soberanos
Kensa	Cancro
Soria	Sória
Ponferrada	Ponferrada
Templet:Location map Iceland	Predefinição:Mapa de localização/Islândia
Villarreal	Vila-real
Templet:Location map Samoa	Predefinição:Mapa de localização/Samoa
Mislata	Mislata
Kokonas	Coqueiro
Ferdinand de Saussure	Ferdinand de Saussure
Kyushu	Kyushu
Honshu	Honshu
Shikoku	Shikoku
Ista Ailan	Ilha de Páscoa
Ethnologue	Ethnologue
Bensheim	Bensheim
Queen	Queen
Freddie Mercury	Freddie Mercury
Templet:Link FA	Predefinição:Link FA
Wol	Mundo
Vemont	Vermont
Koria	Coreia
1925	1925
1927	1927
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pyongyang
Nupela Testamen	Novo Testamento
Nha Trang	Nha Trang
Maya Angelou	Maya Angelou
Pop	Papa
Rafael Correa	Rafael Correa
Busares	Bucareste
1928	1928
Olpela Testamen	Antigo Testamento
Indo-Yuropien famili bilong tokples	Línguas indo-europeias
Breinigerberg	Breinigerberg
Gyeonggi	Gyeonggi
Ol Tokples Siamanik	Línguas germânicas
Sosiolosi	Sociologia
Taiwan	Ilha Formosa
Bahai	Fé bahá'í
Aialan	Irlanda (ilha)
7	7
Wik	Semana
Antropolosi	Antropologia
Ailan	Ilha
Moshchena	Mostchena
Akiolosi	Arqueologia
George H. W. Bush	George H. W. Bush
Paltoga	Paltoga
Quang Binh Provins	Quang Binh
Protestan	Protestantismo
Bryan Cranston	Bryan Cranston
Bikpela Briten	Grã-Bretanha
Kadinol daireksion	Ponto cardeal
Lila Downs	Lila Downs
Famili bilong tokples	Família linguística
Pichilemu	Pichilemu
Pukpuk	Crocodylia
Amerika	Amerika
Cabañas Raras	Cabañas Raras
Ardón (León)	Ardón
Algadefe	Algadefe
Acebedo	Acebedo
Los Barrios de Luna	Los Barrios de Luna
Fresno de la Vega	Fresno de la Vega
La Antigua (Spen)	La Antigua
Almanza	Almanza
El Burgo Ranero	El Burgo Ranero
Boca de Huérgano	Boca de Huérgano
Bustillo del Páramo	Bustillo del Páramo
Boñar	Boñar
Alija del Infantado	Alija del Infantado
Brazuelo	Brazuelo
Berlanga del Bierzo	Berlanga del Bierzo
Cabreros del Río	Cabreros del Río
Bercianos del Real Camino	Bercianos del Real Camino
Burón (León)	Burón
Bercianos del Páramo	Bercianos del Páramo
Kokomo	Calau
Danny DeVito	Danny DeVito
Jerry Springer	Jerry Springer
Sentrel Amerika	América Central
Kaunti	Condado
Ecser	Ecser
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Rouen	Ruão
Valery Leontiev	Valery Leontiev
Tok Hawai	Língua havaiana
Hiri Motu	Língua hiri motu
Niu Kaledonia	Nova Caledónia
Marlon Brando	Marlon Brando
Tok Pisin	Língua tok pisin
Mošovce	Mošovce
Ajetiv bilong nambawan kain	Adjetivo
Kristen Otodos	Igreja Ortodoxa
Ido	Língua ido
44 yia i go bipo Jisas	44 a.C.
Bislama	Língua bislamá
Hokkaido	Hokkaido
Charles Bronson	Charles Bronson
Borneo	Bornéu
Siligo	Siligo
Apia	Apia
Pot Mosbi	Port Moresby
.ru	.ru
.ad	.ad
Cork	Cork
Arancón	Arancón
.fi	.fi
.am	.am
.de	.de
.fr	.fr
Melanesia	Melanésia
.au	.au
.cz	.cz
Maket	Mercado
.at	.at
Pot Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
.us	.us
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Kaukau	Batata-doce
Yokohama	Yokohama
.al	.al
.az	.az
.ee	.ee
.bg	.bg
.jp	.jp
.it	.it
Lubuntu	Lubuntu
.dk	.dk
.ca	.ca
.ch	.ch
Maikroekonomiks	Macroeconomia
.be	.be
Ágreda	Ágreda
.by	.by
.fj	.fj
.cl	.cl
.is	.is
.lt	.lt
.pt	.pt
.bt	.bt
Hobat	Hobart
Niugini	Nova Guiné
.et	.et
.tv	.tv
.eg	.eg
23 yia i go bipo Jisas	23 a.C.
.se	.se
.cy	.cy
.kz	.kz
.hu	.hu
.ua	.ua
.mx	.mx
.kh	.kh
.no	.no
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
.sk	.sk
Julia Gillard	Julia Gillard
.to	.to
.lv	.lv
Saikoanalisis	Psicanálise
.kg	.kg
.mh	.mh
.kr	.kr
.ki	.ki
.tj	.tj
.kp	.kp
Frank Gorshin	Frank Gorshin
.ro	.ro
.vn	.vn
.nr	.nr
.ke	.ke
.vu	.vu
.na	.na
.ye	.ye
.ws	.ws
.sm	.sm
.tk	.tk
Kevin Rudd	Kevin Rudd
.pg	.pg
Plak bilong Siapan	Bandeira do Japão
Jim Morrison	Jim Morrison
Dan Castellaneta	Dan Castellaneta
Cubillos del Sil	Cubillos del Sil
Igüeña	Igüeña
Noceda del Bierzo	Noceda del Bierzo
Castropodame	Castropodame
Páramo del Sil	Páramo del Sil
Molinaseca	Molinaseca
Congosto	Congosto
Toreno	Toreno
Folgoso de la Ribera	Folgoso de la Ribera
.nu	.nu
Sancedo	Sancedo
The Doors	The Doors
Pécs	Pécs
Sios	Arquitetura religiosa
Plak bilong Pinlan	Bandeira da Finlândia
Templet:Commons category	Predefinição:Commonscat
Morgan Freeman	Morgan Freeman
Plak bilong Albenia	Bandeira da Albânia
Dire Straits	Dire Straits
Richard Attenborough	Richard Attenborough
Templet:Taxobox	Predefinição:Info/Taxonomia
Siete Aguas	Siete Aguas
Burjassot	Burjassot
El Royo	El Royo
János Áder	János Áder
Viktor Orbán	Viktor Orbán
Reyero	Reyero
La Ercina	La Ercina
Niu Briten	Nova Bretanha
La Robla	La Robla
Santa Colomba de Curueño	Santa Colomba de Curueño
Santa María del Monte de Cea	Santa María del Monte de Cea
San Cristóbal de la Polantera	San Cristóbal de la Polantera
Otto Sander	Otto Sander
Santa María del Páramo	Santa María del Páramo
Santa Elena de Jamuz	Santa Elena de Jamuz
San Justo de la Vega	San Justo de la Vega
Xubuntu	Xubuntu
Plak bilong Solomon Ailans	Bandeira das Ilhas Salomão
Nonvailens	Não violência
Debrecen	Debrecen
Plak bilong Kanada	Bandeira do Canadá
Quintana y Congosto	Quintana y Congosto
Matallana de Torío	Matallana de Torío
Harrison Ford	Harrison Ford
Plak bilong Andora	Bandeira de Andorra
Kimi ga Yo	Kimi ga Yo
Szeged	Szeged
Plak bilong Ostrelia	Bandeira da Austrália
Plak bilong Hangari	Bandeira da Hungria
Plak bilong Azerbaijan	Bandeira do Azerbaijão
Plak bilong Nowe	Bandeira da Noruega
Robin Williams	Robin Williams
Gary Oldman	Gary Oldman
Tauns long Burgos provins	Lista de municípios de Burgos
Ol taun bilong León provins	Lista de municípios de Leão
Tauns long Soria provins	Lista de municípios de Sória
Plak bilong Aislan	Bandeira da Islândia
Plak bilong Indonisia	Bandeira da Indonésia
Plak bilong Skotlan	Bandeira da Escócia
Miskolc	Miskolc
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Eli Wallach	Eli Wallach
Mickey Rooney	Mickey Rooney
Godelleta	Godelleta
Plak bilong Tuvalu	Bandeira de Tuvalu
Holly Hunter	Holly Hunter
Kristen	Cristão
Stet	Estado (subdivisão)
Meditesen	Meditação
James Garner	James Garner
Joey King	Joey King
Pacific Games	Jogos do Pacífico
Plak bilong Kiribas	Bandeira de Kiribati
Saut Ailan	Ilha Sul
Plak bilong Spen	Bandeira da Espanha
Dziecinów	Dziecinów (comuna de Otwock)
Haus bilong binen	Favo
Michael Caine	Michael Caine
Steve Irwin	Steve Irwin
Plak bilong Saut Koria	Bandeira da Coreia do Sul
Plak bilong Slovenia	Bandeira da Eslovénia
Plak bilong Romenia	Bandeira da Roménia
Grup:Manmeri bilong Hangari	Magiares
Dunedin	Dunedin
Kamikaze	Kamikaze
Lucillo	Lucillo
Cimanes de la Vega	Cimanes de la Vega
Cebrones del Río	Cebrones del Río
Quintana del Marco	Quintana del Marco
San Millán de los Caballeros	San Millán de los Caballeros
Cubillas de Rueda	Cubillas de Rueda
Cea (León)	Cea (León)
Garrafe de Torío	Garrafe de Torío
Santa María de Ordás	Santa María de Ordás
Cuadros	Cuadros
Llamas de la Ribera	Llamas de la Ribera
Riello	Riello
Palacios de la Valduerna	Palacios de la Valduerna
Castrocalbón	Castrocalbón
Carrocera	Carrocera
Murias de Paredes	Murias de Paredes
Rioseco de Tapia	Rioseco de Tapia
Santa Cristina de Valmadrigal	Santa Cristina de Valmadrigal
Grajal de Campos	Grajal de Campos
Santa María de la Isla	Santa María de la Isla
Campo de Villavidel	Campo de Villavidel
Crémenes	Crémenes
Cimanes del Tejar	Cimanes del Tejar
Castilfalé	Castilfalé
Quintana del Castillo	Quintana del Castillo
Campazas	Campazas
Pajares de los Oteros	Pajares de los Oteros
San Pedro Bercianos	San Pedro Bercianos
Santa Marina del Rey	Santa Marina del Rey
Cebanico	Cebanico
Gordaliza del Pino	Gordaliza del Pino
Castrillo de la Valduerna	Castrillo de la Valduerna
Pozuelo del Páramo	Pozuelo del Páramo
Prado de la Guzpeña	Prado de la Guzpeña
Matanza (León)	Matanza
Santa Colomba de Somoza	Santa Colomba de Somoza
Cubillas de los Oteros	Cubillas de los Oteros
Mansilla Mayor	Mansilla Mayor
Gordoncillo	Gordoncillo
San Esteban de Nogales	San Esteban de Nogales
Regueras de Arriba	Regueras de Arriba
Luyego	Luyego
San Emiliano	San Emiliano
Maraña	Maraña
Castrotierra de Valmadrigal	Castrotierra de Valmadrigal
Magaz de Cepeda	Magaz de Cepeda
Matadeón de los Oteros	Matadeón de los Oteros
Castrillo de Cabrera	Castrillo de Cabrera
Gusendos de los Oteros	Gusendos de los Oteros
Chozas de Abajo	Chozas de Abajo
Roperuelos del Páramo	Roperuelos del Páramo
Phu Quoc	Phú Quốc
Wikipedia:Save long senisim pes	Ajuda:Guia de edição/Formatação
Lệ Thủy	Lệ Thủy
Buai	Areca catechu
Brobergen	Brobergen
Daka	Piper betle
Klostu Tudak	Crepúsculo (filme)
Plak bilong Niu Silan	Bandeira da Nova Zelândia
Kaunti Cork	Condado de Cork
St. Peter's College, Auckland	St Peter's College, Auckland
Siaman Niugini	Nova Guiné Alemã
Behaviourisim	Behaviorismo
Samuel L. Jackson	Samuel L. Jackson
Caltojar	Caltojar
Berlanga de Duero	Berlanga de Duero
Kumul	Ave-do-paraíso
Christopher Lee	Christopher Lee
Helen Clark	Helen Clark
Lev Vygotsky	Lev Vygotsky
Plak bilong Fiji	Bandeira das Fiji
Plak bilong Papua Niugini	Bandeira da Papua-Nova Guiné
Plak bilong Nauru	Bandeira de Nauru
Plak bilong Vanuatu	Bandeira de Vanuatu
Plak bilong Wels	Bandeira do País de Gales
Mike Myers	Mike Myers
Zelda Williams	Zelda Williams
Plak bilong Tonga	Bandeira de Tonga
Plak bilong Samoa	Bandeira de Samoa
Plak bilong Palau	Bandeira de Palau
Christopher Plummer	Christopher Plummer
E pluribus unum	E pluribus unum
Expo 2010	Expo 2010
James Woods	James Woods
Nancy Reagan	Nancy Davis Reagan
Ol provinis bilong Swidan	Províncias da Suécia
Plak bilong ol Masol Ailan	Bandeira das Ilhas Marshall
Kina	Kina
Bogenvil	Bougainville (ilha)
Plak bilong Niue	Bandeira de Niue
Roger Ebert	Roger Ebert
Bill Cosby	Bill Cosby
Niu Ailan ailan	Nova Irlanda
Jimmie Johnson	Jimmie Johnson
Rabaul	Rabaul
Saksak	Sagu
Plak bilong Hawai	Bandeira do Havaí
Nesenel mak bilong Ostrelia	Brasão de armas da Austrália
Eartha Kitt	Eartha Kitt
Phyllis Diller	Phyllis Diller
Plak bilong Polinesia bilong Pranis	Bandeira da Polinésia Francesa
Rhea Perlman	Rhea Perlman
Ian McShane	Ian McShane
Plak bilong Nofok Ailan	Bandeira da Ilha Norfolk
Shelley Duvall	Shelley Duvall
Plak bilong Guam	Bandeira de Guam
Julie Newmar	Julie Newmar
Dixie Carter	Dixie Carter
Joan Rivers	Joan Rivers
Camponaraya	Camponaraya
Edie McClurg	Edie McClurg
Plak bilong Tokelau	Bandeira de Toquelau
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Nesenel mak bilong Papua Niugini	Brasão de armas de Papua-Nova Guiné
Marcus Stephen	Marcus Stephen
Carl Reiner	Carl Reiner
Martin Landau	Martin Landau
Tate Donovan	Tate Donovan
Vadillo	Vadillo
Dick Van Dyke	Dick Van Dyke
Don Ameche	Don Ameche
Brad Bird	Brad Bird
Wallace Shawn	Wallace Shawn
Gary Coleman	Gary Coleman
Rip Torn	Rip Torn
Jeff Gordon	Jeff Gordon
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Michael Somare	Michael Somare
Apisai Ielemia	Apisai Ielemia
Plak bilong Wolis na Futuna	Bandeira de Wallis e Futuna
Madang (provins)	Madang (província)
Michael Jeter	Michael Jeter
Brad Dourif	Brad Dourif
Craig T. Nelson	Craig T. Nelson
Olaf Stapledon	Olaf Stapledon
Burgess Meredith	Burgess Meredith
Richard Schiff	Richard Schiff
Nicanor Parra	Nicanor Parra
David Cross	David Cross (ator)
Bry-sur-Marne	Bry-sur-Marne
Con Dao	Con Dao
Richard Kiel	Richard Kiel
Almaluez	Almaluez
Valencia de Don Juan	Valencia de Don Juan
Valdefresno	Valdefresno
Cesar Romero	Cesar Romero
Jackie Gleason	Jackie Gleason
Buk bilong Momon	Livro de Mórmon
Astorga	Astorga (Espanha)
Fernanda Torres	Fernanda Torres
Ples balus Tan Son Nhat	Aeroporto Internacional Tan Son Nhat
Michael Clarke Duncan	Michael Clarke Duncan
Aliud	Aliud
Baraona	Baraona
Medinaceli	Medinaceli
Burgo de Osma-Ciudad de Osma, Soria	Burgo de Osma
Suellacabras	Suellacabras
Yanguas	Yanguas
San Esteban de Gormaz	San Esteban de Gormaz
Comares	Comares
.nl	.nl
Alcoy	Alcoi
Daru	Daru
Espinosa de los Monteros (Burgos)	Espinosa de los Monteros
Cañamaque	Cañamaque
Navaleno	Navaleno
Las Omañas	Las Omañas
Matt Frewer	Matt Frewer
Don Knotts	Don Knotts
Carrot Top	Carrot Top
Trévago	Trévago
Madang (taun)	Madang
Valdepiélago	Valdepiélago
Villademor de la Vega	Villademor de la Vega
Dévanos	Dévanos
Simbu	Simbu
Zotes del Páramo	Zotes del Páramo
Priaranza del Bierzo	Priaranza del Bierzo
Fuentes de Carbajal	Fuentes de Carbajal
Lae	Lae
Magani	Wallaby
Ólvega	Ólvega
O Arise, All You Sons	O Arise, All You Sons
Villamartín de Don Sancho	Villamartín de Don Sancho
Sobrado	Sobrado (Galiza)
Magaña	Magaña
Eliana	Eliana (apresentadora)
Abajas (Burgos)	Abajas
Itero del Castillo (Burgos)	Itero del Castillo
Wes Niu Briten	Nova Bretanha Ocidental
Izagre	Izagre
Centenera de Andaluz	Centenera de Andaluz
Is Sepik	East Sepik
Cacabelos	Cacabelos
Histori long Koria	História da Coreia
Soto de la Vega	Soto de la Vega
Junta de Traslaloma (Burgos)	Junta de Traslaloma
Mansilla de las Mulas	Mansilla de las Mulas
Atapuerca	Atapuerca
Oro	Oro (Papua-Nova Guiné)
Sandaun	Sandaun
Is Niu Briten	Nova Bretanha Oriental
Valderas	Valderas
Gradefes	Gradefes
Onzonilla	Onzonilla
Ben Stein	Ben Stein
Sahagún	Sahagún
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Covaleda	Covaleda
Casarejos	Casarejos
Cerbón	Cerbón
Calatañazor	Calatañazor
Almazul	Almazul
Cidones	Cidones
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Beratón	Beratón
Almenar de Soria	Almenar de Soria
Maján	Maján
Coscurita	Coscurita
Barcones	Barcones
Castilfrío de la Sierra	Castilfrío de la Sierra
Castilruiz	Castilruiz
Miño de Medinaceli	Miño de Medinaceli
Vinuesa	Vinuesa
Cigudosa	Cigudosa
Candilichera	Candilichera
Ausejo de la Sierra	Ausejo de la Sierra
Carabantes	Carabantes
Soliedra	Soliedra
Taroda	Taroda
Nepas	Nepas
Valtajeros	Valtajeros
Arévalo de la Sierra	Arévalo de la Sierra
Pozalmuro	Pozalmuro
Cabrejas del Pinar	Cabrejas del Pinar
Villasayas	Villasayas
Cubilla	Cubilla
Castillejo de Robledo	Castillejo de Robledo
Escobosa de Almazán	Escobosa de Almazán
Estepa de San Juan	Estepa de San Juan
Carrascosa de la Sierra	Carrascosa de la Sierra
Las Aldehuelas	Las Aldehuelas
Bayubas de Arriba	Bayubas de Arriba
Borobia	Borobia
Bliecos	Bliecos
Buberos	Buberos
Muriel Viejo	Muriel Viejo
Oncala	Oncala
Fuentecambrón	Fuentecambrón
Cabrejas del Campo	Cabrejas del Campo
Frechilla de Almazán	Frechilla de Almazán
Valdelagua del Cerro	Valdelagua del Cerro
Ciria	Ciria
Buitrago	Buitrago
Talveila	Talveila
Salduero	Salduero
Fuentes de Magaña	Fuentes de Magaña
Viana de Duero	Viana de Duero
Tardelcuende	Tardelcuende
Duruelo de la Sierra	Duruelo de la Sierra
Bayubas de Abajo	Bayubas de Abajo
Fuentearmegil	Fuentearmegil
Fuentelmonge	Fuentelmonge
Rollamienta	Rollamienta
Villar del Ala	Villar del Ala
Velilla de los Ajos	Velilla de los Ajos
Momblona	Momblona
Fresno de Caracena	Fresno de Caracena
Valdegeña	Valdegeña
Velamazán	Velamazán
Torlengua	Torlengua
Fuentecantos	Fuentecantos
Carrascosa de Abajo	Carrascosa de Abajo
Pinilla del Campo	Pinilla del Campo
Serón de Nágima	Serón de Nágima
Blacos	Blacos
Valdeavellano de Tera	Valdeavellano de Tera
Narros	Narros
Valdeprado	Valdeprado
Borjabad	Borjabad
Fuentelsaz de Soria	Fuentelsaz de Soria
