Afrika	África
Australia	Austrália
Bob Marley	Bob Marley
Carl Sagan,	Carl Sagan
Fisika	Física
Argentina	Argentina
Peru	Peru
Biologi	Biologia
Koréa Lor	Coreia do Norte
Kamboja	Camboja
Sabuk Kuiper	Cintura de Kuiper
Al-Qur'an	Alcorão
Dinosaurus	Dinossauros
Zoologi	Zoologia
Szczebrzeszyn	Szczebrzeszyn
Ljubljana	Liubliana
Wąchock	Wąchock
Botani	Botânica
Lech Wałęsa	Lech Wałęsa
Rodha	Roda
Denis Diderot	Denis Diderot
Lyon	Lyon
Uni Éropah	União Europeia
Plovdiv	Plovdiv
Star Wars	Star Wars
Rhône-Alpes	Ródano-Alpes
World Wide Web	World Wide Web
Wadon	Mulher
Sofia	Sófia
Geguritan	Poesia
Virus komputer	Vírus de computador
Mèsem	Riso
Milan	Milão
Torino	Turim
Anus	Ânus
Lémon	Limão
Gedhang	Banana
Émile Zola	Émile Zola
666	666
Kembang	Flor
Palung Mariana	Fossa das Marianas
Mount Everest	Monte Everest
Anatomi	Anatomia
Kutha	Cidade
Napoléon Bonaparte	Napoleão Bonaparte
Olympus Mons	Monte Olimpo (Marte)
Fisiologi	Fisiologia
Lintang	Estrela
Gunung Vesuvius	Vesúvio
Srengéngé	Sol
Awang-awang	Céu
Louis Pasteur	Louis Pasteur
Taun cahya	Ano-luz
Désa	Aldeia
Victor Marie Comte Hugo	Victor Hugo
Oséania	Oceania
Atletik	Atletismo
Tata Surya	Sistema Solar
Segara Baltik	Mar Báltico
Trieste	Trieste
Kali Wisła	Rio Vístula
Champs-Élysées	Champs-Élysées
Kali Oder	Rio Oder
Untu	Dente
Hidrogen	Hidrogénio
Helium	Hélio
Wikimedia Commons	Wikimedia Commons
Angela Dorothea Merkel	Angela Merkel
Litium	Lítio
Speaker	Altifalante
Buku	Livro
Dina	Dia
Timor Wétan	Timor-Leste
Wengi	Noite
Taun	Ano
Abad	Século
Łódź	Łódź
Mont Blanc	Monte Branco
Rhein	Reno
Oslo	Oslo
Bonn	Bona
Katowice	Katowice
Bolongan ireng	Buraco negro
Ceres	Ceres (planeta anão)
Lisabon	Lisboa
Rzeszów	Rzeszów
Haumea	Haumea
Rhone	Rio Ródano
Makemake	Makemake
Xena	Éris (planeta anão)
Lionel Messi	Lionel Messi
Boron	Boro
Nicolaus Copernicus	Nicolau Copérnico
Karbon	Carbono
Alessandro Del Piero	Alessandro Del Piero
Kali Volga	Rio Volga
Nitrogen	Azoto
Bergamo	Bérgamo
Oksigèn	Oxigénio
Inter Milan	Football Club Internazionale Milano
Planèt	Planeta
Cleopatra	Cleópatra
Musik	Música
Venesia	Veneza
Tèrmomèter	Termômetro
Moskwa	Moscovo
Basa Italia	Língua italiana
Chihuahua (asu)	Chihuahua (cão)
Neon	Néon
St. Petersburg	São Petersburgo
Chad	Chade
Natrium	Sódio
Magnesium	Magnésio
Alumunium	Alumínio
Sélandia Anyar	Nova Zelândia
Kidul	Sul
India	Índia
Silikon	Silício
Fransium	Frâncio
Tuvalu	Tuvalu
Fosfor	Fósforo
André-Marie Ampère	André-Marie Ampère
Gancaran	Prosa
Wesi	Ferro
Tonga	Tonga
Kulon	Oeste
Alessandro Volta	Alessandro Volta
Welirang	Enxofre
Samoa	Samoa
Wétan	Leste
Kapuloan Solomon	Ilhas Salomão
Vanuatu	Vanuatu
Molière	Molière
Klor	Cloro
Delft	Delft
Papua Nugini	Papua-Nova Guiné
William Shakespeare	William Shakespeare
Holland Kidul	Holanda do Sul
Palau	Palau
Argon	Árgon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Holland Lor	Holanda do Norte
Mikronesia	Estados Federados da Micronésia
Kalium	Potássio
Olympique Lyonnais	Olympique Lyonnais
Kalsium	Cálcio
Flevoland	Flevolândia
Kapuloan Marshall	Ilhas Marshall
Kiribati	Kiribati
Mongolia	Mongólia
Fiji	Fiji
Skandium	Escândio
Titanium	Titânio
Venezuela	Venezuela
Sekak	Xadrez
Genghis Khan	Gengis Khan
Vanadium	Vanádio
Maine	Maine
Jaran	Equus ferus caballus
Amsterdam	Amesterdão
Sanjata	Arma
Sato kéwan	Animalia
Suriname	Suriname
Mangan	Manganês
Paraguay	Paraguai
Guyana	Guiana
Seni	Arte
Ekuador	Equador
Rhenium	Rênio
Kolombia	Colômbia
Nikel	Níquel
Fragaria	Morangueiro
Bolivia	Bolívia
Osmium	Ósmio
Provinsi Groningen	Groninga (província)
Tembaga	Cobre
Trinidad lan Tobago	Trinidad e Tobago
Tetanduran	Plantae
Saint Vincent lan Grenadines	São Vicente e Granadinas
Sèng	Zinco
New Hampshire	Nova Hampshire
Saint Lucia	Santa Lúcia
Białystok	Białystok
Leonardo Da Vinci	Leonardo da Vinci
Saint Kitts lan Nevis	São Cristóvão e Nevis
Fungi	Fungi
Jamaika	Jamaica
Grenada	Granada (país)
Friesland	Frísia (província)
Massachusetts	Massachusetts
Overijssel	Overissel
Guatemala	Guatemala
Gelderland	Guéldria
Bahama	Bahamas
Connecticut	Connecticut
Pitik	Gallus gallus domesticus
Antigua lan Barbuda	Antígua e Barbuda
Hawaii	Havaí
Honduras	Honduras
Dominika	Dominica
Jersey	Jersey
Republik Dominika	República Dominicana
Babi	Sus domesticus
Samudra Arktika	Oceano Ártico
Haiti	Haiti
El Salvador	El Salvador
Iran	Irão
Irak	Iraque
Alaska	Alasca
Kosta Rika	Costa Rica
Israèl	Israel
Nowy Sącz	Nowy Sącz
Gemeente Utrecht	Utrecht
Panama	Panamá
Yaman	Iémen
Randstad	Randstad (região)
Virus	Vírus
Basa Polski	Língua polaca
Yordania	Jordânia
Nikaragua	Nicarágua
Florida	Flórida
Kirgizstan	Quirguistão
Arizona	Arizona
Kuwait	Kuwait
Laos (negara)	Laos
Libanon	Líbano
Oregon	Oregon
Maladewa	Maldivas
Bawana Amérika	América
Utah	Utah
Sapi	Bos taurus
Malaysia	Malásia
Myanmar	Myanmar
Nepal	Nepal
Oman	Omã
Pakistan	Paquistão
James Bond	James Bond
Qatar	Catar
Tènes	Ténis
Arab Saudi	Arábia Saudita
Sri Lanka	Sri Lanka
Josef Stalin	Josef Stalin
Kodé Batang	Código de barras
Suriah	Síria
Plato	Platão
Galium	Gálio
Joseph Brodsky	Joseph Brodsky
Tajikistan	Tajiquistão
Pokémon	Pokémon
Républik Cina	República da China
YouTube	YouTube
Germanium	Germânio
Aristoteles	Aristóteles
Thailand	Tailândia
Sepur	Trem
Arsenik	Arsênio
Radhio	Rádio (telecomunicações)
Meryl Streep	Meryl Streep
Turkmenistan	Turquemenistão
Selenium	Selênio
Iridium	Irídio
Uni Emirat Arab	Emirados Árabes Unidos
Brom	Bromo
Viètnam	Vietname
Charlie Chaplin	Charlie Chaplin
Koréa Kidul	Coreia do Sul
The Simpsons	Os Simpsons
Kripton	Crípton
Afganistan	Afeganistão
Gangnam Style	Gangnam Style
J. R. R. Tolkien	J. R. R. Tolkien
Rubidium	Rubídio
Emas	Ouro
Omsk	Omsk
Terusan Suèz	Canal de Suez
Bangladesh	Bangladesh
Bleach	Bleach (mangá)
Franz Kafka	Franz Kafka
Chelyabinsk	Cheliabinsk
Mali	Mali
Socrates	Sócrates
Volgograd	Volgogrado
Angola	Angola
Bhutan	Butão
Twitter	Twitter
Brunei Darussalam	Brunei
Brač	Brač
Tanzania	Tanzânia
Roald Amundsen	Roald Amundsen
Filipina	Filipinas
Republik Afrika Tengah	República Centro-Africana
Naruto Uzumaki	Naruto Uzumaki
Kutub Kidul	Polo Sul
Kutub Lor	Polo Norte
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontium	Estrôncio
Itrium	Ítrio
Bismut	Bismuto
Kuning	Amarelo
Togo	Togo
Tunisia	Tunísia
Zambia	Zâmbia
Zimbabwe	Zimbabwe
Beijing	Pequim
Sudan Kidul	Sudão do Sul
Benin	Benim
Botswana	Botswana
Wikinews	Wikinotícias
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoro	Comores
Republik Kongo	República do Congo
Alkmaar	Alkmaar
Republik Dhémokratis Kongo	República Democrática do Congo
San Antonio, Texas	San Antonio
Djibouti	Djibouti
Bayern	Baviera
Guinea Khatulistiwa	Guiné Equatorial
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritreia
New Delhi	Nova Deli
Paus Yohanes Paulus II	Papa João Paulo II
Fyodor Dostoyevsky	Fiódor Dostoiévski
Amersfoort	Amersfoort
Tbilisi	Tbilisi
Andrei Sakharov	Andrei Sakharov
Astatin	Ástato
Gabon	Gabão
Mohandas Gandhi	Mahatma Gandhi
Komik	Banda desenhada
Gambia	Gâmbia
Guinea	Guiné
Guinea-Bissau	Guiné-Bissau
Panté Gadhing	Costa do Marfim
Kamerun	Camarões
Tanjung Verde	Cabo Verde
Lesotho	Lesoto
Liberia	Libéria
Libya	Líbia
Madagaskar	Madagáscar
Malawi	Malawi
Mauritania	Mauritânia
Mauritius	Maurícia
Maroko	Marrocos
Mozambik	Moçambique
Namibia	Namíbia
Niger	Níger
Nigéria	Nigéria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
Zirkonium	Zircônio
São Tomé lan Príncipe	São Tomé e Príncipe
Senegal	Senegal
Seychelles	Seicheles
Carolus Linnaeus	Carolus Linnaeus
Sierra Leone	Serra Leoa
Somalia	Somália
Niobium	Nióbio
Jawaharlal Nehru	Jawaharlal Nehru
Julius Caesar	Júlio César
Sudan	Sudão
Swaziland	Suazilândia
Kluwung	Arco-íris
Molibden	Molibdênio
Hamburg	Hamburgo
Metabolisme	Metabolismo
Sistem imun	Sistema imunitário
Évolusi	Evolução
Perserikatan Bangsa-Bangsa	Organização das Nações Unidas
Dante Alighieri	Dante Alighieri
Géologi	Geologia
Géografi	Geografia
Jantung	Coração
Utek	Cérebro
Kulit	Pele
Werna	Cor
Star Trek: The Original Series	Star Trek (série original)
Tembung aran	Substantivo
Praha	Praga
Rutenium	Rutênio
Rodium	Ródio
Biru	Azul
Paladium	Paládio
Pérak	Prata
Kadmium	Cádmio
Limburg (Walanda)	Limburgo (Países Baixos)
Indium	Índio (elemento químico)
Limburg (Belgia)	Limburgo (Bélgica)
Timah	Estanho
Uranium	Urânio
Antimon	Antimônio
Telurium	Telúrio
Brabant Lor	Brabante do Norte
Plutonium	Plutónio
Yodium	Iodo
Neptunium	Neptúnio
Xenon	Xenônio
Anime	Anime
Sesium	Césio
Protaktinium	Protactínio
Barium	Bário
Hafnium	Háfnio
Aktinium	Actínio
Tantalum	Tântalo (elemento químico)
Bill Clinton	Bill Clinton
Radium	Rádio (elemento químico)
Radon	Rádon
Lorraine	Lorena (França)
Alsace	Alsácia
Indira Gandhi	Indira Gandhi
Auvergne	Auvérnia
Mumbai	Bombaim
Assam	Assam
Michigan	Michigan
Bourgogne	Borgonha
Aquitaine	Aquitânia
Puerto Riko	Porto Rico
Limousin	Limusino
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklemburgo-Pomerânia Ocidental
Niedersachsen	Baixa Saxônia
Nordrhein-Westfalen	Renânia do Norte-Vestfália
Hessen	Hesse
Rheinland-Pfalz	Renânia-Palatinado
Saarland	Sarre
Sachsen	Saxônia
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Turíngia
Sachsen-Anhalt	Saxônia-Anhalt
North Dakota	Dakota do Norte
Brandenburg	Brandemburgo
Bremen	Bremen (estado)
Lombardia	Lombardia
South Dakota	Dakota do Sul
Montana	Montana
Wyoming	Wyoming
Piemonte	Piemonte
Yérusalem	Jerusalém
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lembah Aosta	Vale de Aosta
Washington (negara bagéyan Amérika Sarékat)	Washington
Rutherfordium	Rutherfórdio
Nevada	Nevada
Dubnium	Dúbnio
Seaborgium	Seabórgio
Trentino-Alto Adige	Trentino-Alto Ádige
Samudra Hindhia	Oceano Índico
Veneto	Vêneto
Kosovo	Kosovo
Bohrium	Bóhrio
Friuli-Venezia Giulia	Friul-Veneza Júlia
Hassium	Hássio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligúria
Meitnerium	Meitnério
Colorado	Colorado
Emilia-Romagna	Emília-Romanha
Darmstadtium	Darmstácio
Frédéric Chopin	Frédéric Chopin
Trygve Lie	Trygve Lie
Roentgenium	Roentgênio
Toscana	Toscana
Marche	Marcas
Umbria	Úmbria
Latium	Lácio
Abruzzo	Abruzos
Alpen	Alpes
Pagunungan Carpathian	Cárpatos
Blaise Pascal	Blaise Pascal
Chicago, Illinois	Chicago
The Beatles	The Beatles
Ununtrium	Unúntrio
Ununpentium	Ununpêntio
Wageningen (Walanda)	Wageningen
Maastricht	Maastricht
Arnhem	Arnhem
Mangsa adhem	Inverno
Mangsa semi	Primavera
Mangsa panas	Verão
Mangsa gugur	Outono
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Basa Spanyol	Língua castelhana
Johann Sebastian Bach	Johann Sebastian Bach
Opera	Ópera
Philadelphia	Filadélfia
Bangalore	Bangalore
Kemangga	Aranha
Arachnida	Aracnídeos
Chelicerata	Chelicerata
Arthropoda	Artrópode
Islamabad	Islamabad
Woh	Fruto
Kethèk	Macaco
Dhuwit	Dinheiro
Virginia	Virgínia
West Virginia	Virgínia Ocidental
New York (negara bagéyan Amérika Sarékat)	Nova Iorque (estado)
Praseodimium	Praseodímio
Rhode Island	Rhode Island
Neodimium	Neodímio
Srangga	Insetos
Maryland	Maryland
Delaware	Delaware
Lenin	Lenin
Europium	Európio
Ohio	Ohio
Virgil	Virgílio
Niccolò Machiavelli	Nicolau Maquiavel
Pennsylvania	Pensilvânia
Uetersen	Uetersen
Augustus	Augusto
Microsoft Windows	Microsoft Windows
New Jersey	Nova Jérsia
Gibraltar	Gibraltar
Basa Suomi	Língua finlandesa
Indiana	Indiana
Nokia	Nokia
Montor	Automóvel
Juventus F.C.	Juventus Football Club
Roger Federer	Roger Federer
Georgia (negara bagéan Amérika Sarékat)	Geórgia (Estados Unidos)
Zagreb	Zagreb
Campania	Campânia
Texas	Texas
Didius Julianus	Dídio Juliano
Molise	Molise
Puglia	Apúlia
Genova	Génova
Bruno Mars	Bruno Mars
Pinatubo	Pinatubo
Basilicata	Basilicata
North Carolina	Carolina do Norte
South Carolina	Carolina do Sul
U.C. Sampdoria	Unione Calcio Sampdoria
Calabria	Calábria
Sisilia	Sicília
Manila	Manila
Sardinia	Sardenha
Ferdinand Marcos	Ferdinando Marcos
Benigno Aquino III	Noynoy Aquino
Kali Seine	Sena
Bordeaux	Bordéus
Corazon Aquino	Corazón Aquino
Lupus	Lúpus eritematoso sistêmico
Buenos Aires	Buenos Aires
Hacker	Hacker
Mexico City	Cidade do México
Tokyo	Tóquio
Barcelona	Barcelona
Mississippi	Mississippi
Ferdinand Magellan	Fernão de Magalhães
Kali Mississippi	Rio Mississippi
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Robert Louis Stevenson	Robert Louis Stevenson
Abidjan	Abidjã
Abu Dhabi	Abu Dhabi
Astana, Kazakhstan	Astana
New Mexico	Novo México
Aténa	Atenas
Minnesota	Minnesota
Bagdad	Bagdá
Caracas	Caracas
Wektu Universal Kakoordinasi	Tempo Universal Coordenado
Wisconsin	Wisconsin
Cicero	Cícero
A.C. Milan	Associazione Calcio Milan
Iowa	Iowa
Métro de Lyon	Metrô de Lyon
Nebraska	Nebraska
Kansas	Kansas
Basa Hindi	Língua hindi
Rokok	Cigarro
Ganésa	Ganexa
Missouri	Missouri
Louisiana	Luisiana
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Basa Urdu	Língua urdu
Rijeka	Rijeka
Oklahoma	Oklahoma
Kali Danube	Rio Danúbio
Segara Lor	Mar do Norte
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	Munique
Erfurt	Erfurt
Voli	Voleibol
Innsbruck	Innsbruck
Sasuke Uchiha	Sasuke Uchiha
Wina	Viena
Madonna	Madonna
Kopenhagen	Copenhaga
Stockholm	Estocolmo
Helsinki	Helsínquia
Dublin	Dublin
Reykjavík	Reykjavík
Kakashi Hatake	Kakashi Hatake
Riga	Riga
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapeste
Charles Aznavour	Charles Aznavour
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Wrocław	Breslávia
Lantanum	Lantânio
Prometium	Promécio
Samarium	Samário
Acèh	Achém
Karasjok	Karasjok
Kaliningrad	Kaliningrado
Gadolinium	Gadolínio
Zinédine Zidane	Zinédine Zidane
Terbium	Térbio
Katulik	Catolicismo
Luksemburg (kutha)	Luxemburgo (cidade)
Disprosium	Disprósio
Alkitab	Bíblia
Holmium	Hólmio
San Marino (kutha)	San Marino (cidade)
Erbium	Érbio
Kutha Ho Chi Minh	Cidade de Ho Chi Minh
Iterbium	Itérbio
Lutetium	Lutécio
Hanoi	Hanói
Gréja Yesus Sajati	Verdadeira Igreja de Jesus
Basa Inggris	Língua inglesa
Bangkok	Banguecoque
Wolin	Wolin
Andorra la Vella	Andorra-a-Velha
Kuala Lumpur	Kuala Lumpur
Kapuloan Bangka-Belitung	Bangka-Belitung
Taipei	Taipé
Amerisium	Amerício
Odessa	Odessa
Kurium	Cúrio
Dong Hoi	Dong Hoi
Concepción, Chili	Concepción (Chile)
Berkelium	Berquélio
Atalanta B.C.	Atalanta Bergamasca Calcio
Kalifornium	Califórnio
Bengkulu	Bengkulu
Bologna	Bolonha
Einsteinium	Einstênio
Bologna F.C. 1909	Bologna Football Club 1909
Fermium	Férmio
Mendelevium	Mendelévio
Kiev	Kiev
Cagliari Calcio	Cagliari Calcio
Nobelium	Nobélio
Lawrensium	Laurêncio
Adil Rami	Adil Rami
Karim Benzema	Karim Benzema
Florent Malouda	Florent Malouda
Franck Ribéry	Franck Ribéry
Samir Nasri	Samir Nasri
Blaise Matuidi	Blaise Matuidi
Jérémy Menez	Jérémy Ménez
Alou Diarra	Alou Diarra
Gaël Clichy	Gaël Clichy
Ottawa	Ottawa
Éric Abidal	Éric Abidal
Nicolas Anelka	Nicolas Anelka
Juba	Juba (Sudão do Sul)
Alberta	Alberta
Yerevan	Erevan
Końskowola	Końskowola
Dar es Salaam	Dar es Salaam
Khartoum	Cartum
Formula Siji	Fórmula 1
British Columbia	Colúmbia Britânica
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Karbon dioksida	Dióxido de carbono
2013	2013
2014	2014
2015	2015
2008	2008
JavaScript	JavaScript
2004	2004
Wikitravel	Wikitravel
Calcio Catania	Calcio Catania
2005	2005
Dragon ball	Dragon Ball
2006	2006
2007	2007
Verona	Verona
1900	1900
1901	1901
A.C. Chievo Verona	Associazione Calcio ChievoVerona
François Maurice Adrien Marie Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
Firenze	Florença
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
Jambi	Jambi
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
Genoa C.F.C.	Genoa Cricket and Football Club
1910	1910
1911	1911
1912	1912
Leipzig	Leipzig
1913	1913
Roseto degli Abruzzi	Roseto degli Abruzzi
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Pangan	Alimento
Ula	Serpente
Jacques Chirac	Jacques Chirac
Lampung	Lampung
Sumatra Lor	Sumatra Setentrional
Son Goku	Son Goku
1 Januari	1 de janeiro
2 Januari	2 de janeiro
1920	1920
3 Januari	3 de janeiro
1919	1919
1921	1921
1922	1922
4 Januari	4 de janeiro
1923	1923
Lance Armstrong	Lance Armstrong
1924	1924
Riau	Riau (província)
GIF	Graphics Interchange Format
JPEG	Joint Photographic Experts Group
Planèt cilik	Planeta anão
5 Januari	5 de janeiro
6 Januari	6 de janeiro
Kapuloan Riau	Ilhas Riau
Èlèktron	Elétron
7 Januari	7 de janeiro
8 Januari	8 de janeiro
9 Januari	9 de janeiro
10 Januari	10 de janeiro
11 Januari	11 de janeiro
12 Januari	12 de janeiro
13 Januari	13 de janeiro
Birmingham	Birmingham
14 Januari	14 de janeiro
15 Januari	15 de janeiro
16 Januari	16 de janeiro
Tom Hanks	Tom Hanks
17 Januari	17 de janeiro
18 Januari	18 de janeiro
19 Januari	19 de janeiro
20 Januari	20 de janeiro
Révolusi indhustri	Revolução Industrial
Sumatra Kidul	Sumatra Meridional
21 Januari	21 de janeiro
22 Januari	22 de janeiro
23 Januari	23 de janeiro
Kakaisaran Romawi	Império Romano
24 Januari	24 de janeiro
25 Januari	25 de janeiro
Minsk	Minsk
26 Januari	26 de janeiro
Microsoft	Microsoft
27 Januari	27 de janeiro
28 Januari	28 de janeiro
29 Januari	29 de janeiro
30 Januari	30 de janeiro
31 Januari	31 de janeiro
Proton	Próton
2 Desember	2 de dezembro
1 Desember	1 de dezembro
3 Desember	3 de dezembro
7 Desember	7 de dezembro
5 Desember	5 de dezembro
8 Desember	8 de dezembro
10 Desember	10 de dezembro
6 Desember	6 de dezembro
9 Desember	9 de dezembro
4 Desember	4 de dezembro
1 Februari	1 de fevereiro
2 Februari	2 de fevereiro
3 Februari	3 de fevereiro
Kurów	Kurów
4 Februari	4 de fevereiro
5 Februari	5 de fevereiro
6 Februari	6 de fevereiro
7 Februari	7 de fevereiro
8 Februari	8 de fevereiro
9 Februari	9 de fevereiro
10 Februari	10 de fevereiro
Kimia	Química
Led Zeppelin	Led Zeppelin
14 Februari	14 de fevereiro
13 Februari	13 de fevereiro
15 Februari	15 de fevereiro
11 Februari	11 de fevereiro
12 Februari	12 de fevereiro
Smolensk	Smolensk
Robin van Persie	Robin van Persie
19 Februari	19 de fevereiro
17 Februari	17 de fevereiro
16 Februari	16 de fevereiro
