Afrik	África
323 (almanak jilyen)	323
366 (almanak jilyen)	366
362 (almanak jilyen)	362
545 (almanak jilyen)	545
531 (almanak jilyen)	531
514 (almanak jilyen)	514
513 (almanak jilyen)	513
539 (almanak jilyen)	539
538 (almanak jilyen)	538
519 (almanak jilyen)	519
516 (almanak jilyen)	516
528 (almanak jilyen)	528
506 (almanak jilyen)	506
526 (almanak jilyen)	526
507 (almanak jilyen)	507
Domino, Texas	Domino (Texas)
214 (almanak jilyen)	214
213 (almanak jilyen)	213
212 (almanak jilyen)	212
228 (almanak jilyen)	228
227 (almanak jilyen)	227
149 (almanak jilyen)	149
174 (almanak jilyen)	174
189 (almanak jilyen)	189
199 (almanak jilyen)	199
141 (almanak jilyen)	141
132 (almanak jilyen)	132
125 (almanak jilyen)	125
123 (almanak jilyen)	123
147 (almanak jilyen)	147
Allen, Texas	Allen (Texas)
144 (almanak jilyen)	144
198 (almanak jilyen)	198
178 (almanak jilyen)	178
177 (almanak jilyen)	177
Abriyon	Embrião
187 (almanak jilyen)	187
195 (almanak jilyen)	195
186 (almanak jilyen)	186
347 (almanak jilyen)	347
620 (almanak jilyen)	620
624 (almanak jilyen)	624
605 (almanak jilyen)	605
629 (almanak jilyen)	629
616 (almanak jilyen)	616
615 (almanak jilyen)	615
644 (almanak jilyen)	644
646 (almanak jilyen)	646
633 (almanak jilyen)	633
Lang kreyòl	Línguas crioulas
637 (almanak jilyen)	637
436 (almanak jilyen)	436
434 (almanak jilyen)	434
293 (almanak jilyen)	293
427 (almanak jilyen)	427
185 (almanak jilyen)	185
321 (almanak jilyen)	321
327 (almanak jilyen)	327
Aksan	Dialeto
430 (almanak jilyen)	430
447 (almanak jilyen)	447
Little Rock, Arkansas	Little Rock
569 (almanak jilyen)	569
568 (almanak jilyen)	568
444 (almanak jilyen)	444
796 (almanak jilyen)	796
798 (almanak jilyen)	798
Buon Ma Thuot	Buon Ma Thuot
793 (almanak jilyen)	793
685 (almanak jilyen)	685
Hartford, Connecticut	Hartford
799 (almanak jilyen)	799
Kreyòl ayisyen	Língua crioula haitiana
683 (almanak jilyen)	683
274 (almanak jilyen)	274
Dover, Delaware	Dover (Delaware)
Matematik aplike	Matemática aplicada
579 (almanak jilyen)	579
281 (almanak jilyen)	281
306 (almanak jilyen)	306
438 (almanak jilyen)	438
297 (almanak jilyen)	297
421 (almanak jilyen)	421
298 (almanak jilyen)	298
351 (almanak jilyen)	351
352 (almanak jilyen)	352
355 (almanak jilyen)	355
95 (almanak jilyen)	95
94 (almanak jilyen)	94
594 (almanak jilyen)	594
542 (almanak jilyen)	542
448 (almanak jilyen)	448
445 (almanak jilyen)	445
305 (almanak jilyen)	305
234 (almanak jilyen)	234
565 (almanak jilyen)	565
381 (almanak jilyen)	381
385 (almanak jilyen)	385
307 (almanak jilyen)	307
346 (almanak jilyen)	346
257 (almanak jilyen)	257
285 (almanak jilyen)	285
591 (almanak jilyen)	591
Metamòfoz	Metamorfose
289 (almanak jilyen)	289
Bertrand Russell	Bertrand Russell
Men	Mão
Du Fu	Du Fu
563 (almanak jilyen)	563
252 (almanak jilyen)	252
Popilasyon	População
595 (almanak jilyen)	595
246 (almanak jilyen)	246
596 (almanak jilyen)	596
593 (almanak jilyen)	593
357 (almanak jilyen)	357
Pyè	São Pedro
Fèy	Folha
Valparaíso, Chili	Valparaíso (Chile)
Aktè	Ator
Pye pom kajou	Cajueiro
Latitid	Latitude
599 (almanak jilyen)	599
326 (almanak jilyen)	326
341 (almanak jilyen)	341
322 (almanak jilyen)	322
Fàgo (Dakota dinò)	Fargo (Dacota do Norte)
386 (almanak jilyen)	386
Founafouti	Funafuti
374 (almanak jilyen)	374
Grann Fòks	Grand Forks
380 (almanak jilyen)	380
Tok pisin	Língua tok pisin
Bè	Manteiga
Teyoloji	Teologia
Mossad	Mossad
136 (almanak jilyen)	136
Linus Torvalds	Linus Torvalds
Pòtoprens (komin)	Porto Príncipe
Międzyrzec Podlaski	Międzyrzec Podlaski
Levanjil	Evangelho
Astroloji	Astrologia
Savon	Sabonete
New Orleans, Lwizyana	Nova Orleães
Philippe Auguste	Filipe II de França
Saint-Dié-des-Vosges	Saint-Dié-des-Vosges
Sergey Nikolsky	Sergey Nikolsky
Elikoptè	Helicóptero
Ipopotam	Hipopótamo-comum
382 (almanak jilyen)	382
Bela Lugosi	Béla Lugosi
342 (almanak jilyen)	342
373 (almanak jilyen)	373
372 (almanak jilyen)	372
Dwèt	Dedo
Albert Camus	Albert Camus
Sab	Areia
Woz (flè)	Rosa
Kinstòn	Kingston
Lewopa	Leopardo
Rinoseròs	Rhinocerotidae
Mitoloji grèk	Mitologia grega
Dayton, Ohio	Dayton (Ohio)
Somaliland	Somalilândia
Reyon X	Raios X
Sen Domeng	Santo Domingo
Tequixquiac	Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Liksanbou (menm non)	Luxemburgo (desambiguação)
Papay	Mamão
375 (almanak jilyen)	375
Benjamin Franklin	Benjamin Franklin
Chou	Repolho
Agatha Christie	Agatha Christie
Lis kapital	Lista de capitais nacionais
Wilhelm Conrad Röntgen	Wilhelm Conrad Röntgen
Kowèt	Kuwait (cidade)
Glas (pou gade)	Espelho
Teleskòp reflektè	Telescópio refletor
387 (almanak jilyen)	387
Kolonbo	Colombo
Bichlamar	Língua bislamá
Fenèt	Janela
Gwòt	Caverna
Glasye kontinantal	Geleira
Liy Nimewo	Reta numérica
Boise (Aydawo)	Boise
Las (maladi)	Asma
Bato	Barco
Madlèn	Leucena
Lexus	Lexus
Banbou	Bambu
Kongo (menm non)	Congo
Interlingua	Língua interlíngua
Mazda	Mazda
Minneapolis, Minnesota	Minneapolis
Sòl	Solo
Beyonce	Beyoncé Knowles
Brijtòn	Bridgetown
Puerto Montt	Puerto Montt
Vwayèl	Vogal
Apiya	Apia
Sen Jòns	Saint John's
Rozo	Roseau
Rèv	Sonho
Jezwit	Companhia de Jesus
Rat	Rattus
Farin	Farinha
Lonjitid	Longitude
Guglielmo Marconi	Guglielmo Marconi
Anyon	Íon
Milenè	Milênio
Pò Moresbi	Port Moresby
Reyaksyon chimik	Reação química
Layè	Haia
Òd (biyoloji)	Ordem (biologia)
Ben Tre	Ben Tre (cidade)
Nomanklati binomyal	Nomenclatura binomial
La vizyèl	Artes visuais
Jan	Evangelho segundo João
Pòt	Porta
Arancón	Arancón
Grip pòsin	Gripe suína
Ovidik	Oviduto
Zong	Unha
Sardinia, Ohio	Sardinia (Ohio)
Alpinis	Alpinismo
Ozòn	Ozônio
Lachas	Caça
Glif	Glifo
12 (nonm)	Doze
Figi	Face
Tallahassee, Florid	Tallahassee
Endepandans	Independência
Bismàk, Dakota Dinò	Bismarck (Dacota do Norte)
30 fevriye	30 de fevereiro
Dwat	Reta
331 (almanak jilyen)	331
11 (nonm)	Onze
365 (almanak jilyen)	365
13 (nonm)	Treze
Nwayo	Núcleo atómico
Pye zaboka	Persea americana
379 (almanak jilyen)	379
Vag	Onda
Globil wouj	Hemácia
Ekri	Escrita
Cleveland, Ohio	Cleveland
John Michael Talbot	John Michael Talbot
Klaus Ebner	Klaus Ebner
Naypyidaw	Naypyidaw
100 (nonm)	Cem
Jenou	Joelho
Zabriko	Damasqueiro
Pierre Curie	Pierre Curie
Bouya	Nevoeiro
Alimèt	Palito de fósforo
Klas (biyoloji)	Classe (biologia)
Poligòn	Polígono
Mache	Mercado
Campora San Giovanni	Campora San Giovanni
Swa	Seda
Lame	Exército
Demografi	Demografia
Kwomozòm	Cromossomo
Alyaj	Liga metálica
Bălţi	Bălţi
Pò Vila	Port Vila
Ekosistèm	Ecossistema
Auckland Grammar School	Auckland Grammar School
Milwaukee, Wisconsin	Milwaukee
Alg	Alga
Etwa	Estreito
Patat	Batata-doce
Yangon	Rangum
Saint Louis, Missouri	St. Louis (Missouri)
Konsòn	Consoante
McDonald's	McDonald's
Lewis Carroll	Lewis Carroll
Filòm	Filo
Anje	Angers
Twazyèm lwa Newton	Leis de Newton
Columbia, Kawolin disid	Colúmbia (Carolina do Sul)
Milyon	Milhão
14 (nonm)	Catorze
Karen Uhlenbeck	Karen Uhlenbeck
Melon dlo	Melancia
Cicero, Indiana	Cicero (Indiana)
Kizin	Cozedura
15 (nonm)	Quinze
18 (nonm)	Dezoito
Helena, Montana	Helena (Montana)
Mayitid	Escala de Richter
Universidad del Bío-Bío (Chili)	Universidade do Bío-Bío
Souva	Suva
Noukou'alofa	Nuku'alofa
Bazilik	Manjericão-de-folha-larga
Lazè	Laser
Lafyèv	Febre
Teide	Teide
Cheyenne, Wyoming	Cheyenne (Wyoming)
Pò of Espay	Port of Spain
Richard Feynman	Richard Feynman
Espesyasyon	Especiação
Rach	Machado
Anchorage (Alaska)	Anchorage (Alasca)
Zouti	Ferramenta
Presyon	Pressão
Burbank, Kalifòni	Burbank (Califórnia)
Mitokondri	Mitocôndria
Christiaan Huygens	Christiaan Huygens
Simityè	Cemitério
Des Moines, Iowa	Des Moines
Mario Vargas Llosa	Mario Vargas Llosa
Radio Studio 54 Network	Rádio Studio 54 Network
19 (nonm)	Dezanove
Ágreda	Ágreda
Irondèl	Andorinha
Ligaman	Ligamento
Deseni	Década
Lik	Evangelho segundo Lucas
Concepción (provens)	Concepción (província do Chile)
Bweson	Bebida
Plaj	Praia
Will Smith	Will Smith
Elips	Elipse
17 (nonm)	17 (número)
Pyèv	Polvo
Lav	Lava
Levye	Alavanca
Lapli asid	Chuva ácida
Maraton	Maratona
Issaquah, Washington	Issaquah
16 (nonm)	Dezasseis
Nwayo (selil)	Núcleo celular
David Gross	David Gross
Springfield, Oregon	Springfield (Oregon)
20 (nonm)	Vinte
Akdèzapot	Atos dos Apóstolos
Springfield, Ohio	Springfield (Ohio)
Racine, Wisconsin	Racine (Wisconsin)
Joliet, Ilinwa	Joliet (Illinois)
Norman, Oklahoma	Norman (Oklahoma)
Buffalo, New York	Buffalo
Large Hadron Collider	Grande Colisor de Hádrons
Kadna	Cadeado
Fosil	Fóssil
Twoposfè	Troposfera
Pierre, Dakota disid	Pierre (Dakota do Sul)
Grenn	Semente
Krab	Caranguejo
Kwa	Cruz
Sizo	Tesoura
Carson City, Nevada	Carson City
Anna Maria Jopek	Anna Maria Jopek
Werner Karl Heisenberg	Werner Heisenberg
Onyara	Honiara
PH	PH
Topeka, Kansas	Topeka
Larouze	Orvalho
Lozanj	Losango
Heinrich Rudolf Hertz	Heinrich Hertz
Henri Becquerel	Antoine Henri Becquerel
Elan	Momento linear
Gouanjou	Gwangju
John Dalton	John Dalton
Bastè	Basseterre
Longèdonn	Comprimento de onda
Kurt Gödel	Kurt Gödel
Lantikite	Idade Antiga
Rasin	Raiz
Lokwat	Nespereira (árvore)
Mòl	Mol
Sen Jòj	Saint George's (Granada)
Efè tèmik	Efeito estufa
Julia Gillard	Julia Gillard
David Hilbert	David Hilbert
Parapli	Guarda-chuva
Hendrik Lorentz	Hendrik Lorentz
Kastri	Castries
Ipotèz	Hipótese
Kansas City, Missouri	Kansas City (Missouri)
Sri Jayawardenapura	Kotte
Democritus	Demócrito
Flaman	Flamingo
Talcahuano	Talcahuano
Jean-Marie Gustave Le Clezio	Jean-Marie Gustave Le Clézio
Apokalips	Apocalipse
Wòch igne	Rocha ígnea
Denzel Washington	Denzel Washington
Bonda	Nádegas
Kabann	Cama
Travay (fizik)	Trabalho (física)
Ribozòm	Ribossoma
Magma	Magma
Bernhard Riemann	Bernhard Riemann
Ajil	Argila
Sebastian Vettel	Sebastian Vettel
40 (nonm)	Quarenta
Lenn	Lã
Pwa nouris	Feijão
Nebilez	Nebulosa
Lit	Luta
Konbistib	Combustível
Legliz Jezikri pou Sen Dènye Jou yo	A Igreja de Jesus Cristo dos Santos dos Últimos Dias
Gri	Cinza
Zepis	Especiaria
Twopik	Trópico
Lama	Lhama
Koud (non)	Cotovelo
Ibrid	Híbrido (biologia)
Olympia (Wachintòn)	Olympia (Washington)
Paliki	Palikir
Byosfè	Biosfera
Bab	Barba
30 (nonm)	Trinta
Aewopò Long Thanh	Aeroporto Internacional Long Thanh
Mitasyon	Mutação
Lwil	Óleo
Alèji	Alergia
Sansi	Sanguessuga
1000 (nonm)	Mil
Emoglobin	Hemoglobina
Newòn	Neurónio
Sechrès	Seca
Pwav	Pimenta-preta
Aïkido	Aikido
Kevin Rudd	Kevin Rudd
Giurtelecu Şimleului	Giurtelecu Şimleului
Krokodil	Crocodilo
Thien Duong	Gruta de Thien Duong
Klowofil	Clorofila
Cincinnati, Ohio	Cincinnati
Dèlta	Delta
Omaha, Nebraska	Omaha (Nebraska)
Clint Eastwood	Clint Eastwood
Toundra	Tundra
Fresno, Kalifòni	Fresno
Bazalt	Basalto
Kònèy	Corvo
Robert Boyle	Robert Boyle
Apòt	Apóstolo
Richmond, Vijini	Richmond (Virgínia)
Jimnastik	Ginástica
Etnoloji	Etnologia
Bra	Braço
Amedeo Avogadro	Amedeo Avogadro
Seleksyon natirèl	Seleção natural
Pwi	Poço (água)
Ashland, Lwizyana	Ashland (Luisiana)
Zou	Jardim zoológico
Dodo	Raphus cucullatus
Echèl tan jeyolojik	Escala de tempo geológico
Kristal	Cristal
Kotonou	Cotonou
Anviwònman	Meio ambiente
Zwazo mouch	Beija-flor
Idwokabi	Hidrocarboneto
Louisville, Kentucky	Louisville
Sousi	Sobrancelha
Tranblemanntè 12 janvye 2010 nan peyi Ayiti	Sismo do Haiti de 2010
Madison, Wisconsin	Madison (Wisconsin)
Kodenn	Peru (ave)
Envètebre	Invertebrados
Salem, Oregon	Salem (Oregon)
Joseph von Fraunhofer	Joseph von Fraunhofer
Ketchikan (Alaska)	Ketchikan
Wrangell (Alaska)	Wrangell (Alasca)
Prin	Prunus domestica
Eklips linè	Eclipse lunar
Inias Loyola	Inácio de Loyola
Rudolf Mössbauer	Rudolf Mössbauer
Paskal	Pascal (unidade)
Teokrasi	Teocracia
Hans Christian Orsted	Hans Christian Ørsted
Lyezon chimik	Ligação química
Chalè	Calor
Pierre-Simon Laplace	Pierre Simon Laplace
Moulen	Moinho
Epidemik	Epidemia
Vektè	Vetor (matemática)
Eduardo Galeano	Eduardo Galeano
Lapè (gen pè)	Medo
Son Doong	Son Doong
Tulsa, Oklahoma	Tulsa
Antwopi	Entropia
Port Arthur, Texas	Port Arthur
Seramik	Cerâmica
Fatra	Resíduo sólido
Satyendra Nath Bose	Satyendra Nath Bose
Flèch	Flecha
Òganèl	Organelo
William Alfred Fowler	William Alfred Fowler
Stockton, New Jersey	Stockton (Nova Jérsei)
Chan elektrik	Campo elétrico
Enèji sinetik	Energia cinética
Lacuna Coil	Lacuna Coil
Charles Babbage	Charles Babbage
Fidji Hindi	Hindi fijiano
Pèp Izrayèl la Mize	Museu de Israel
Robert Hooke	Robert Hooke
Bag	Anel
Jou (Figi)	Bochecha
Divèsite byolojik	Biodiversidade
Priyon	Príon
Estyè	Estuário
Fay (jewoloji)	Falha geológica
Lucretius	Lucrécio
Santa Monica, Kalifòni	Santa Mônica (Califórnia)
Vè (bèt)	Verme
Klowoplast	Cloroplasto
Palo Alto, Kalifòni	Palo Alto
Demi-vi	Meia-vida
Sistèm nève santral	Sistema nervoso central
Joseph John Thomson	Joseph John Thomson
Green Bay, Wisconsin	Green Bay (Wisconsin)
Paul Dirac	Paul Dirac
Nadine Gordimer	Nadine Gordimer
Charleston, Kawolin disid	Charleston (Carolina do Sul)
Bwokoli	Brócolis
Mant	Mentha
339 (almanak jilyen)	339
340 (almanak jilyen)	340
354 (almanak jilyen)	354
356 (almanak jilyen)	356
358 (almanak jilyen)	358
361 (almanak jilyen)	361
363 (almanak jilyen)	363
364 (almanak jilyen)	364
368 (almanak jilyen)	368
369 (almanak jilyen)	369
370 (almanak jilyen)	370
371 (almanak jilyen)	371
Modèl:Commonscat	Predefinição:Commonscat
376 (almanak jilyen)	376
377 (almanak jilyen)	377
378 (almanak jilyen)	378
383 (almanak jilyen)	383
384 (almanak jilyen)	384
388 (almanak jilyen)	388
Moman tòsyon	Torque
389 (almanak jilyen)	389
390 (almanak jilyen)	390
391 (almanak jilyen)	391
392 (almanak jilyen)	392
393 (almanak jilyen)	393
394 (almanak jilyen)	394
395 (almanak jilyen)	395
396 (almanak jilyen)	396
397 (almanak jilyen)	397
398 (almanak jilyen)	398
399 (almanak jilyen)	399
Dover, New Hampshire	Dover (Nova Hampshire)
23 (nonm)	Vinte e três
Latibonit (rivyè)	Rio Artibonite
Nashua, New Hampshire	Nashua
Manchester, New Hampshire	Manchester (Nova Hampshire)
Pouli	Polia
Kadav	Cadáver
Oak Ridge, Tennessee	Oak Ridge (Tennessee)
Jonathan Demme	Jonathan Demme
Nikolay Semyonov	Nikolay Semyonov
Yellow Springs, Ohio	Yellow Springs
Rido	Cortina
Nonm premye	Número primo
San Luis Obispo, Kalifòni	San Luis Obispo
Cheriton, Vijini	Cheriton
Cambridge, Massachusetts	Cambridge (Massachusetts)
West Hartford, Connecticut	West Hartford
Brookline, Massachusetts	Brookline (Massachusetts)
New Haven, Connecticut	New Haven
New London, Connecticut	New London (Connecticut)
New Bedford, Massachusetts	New Bedford (Massachusetts)
Nantucket, Massachusetts	Nantucket
Gloucester, Massachusetts	Gloucester (Massachusetts)
Springfield, Massachusetts	Springfield (Massachusetts)
Lowell, Massachusetts	Lowell (Massachusetts)
Lawrence, Massachusetts	Lawrence (Massachusetts)
Stamford, Connecticut	Stamford (Connecticut)
New Britain, Connecticut	New Britain (Connecticut)
Bridgeport, Connecticut	Bridgeport (Connecticut)
Waterbury, Connecticut	Waterbury (Connecticut)
Worcester, Massachusetts	Worcester (Massachusetts)
440 (almanak jilyen)	440
North Adams, Massachusetts	North Adams (Massachusetts)
Northampton, Massachusetts	Northampton (Massachusetts)
572 (almanak jilyen)	572
Portsmouth, New Hampshire	Portsmouth (Nova Hampshire)
Middletown, Connecticut	Middletown (Connecticut)
Brockton, Massachusetts	Brockton (Massachusetts)
Fall River, Massachusetts	Fall River (Massachusetts)
Newton, Massachusetts	Newton (Massachusetts)
Danbury, Connecticut	Danbury (Connecticut)
Somerville, Massachusetts	Somerville (Massachusetts)
Greenwich, Connecticut	Greenwich (Connecticut)
Rochester, New York	Rochester (Nova Iorque)
Irvine, Kalifòni	Irvine (Califórnia)
Fremont, Kalifòni	Fremont (Califórnia)
Scottsdale, Arizona	Scottsdale
Chesapeake, Vijini	Chesapeake (Virgínia)
Reno, Nevada	Reno (Nevada)
Norfolk, Vijini	Norfolk (Virgínia)
Orlando, Florid	Orlando
Saint Petersburg, Florid	São Petersburgo (Flórida)
Toledo, Ohio	Toledo (Ohio)
Stockton, Kalifòni	Stockton (Califórnia)
Lexington, Kentucky	Lexington (Kentucky)
Corpus Christi, Texas	Corpus Christi (Texas)
Riverside, Kalifòni	Riverside (Califórnia)
Santa Ana, Kalifòni	Santa Ana (Califórnia)
Aurora, Kolorado	Aurora (Colorado)
Anaheim, Kalifòni	Anaheim
Tampa, Florid	Tampa (Flórida)
Bakersfield, Kalifòni	Bakersfield (Califórnia)
Colorado Springs, Kolorado	Colorado Springs
Vijini Beach, Vijini	Virginia Beach
Mesa, Arizona	Mesa (Arizona)
Wichita, Kansas	Wichita (Kansas)
Henderson, Nevada	Henderson (Nevada)
Fort Wayne, Indiana	Fort Wayne (Indiana)
Chula Vista, Kalifòni	Chula Vista
Chandler, Arizona	Chandler (Arizona)
Lubbock, Texas	Lubbock
Garland, Texas	Garland (Texas)
Hialeah, Florid	Hialeah
Laj glas	Era do gelo
Touris	Turismo
Pwojektil	Projétil
Adra (Almería)	Adra
Johnny Nash	Johnny Nash
Dana Scott	Dana Scott
Eolyèn	Aerogerador
Étwal binè	Estrela binária
Garden Grove, Kalifòni	Garden Grove (Califórnia)
Koyefisyan	Coeficiente
Oconomowoc, Wisconsin	Oconomowoc
Siv	Allium schoenoprasum
Punta Arenas	Punta Arenas
Mesi	Messias
Glendale, Arizona	Glendale (Arizona)
Gilbert, Arizona	Gilbert (Arizona)
Tempe, Arizona	Tempe (Arizona)
Peoria, Arizona	Peoria (Arizona)
Surprise, Arizona	Surprise (Arizona)
Plano, Texas	Plano (Texas)
Irving, Texas	Irving (Texas)
Amarillo, Texas	Amarillo
Brownsville, Texas	Brownsville (Texas)
Grand Prairie, Texas	Grand Prairie
Pasadena, Texas	Pasadena (Texas)
Mesquite, Texas	Mesquite (Texas)
McKinney, Texas	McKinney (Texas)
McAllen, Texas	McAllen
Scranton, Kansas	Scranton (Kansas)
Maladi viris Ebola	Doença por vírus Ébola
West Valley City, Utah	West Valley City
West Jordan, Utah	West Jordan
South Jordan, Utah	South Jordan
Orem, Utah	Orem
Sandy, Utah	Sandy (Utah)
Ogden, Utah	Ogden (Utah)
St. George, Utah	St. George (Utah)
Layton, Utah	Layton (Utah)
Taylorsville, Utah	Taylorsville (Utah)
Marshall, Texas	Marshall (Texas)
Krapo	Anura
Vòl (sa fè yon vòlè)	Roubo
Nyaj elektwon	Orbital atômico
Lecompte, Lwizyana	Lecompte
Beverly, Massachusetts	Beverly (Massachusetts)
Salem, Massachusetts	Salem (Massachusetts)
Medford, Massachusetts	Medford (Massachusetts)
Malden, Massachusetts	Malden (Massachusetts)
Chelsea, Massachusetts	Chelsea (Massachusetts)
Woburn, Massachusetts	Woburn
Methuen, Massachusetts	Methuen (Massachusetts)
Fitchburg, Massachusetts	Fitchburg (Massachusetts)
Weymouth, Massachusetts	Weymouth (Massachusetts)
Norwalk, Connecticut	Norwalk (Connecticut)
West Haven, Connecticut	West Haven (Connecticut)
Meriden, Connecticut	Meriden (Connecticut)
Osmoz	Osmose
Hannes Olof Gösta Alfvén	Hannes Alfvén
Soria provens	Sória (província)
Ж	Ж
Disparisyon an mas	Extinção em massa
Kategori:Prezidan an Polòy	Categoria:Presidentes da Polónia
Kolektivite tèritoryal	Divisão administrativa
Lise Meitner	Lise Meitner
El Royo	El Royo
Philipp Lenard	Philipp Lenard
Otto Hahn	Otto Hahn
James Franck	James Franck
Max von Laue	Max von Laue
Wilhelm Wien	Wilhelm Wien
Otto Stern	Otto Stern
Daniel Gabriel Fahrenheit	Gabriel Fahrenheit
Karl Ferdinand Braun	Karl Ferdinand Braun
Johannes Stark	Johannes Stark
Emanuel Lasker	Emanuel Lasker
Maria Goeppert Mayer	Maria Goeppert-Mayer
Karl Weierstrass	Karl Weierstrass
Peter Grünberg	Peter Grünberg
Saint Pete Beach, Florid	Saint Pete Beach
Asyèt	Prato
Wolfgang Paul	Wolfgang Paul
Ferdinand Georg Frobenius	Ferdinand Georg Frobenius
Ernst Kummer	Ernst Kummer
Hermann Minkowski	Hermann Minkowski
Ernst Zermelo	Ernst Zermelo
Emil Artin	Emil Artin
Venice, Florid	Venice (Flórida)
August Ferdinand Möbius	August Ferdinand Möbius
Truong Tan Sang	Truong Tan Sang
Carsten Niebuhr	Carsten Niebuhr
Sweet Micky	Michel Martelly
Julius Plücker	Julius Plücker
Carl David Tolmé Runge	Carl Runge
Nefwon	Nefrónio
Jean-Baptiste Biot	Jean-Baptiste Biot
Petrus Apianus	Petrus Apianus
Max August Zorn	Max August Zorn
To mòtalite	Taxa de mortalidade
Edmund Landau	Edmund Landau
Elwin Bruno Christoffel	Elwin Bruno Christoffel
Adolf Hurwitz	Adolf Hurwitz
Max Born	Max Born
Marseilles, Ohio	Marseilles (Ohio)
Èbivò	Herbívoro
Busta Rhymes	Busta Rhymes
George Gamow	George Gamow
Columbia, Missouri	Columbia (Missouri)
Hermann von Helmholtz	Hermann von Helmholtz
Gottlob Frege	Gottlob Frege
Joseph Silverman	Joseph Hillel Silverman
Gustav Robert Kirchhoff	Gustav Kirchhoff
107 (nonm)	Cento e sete
Meteyorit	Meteorito
Walter Heitler	Walter Heitler
Otto Hesse	Otto Hesse
Chandrasekhara Venkata Raman	Chandrasekhara Venkata Raman
Gerhard Gentzen	Gerhard Gentzen
Napa, Kalifòni	Napa (Califórnia)
Brian Greene	Brian Greene
Ke	Cauda
Wilhelm Ackermann	Wilhelm Ackermann
Hermann Hankel	Hermann Hankel
Richard Courant	Richard Courant
Ferdinand Eisenstein	Gotthold Eisenstein
Friedrich Hund	Friedrich Hund
Hermann Schwarz	Hermann Amandus Schwarz
Pope County, Arkansas	Condado de Pope (Arkansas)
Asid gra	Ácido graxo
Vwayaj	Viagem
Max Dehn	Max Dehn
Rudolf Peierls	Rudolf Peierls
Alfred Clebsch	Alfred Clebsch
Adam Ries	Adam Ries
Carl Adam Petri	Carl Adam Petri
Walter Gerlach	Walther Gerlach
Wilhelm Jordan	Wilhelm Jordan
Arthur Moritz Schönflies	Arthur Moritz Schoenflies
Peter Andreas Hansen	Peter Andreas Hansen
Moritz Cantor	Moritz Cantor
Friedrich Hirzebruch	Friedrich Hirzebruch
Paul Drude	Paul Drude
Kurt Hensel	Kurt Hensel
Lazarus Fuchs	Lazarus Fuchs
Moritz Pasch	Moritz Pasch
Pascual Jordan	Pascual Jordan
Otto Toeplitz	Otto Toeplitz
Karl Mollweide	Karl Mollweide
Erhard Schmidt	Erhard Schmidt
Helmut Hasse	Helmut Hasse
Martin Wilhelm Kutta	Martin Wilhelm Kutta
Emil Wiechert	Emil Wiechert
Franz Ernst Neumann	Franz Ernst Neumann
Lothar Collatz	Lothar Collatz
Paul Albert Gordan	Paul Gordan
Abraham Gotthelf Kästner	Abraham Gotthelf Kästner
Ernst Steinitz	Ernst Steinitz
Lis depatman Ayiti	Lista de departamentos do Haiti
Gunter Sachs	Gunter Sachs
Woldemar Voigt	Woldemar Voigt
Pistil	Pistilo
Barranquilla	Barranquilla
Obsèvatwa	Observatório
Heike Kamerlingh Onnes	Heike Kamerlingh Onnes
John Cockcroft	John Cockcroft
Millville, Wisconsin	Millville (Wisconsin)
Roy Jay Glauber	Roy Glauber
Elektwoliz	Eletrólise
Alfred Pringsheim	Alfred Pringsheim
Oscar Schlömilch	Oscar Schlömilch
Walther von Dyck	Walther von Dyck
Wolfgang Krull	Wolfgang Krull
Bartholomaeus Pitiscus	Bartholomaeus Pitiscus
Oskar Perron	Oskar Perron
Friedrich Ernst Dorn	Friedrich Ernst Dorn
Adam Lonicer	Adam Lonicer
Hans Carl Friedrich von Mangoldt	Hans Carl Friedrich von Mangoldt
Yuri Manin	Yuri Manin
Leo August Pochhammer	Leo Pochhammer
Erich Kähler	Erich Kähler
Richard Brauer	Richard Brauer
Ludwig Bieberbach	Ludwig Bieberbach
Paul Peter Ewald	Paul Peter Ewald
Carl Wilhelm Borchardt	Carl Wilhelm Borchardt
Philipp von Jolly	Philipp von Jolly
Jürgen Moser	Jürgen Moser
Lorenz Christoph Mizler	Lorenz Christoph Mizler
Volker Strassen	Volker Strassen
Carl Gustav Axel Harnack	Carl Gustav Axel Harnack
Heinz Prüfer	Heinz Prüfer
Jacob Theodor Klein	Jakob Theodor Klein
Kurt Reidemeister	Kurt Reidemeister
Constantin Carathéodory	Constantin Carathéodory
Theodor Kaluza	Theodor Kaluza
Carl Friedrich von Weizsäcker	Carl Friedrich von Weizsäcker
Clayhatchee (Alabama)	Clayhatchee
Oak Hill (Alabama)	Oak Hill (Alabama)
Hurtsboro (Alabama)	Hurtsboro
Skyline (Alabama)	Skyline (Alabama)
Pine Apple (Alabama)	Pine Apple (Alabama)
Grimes (Alabama)	Grimes (Alabama)
McIntosh (Alabama)	McIntosh (Alabama)
Sardis City (Alabama)	Sardis City (Alabama)
Yellow Bluff (Alabama)	Yellow Bluff (Alabama)
Wilton (Alabama)	Wilton (Alabama)
Pickensville (Alabama)	Pickensville (Alabama)
Lowndesboro (Alabama)	Lowndesboro (Alabama)
North Courtland (Alabama)	North Courtland (Alabama)
Pine Hill (Alabama)	Pine Hill (Alabama)
Indian Springs Village (Alabama)	Indian Springs Village
