Yn Affrick	África
Yn Valta	Malta
Yn Flandyryn	Flandres
Monaco	Mónaco
Montenegro	Montenegro
Ard-valley yn Phaab	Vaticano
San Marino	San Marino
Yn Vrussyl	Bruxelas
Yn Choobey	Cuba
Yn Veleesh	Belize
Barbados	Barbados
Yn Indoneesh	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turkish	Língua turca
Yn Affrick Yiass	África do Sul
Yn Algear	Argélia
Yn Oosbeckistaan	Uzbequistão
Poznań	Poznań
Warszawa	Varsóvia
Feeyn	Vinho
Ushtey	Água
Coinnagh	Cognac (bebida)
Çhellveeish	Televisão
Eeslynnish	Língua islandesa
Yn Çhillee	Chile
Yeesey Chreest	Jesus
Elvis Presley	Elvis Presley
Curain	Mercúrio (planeta)
Shennaghys	História
Badlag	Vénus (planeta)
Çhengey (çhaghteraght)	Linguagem
Co-rollageys	Galáxia
Iupiter	Júpiter (planeta)
Raad Mooar Ree Gorree	Via Láctea
Uraanus	Urano (planeta)
Yn Vritaan (çheer)	Bretanha
Nicolas Sarkozy	Nicolas Sarkozy
Neptioon	Netuno (planeta)
Rollageydys	Astronomia
Singapore	Singapura
Oaylleeaght	Ciência
Pluto	Plutão
Cooid vog heyr	Software livre
Kemper	Quimper
Liechtenstein	Liechtenstein
Spoyrt	Desporto
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Yn Chied Chaggey Dowanagh	Primeira Guerra Mundial
Yn Nah Chaggey Dowanagh	Segunda Guerra Mundial
Koloin	Colônia (Alemanha)
Vodka	Vodca
Clag (traa)	Relógio
Yanka Kupala	Yanka Kupala
Skopje	Escópia
Gdynia	Gdynia
Szczecin	Estetino
Maddaght	Matemática
Ladjyn	Língua latina
Bahrain	Bahrein
Yn Armeain	Arménia
Yn Serb	Sérvia
Yn Eayst	Lua
İstanbul	Istambul
Yn Austrail	Austrália
Fishig	Física
Yn Argenteen	Argentina
Yn Pheroo	Peru
Bea-oaylleeaght	Biologia
Yn Chorea Twoaie	Coreia do Norte
Yn Chamboyd	Camboja
Cryss Kuiper	Cintura de Kuiper
Jeeneysoar	Dinossauros
Baagh-oaylleeaght	Zoologia
Yn Islam	Islão
Peear	Pera
Ljubljana	Liubliana
Lus-oaylleeaght	Botânica
Lech Wałęsa	Lech Wałęsa
Yn Unnaneys Oarpagh	União Europeia
Rhône-Alpes	Ródano-Alpes
Sofia	Sófia
Feeleeaght	Poesia
Limon	Limão
Bananey	Banana
Caayr	Cidade
Fyshoaylleeaght	Fisiologia
Rollage	Estrela
Yn Ghrian	Sol
PSR B1257+12	PSR B1257+12
Balley beg	Aldeia
Corys ny Greiney	Sistema Solar
Yn Vooir Valtagh	Mar Báltico
Wisła	Rio Vístula
Hiddragien	Hidrogénio
Hailium	Hélio
Angela Merkel	Angela Merkel
Litçhey	Lítio
Beryllium	Berílio
Lioar	Livro
Laa	Dia
Yn Teemor Hiar	Timor-Leste
Blein	Ano
Łódź	Łódź
Oslo	Oslo
Bonn	Bona
Katowice	Katowice
Towl doo	Buraco negro
Keres (planaid crivassanagh)	Ceres (planeta anão)
Lisboa	Lisboa
Rzeszów	Rzeszów
Makemake (planaid crivassanagh)	Makemake
Eris (planaid crivassanagh)	Éris (planeta anão)
Boron	Boro
Carboan	Carbono
Neetragien	Azoto
Ocsygien	Oxigénio
Planaid	Planeta
Kiaull	Música
Neva (awin)	Rio Neva
Tempreilyssane	Termômetro
Roazhon	Rennes
Lille	Lille
Moscow	Moscovo
Fluoreen	Flúor
Iddaalish	Língua italiana
Neoin	Néon
Caayr Pheddyr	São Petersburgo
Shad	Chade
Sodjum	Sódio
Magnaishum	Magnésio
Ollymin	Alumínio
Yn Teelynn Noa	Nova Zelândia
Yn Injey	Índia
Shillagon	Silício
Frankium	Frâncio
Tuvalu	Tuvalu
Fosfaar	Fósforo
Yiarn	Ferro
Yn Tongey	Tonga
Sulfur	Enxofre
Samoa	Samoa
Ny h-Ellanyn Holomon	Ilhas Salomão
Vanuatu	Vanuatu
Cloreen	Cloro
Papooey Guinea Noa	Papua-Nova Guiné
Yn Ollan Yiass	Holanda do Sul
Palau	Palau
Argon	Árgon
Naaroo	Nauru
Yn Ollan Hwoaie	Holanda do Norte
Steatyn Conastit y Vynneeys	Estados Federados da Micronésia
Potashum	Potássio
Yn Teelynn, y Çheer Injil	Zelândia (Países Baixos)
Kelkium	Cálcio
Flevoland	Flevolândia
Leoaie	Chumbo
Ny h-Ellanyn Varshyl	Ilhas Marshall
Yn Chiribati	Kiribati
Yn Vongoil	Mongólia
Fiji	Fiji
Scandjum	Escândio
Çhitaanium	Titânio
Yn Veneswaaley	Venezuela
Vanaadjum	Vanádio
Maine	Maine
Cromium	Crômio
Cabbyl	Equus ferus caballus
Amsterdam	Amesterdão
Baagh	Animalia
Yn Toorinam	Suriname
Manganaish	Manganês
Yn Pharaguay	Paraguai
Geeaaney	Guiana
Ellyn	Arte
Ecuador	Equador
Rainium	Rênio
Yn Cholombey	Colômbia
Cobalt	Cobalto
Tungsten	Tungstênio
Nickyl	Níquel
Groningen (caayr)	Groninga
Yn Volivia	Bolívia
Osmium	Ósmio
Groningen (queiggey)	Groninga (província)
Cobbyr	Cobre
Trinaid as Tobago	Trinidad e Tobago
Lus	Plantae
Noo Winsen as ny Grenadeenyn	São Vicente e Granadinas
Shinc	Zinco
New Hampshire	Nova Hampshire
Noo Lucia	Santa Lúcia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Noo Kitts as Nevis	São Cristóvão e Nevis
Fungys	Fungi
Yn Yamaicey	Jamaica
Grenada	Granada (país)
Yn Reeshlann (queiggey)	Frísia (província)
Massachusetts	Massachusetts
Drenthe	Drente
Overijssel	Overissel
Yn Ghuatemaley	Guatemala
Gelderland	Guéldria
Utrecht (queiggey)	Utrecht (província)
Ny Bahamaghyn	Bahamas
Connecticut	Connecticut
Antigua as Barbuda	Antígua e Barbuda
Hawaii	Havaí
Ny Hondooraghyn	Honduras
Dominica	Dominica
Jersee	Jersey
Yn Phobblaght Ghominicagh	República Dominicana
Muc	Sus domesticus
Yn Vooir Arctagh	Oceano Ártico
Haiti	Haiti
Yn Salvador	El Salvador
Yn Eeraan	Irão
Yn Earack	Iraque
Alaska	Alasca
Yn Coose Berçhagh	Costa Rica
Israel	Israel
Utrecht (caayr)	Utrecht
Yn Phanamaa	Panamá
Yn Yeaman	Iémen
Polynnish	Língua polaca
Yn Jordaan	Jordânia
Yn Nickeraag	Nicarágua
Florida	Flórida
Yn Chyrgistaan	Quirguistão
Arizona	Arizona
Yn Choowait	Kuwait
Yn Laos	Laos
Yn Livaan	Líbano
Oregon	Oregon
Ny Maldeevaghyn	Maldivas
Utah	Utah
Yn Valaysia	Malásia
Myanmar	Myanmar
Nepaal	Nepal
Yn Omaan	Omã
Yn Phakistaan	Paquistão
Yn Chatar	Catar
Yn Araab Saudi	Arábia Saudita
Sri Lanka	Sri Lanka
Yn Teer	Síria
Gallium	Gálio
Yn Tajikistaan	Tajiquistão
Pobblaght ny Sheen	República da China
Germaanium	Germânio
Yn Çheer Thai	Tailândia
Traen	Trem
Arsnick	Arsênio
Radio	Rádio (telecomunicações)
Yn Turkmenistaan	Turquemenistão
Shellainium	Selênio
Iriddjum	Irídio
Ny h-Emmiraidyn Arabagh Unnaneysit	Emirados Árabes Unidos
Bromeen	Bromo
Platinum	Platina
Yn Vietnam	Vietname
Novosibirsk	Novosibirsk
Yn Chorea Yiass	Coreia do Sul
Krypton	Crípton
Yn Afghanistaan	Afeganistão
J. R. R. Tolkien	J. R. R. Tolkien
Rubiddjum	Rubídio
Airh	Ouro
Yn Vangladesh	Bangladesh
Rostov-na-Donu	Rostov do Don
Malee	Mali
Angoley	Angola
Yn Vutaan	Butão
Brunei	Brunei
Tanzania	Tanzânia
Mercur	Mercúrio (elemento químico)
Ny h-Ellanyn Philippeenagh	Filipinas
Pobblaght yn Affrick Veanagh	República Centro-Africana
Thallium	Tálio
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Stroinçhum	Estrôncio
Yttrium	Ítrio
Bismut	Bismuto
Yn Togo	Togo
Yn Tooneesh	Tunísia
Yn Tambia	Zâmbia
Yn Çhimbabwe	Zimbabwe
Beijing	Pequim
Yn Toodaan Yiass	Sudão do Sul
Benin	Benim
Yn Votswaan	Botswana
Burkina Faso	Burkina Faso
Burundee	Burundi
Ny h-Ellanyn Chomoro	Comores
Pobblaght ny Congo	República do Congo
Pobblaght Gheynlagh ny Congo	República Democrática do Congo
Djibouti	Djibouti
Polonium	Polônio
Yn Vaveyr	Baviera
Guinea Chryss ny Cruinney	Guiné Equatorial
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritreia
Delhi Noa	Nova Deli
Tbilisi	Tbilisi
Astatçheen	Ástato
Gabon	Gabão
Caslys-skeeal	Banda desenhada
Yn Ghambia	Gâmbia
Yn Ghuinea	Guiné
Yn Ghuinea-Bissau	Guiné-Bissau
Yn Clyst Iuaagagh	Costa do Marfim
Cameroon	Camarões
Yn Rheynn Ghlass	Cabo Verde
Lesoto	Lesoto
Yn Laibeer	Libéria
Yn Leeb	Líbia
Madagascar	Madagáscar
Malawi	Malawi
Stuttgart	Estugarda
Yn Varitaan	Mauritânia
Ellan Wirrish	Maurícia
Yn Varoc	Marrocos
Yn Vosambeeck	Moçambique
Yn Nameeb	Namíbia
Yn Neegeyr	Níger
Yn Naigeer	Nigéria
Charles Darwin	Charles Darwin
Ooganda	Uganda
Rooandey	Ruanda
Shirconium	Zircônio
São Tomé as Príncipe	São Tomé e Príncipe
Yn Tenegaal	Senegal
Ny h-Ellanyn Heshell	Seicheles
Carolus Linnaeus	Carolus Linnaeus
Sierra Leone	Serra Leoa
Yn Tomaal	Somália
Neeobium	Nióbio
Jool Kaesar	Júlio César
Yn Toodaan	Sudão
Yn Çheer Swassee	Suazilândia
Goal twoaie	Arco-íris
Molybdenum	Molibdênio
Çheghnaiçhum	Tecnécio
Hamburg	Hamburgo
Ny h-Ashoonyn Unnaneysit	Organização das Nações Unidas
Dante Alighieri	Dante Alighieri
Çheer-oaylleeaght	Geografia
Ennymockle	Substantivo
Praag	Praga
Rutainium	Rutênio
Roydjum	Ródio
Pallaadjum	Paládio
Argid (bunstoo)	Prata
Cadmium	Cádmio
Limburg, y Çheer Injil	Limburgo (Países Baixos)
Indjum	Índio (elemento químico)
Stainney	Estanho
Uraanium	Urânio
Antimoan	Antimônio
Çhellurium	Telúrio
Brabant Hwoaie	Brabante do Norte
Plutonium	Plutónio
Eeadeen	Iodo
Nepçhunium	Neptúnio
Xenon	Xenônio
Kaishum	Césio
Protaghtinnium	Protactínio
Baarium	Bário
Thorium	Tório
Hafnium	Háfnio
Aghtinnium	Actínio
Tantalum	Tântalo (elemento químico)
Bill Clinton	Bill Clinton
Raadjum	Rádio (elemento químico)
Raadon	Rádon
Auvergne (ard)	Auvérnia
Michigan	Michigan
Aquitaine	Aquitânia
Yn Phurt Verçhagh	Porto Rico
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklemburgo-Pomerânia Ocidental
Niedersachsen	Baixa Saxônia
Yn Rhine Hwoaie-Westfalen	Renânia do Norte-Vestfália
Hessen	Hesse
Çheer ny Rhiney as y Phalateenaght	Renânia-Palatinado
Saarland	Sarre
Sachsen	Saxônia
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Turíngia
Sachsen-Anhalt	Saxônia-Anhalt
Dakota Hwoaie	Dakota do Norte
Brandenburg	Brandemburgo
Bremen (steat)	Bremen (estado)
Dakota Yiass	Dakota do Sul
Montana	Montana
Wyoming	Wyoming
Jerusalem	Jerusalém
Idaho	Idaho
Washington	Washington
Rutherfordium	Rutherfórdio
Nevada	Nevada
Dubnium	Dúbnio
Seeborgium	Seabórgio
Yn Keayn Injinagh	Oceano Índico
Kosovo	Kosovo
Yn Vooir Charibagh	Mar do Caribe
Bohrium	Bóhrio
Hassium	Hássio
Meitnerium	Meitnério
Colorado	Colorado
Darmstadtium	Darmstácio
Frédéric Chopin	Frédéric Chopin
Roentgenium	Roentgênio
Copernicium	Copernício
Chicago	Chicago
The Beatles	The Beatles
Oonoontrium	Unúntrio
Flerovium	Fleróvio
Oonoonpençhum	Ununpêntio
Livermorium	Livermório
Oonoonsepçhum	Ununséptio
Oonoonoctium	Ununóctio
Geurey	Inverno
Arragh	Primavera
Sourey	Verão
Fouyr (imbagh)	Outono
Spaainish	Língua castelhana
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Kiaulldramey	Ópera
Apag	Macaco
Yn Virjeeney	Virgínia
Yn Virjeeney Heear	Virgínia Ocidental
York Noa (steat)	Nova Iorque (estado)
Kerrium	Cério
Prashodymmium	Praseodímio
Ellan Rhode	Rhode Island
Niodymium	Neodímio
Insecta	Insetos
Maryland	Maryland
Delaware	Delaware
Oarpium	Európio
Ohio	Ohio
Pennsylvania	Pensilvânia
Uetersen	Uetersen
New Jersey	Nova Jérsia
Gibraaltar	Gibraltar
Finnlynnish	Língua finlandesa
Indiana	Indiana
Gleashtan	Automóvel
Roger Federer	Roger Federer
Yn Çhorshey (steat)	Geórgia (Estados Unidos)
Zagreb	Zagreb
Texas	Texas
Carolina Hwoaie	Carolina do Norte
Carolina Yiass	Carolina do Sul
Yn Tardeen	Sardenha
Buenos Aires	Buenos Aires
Annane	Ananás
Mississippi	Mississippi
Yn Phatagoan	Patagónia
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abidjã
Astana	Astana
New Mexico	Novo México
Yn Atheen	Atenas
Minnesota	Minnesota
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindish	Língua hindi
Tudjeen	Cigarro
Missouri	Missouri
Louisiana	Luisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Mooir Hostyn	Mar do Norte
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	Munique
Veen	Viena
København	Copenhaga
Queiggey Kaliningrad	Oblast de Kaliningrado
Stockholm	Estocolmo
Helsinki	Helsínquia
Divlyn	Dublin
Reykjavík	Reykjavík
Tallinn	Tallinn
Rīga	Riga
Bratislava	Bratislava
Budapest	Budapeste
Gdańsk	Gdańsk
Frankfurt	Frankfurt am Main
Wrocław	Breslávia
Lantanum	Lantânio
Promaiçhum	Promécio
Unnid rollageagh	Unidade astronômica
Samaarium	Samário
Gadolinnium	Gadolínio
Çherbium	Térbio
Lucsemburg (caayr)	Luxemburgo (cidade)
Dysproshum	Disprósio
Vaduz	Vaduz
Yn Vible	Bíblia
Holmium	Hólmio
San Marino (caayr)	San Marino (cidade)
Erbium	Érbio
Thulium	Túlio
Caayr Ho Chi Minh	Cidade de Ho Chi Minh
Ytterbium	Itérbio
Lootaiçhum	Lutécio
Agglish Yeesey Firrinagh	Verdadeira Igreja de Jesus
Baarle	Língua inglesa
Andorra la Vella	Andorra-a-Velha
Americium	Amerício
Curium	Cúrio
Dong Hoi	Dong Hoi
Concepción, y Çhillee	Concepción (Chile)
Berkelium	Berquélio
Californium	Califórnio
Einsteinium	Einstênio
Fermium	Férmio
Mendelevium	Mendelévio
Kyiv	Kiev
Nobelium	Nobélio
Ontario	Ontário
Lawrencium	Laurêncio
Manitoba	Manitoba
Alberta	Alberta
Nalbin Noa	Nova Escócia
Yerevan	Erevan
Końskowola	Końskowola
New Brunswick	Nova Brunswick
Yn Cholombey Ghoaldagh	Colúmbia Britânica
Ellan y Phrinse Edard	Ilha do Príncipe Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Daa-ocseed charboan	Dióxido de carbono
2013	2013
2014	2014
Thalloo yn Eeast as Labrador	Terra Nova e Labrador
2008	2008
Thallooyn yn Eear Hwoaie	Territórios do Noroeste
Yukon	Yukon
2004	2004
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Monocseed charboan	Monóxido de carbono
Iqaluit	Iqaluit
1900	1900
1901	1901
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nuremberga
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Bielefeld	Bielefeld
1 Jerrey Geuree	1 de janeiro
2 Jerrey Geuree	2 de janeiro
1920	1920
3 Jerrey Geuree	3 de janeiro
1919	1919
1921	1921
1922	1922
4 Jerrey Geuree	4 de janeiro
1923	1923
1924	1924
Pobblaght Hoveidjagh Chonastagh Hoshiallagh ny Roosh	República Socialista Federativa Soviética da Rússia
Georges Pompidou	Georges Pompidou
Planaid crivassanagh	Planeta anão
5 Jerrey Geuree	5 de janeiro
6 Jerrey Geuree	6 de janeiro
7 Jerrey Geuree	7 de janeiro
8 Jerrey Geuree	8 de janeiro
9 Jerrey Geuree	9 de janeiro
10 Jerrey Geuree	10 de janeiro
11 Jerrey Geuree	11 de janeiro
12 Jerrey Geuree	12 de janeiro
13 Jerrey Geuree	13 de janeiro
Birmingham	Birmingham
14 Jerrey Geuree	14 de janeiro
15 Jerrey Geuree	15 de janeiro
16 Jerrey Geuree	16 de janeiro
Tom Hanks	Tom Hanks
17 Jerrey Geuree	17 de janeiro
18 Jerrey Geuree	18 de janeiro
19 Jerrey Geuree	19 de janeiro
20 Jerrey Geuree	20 de janeiro
21 Jerrey Geuree	21 de janeiro
22 Jerrey Geuree	22 de janeiro
23 Jerrey Geuree	23 de janeiro
24 Jerrey Geuree	24 de janeiro
25 Jerrey Geuree	25 de janeiro
Minsk	Minsk
26 Jerrey Geuree	26 de janeiro
27 Jerrey Geuree	27 de janeiro
28 Jerrey Geuree	28 de janeiro
29 Jerrey Geuree	29 de janeiro
30 Jerrey Geuree	30 de janeiro
31 Jerrey Geuree	31 de janeiro
2 Mee ny Nollick	2 de dezembro
1 Mee ny Nollick	1 de dezembro
3 Mee ny Nollick	3 de dezembro
7 Mee ny Nollick	7 de dezembro
5 Mee ny Nollick	5 de dezembro
8 Mee ny Nollick	8 de dezembro
10 Mee ny Nollick	10 de dezembro
6 Mee ny Nollick	6 de dezembro
9 Mee ny Nollick	9 de dezembro
4 Mee ny Nollick	4 de dezembro
1 Toshiaght Arree	1 de fevereiro
2 Toshiaght Arree	2 de fevereiro
Cloreed sodjum	Cloreto de sódio
3 Toshiaght Arree	3 de fevereiro
Kurów	Kurów
4 Toshiaght Arree	4 de fevereiro
5 Toshiaght Arree	5 de fevereiro
6 Toshiaght Arree	6 de fevereiro
7 Toshiaght Arree	7 de fevereiro
8 Toshiaght Arree	8 de fevereiro
9 Toshiaght Arree	9 de fevereiro
10 Toshiaght Arree	10 de fevereiro
Kemmig	Química
14 Toshiaght Arree	14 de fevereiro
13 Toshiaght Arree	13 de fevereiro
15 Toshiaght Arree	15 de fevereiro
11 Toshiaght Arree	11 de fevereiro
12 Toshiaght Arree	12 de fevereiro
19 Toshiaght Arree	19 de fevereiro
17 Toshiaght Arree	17 de fevereiro
16 Toshiaght Arree	16 de fevereiro
18 Toshiaght Arree	18 de fevereiro
20 Toshiaght Arree	20 de fevereiro
21 Toshiaght Arree	21 de fevereiro
22 Toshiaght Arree	22 de fevereiro
23 Toshiaght Arree	23 de fevereiro
24 Toshiaght Arree	24 de fevereiro
25 Toshiaght Arree	25 de fevereiro
26 Toshiaght Arree	26 de fevereiro
27 Toshiaght Arree	27 de fevereiro
28 Toshiaght Arree	28 de fevereiro
11 Mee ny Nollick	11 de dezembro
29 Toshiaght Arree	29 de fevereiro
12 Mee ny Nollick	12 de dezembro
13 Mee ny Nollick	13 de dezembro
14 Mee ny Nollick	14 de dezembro
15 Mee ny Nollick	15 de dezembro
2 Mayrnt	2 de março
3 Mayrnt	3 de março
5 Mayrnt	5 de março
1 Mayrnt	1 de março
7 Mayrnt	7 de março
8 Mayrnt	8 de março
4 Mayrnt	4 de março
10 Mayrnt	10 de março
11 Mayrnt	11 de março
6 Mayrnt	6 de março
13 Mayrnt	13 de março
9 Mayrnt	9 de março
12 Mayrnt	12 de março
15 Mayrnt	15 de março
14 Mayrnt	14 de março
16 Mee ny Nollick	16 de dezembro
17 Mee ny Nollick	17 de dezembro
16 Mayrnt	16 de março
17 Mayrnt	17 de março
18 Mayrnt	18 de março
19 Mayrnt	19 de março
1989	1989
1988	1988
20 Mayrnt	20 de março
1987	1987
1986	1986
1985	1985
1984	1984
21 Mayrnt	21 de março
1983	1983
22 Mayrnt	22 de março
1982	1982
1981	1981
18 Mee ny Nollick	18 de dezembro
1980	1980
23 Mayrnt	23 de março
19 Mee ny Nollick	19 de dezembro
24 Mayrnt	24 de março
25 Mayrnt	25 de março
20 Mee ny Nollick	20 de dezembro
26 Mayrnt	26 de março
27 Mayrnt	27 de março
28 Mayrnt	28 de março
29 Mayrnt	29 de março
30 Mayrnt	30 de março
31 Mayrnt	31 de março
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
15 Averil	15 de abril
13 Averil	13 de abril
12 Averil	12 de abril
14 Averil	14 de abril
11 Averil	11 de abril
10 Averil	10 de abril
8 Averil	8 de abril
9 Averil	9 de abril
7 Averil	7 de abril
6 Averil	6 de abril
5 Averil	5 de abril
4 Averil	4 de abril
3 Averil	3 de abril
1 Averil	1 de abril
2 Averil	2 de abril
Fodreayrtan Spoar Hubble	Telescópio espacial Hubble
Helmut Schmidt	Helmut Schmidt
16 Averil	16 de abril
17 Averil	17 de abril
18 Averil	18 de abril
19 Averil	19 de abril
20 Averil	20 de abril
21 Averil	21 de abril
22 Averil	22 de abril
23 Averil	23 de abril
24 Averil	24 de abril
25 Averil	25 de abril
26 Averil	26 de abril
27 Averil	27 de abril
28 Averil	28 de abril
29 Averil	29 de abril
30 Averil	30 de abril
1 Boaldyn	1 de maio
2 Boaldyn	2 de maio
3 Boaldyn	3 de maio
4 Boaldyn	4 de maio
5 Boaldyn	5 de maio
6 Boaldyn	6 de maio
7 Boaldyn	7 de maio
8 Boaldyn	8 de maio
9 Boaldyn	9 de maio
10 Boaldyn	10 de maio
11 Boaldyn	11 de maio
12 Boaldyn	12 de maio
13 Boaldyn	13 de maio
14 Boaldyn	14 de maio
15 Boaldyn	15 de maio
Titan (fo-phlannad)	Titã (satélite)
16 Boaldyn	16 de maio
17 Boaldyn	17 de maio
18 Boaldyn	18 de maio
19 Boaldyn	19 de maio
20 Boaldyn	20 de maio
21 Boaldyn	21 de maio
22 Boaldyn	22 de maio
23 Boaldyn	23 de maio
24 Boaldyn	24 de maio
25 Boaldyn	25 de maio
26 Boaldyn	26 de maio
27 Boaldyn	27 de maio
28 Boaldyn	28 de maio
29 Boaldyn	29 de maio
30 Boaldyn	30 de maio
31 Boaldyn	31 de maio
Paul McCartney	Paul McCartney
21 Mee ny Nollick	21 de dezembro
14 Mean Souree	14 de junho
15 Mean Souree	15 de junho
13 Mean Souree	13 de junho
10 Mean Souree	10 de junho
7 Mean Souree	7 de junho
11 Mean Souree	11 de junho
9 Mean Souree	9 de junho
12 Mean Souree	12 de junho
6 Mean Souree	6 de junho
8 Mean Souree	8 de junho
5 Mean Souree	5 de junho
3 Mean Souree	3 de junho
2 Mean Souree	2 de junho
1 Mean Souree	1 de junho
4 Mean Souree	4 de junho
Ringo Starr	Ringo Starr
22 Mee ny Nollick	22 de dezembro
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16 Mean Souree	16 de junho
30 Mean Souree	30 de junho
29 Mean Souree	29 de junho
28 Mean Souree	28 de junho
26 Mean Souree	26 de junho
25 Mean Souree	25 de junho
22 Mean Souree	22 de junho
27 Mean Souree	27 de junho
24 Mean Souree	24 de junho
20 Mean Souree	20 de junho
23 Mean Souree	23 de junho
19 Mean Souree	19 de junho
18 Mean Souree	18 de junho
21 Mean Souree	21 de junho
17 Mean Souree	17 de junho
