Āfrika	África
Stīvijs Vonders	Stevie Wonder
Heilbronna	Heilbronn
Titāns	Titânio
Venecuēla	Venezuela
Šahs	Xadrez
Čingishans	Gengis Khan
Vanādijs	Vanádio
Meina	Maine
Hroms	Crômio
Mājas zirgs	Equus ferus caballus
Amsterdama	Amesterdão
Ierocis	Arma
Dzīvnieki	Animalia
Surinama	Suriname
Mangāns	Manganês
Paragvaja	Paraguai
Gajāna	Guiana
Māksla	Arte
Ekvadora	Equador
Rēnijs	Rênio
Kolumbija	Colômbia
Kobalts	Cobalto
Žans Rasins	Jean Racine
Volframs	Tungstênio
Niķelis	Níquel
Zemenes	Morangueiro
Pjērs Korneijs	Pierre Corneille
Budisms	Budismo
Groningena	Groninga
Bolīvija	Bolívia
Osmijs	Ósmio
Groningena (province)	Groninga (província)
Varš	Cobre
Trinidāda un Tobāgo	Trinidad e Tobago
Pols Verlēns	Paul Verlaine
Augi	Plantae
Sentvinsenta un Grenadīnas	São Vicente e Granadinas
Cinks	Zinco
Ņūhempšīra	Nova Hampshire
Sentlūsija	Santa Lúcia
Bjalistoka	Białystok
Leonardo da Vinči	Leonardo da Vinci
Sentkitsa un Nevisa	São Cristóvão e Nevis
Sēnes	Fungi
Dario Fo	Dario Fo
Jamaika	Jamaica
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Granada (país)
Frīzlande	Frísia (província)
Masačūsetsa	Massachusetts
Drente	Drente
Overeisela	Overissel
Gvatemala	Guatemala
Gelderlande	Guéldria
Utrehta (province)	Utrecht (província)
Google Chrome	Google Chrome
Bahamas	Bahamas
Konektikuta	Connecticut
Mājas vista	Gallus gallus domesticus
Antigva un Barbuda	Antígua e Barbuda
Havajas	Havaí
Hondurasa	Honduras
Dominika	Dominica
Džērsija	Jersey
Dominikāna	República Dominicana
Mājas cūka	Sus domesticus
Ziemeļu Ledus okeāns	Oceano Ártico
Haiti	Haiti
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu
Salvadora	El Salvador
Zvolle	Zwolle
Irāna	Irão
Irāka	Iraque
Aļaska	Alasca
Asena	Assen
Gudrība	Sapiência
Kostarika	Costa Rica
Izraēla	Israel
Novi Sonča	Nowy Sącz
Utrehta	Utrecht
Panama	Panamá
Jemena	Iémen
Lozanna	Lausana
Vīruss	Vírus
Poļu valoda	Língua polaca
Jordānija	Jordânia
Nikaragva	Nicarágua
Florida	Flórida
Kirgizstāna	Quirguistão
Arizona	Arizona
Kuveita	Kuwait
Laosa	Laos
Libāna	Líbano
Oregona	Oregon
Maldīvija	Maldivas
Amerika	América
Jūta	Utah
Liellops	Bos taurus
Malaizija	Malásia
Valē kantons	Valais (cantão)
Mihails Bulgakovs	Mikhail Bulgákov
Mjanma	Myanmar
Nepāla	Nepal
Omāna	Omã
Pakistāna	Paquistão
Džeimss Bonds	James Bond
Katara	Catar
Teniss	Ténis
MySQL	MySQL
Saūda Arābija	Arábia Saudita
Andrejs Tarkovskis	Andrei Tarkovski
Šrilanka	Sri Lanka
Josifs Staļins	Josef Stalin
Svītrkods	Código de barras
Sīrija	Síria
Platons	Platão
Gallijs	Gálio
Josifs Brodskis	Joseph Brodsky
Tadžikistāna	Tajiquistão
Pokemoni	Pokémon
Ķīnas Republika	República da China
YouTube	YouTube
Germānijs	Germânio
Aristotelis	Aristóteles
Taizeme	Tailândia
Vilciens	Trem
Arsēns	Arsênio
Radio	Rádio (telecomunicações)
Merila Strīpa	Meryl Streep
Turkmenistāna	Turquemenistão
Abakana	Abakan
Selēns	Selênio
Irīdijs	Irídio
Apvienotie Arābu Emirāti	Emirados Árabes Unidos
Broms	Bromo
Platīns	Platina
Vjetnama	Vietname
Čārlijs Čaplins	Charlie Chaplin
Novosibirska	Novosibirsk
Dienvidkoreja	Coreia do Sul
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	Os Simpsons
Jekaterinburga	Ecaterimburgo
Kriptons	Crípton
Afganistāna	Afeganistão
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Níjni Novgorod
Džons Ronalds Rūels Tolkīns	J. R. R. Tolkien
Samara	Samara (Rússia)
Rubīdijs	Rubídio
Zelts	Ouro
Omska	Omsk
Suecas kanāls	Canal de Suez
Kazaņa	Cazã
Zinātnieks	Cientista
Bangladeša	Bangladesh
Bleach (manga)	Bleach (mangá)
Francs Kafka	Franz Kafka
Čeļabinska	Cheliabinsk
Gordons Frīmens	Gordon Freeman
Rostova pie Donas	Rostov do Don
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokrats	Sócrates
Volgograda	Volgogrado
Angola	Angola
Perma	Perm
Butāna	Butão
Twitter	Twitter
Krasnojarska	Krasnoyarsk
Bruneja	Brunei
Tanzānija	Tanzânia
Dzīvsudrabs	Mercúrio (elemento químico)
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Filipinas
Centrālāfrikas Republika	República Centro-Africana
Naruto Udzumaki	Naruto Uzumaki
Tallijs	Tálio
Dienvidpols	Polo Sul
Ziemeļpols	Polo Norte
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Albert Einstein
Stroncijs	Estrôncio
Pedru I	Pedro I do Brasil
Narkotikas	Narcótico
Itrijs	Ítrio
Bismuts	Bismuto
Dzeltenā krāsa	Amarelo
Kvantu mehānika	Mecânica quântica
Togo	Togo
Donalds Tusks	Donald Tusk
Tunisija	Tunísia
Džons Bardīns	John Bardeen
Zambija	Zâmbia
Zimbabve	Zimbabwe
Pekina	Pequim
Dienvidsudāna	Sudão do Sul
Vladivostoka	Vladivostok
Tiva	Tuva
Benina	Benim
Botsvana	Botswana
Wikinews	Wikinotícias
Burkinafaso	Burkina Faso
Burundi	Burundi
Komoras	Comores
Kongo Republika	República do Congo
Alkmāra	Alkmaar
Oba	Rio Ob
Kongo Demokrātiskā Republika	República Democrática do Congo
Sanantonio	San Antonio
Tomska	Tomsk
Džibutija	Djibouti
Mēme	Meme
Polonijs	Polônio
Bavārija	Baviera
Ekvatoriālā Gvineja	Guiné Equatorial
Bādene-Virtemberga	Baden-Württemberg
Eritreja	Eritreia
Ņūdeli	Nova Deli
Jānis Pāvils II	Papa João Paulo II
Fjodors Dostojevskis	Fiódor Dostoiévski
Amersforta	Amersfoort
Kamčatkas pussala	Península de Kamchatka
Tbilisi	Tbilisi
Andrejs Saharovs	Andrei Sakharov
Astats	Ástato
Gabona	Gabão
Mohandass Karamčands Gandijs	Mahatma Gandhi
Čukču pussala	Península de Chukotka
Komikss	Banda desenhada
Gambija	Gâmbia
Gvineja	Guiné
Gvineja-Bisava	Guiné-Bissau
Kotdivuāra	Costa do Marfim
Kamerūna	Camarões
Maribora	Maribor
Kaboverde	Cabo Verde
Lesoto	Lesoto
Libērija	Libéria
Lībija	Líbia
Āhene	Aquisgrano
Madagaskara	Madagáscar
Malāvija	Malawi
Štutgarte	Estugarda
Mauritānija	Mauritânia
Poļi	Polacos
Maurīcija	Maurícia
Maroka	Marrocos
Mozambika	Moçambique
Namībija	Namíbia
Nigēra	Níger
Nigērija	Nigéria
Čārlzs Darvins	Charles Darwin
Uganda	Uganda
Ruanda	Ruanda
Cirkonijs	Zircônio
Santome un Prinsipi	São Tomé e Príncipe
Karlsrūe	Karlsruhe
Senegāla	Senegal
Seišelas	Seicheles
Kārlis Linnejs	Carolus Linnaeus
Sjerraleone	Serra Leoa
Somālija	Somália
Niobijs	Nióbio
Džavaharlals Neru	Jawaharlal Nehru
Jūlijs Cēzars	Júlio César
Sudāna	Sudão
Svazilenda	Suazilândia
Varavīksne	Arco-íris
Molibdēns	Molibdênio
Tehnēcijs	Tecnécio
Hamburga	Hamburgo
Vielmaiņa	Metabolismo
Narēndra Modi	Narendra Modi
Imūnsistēma	Sistema imunitário
Gudžarāta	Gujarate
Ontārio ezers	Lago Ontário
Evolūcija	Evolução
Apvienoto Nāciju Organizācija	Organização das Nações Unidas
Augšezers	Lago Superior
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Geologia
Amdāvāda	Ahmedabad
Ģeogrāfija	Geografia
Sirds	Coração
Smadzenes	Cérebro
Āda	Pele
Krāsa	Cor
Pārkāpt robežu	Breaking Bad
Salerno	Salerno
Lietvārds	Substantivo
Prāga	Praga
Rutēnijs	Rutênio
Rodijs	Ródio
Zilā krāsa	Azul
Pallādijs	Paládio
Sudrabs	Prata
Kadmijs	Cádmio
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Limburgo (Países Baixos)
Indijs	Índio (elemento químico)
Limburga (Beļģija)	Limburgo (Bélgica)
Alva	Estanho
Urāns (elements)	Urânio
Antimons	Antimônio
Telūrs	Telúrio
Ziemeļbrabante	Brabante do Norte
Plutonijs	Plutónio
Jods (elements)	Iodo
Neptūnijs	Neptúnio
Ksenons	Xenônio
Anime	Anime
Cēzijs	Césio
Protaktīnijs	Protactínio
Elektriskais lādiņš	Carga elétrica
Bārijs	Bário
Rietumflandrija	Flandres Ocidental
Austrumflandrija	Flandres Oriental
Torijs	Tório
Antverpenes province	Antuérpia (província)
Flāmu Brabante	Brabante Flamengo
Hafnijs	Háfnio
Aktīnijs	Actínio
Valoņu Brabante	Brabante Valão
Tantals	Tântalo (elemento químico)
Bills Klintons	Bill Clinton
Namīras province	Namur (província)
Luksemburgas province	Luxemburgo (Bélgica)
Ljēžas province	Liège (província)
Rādijs	Rádio (elemento químico)
Eno	Hainaut
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Rádon
Lotringa	Lorena (França)
Elzasa	Alsácia
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Mercúrio (mitologia)
Ektors Berliozs	Hector Berlioz
Overņa	Auvérnia
Mumbaja	Bombaim
Starptautiskā vieglatlētikas federācija	Associação Internacional de Federações de Atletismo
Āndhra Pradēša	Andra Pradexe
Arunāčala Pradēša	Arunachal Pradesh
Asama	Assam
Bihāra	Bihar
Mičigana	Michigan
Čhatīsgarha	Chhattisgarh
Mičigans	Lago Michigan
Goa	Goa
Burgundija	Borgonha
Harjāna	Haryana
Himāčala Pradēša	Himachal Pradesh
Moriss Ravēls	Maurice Ravel
Akvitānija	Aquitânia
Džammu un Kašmīra	Jammu e Caxemira
Puertoriko	Porto Rico
Džhārkhanda	Jharkhand
Karnātaka	Karnataka
Kerala	Querala
Madhja Pradēša	Madhya Pradesh
Useins Bolts	Usain Bolt
Limuzēna	Limusino
Mahārāštra	Maharashtra
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipur
Šlēsviga-Holšteina	Schleswig-Holstein
Meghālaja	Meghalaya
Mēklenburga-Priekšpomerānija	Mecklemburgo-Pomerânia Ocidental
Lejassaksija	Baixa Saxônia
Ziemeļreina-Vestfālene	Renânia do Norte-Vestfália
Hesene	Hesse
Reinzeme-Pfalca	Renânia-Palatinado
Zāra (zeme)	Sarre
Saksija	Saxônia
Džons Lenons	John Lennon
Ilinoisa	Illinois
Tīringene	Turíngia
Saksija-Anhalte	Saxônia-Anhalt
Ziemeļdakota	Dakota do Norte
Brandenburga (zeme)	Brandemburgo
Brēmene (federālā zeme)	Bremen (estado)
Lombardija	Lombardia
Dienviddakota	Dakota do Sul
Montāna	Montana
Vaiominga	Wyoming
Pjemonta	Piemonte
Jeruzaleme	Jerusalém
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
Valle d'Aosta	Vale de Aosta
Vašingtona (štats)	Washington
Brūss Springstīns	Bruce Springsteen
Rezerfordijs	Rutherfórdio
Nevada	Nevada
Dona	Rio Don
Dubnijs	Dúbnio
Sīborgijs	Seabórgio
Trentīno-Alto Adidže	Trentino-Alto Ádige
Indijas okeāns	Oceano Índico
Veneto	Vêneto
Kosova	Kosovo
Karību jūra	Mar do Caribe
Borijs	Bóhrio
Friuli-Venēcija Džūlija	Friul-Veneza Júlia
Hasijs	Hássio
Pans Kimuns	Ban Ki-moon
Kofi Annans	Kofi Annan
Ligūrija	Ligúria
Butross Butross-Gali	Boutros Boutros-Ghali
Meitnērijs	Meitnério
Kurts Valdheims	Kurt Waldheim
Kolorādo	Colorado
Emīlija-Romanja	Emília-Romanha
U Tans	U Thant
Kolorādo (upe)	Rio Colorado
Darmštatijs	Darmstácio
Dāgs Hammaršelds	Dag Hammarskjöld
Frideriks Šopēns	Frédéric Chopin
Rentgenijs	Roentgênio
Toskāna	Toscana
Leonards Koens	Leonard Cohen
Kopernikijs	Copernício
Marke	Marcas
Umbrija	Úmbria
Lacio	Lácio
Abruco	Abruzos
Apenīni	Apeninos
Alpi	Alpes
Karpati	Cárpatos
Grenoble	Grenoble
Blēzs Paskāls	Blaise Pascal
Dambrete	Damas
