Αφρική	África
Αγάπη	Amor
Δικτατορία	Ditadura
Γαλαξίες	Galáxia
Δίας (πλανήτης)	Júpiter (planeta)
Μιτσέλ Μπατσελέ	Michelle Bachelet
Γαλαξίας	Via Láctea
Χλανβαϊρπουχγκουίνγκιλ	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Μεγάλη Έκρηξη	Big Bang
Ουρανός (πλανήτης)	Urano (planeta)
Βρετάνη	Bretanha
Αγγλική Βικιπαίδεια	Wikipédia em inglês
Νικολά Σαρκοζί	Nicolas Sarkozy
Ποσειδώνας (πλανήτης)	Netuno (planeta)
Αστρονομία	Astronomia
Σιγκαπούρη	Singapura
Επιστήμη	Ciência
Κοσμολογία	Cosmologia
Πλούτωνας (πλανήτης νάνος)	Plutão
Μόντρεαλ	Montreal
Ελεύθερο λογισμικό	Software livre
Παναγία	Maria (mãe de Jesus)
Λουδοβίκος Θ΄ της Γαλλίας	Luís IX de França
Λίχτενσταϊν	Liechtenstein
Αθλητισμός	Desporto
Κέιμπριτζ	Cambridge
Εθνικό Πάρκο Γιέλοουστοουν	Parque Nacional de Yellowstone
Αδόλφος Χίτλερ	Adolf Hitler
Λευκή της Καστίλης	Branca de Castela
Facebook	Facebook
Google+	Google+
WikiLeaks	WikiLeaks
Τζούλιαν Ασάνζ	Julian Assange
Α΄ Παγκόσμιος Πόλεμος	Primeira Guerra Mundial
Β΄ Παγκόσμιος Πόλεμος	Segunda Guerra Mundial
Κολωνία	Colônia (Alemanha)
Διαφθορά	Corrupção
Βικιβιβλία	Wikilivros
Αουγούστο Πινοσέτ	Augusto Pinochet
Βικιφθέγματα	Wikiquote
Βικιταξίδια	Wikivoyage
Βότκα	Vodca
Βάφλα	Waffle
Ρολόι	Relógio
Ubuntu	Ubuntu
Σκόπια	Escópia
Γκντίνια	Gdynia
Linux	Linux
Μπομπ Ντίλαν	Bob Dylan
Στσέτσιν	Estetino
Μαθηματικά	Matemática
U2	U2
Λατινική γλώσσα	Língua latina
Μπαχρέιν	Bahrein
Αρμενία	Arménia
Τζέννα Τζέημσον	Jenna Jameson
Σφηνοειδής γραφή	Escrita cuneiforme
Σωματίδιο Χιγκς	Bóson de Higgs
Σερβία	Sérvia
Σελήνη	Lua
Κωνσταντινούπολη	Istambul
Αυστραλία	Austrália
Μπομπ Μάρλεϊ	Bob Marley
Καρλ Σαγκάν	Carl Sagan
Βιοαστρονομία	Exobiologia
Χρυσή Πλάκα του Πάιονηρ	Placa Pioneer
Φυσική	Física
Αργεντινή	Argentina
Τηλεπικοινωνίες	Telecomunicações
Περού	Peru
Βιολογία	Biologia
ΑΤΙΑ	Objeto voador não identificado
Βόρεια Κορέα	Coreia do Norte
Καμπότζη	Camboja
Ζώνη του Κάιπερ	Cintura de Kuiper
Κοράνιο	Alcorão
Δεινόσαυροι	Dinossauros
Ζωολογία	Zoologia
Ισλάμ	Islão
Αχλάδι	Pera
Βιβλιοθήκη της Αλεξάνδρειας	Biblioteca de Alexandria
Λιουμπλιάνα	Liubliana
Σαλβαδόρ Αγιέντε	Salvador Allende
Βοτανική	Botânica
Φυσική Ιστορία (Πλίνιος)	Naturalis Historia
Λεχ Βαλέσα	Lech Wałęsa
Τροχός	Roda
Εγκυκλοπαίδεια ή Λεξικό αλφαβητικά ταξινομημένο των τεχνών και των επαγγελμάτων	Encyclopédie
Ντενί Ντιντερό	Denis Diderot
Ειρήνη	Paz
Εγκυκλοπαίδεια Μπριτάνικα	Encyclopædia Britannica
Λυών	Lyon
Ευρωπαϊκή Ένωση	União Europeia
Φιλιππούπολη	Plovdiv
Internet Archive	Internet Archive
Ο Πόλεμος των Άστρων	Star Wars
Βικιπαίδεια:DBpedia	DBpedia
Παγκόσμιος Ιστός	World Wide Web
Γυναίκα	Mulher
Σόφια	Sófia
Υδραγωγείο	Aqueduto
Δον Κιχώτης	Dom Quixote
Ποίηση	Poesia
Megaupload	Megaupload
Ιός υπολογιστή	Vírus de computador
Πυρηνικό ατύχημα του Τσερνόμπιλ	Acidente nuclear de Chernobil
Ρίψη ατομικής βόμβας στη Χιροσίμα και το Ναγκασάκι	Bombardeamentos de Hiroshima e Nagasaki
Μιλάνο	Milão
Φιλία	Amizade
Μνήμη	Memória
Αρθούρος Ρεμπώ	Arthur Rimbaud
Τορίνο	Turim
Λεμόνι	Limão
Σαρλ Μπωντλαίρ	Charles Baudelaire
Σταντάλ	Stendhal
Μπανάνα	Banana
Εμίλ Ζολά	Émile Zola
666	666
Άνθος	Flor
Γκούγκολ	Googol
Τάφρος των Μαριανών	Fossa das Marianas
Βλαντίμιρ Βισότσκι	Vladimir Vysotsky
Έβερεστ	Monte Everest
Ανατομία	Anatomia
Πόλη	Cidade
Ναπολέων Α΄ της Γαλλίας	Napoleão Bonaparte
Όρος Όλυμπος (Άρης)	Monte Olimpo (Marte)
Φυσιολογία	Fisiologia
Αστέρας	Estrela
Βεζούβιος	Vesúvio
Ήλιος	Sol
Ουρανός	Céu
Λουί Παστέρ	Louis Pasteur
Έτος φωτός	Ano-luz
Χωριό	Aldeia
Βίκτωρ Ουγκώ	Victor Hugo
Ωκεανία	Oceania
Τζουζέπε Γκαριμπάλντι	Giuseppe Garibaldi
Ορβιέτο	Orvieto
Στίβος	Atletismo
Λογοκρισία	Censura
Ηλιακό σύστημα	Sistema Solar
Βαλτική Θάλασσα	Mar Báltico
Τεργέστη	Trieste
Βιστούλας	Rio Vístula
Ψάρι μονομάχος	Betta splendens
Λεωφόρος Ηλυσίων Πεδίων	Champs-Élysées
Όντερ	Rio Oder
Υδρογόνο	Hidrogénio
Πάττι Σμιθ	Patti Smith
Ήλιο	Hélio
Κόλαση	Inferno
Wikimedia Commons	Wikimedia Commons
Καθαρτήριο	Purgatório
Άνγκελα Μέρκελ	Angela Merkel
Λίθιο	Lítio
Βηρύλλιο	Berílio
Ηχείο	Altifalante
Βιβλίο	Livro
Ημέρα	Dia
Ανατολικό Τιμόρ	Timor-Leste
Έτος	Ano
Αιώνας	Século
Λοτζ	Łódź
Λευκό Όρος	Monte Branco
Ρήνος	Reno
Όσλο	Oslo
Βόννη	Bona
Άγιοι Πάντες	Dia de Todos-os-Santos
Κατοβίτσε	Katowice
Μαύρη τρύπα	Buraco negro
Λουίς δε Καμόες	Luís de Camões
Ομοφυλόφιλος	Gay
Δήμητρα (πλανήτης νάνος)	Ceres (planeta anão)
Λισαβόνα	Lisboa
Χαουμέια	Haumea
Ροδανός	Rio Ródano
Μακεμάκε	Makemake
Άιονα	Iona (Escócia)
Έρις (πλανήτης νάνος)	Éris (planeta anão)
Ντουμπάι	Dubai
Λιονέλ Μέσι	Lionel Messi
Πάντοβα	Pádua
Βόριο	Boro
Νικόλαος Κοπέρνικος	Nicolau Copérnico
Βερσάιγ	Versalhes
Λούντβιγκσμπουργκ	Ludwigsburgo
Άνθρακας	Carbono
Αλεσσάντρο Ντελ Πιέρο	Alessandro Del Piero
Βόλγας	Rio Volga
Άζωτο	Azoto
Μπέργκαμο	Bérgamo
Οξυγόνο	Oxigénio
ΦΚ Ιντερνατσιονάλε Μιλάνο	Football Club Internazionale Milano
Νηλ Γιανγκ	Neil Young
Πλανήτης	Planeta
Κλεοπάτρα Ζ΄ της Αιγύπτου	Cleópatra
Μουσική	Música
Βενετία	Veneza
Naruto	Naruto
Πάδος	Rio Pó
Σαρμ ελ Σέιχ	Sharm el-Sheikh
Νέβας	Rio Neva
Θερμόμετρο	Termômetro
Ρεν	Rennes
Λιλ	Lille
Μόσχα	Moscovo
Φθόριο	Flúor
Ιταλική γλώσσα	Língua italiana
Τσιουάουα (σκύλος)	Chihuahua (cão)
Νέον	Néon
Τσιουάουα (πολιτεία)	Chihuahua
Αγία Πετρούπολη	São Petersburgo
Τσαντ	Chade
Νάτριο	Sódio
Βορράς	Norte
Μαγνήσιο	Magnésio
Neon Genesis Evangelion	Neon Genesis Evangelion
Αργίλιο	Alumínio
Νέα Ζηλανδία	Nova Zelândia
Νότος	Sul
Ινδία	Índia
Πυρίτιο	Silício
Φράγκιο	Frâncio
Τουβαλού	Tuvalu
One Piece	One Piece
Φωσφόρος	Fósforo
Αντρέ Μαρί Αμπέρ	André-Marie Ampère
Σίδηρος	Ferro
Τόνγκα	Tonga
Δύση	Oeste
Αλεσάντρο Βόλτα	Alessandro Volta
Θείο	Enxofre
Σαμόα	Samoa
Ανατολή	Leste
Νήσοι Σολομώντα	Ilhas Salomão
Βανουάτου	Vanuatu
Μολιέρος	Molière
Χλώριο	Cloro
Ντελφτ	Delft
Παπούα Νέα Γουινέα	Papua-Nova Guiné
Ουίλλιαμ Σαίξπηρ	William Shakespeare
Παραμύθι	Fábula
Νότια Ολλανδία	Holanda do Sul
Παλάου	Palau
Αργό	Árgon
Ναουρού	Nauru
Mozilla Firefox	Mozilla Firefox
Βόρεια Ολλανδία	Holanda do Norte
Ομόσπονδες Πολιτείες της Μικρονησίας	Estados Federados da Micronésia
Κάλιο	Potássio
Ολιμπίκ Λυών	Olympique Lyonnais
Ζηλανδία (επαρχία)	Zelândia (Países Baixos)
Ασβέστιο	Cálcio
Φλέβολαντ	Flevolândia
Μόλυβδος	Chumbo
Νήσοι Μάρσαλ	Ilhas Marshall
Κιριμπάτι	Kiribati
Μογγολία	Mongólia
Φίτζι	Fiji
Σκάνδιο	Escândio
Στίβι Γουόντερ	Stevie Wonder
Χαϊλμπρόν	Heilbronn
Τιτάνιο	Titânio
Βενεζουέλα	Venezuela
Σκάκι	Xadrez
Τζένγκις Χαν	Gengis Khan
Βανάδιο	Vanádio
Μέιν	Maine
Χρώμιο	Crômio
Άλογο	Equus ferus caballus
Άμστερνταμ	Amesterdão
Όπλο	Arma
Ζώο	Animalia
Σουρινάμ	Suriname
Μαγγάνιο	Manganês
Παραγουάη	Paraguai
Γουιάνα	Guiana
Τέχνη	Arte
Ισημερινός (χώρα)	Equador
Ρήνιο	Rênio
Κροκ-μεσιέ	Croque-monsieur
Κολομβία	Colômbia
Κοβάλτιο	Cobalto
Ρακίνας	Jean Racine
Βολφράμιο	Tungstênio
Νικέλιο	Níquel
Φράουλα	Morangueiro
Πιερ Κορνέιγ	Pierre Corneille
Βουδισμός	Budismo
Χρόνινγκεν (πόλη)	Groninga
Βολιβία	Bolívia
Όσμιο	Ósmio
Χρόνινγκεν (επαρχία)	Groninga (província)
Χαλκός	Cobre
Τρινιντάντ και Τομπάγκο	Trinidad e Tobago
Πολ Βερλαίν	Paul Verlaine
Φυτό	Plantae
Άγιος Βικέντιος και Γρεναδίνες	São Vicente e Granadinas
Ψευδάργυρος	Zinco
Νιου Χάμσαϊρ	Nova Hampshire
Αγία Λουκία	Santa Lúcia
Μπιάλιστοκ	Białystok
Λεονάρντο ντα Βίντσι	Leonardo da Vinci
Άγιος Χριστόφορος και Νέβις	São Cristóvão e Nevis
Μύκητας	Fungi
Ντάριο Φο	Dario Fo
Τζαμάικα	Jamaica
Γρενάδα	Granada (país)
Φρίσλαντ	Frísia (província)
Μασαχουσέτη	Massachusetts
Ντρέντε	Drente
Οφεράισσελ	Overissel
Γουατεμάλα	Guatemala
Χέλντερλαντ	Guéldria
Ουτρέχτη (επαρχία)	Utrecht (província)
Google Chrome	Google Chrome
Μπαχάμες	Bahamas
Κονέκτικατ	Connecticut
Όρνιθα	Gallus gallus domesticus
Αντίγκουα και Μπαρμπούντα	Antígua e Barbuda
Χαβάη	Havaí
Ονδούρα	Honduras
Δομινίκα	Dominica
Τζέρσεϊ	Jersey
Δομινικανή Δημοκρατία	República Dominicana
Οικόσιτος χοίρος	Sus domesticus
Αρκτικός Ωκεανός	Oceano Ártico
Αϊτή	Haiti
Ελ Σαλβαδόρ	El Salvador
Ιράν	Irão
Βλακεία	Estupidez
Ιράκ	Iraque
Αλάσκα	Alasca
Άσσεν	Assen
Σοφία	Sapiência
Κόστα Ρίκα	Costa Rica
Ισραήλ	Israel
Ουτρέχτη (πόλη)	Utrecht
Παναμάς	Panamá
Υεμένη	Iémen
Ράντσταντ	Randstad (região)
Λωζάνη	Lausana
Ιός	Vírus
Πολωνική γλώσσα	Língua polaca
Ιορδανία	Jordânia
Νικαράγουα	Nicarágua
Φλόριντα	Flórida
Κιργιζία	Quirguistão
Αριζόνα	Arizona
Κουβέιτ	Kuwait
Λάος	Laos
Λίβανος	Líbano
Όρεγκον	Oregon
Μαλδίβες	Maldivas
Αμερική	América
Γιούτα	Utah
Βους ο ταύρος	Bos taurus
Μαλαισία	Malásia
Μιχαήλ Μπουλγκάκοφ	Mikhail Bulgákov
Μιανμάρ	Myanmar
Νεπάλ	Nepal
Αντρέι Ρουμπλιόφ	Andrei Rublev
Ομάν	Omã
Πακιστάν	Paquistão
Τζέιμς Μποντ	James Bond
Κατάρ	Catar
Αντισφαίριση	Ténis
Φρανσουά Βιγιόν	François Villon
MySQL	MySQL
Σαουδική Αραβία	Arábia Saudita
Αντρέι Ταρκόφσκι	Andrei Tarkovski
Σρι Λάνκα	Sri Lanka
Ιωσήφ Στάλιν	Josef Stalin
Ραβδωτός κώδικας	Código de barras
Συρία	Síria
Πλάτων	Platão
Γάλλιο	Gálio
Γιόζεφ Μπρόντσκι	Joseph Brodsky
Τατζικιστάν	Tajiquistão
Πόκεμον	Pokémon
Δημοκρατία της Κίνας	República da China
YouTube	YouTube
Γερμάνιο	Germânio
Αριστοτέλης	Aristóteles
Ταϊλάνδη	Tailândia
Τρένο	Trem
Αρσενικό (χημικό στοιχείο)	Arsênio
Ραδιόφωνο	Rádio (telecomunicações)
Μέριλ Στριπ	Meryl Streep
Τουρκμενιστάν	Turquemenistão
Αμπακάν	Abakan
Σελήνιο	Selênio
Ιρίδιο	Irídio
Ηνωμένα Αραβικά Εμιράτα	Emirados Árabes Unidos
Βρώμιο	Bromo
Λευκόχρυσος	Platina
Βιετνάμ	Vietname
Τσάρλι Τσάπλιν	Charlie Chaplin
Νοβοσιμπίρσκ	Novosibirsk
Νότια Κορέα	Coreia do Sul
Γιόζεφ Πιλσούντσκι	Józef Piłsudski
Οι Σίμσονς	Os Simpsons
Αικατερινούπολη	Ecaterimburgo
Κρυπτό	Crípton
Αφγανιστάν	Afeganistão
Gangnam Style	Gangnam Style
Νίζνι Νόβγκοροντ	Níjni Novgorod
Tζ. Ρ. Ρ. Τόλκιν	J. R. R. Tolkien
Λεμονάδα	Limonada
Σαμάρα (Ρωσία)	Samara (Rússia)
Ρουβίδιο	Rubídio
Χρυσός	Ouro
Ομσκ	Omsk
Διώρυγα Σουέζ	Canal de Suez
Καζάν	Cazã
Επιστήμονας	Cientista
Μπανγκλαντές	Bangladesh
Bleach (μάνγκα)	Bleach (mangá)
Φραντς Κάφκα	Franz Kafka
Τσελιάμπινσκ	Cheliabinsk
Ροστόφ επί του Ντον	Rostov do Don
Χόρχε Λουίς Μπόρχες	Jorge Luis Borges
Μάλι	Mali
Σωκράτης	Sócrates
Βόλγκογκραντ	Volgogrado
Ανγκόλα	Angola
Περμ	Perm
Μπουτάν	Butão
Twitter	Twitter
Κρασνογιάρσκ	Krasnoyarsk
Μπρουνέι	Brunei
Μπρατς	Brač
Τανζανία	Tanzânia
Υδράργυρος	Mercúrio (elemento químico)
Ρόαλντ Αμούνδσεν	Roald Amundsen
Χάρι Μούλις	Harry Mulisch
Φιλιππίνες	Filipinas
Κεντροαφρικανική Δημοκρατία	República Centro-Africana
Κονσταντίν Μελνίκοφ	Konstantin Melnikov
Uzumaki Naruto	Naruto Uzumaki
Θάλλιο	Tálio
Νότιος Πόλος	Polo Sul
Βόρειος Πόλος	Polo Norte
Ισαάκ Νεύτων	Isaac Newton
OpenStreetMap	OpenStreetMap
Άλμπερτ Αϊνστάιν	Albert Einstein
Στρόντιο	Estrôncio
Πέτρος Α΄ της Βραζιλίας	Pedro I do Brasil
Ναρκωτικό	Narcótico
Ύττριο	Ítrio
Βισμούθιο	Bismuto
Κίτρινο	Amarelo
Κβαντική μηχανική	Mecânica quântica
Τόγκο	Togo
Ντόναλντ Τουσκ	Donald Tusk
Τυνησία	Tunísia
Τζον Μπαρντίν	John Bardeen
Ζάμπια	Zâmbia
Ζιμπάμπουε	Zimbabwe
Πεκίνο	Pequim
Νότιο Σουδάν	Sudão do Sul
Βλαδιβοστόκ	Vladivostok
Δημοκρατία της Τιβά	Tuva
Μπενίν	Benim
Μποτσουάνα	Botswana
Βικινέα	Wikinotícias
Μπουρκίνα Φάσο	Burkina Faso
Μπουρούντι	Burundi
Κομόρες	Comores
Δημοκρατία του Κονγκό	República do Congo
Άλκμααρ	Alkmaar
Ποταμός Ομπ	Rio Ob
Λαϊκή Δημοκρατία του Κονγκό	República Democrática do Congo
Σαν Αντόνιο	San Antonio
Τομσκ	Tomsk
Τζιμπουτί	Djibouti
Μιμίδιο	Meme
Πολώνιο	Polônio
Βαυαρία	Baviera
Ισημερινή Γουινέα	Guiné Equatorial
Βάδη-Βυρτεμβέργη	Baden-Württemberg
Ερυθραία	Eritreia
Νέο Δελχί	Nova Deli
Άλμελο	Almelo
Πάπας Ιωάννης Παύλος Β΄	Papa João Paulo II
Φιοντόρ Ντοστογιέφσκι	Fiódor Dostoiévski
Αμερσφόρτ	Amersfoort
Χερσόνησος Καμτσάτκα	Península de Kamchatka
Τιφλίδα	Tbilisi
Αντρέι Ζαχάρωφ	Andrei Sakharov
Άστατο	Ástato
Γκαμπόν	Gabão
Μαχάτμα Γκάντι	Mahatma Gandhi
Αλληλεγγύη (συνδικάτο της Πολωνίας)	Solidarność
Κόμικς	Banda desenhada
Γκάμπια	Gâmbia
Γουινέα	Guiné
Γουινέα-Μπισσάου	Guiné-Bissau
Ακτή Ελεφαντοστού	Costa do Marfim
Καμερούν	Camarões
Μάριμπορ	Maribor
Πράσινο Ακρωτήριο	Cabo Verde
Τσέλιε	Celje
Λεσότο	Lesoto
Λιβερία	Libéria
Κόπερ	Koper
Λιβύη	Líbia
Άαχεν	Aquisgrano
Νόβα Γκόριτσα	Nova Gorica
Μαδαγασκάρη	Madagáscar
Μαλάουι	Malawi
Στουτγκάρδη	Estugarda
Όρος Τρίγκλαβ	Triglav
Μαυριτανία	Mauritânia
Μαυρίκιος (κράτος)	Maurícia
Μαρόκο	Marrocos
Μοζαμβίκη	Moçambique
Ναμίμπια	Namíbia
Νίγηρας	Níger
Νιγηρία	Nigéria
Κάρολος Δαρβίνος	Charles Darwin
Ουγκάντα	Uganda
Ρουάντα	Ruanda
Ζιρκόνιο	Zircônio
Σάο Τομέ και Πρίνσιπε	São Tomé e Príncipe
Καρλσρούη	Karlsruhe
Σενεγάλη	Senegal
Σεϋχέλλες	Seicheles
Κάρολος Λινναίος	Carolus Linnaeus
Σιέρα Λεόνε	Serra Leoa
Σομαλία	Somália
Νιόβιο	Nióbio
Τζαβαχαρλάλ Νεχρού	Jawaharlal Nehru
Ιούλιος Καίσαρ	Júlio César
Σουδάν	Sudão
Σουαζιλάνδη	Suazilândia
