Saot Amerika	América do Sul
Auckland Grammar School	Auckland Grammar School
Angers	Angers
Columbia, Saut Carolina	Colúmbia (Carolina do Sul)
Santa Fe, Niu Mexico	Santa Fé (Novo México)
Helena, Montana	Helena (Montana)
Des Moines, Iowa	Des Moines
Ágreda	Ágreda
Nawita	Polvo
Pierre, Saut Dakota	Pierre (Dakota do Sul)
Carson City, Nevada	Carson City
Topeka, Kansas	Topeka
Raleigh, Not Carolina	Raleigh (Carolina do Norte)
Ulsan	Ulsan
Gwangju	Gwangju
Grepfrut	Toranja
Julia Gillard	Julia Gillard
Hamlet	Hamlet
Sebastian Vettel	Sebastian Vettel
Kevin Rudd	Kevin Rudd
Montehermoso	Montehermoso
Salem, Oregon	Salem (Oregon)
Josef Smit	Joseph Smith Jr.
Oganaesesen blong ol Leba Raonwol	Organização Internacional do Trabalho
Namba	Numeral
Coronel Fabriciano	Coronel Fabriciano
Alla Pugacheva	Alla Pugacheva
Flaeg blong Azerbaijan	Bandeira do Azerbaijão
Sompiniong	Cogumelo
Dziecinów	Dziecinów (comuna de Otwock)
Gdov	Gdov
Blumak	Acanthurus lineatus
François Arago	François Arago
Memba Kaontri blong Unaeted Neisen	Estados-membros das Nações Unidas
Natanggura	Cycas revoluta
St Peter's College (Auckland)	St Peter's College, Auckland
Alan García	Alan García
John Wycliffe	John Wycliffe
Caltojar	Caltojar
God	Deidade
Flaeg blong Vanuatu	Bandeira de Vanuatu
Chang Myon	Chang Myon
Lou Reed	Lou Reed
Yun Chi-ho	Yun Chi-ho
Robert Gates	Robert Gates
William Tyndale	William Tyndale
Ana Paula Arósio	Ana Paula Arósio
Apaxco	Apaxco
Nagorno-Karabakh Republic	República do Nagorno-Karabakh
Efate	Éfaté
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Kalkot Mataskelekele	Kalkot Mataskelekele
Michael Somare	Michael Somare
Lluís Domènech i Montaner	Lluís Domènech i Montaner
Bry-sur-Marne	Bry-sur-Marne
Almaluez	Almaluez
Jacint Verdaguer	Jacint Verdaguer
Ambae Aelan	Ambae
Buk Blong Momon	Livro de Mórmon
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Aliud	Aliud
Baraona	Baraona
Blufis	Peixe-papagaio
Tornesch	Tornesch
Markdorf	Markdorf
Tafea	Tafea
Shefa	Shefa
Ivan Zaytsev	Ivan Zaytsev
Sanma	Sanma
Malampa	Malampa
Yonawa	Jonava
Grin pijin	Ptilinopus
Sigal	Gaivota-prata
Torba	Torba
Almarza	Almarza
Aldealices	Aldealices
Aldealafuente	Aldealafuente
Alentisque	Alentisque
Adradas	Adradas
Abejar	Abejar
Almajano	Almajano
Arenillas	Arenillas
Aldealpozo	Aldealpozo
Alcubilla de las Peñas	Alcubilla de las Peñas
Aldealseñor	Aldealseñor
Alcubilla de Avellaneda	Alcubilla de Avellaneda
Casarejos	Casarejos
Almazul	Almazul
Alpanseque	Alpanseque
Arcos de Jalón	Arcos de Jalón
Aldehuela de Periáñez	Aldehuela de Periáñez
Almenar de Soria	Almenar de Soria
Ausejo de la Sierra	Ausejo de la Sierra
Arévalo de la Sierra	Arévalo de la Sierra
Las Aldehuelas	Las Aldehuelas
Bliecos	Bliecos
Blacos	Blacos
Penama	Penama
Barca	Barca (Espanha)
Santiago Tequixquiac	Santiago Tequixquiac
Luganville	Luganville
Josias Moli	Josias Moli
Kakao	Cacau em pó
Isangel	Isangel
Smalfala grin pijin	Ptilinopus greyii
Bigfala grin pijin	Ptilinopus tannensis
Pornopedia	Pornopedia
Category:Germany	Categoria:Alemanha
Category:Itali	Categoria:Itália
Category:Yunaeted Stet blong Amerika	Categoria:Estados Unidos
Category:Rusia	Categoria:Rússia
Category:Kanada	Categoria:Canadá
Category:United Kingdom	Categoria:Reino Unido
Category:Spain	Categoria:Espanha
Category:China	Categoria:China
Category:India	Categoria:Índia
Category:Niu Zilan	Categoria:Nova Zelândia
Sola	Sola (Vanuatu)
Category:Bangladesh	Categoria:Bangladesh
Category:Poland	Categoria:Polónia
Category:Saot Koria	Categoria:Coreia do Sul
Category:Ukraine	Categoria:Ucrânia
Category:Vietnam	Categoria:Vietname
Category:Pijin	Categoria:Aves
Category:Baeoloji	Categoria:Biologia
Category:Histri	Categoria:História
Category:Jiografi	Categoria:Geografia
Category:Sosaeti	Categoria:Sociedade
Category:Rilijin	Categoria:Religião
Category:Saens	Categoria:Ciência
Category:Yunaeted Nesen	Categoria:Nações Unidas
Category:Budisim	Categoria:Budismo
Category:Kristaniti	Categoria:Cristianismo
Category:Islam	Categoria:Islamismo
Bochotnica	Bochotnica
Benedicta Boccoli	Benedicta Boccoli
Maria Ribeiro	Maria Ribeiro
Category:Wikipedia Manejmen	Categoria:!Administração da Wikipédia
Category:Kultur	Categoria:Cultura
Category:Kontinen	Categoria:Continentes
Fas Presidensi	Primeira Presidência
Bigfala Apostasi	Grande Apostasia
Helena Ranaldi	Helena Ranaldi
Leandra Leal	Leandra Leal
Annarita Del Piano	Anna Rita Del Piano
Category:Pipol blong Yunaeted Stet blong Amerika	Categoria:Estado-unidenses
Sergio Mattarella	Sergio Mattarella
Category:Kaontri	Categoria:Países
Category:Pipol	Categoria:Pessoas
Category:Intanet	Categoria:Internet
Template:Bot	Predefinição:Robô
Kanada	Canadá
Category:Hungary	Categoria:Hungria
Category:Czechia	Categoria:República Checa
Category:Litwania	Categoria:Lituânia
Category:Slovakia	Categoria:Eslováquia
Category:Yurop	Categoria:Europa
Template:Documentation	Predefinição:Documentação
Category:Wikipedians by language	Categoria:!Wikipedistas por idioma
Sung Jae-ki	Sung Jae-ki
Template:Softredirect	Predefinição:Pseudorredirecionamento
Template:Delete	Predefinição:ER
Category:Toktok	Categoria:Línguas
Category:Wikipedia	Categoria:Wikipédia
Category:Pages with broken file links	Categoria:!Páginas com ficheiros inexistentes
Wikipedia:Statistics	Wikipédia:Estatísticas
Category:Buk	Categoria:Livros
Template:Babel	Predefinição:Babel
Template:Commons	Predefinição:Commons
Template:Link GA	Predefinição:Bom interwiki
Template:User eo-1	Predefinição:User eo-1
Template:User en-2	Predefinição:User en-2
Template:User es-1	Predefinição:User es-1
Template:User sk	Predefinição:User sk
Template:User fr-2	Predefinição:User fr-2
Category:Azerbaijan	Categoria:Azerbaijão
Category:Esia	Categoria:Ásia
Template:Mod	Predefinição:Mod
Template:User it	Predefinição:User it
Template:States blog United States	Predefinição:Divisões Estados Unidos
Template:Quotation	Predefinição:Quotation
Category:User en	Categoria:Usuários en
Category:Croatia	Categoria:Croácia
Category:User en-2	Categoria:Usuário en-2
Template:Template other	Predefinição:Template other
Template:Pp-template	Predefinição:Pp-template
Category:Hed blong Stet	Categoria:Chefes de Estado
Template:Purge	Predefinição:Purgar
Template:Interwiki	Predefinição:InterWiki
Category:Galicia	Categoria:Galiza
Category:User sk	Categoria:Usuários sk
Category:User eo	Categoria:Usuários eo
Category:User fr	Categoria:Usuários fr
Category:User fr-2	Categoria:Usuário fr-2
Category:User it-N	Categoria:Usuário it
Category:User sk-N	Categoria:Usuário sk
Category:User de	Categoria:Usuários de
Category:User eo-1	Categoria:Usuário eo-1
Category:User es	Categoria:Usuários es
Category:User es-1	Categoria:Usuário es-1
Category:User it	Categoria:Usuários it
Category:Praem Minista	Categoria:Primeiros-ministros
Category:Saens blong Pipol	Categoria:Ciências sociais
Category:1969 births	Categoria:Nascidos em 1969
Category:Not Dakota	Categoria:Dakota do Norte
Category:Louisiana	Categoria:Luisiana
Category:Arizona	Categoria:Arizona
Category:Kentucky	Categoria:Kentucky
Category:Armenia	Categoria:Arménia
Category:Vanuatu	Categoria:Vanuatu
Category:Pipol blong Vanuatu	Categoria:Vanuatuanos
Category:Hed blong Stet blong Yunaeted Stet blong Amerika	Categoria:Presidentes dos Estados Unidos
Category:Paraguay	Categoria:Paraguai
Category:Papua Nui Guini	Categoria:Papua-Nova Guiné
Category:Andorra	Categoria:Andorra
Category:Peru	Categoria:Peru
Category:Albania	Categoria:Albânia
Category:Fis	Categoria:Peixes
Category:Dipsi	Categoria:Oceanos
Category:Animol	Categoria:Animais
Category:Asturias	Categoria:Astúrias
Category:Jos blong Jisas Kraes blong ol Lata-dei Sent	Categoria:A Igreja de Jesus Cristo dos Santos dos Últimos Dias
Category:Toktok long Vanuatu	Categoria:Línguas de Vanuatu
Category:Catalonia	Categoria:Catalunha
Trojany	Trojany
Dan Stulbach	Dan Stulbach
Category:Buk Blong Momon	Categoria:Livro de Mórmon
Category:Aragón	Categoria:Aragão
Wikipedia:Deletion log	Wikipédia:Deletion log
Yun Hyon-seok	Yun Hyon-seok
Special:RecentChanges	Especial:Mudanças recentes
