Afríka	África
Mantúa	Mântua
Vestur-Sahara	Saara Ocidental
1371	1371
1372	1372
1373	1373
1422	1422
1517	1517
Þjóð	Nação
1423	1423
1518	1518
1374	1374
Annað púnverska stríðið	Segunda Guerra Púnica
1424	1424
1375	1375
1519	1519
Joe Biden	Joe Biden
1376	1376
1425	1425
1520	1520
Fyrsta púnverska stríðið	Primeira Guerra Púnica
1521	1521
1377	1377
1426	1426
Hillary Clinton	Hillary Clinton
1522	1522
1523	1523
1427	1427
1378	1378
1524	1524
1525	1525
1428	1428
1379	1379
1526	1526
1429	1429
1380	1380
1381	1381
Þriðja púnverska stríðið	Terceira Guerra Púnica
1382	1382
1383	1383
1430	1430
Karþagó	Cartago
1431	1431
Indianapolis	Indianápolis
1384	1384
1432	1432
1385	1385
Gerhard Mercator	Gerardo Mercator
1386	1386
1433	1433
1387	1387
1434	1434
1435	1435
1388	1388
Vafri	Navegador (informática)
1436	1436
1389	1389
Þjóðminjasafn Bretlands	Museu Britânico
1437	1437
1390	1390
1438	1438
1391	1391
1439	1439
1392	1392
1440	1440
Boeing 737	Boeing 737
Sund (hreyfing)	Natação
1393	1393
1394	1394
1395	1395
1441	1441
Genfarvatn	Lago Léman
1396	1396
Froskaætt	Ranidae
1397	1397
1442	1442
1527	1527
1528	1528
1398	1398
1443	1443
1444	1444
1529	1529
1399	1399
Boeing 777	Boeing 777
1445	1445
1530	1530
1446	1446
1531	1531
1447	1447
1532	1532
1448	1448
1533	1533
1449	1449
1534	1534
1450	1450
1535	1535
Calais	Calais
1451	1451
1536	1536
Guovdageaidnu	Kautokeino
1452	1452
1537	1537
1453	1453
1538	1538
1454	1454
Airbus A330	Airbus A330
1539	1539
1455	1455
Airbus A340	Airbus A340
1540	1540
Concorde	Concorde
Varna	Varna (Bulgária)
Flokkur:Stjörnufræði	Categoria:Astronomia
Ódysseifur (skáldsaga)	Ulisses (livro)
Søren Kierkegaard	Søren Kierkegaard
Dardanellasund	Dardanelos
1541	1541
1456	1456
1457	1457
1542	1542
1458	1458
1543	1543
1459	1459
1544	1544
Jean-Jacques Rousseau	Jean-Jacques Rousseau
1460	1460
1545	1545
1461	1461
1546	1546
Franska byltingin	Revolução Francesa
Alta	Alta (Finnmark)
Günter Grass	Günter Grass
1462	1462
1547	1547
Orléans	Orleães
1463	1463
Andrés Önd	Pato Donald
1548	1548
1464	1464
1549	1549
1465	1465
1550	1550
1466	1466
1551	1551
1467	1467
Flokkur:Stjarnfræðingar	Categoria:Astrónomos
1468	1468
1552	1552
1469	1469
1553	1553
1470	1470
1554	1554
Hamstur	Hamster
1471	1471
1555	1555
Sahara	Deserto do Saara
1472	1472
1556	1556
1473	1473
1557	1557
1474	1474
1558	1558
Strassborg	Estrasburgo
Saka	Iacútia
Gítar	Guitarra
1475	1475
1559	1559
1476	1476
1560	1560
1477	1477
1478	1478
1561	1561
1479	1479
1562	1562
1480	1480
1563	1563
1481	1481
1564	1564
1482	1482
1565	1565
Samkynhneigð	Homossexualidade
1483	1483
1566	1566
1484	1484
1567	1567
1485	1485
1486	1486
1568	1568
1487	1487
1569	1569
Króatíska	Língua croata
1570	1570
Hamborgari	Hambúrguer
1489	1489
1571	1571
Lína Langsokkur	Píppi Meialonga
1490	1490
1572	1572
1491	1491
1573	1573
1492	1492
1574	1574
Gustave Doré	Gustave Doré
1493	1493
1575	1575
Hómer	Homero
1494	1494
Alexander von Humboldt	Alexander von Humboldt
1495	1495
Empólí	Empoli
1496	1496
1576	1576
1497	1497
1577	1577
1498	1498
1578	1578
1499	1499
1579	1579
Allen Ginsberg	Allen Ginsberg
1580	1580
1581	1581
Kvarki	Quark
1582	1582
1600	1600
Carl Friedrich Gauss	Carl Friedrich Gauss
1601	1601
1583	1583
1602	1602
1584	1584
1603	1603
1585	1585
1604	1604
1586	1586
1605	1605
Peugeot	Peugeot
1587	1587
1606	1606
1607	1607
1588	1588
1608	1608
1589	1589
Livorno	Livorno
1609	1609
1590	1590
1610	1610
1591	1591
1611	1611
1592	1592
1612	1612
1593	1593
1613	1613
1594	1594
1614	1614
1595	1595
1615	1615
1596	1596
1616	1616
1597	1597
SAM	Sam
1617	1617
1598	1598
1618	1618
1599	1599
1619	1619
1620	1620
1621	1621
1700	1700
1701	1701
1622	1622
1623	1623
1702	1702
1624	1624
1703	1703
1704	1704
1625	1625
Speyer	Speyer
1705	1705
1626	1626
1627	1627
1706	1706
Wittenberg	Wittenberg
1628	1628
1707	1707
1708	1708
1629	1629
1630	1630
1709	1709
1631	1631
1710	1710
1632	1632
1711	1711
Alþjóðasamband stjarnfræðinga	União Astronómica Internacional
1633	1633
1712	1712
1634	1634
1713	1713
1800	1800
1801	1801
1714	1714
1635	1635
James Joyce	James Joyce
1802	1802
1715	1715
1636	1636
Amúrfylki	Oblast de Amur
1803	1803
Þverganga	Trânsito astronômico
1637	1637
1716	1716
1638	1638
1804	1804
1717	1717
1639	1639
1805	1805
1718	1718
1640	1640
1719	1719
1806	1806
1641	1641
1720	1720
1807	1807
1642	1642
1721	1721
1808	1808
1643	1643
1722	1722
1809	1809
1644	1644
1723	1723
1810	1810
1645	1645
1724	1724
20. öldin	Século XX
1811	1811
1646	1646
1725	1725
1812	1812
1647	1647
1726	1726
1813	1813
21. öldin	Século XXI
1648	1648
1727	1727
1814	1814
1649	1649
1728	1728
1815	1815
1650	1650
1729	1729
1816	1816
19. öldin	Século XIX
1651	1651
1730	1730
1817	1817
1652	1652
1731	1731
1818	1818
1653	1653
1732	1732
1819	1819
1654	1654
1733	1733
1820	1820
1655	1655
1821	1821
1734	1734
1656	1656
1822	1822
1735	1735
1657	1657
1823	1823
1736	1736
1658	1658
Alsdorf	Alsdorf
1737	1737
1824	1824
1659	1659
1738	1738
1825	1825
Stjarnfræðilegt fyrirbæri	Corpo celeste
1660	1660
1739	1739
1826	1826
1661	1661
1740	1740
1827	1827
Kālidāsa	Calidasa
Lena Meyer-Landrut	Lena Meyer-Landrut
18. öldin	Século XVIII
17. öldin	Século XVII
16. öldin	Século XVI
15. öldin	Século XV
Erfðamengi	Genoma
Lugano	Lugano
Katalónska	Língua catalã
14. öldin	Século XIV
Flokkur:Stjörnur	Categoria:Estrelas
13. öldin	Século XIII
12. öldin	Século XII
11. öldin	Século XI
Nautnahyggja	Hedonismo
Trúleysi	Ateísmo
Eisenach	Eisenach
Li Bai	Li Bai
Bókasafn	Biblioteca
Stjórnleysis einstaklingshyggja	Anarquismo individualista
Efnishyggja	Materialismo
Niels Bohr	Niels Bohr
Meðvitund	Consciência
Lífefnafræði	Bioquímica
Líftækni	Biotecnologia
Frumulíffræði	Biologia celular
Vistfræði	Ecologia
FC Barcelona	Futbol Club Barcelona
Afríkusambandið	União Africana
Erfðafræði	Genética
Stjórnmál	Política
Alþjóðabankinn	Banco Mundial
Nýlendustefna	Colonialismo
Íhaldsstefna	Conservadorismo
Sallústíus	Salústio
Arababandalagið	Liga Árabe
Sjávarlíffræði	Biologia marinha
Lýðræði	Democracia
Sveppafræði	Micologia
Naguib Mahfouz	Naguib Mahfouz
Jean-Marie Le Pen	Jean-Marie Le Pen
Rauði krossinn	Movimento Internacional da Cruz Vermelha e do Crescente Vermelho
Hnattvæðing	Globalização
Atlantshafsbandalagið	Organização do Tratado do Atlântico Norte
Marie Curie	Marie Curie
Erfðavísir	Gene
Ríkisstjórn	Governo
Nóbelsverðlaunin	Prémio Nobel
Qin Shi Huang	Qin Shihuang
Örverufræði	Microbiologia
Simone de Beauvoir	Simone de Beauvoir
Ovidius	Ovídio
Marcel Proust	Marcel Proust
Alexandr Púshkín	Alexandre Pushkin
Sameindalíffræði	Biologia molecular
Mið-Austurlönd	Médio Oriente
Steingervingafræði	Paleontologia
Elísabet 1.	Isabel I de Inglaterra
Meinafræði	Patologia
Hanveldið	Dinastia Han
Veirufræði	Virologia
Jóhanna af Örk	Joana d'Arc
Rosa Luxemburg	Rosa Luxemburgo
Sófókles	Sófocles
Lífvera	Organismo
Rabindranath Tagore	Rabindranath Tagore
Fegurð	Beleza
Lev Tolstoj	Liev Tolstói
Mark Twain	Mark Twain
Einhyrningur (dýr)	Unicórnio
Alan Turing	Alan Turing
Femínismi	Feminismo
Hugmyndafræði	Ideologia
Ada Lovelace	Ada Lovelace
Heimsvaldastefna	Imperialismo
Marxismi	Marxismo
Konungsríki	Monarquia
Lýðveldi	República
Jafnaðarstefna	Socialismo
Ríki	Estado
Stjórnmálaflokkur	Partido político
Áróður	Propaganda
Hryðjuverk	Terrorismo
Émilie du Chatelet	Émilie du Châtelet
Badminton	Badminton
Johannes Brahms	Johannes Brahms
Kilimanjaro	Kilimanjaro
Antonín Dvořák	Antonín Dvořák
Georg Friedrich Händel	Georg Friedrich Händel
Gustav Mahler	Gustav Mahler
Koss	Beijo
Nasismi	Nazismo
Giacomo Puccini	Giacomo Puccini
Franz Schubert	Franz Schubert
Júanveldið	Dinastia Yuan
Ígor Stravinskíj	Ígor Stravinski
Pjotr Iljitsj Tsjaíkovskíj	Piotr Ilitch Tchaikovsky
Giuseppe Verdi	Giuseppe Verdi
Þriðja ríkið	Alemanha Nazi
Nasistaflokkurinn	Partido Nacional Socialista dos Trabalhadores Alemães
Jacques Cartier	Jacques Cartier
Kristófer Kólumbus	Cristóvão Colombo
James Cook	James Cook
Gyðingar	Judeu
Hernán Cortés	Hernán Cortés
Júrí Gagarín	Iuri Gagarin
Vasco da Gama	Vasco da Gama
Ibn Battuta	Ibn Battuta
Tsjeng He	Zheng He
Auschwitz	Auschwitz
Oświęcim	Oświęcim
Kóralrifið mikla	Grande Barreira de Coral
Vötnin miklu	Grandes Lagos da América do Norte
Indusfljót	Rio Indo
Joseph Haydn	Joseph Haydn
Panamaskurðurinn	Canal do Panamá
Robert Schumann	Robert Schumann
Suður-Íshaf	Oceano Antártico
Gula fljót	Rio Amarelo
Eyra	Orelha
Nef	Nariz
Auga	Olho
Vöðvi	Músculo
Lag	Canção
Moskítóflugur	Culicidae
Sauðfé	Ovis aries
Federico Fellini	Federico Fellini
Háffiskar	Tubarão
Alfred Hitchcock	Alfred Hitchcock
Úlfaldar	Camelo
Spendýr	Mamíferos
Fíll	Elefante
Prímatar	Primatas
Maurar	Formiga
Mannsrödd	Voz humana
Býflugur	Anthophila
Hugbúnaður	Software
Hollenska	Língua neerlandesa
Walt Disney-fyrirtækið	The Walt Disney Company
Margrét Thatcher	Margaret Thatcher
DNA	Ácido desoxirribonucleico
Tegund (líffræði)	Espécie
Richard Stallman	Richard Matthew Stallman
Kevin Mitnick	Kevin Mitnick
Songveldið	Dinastia Sung
Rosalind Franklin	Rosalind Franklin
Sevastópol	Sebastopol
Blómkál	Couve-flor
Eggaldin	Beringela
Ormagöng	Buraco de minhoca
Ingmar Bergman	Ingmar Bergman
Fóbos	Fobos (satélite)
Deimos	Deimos (satélite)
Pussy Riot	Pussy Riot
Þýðing	Tradução
Andaætt	Anatidae
Dreki (goðsagnavera)	Dragão
Móðir	Mãe
Snjór	Neve
Faðir	Pai
Barn	Criança
1828	1828
1829	1829
1741	1741
1662	1662
1742	1742
1830	1830
1663	1663
1831	1831
1743	1743
1664	1664
1665	1665
1744	1744
1832	1832
1666	1666
1745	1745
1833	1833
1667	1667
1746	1746
Samgöngur	Transporte
1834	1834
Debian	Debian
1668	1668
1747	1747
1835	1835
1748	1748
1836	1836
1669	1669
Leonhard Euler	Leonhard Euler
1670	1670
1749	1749
1837	1837
1671	1671
1750	1750
1838	1838
1672	1672
1751	1751
1839	1839
1673	1673
1752	1752
1840	1840
1674	1674
1753	1753
1841	1841
1754	1754
1675	1675
1842	1842
1755	1755
1676	1676
1843	1843
1677	1677
1756	1756
1844	1844
1678	1678
1757	1757
1845	1845
1679	1679
1758	1758
1846	1846
1680	1680
1759	1759
1847	1847
1681	1681
1760	1760
1848	1848
1682	1682
1761	1761
1849	1849
1683	1683
1762	1762
1850	1850
1684	1684
1763	1763
1851	1851
1764	1764
1685	1685
1852	1852
1686	1686
1765	1765
1853	1853
1687	1687
1766	1766
1854	1854
1688	1688
1767	1767
1855	1855
1689	1689
1768	1768
1856	1856
1690	1690
1769	1769
1857	1857
1691	1691
1770	1770
1858	1858
1692	1692
1771	1771
1859	1859
1693	1693
1772	1772
1860	1860
1773	1773
1861	1861
1694	1694
1695	1695
1774	1774
1862	1862
1696	1696
1775	1775
1863	1863
1697	1697
1776	1776
1864	1864
1698	1698
Sundknattleikur	Polo aquático
1865	1865
1777	1777
1699	1699
1866	1866
1778	1778
1779	1779
1867	1867
1780	1780
1868	1868
Skíðastökk	Salto de esqui
1781	1781
1869	1869
August Strindberg	August Strindberg
Mínúta	Minuto
Hebreska sjálfstjórnarfylkið	Oblast Autônomo Judaico
Loðvík 16.	Luís XVI de França
Dýfingar	Salto ornamental
Rússneska	Língua russa
1782	1782
1870	1870
Loðvík 14.	Luís XIV de França
Heimili	Lar
1783	1783
1871	1871
Vladímír Pútín	Vladimir Putin
Lögfræði	Direito
Rokk og ról	Rock and roll
Loðvík 18.	Luís XVIII de França
1784	1784
1872	1872
Stjórnarskrá	Constituição
1785	1785
1873	1873
Karl 10. Frakkakonungur	Carlos X de França
1786	1786
1874	1874
1787	1787
1875	1875
1788	1788
1876	1876
Samband Suðaustur-Asíuríkja	Associação de Nações do Sudeste Asiático
Loðvík Filippus	Luís Filipe I de França
1789	1789
1877	1877
1790	1790
1878	1878
Samveldi sjálfstæðra ríkja	Comunidade dos Estados Independentes
1879	1879
1791	1791
Breska samveldið	Commonwealth
Saga Evrópu	História da Europa
Saga Ítalíu	História da Itália
Samtök olíuframleiðsluríkja	Organização dos Países Exportadores de Petróleo
Sakalínfylki	Oblast de Sacalina
Alþjóðadómstóllinn	Tribunal Internacional de Justiça
Brauð	Pão
Alþjóðagjaldeyrissjóðurinn	Fundo Monetário Internacional
1792	1792
1880	1880
1793	1793
1881	1881
Mennta-, vísinda- og menningarstofnun Sameinuðu þjóðanna	Organização das Nações Unidas para a Educação, a Ciência e a Cultura
Hómer Simpson	Homer Simpson
1794	1794
1882	1882
Mannréttindayfirlýsing Sameinuðu þjóðanna	Declaração Universal dos Direitos Humanos
Giotto di Bondone	Giotto di Bondone
1795	1795
1883	1883
Alþjóðaheilbrigðismálastofnunin	Organização Mundial da Saúde
1796	1796
1884	1884
1797	1797
1885	1885
1886	1886
1798	1798
Alþjóðaviðskiptastofnunin	Organização Mundial do Comércio
1887	1887
1799	1799
Marge Simpson	Marge Simpson
1888	1888
1889	1889
1890	1890
Maggie Simpson	Maggie Simpson
1891	1891
Svahílí	Língua suaíli
1892	1892
1893	1893
1894	1894
1895	1895
1896	1896
1897	1897
1898	1898
Kínverska	Língua chinesa
1899	1899
Salerni (hreinlætistæki)	Vaso sanitário
Náttúra	Natureza
Fruma	Célula
Blóð	Sangue
Toulouse	Toulouse
Beinakerfið	Esqueleto
Lunga	Pulmão humano
Tölvuleikur	Jogo eletrônico
Öndunarfæri	Sistema respiratório
Neysluvatn	Água potável
Æxlunarfæri	Aparelho reprodutor
Casablanca	Casablanca
Rúmenska	Língua romena
Búlgarska	Língua búlgara
Uppeldisfræði	Pedagogia
Rigning	Chuva
Malagasíska	Língua malgaxe
Frank Herbert	Frank Herbert
Snjóflóð	Avalancha
Loftslag	Clima
El Niño	El Niño
Heimshlýnun	Aquecimento global
Jarðskjálfti	Sismo
Steind	Mineral
Sannleikur	Verdade
Flekakenningin	Tectónica de placas
Petropavlovsk-Kamčatskij	Petropavlovsk-Kamchatski
Sen	Zen
Geisladiskadrif	CD-ROM
Tölvumús	Rato (informática)
Laptevhaf	Mar de Laptev
Náttúruvísindi	Ciências naturais
Ívan grimmi	Ivã IV da Rússia
Sergei Eisenstein	Serguei Eisenstein
Umferðarljós	Semáforo
Akíra Kúrósava	Akira Kurosawa
Franklin D. Roosevelt	Franklin Delano Roosevelt
Jarðvísindi	Ciências da terra
Avicenna	Avicena
Winston Churchill	Winston Churchill
Ágústínus	Agostinho de Hipona
Nelson Mandela	Nelson Mandela
Martin Luther King, Jr.	Martin Luther King Jr.
GIMP	GIMP
Inkscape	Inkscape
Gæsalappir	Aspas
Ensím	Enzima
10. öldin	Século X
Prótín	Proteína
Rómafólk	Ciganos
Berg	Rocha
Efnahagur Íslands	Economia da Islândia
Náttúruhamfarir	Desastre natural
Amínósýra	Aminoácido
Flóð	Inundação
Flóðbylgja	Tsunami
Eldstöð	Vulcão
Ský	Nuvem
Leikjatölva	Console de videogame
Rökfræði	Lógica
Wii	Wii
Sumarólympíuleikarnir 1896	Jogos Olímpicos de Verão de 1896
Skýstrokkur	Tornado
9. öldin	Século IX
Hornafræði	Trigonometria
8. öldin	Século VIII
Rúmfræði	Geometria
Sumarólympíuleikarnir 1900	Jogos Olímpicos de Verão de 1900
7. öldin	Século VII
6. öldin	Século VI
Málfræði	Gramática
Fellibylur	Ciclone tropical
Nintendo	Nintendo
Vindur	Vento
5. öldin	Século V
Telúgú	Língua telugu
Sumarólympíuleikarnir 1904	Jogos Olímpicos de Verão de 1904
4. öldin	Século IV
3. öldin	Século III
2. öldin	Século II
Andrúmsloft	Atmosfera
Sumarólympíuleikarnir 1906	Jogos Olímpicos Intercalados de 1906
1. öldin	Século I
Georgíska	Língua georgiana
Sumarólympíuleikarnir 1908	Jogos Olímpicos de Verão de 1908
Sumarólympíuleikarnir 1912	Jogos Olímpicos de Verão de 1912
Sumarólympíuleikarnir 1916	Jogos Olímpicos de Verão de 1916
Sumarólympíuleikarnir 1920	Jogos Olímpicos de Verão de 1920
Palembang	Palimbão
Sumarólympíuleikarnir 1924	Jogos Olímpicos de Verão de 1924
Hagfræði	Economia
Höfuðstóll	Capital (economia)
Sumarólympíuleikarnir 1928	Jogos Olímpicos de Verão de 1928
Gjaldmiðill	Moeda
Sumarólympíuleikarnir 1932	Jogos Olímpicos de Verão de 1932
Japanskt jen	Iene
Iðnaður	Indústria
Sumarólympíuleikarnir 1936	Jogos Olímpicos de Verão de 1936
Skattur	Imposto
Málvísindi	Linguística
Orð	Palavra
Hljóðan	Fonema
Dvína (Norður-Dvína)	Rio Duína do Norte
Atkvæði	Sílaba
Skrifletur	Sistema de escrita
Arabískt letur	Alfabeto árabe
Dvína (Vestur-Dvína)	Rio Duína Ocidental
Kínverskir stafir	Caracteres chineses
Kýrillískt stafróf	Alfabeto cirílico
Grískt stafróf	Alfabeto grego
Hangul	Hangul
Latneskt stafróf	Alfabeto latino
Læsi	Alfabetização
Flokkur:Búlgaría	Categoria:Bulgária
Bókmenntir	Literatura
Flokkur:Frakkland	Categoria:França
Hernaðarlistin	A Arte da Guerra
Skáldskapur	Ficção
Flokkur:Tónlist	Categoria:Música
Þúsund og ein nótt	As Mil e Uma Noites
Flokkur:Bókmenntir	Categoria:Literatura
Skáldsaga	Romance
Flokkur:Ljóð	Categoria:Poesia
Draumurinn um rauða herbergið	O Sonho da Câmara Vermelha
Evrusvæðið	Zona Euro
Sagan um Genji	Genji Monogatari
Gilgameskviða	Epopeia de Gilgamesh
Manga	Mangá
Ilíonskviða	Ilíada
Mahabarata	Mahabharata
MS (sjúkdómur)	Esclerose múltipla
Shahnameh	Shahnameh
Scribus	Scribus
David Guetta	David Guetta
Tvíkímblöðungar	Dicotiledónea
Refir	Raposa
Rauðrefur	Raposa-vermelha
Bandaríska alríkislögreglan	FBI
Harry Potter	Harry Potter
Trompet	Trompete
Djass	Jazz
Klarínett	Clarinete
„Weird Al“ Yankovic	@@@u0026Weird Al@@@u0026 Yankovic
Fiðla	Violino
Valladolid	Valladolid
(What's The Story) Morning Glory?	(What's the Story) Morning Glory?
( )	( )
Reiknirit	Algoritmo
Sumarólympíuleikarnir 1940	Jogos Olímpicos de Verão de 1940
Selló	Violoncelo
.Mac	.Mac
Sumarólympíuleikarnir 1944	Jogos Olímpicos de Verão de 1944
Óbó	Oboé
Loðvík 10.	Luís X de França
Ostrava	Ostrava
.ac	.ac
Sjálfsfróun	Masturbação
Sumarólympíuleikarnir 1948	Jogos Olímpicos de Verão de 1948
Jóhann 1. Frakkakonungur	João I de França
Sumarólympíuleikarnir 1952	Jogos Olímpicos de Verão de 1952
Alexander mikli	Alexandre, o Grande
Sumarólympíuleikarnir 1956	Jogos Olímpicos de Verão de 1956
Konstantínus mikli	Constantino
Sumarólympíuleikarnir 1960	Jogos Olímpicos de Verão de 1960
Handbolti	Andebol
Sumarólympíuleikarnir 1964	Jogos Olímpicos de Verão de 1964
Kýros mikli	Ciro II
Þjóðfélag	Sociedade
Sumarólympíuleikarnir 1968	Jogos Olímpicos de Verão de 1968
Siðmenning	Civilização
Filippus 5. Frakkakonungur	Filipe V de França
Menntun	Educação
Fjölskylda	Família
Sumarólympíuleikarnir 1972	Jogos Olímpicos de Verão de 1972
Hugo Chávez	Hugo Chávez
Karl	Homem
Otto von Bismarck	Otto von Bismarck
Sumarólympíuleikarnir 1976	Jogos Olímpicos de Verão de 1976
Hjónaband	Casamento
Kurt Cobain	Kurt Cobain
Sumarólympíuleikarnir 1980	Jogos Olímpicos de Verão de 1980
Fóstureyðing	Aborto
Dauðarefsing	Pena de morte
Sumarólympíuleikarnir 1984	Jogos Olímpicos de Verão de 1984
Mannréttindi	Direitos humanos
Kynþáttahyggja	Racismo
Tímúr	Tamerlão
Þrælahald	Escravidão
Borgarastríð	Guerra civil
1. FC Kaiserslautern	1. Fußball-Club Kaiserslautern
Ómar mikli	Omar
Sumarólympíuleikarnir 1988	Jogos Olímpicos de Verão de 1988
Her	Militar
Súleiman mikli	Solimão, o Magnífico
Interpol	Interpol
Pétur mikli	Pedro I da Rússia
Bringubein	Esterno
1. Skák Ólympíad	Olimpíada de xadrez de 1927
Kaffi	Café
Sumarólympíuleikarnir 1992	Jogos Olímpicos de Verão de 1992
Ávaxtasafi	Suco
Mjólk	Leite
Fjall	Montanha
Gagnagrunnur	Banco de dados
Eyðimörk	Deserto
100 Bullets (tölvuleikur)	100 Bullets
Sumarólympíuleikarnir 1996	Jogos Olímpicos de Verão de 1996
The Big Bang Theory	The Big Bang Theory
Sumarólympíuleikarnir 2000	Jogos Olímpicos de Verão de 2000
Sumarólympíuleikarnir 2004	Jogos Olímpicos de Verão de 2004
Sumarólympíuleikarnir 2008	Jogos Olímpicos de Verão de 2008
Sun Yat-sen	Sun Yat-sen
Sumarólympíuleikarnir 2012	Jogos Olímpicos de Verão de 2012
Saladín	Saladino
Ashoka mikli	Asoka
101 dalmatíuhundur	101 Dalmatians
Akbar mikli	Akbar
Simón Bolívar	Simón Bolívar
Andrew Johnson	Andrew Johnson
Sumarólympíuleikarnir 2016	Jogos Olímpicos de Verão de 2016
Vestfalía	Vestfália
Pierre Trudeau	Pierre Elliott Trudeau
Kwame Nkrumah	Kwame Nkrumah
Hellas Verona	Hellas Verona Football Club
Jiddíska	Língua iídiche
Hong Kong	Hong Kong
Miami	Miami
Karachi	Carachi
Kóreustríðið	Guerra da Coreia
69. Golden Globe-verðlaunin	Prêmios Globo de Ouro de 2012
Lagos	Lagos (Nigéria)
Bandaríska borgarastríðið	Guerra de Secessão
Rio de Janeiro	Rio de Janeiro (cidade)
Breska heimsveldið	Império Britânico
Pan American World Airways	Pan American World Airways
Real Madrid	Real Madrid Club de Fútbol
Kalda stríðið	Guerra Fria
Seúl	Seul
John. F. Kennedy International Airport	Aeroporto Internacional John F. Kennedy
Sjanghæ	Xangai
Menningarbyltingin	Revolução Cultural Chinesa
London Heathrow-flugvöllur	Aeroporto de Londres Heathrow
Bilbao	Bilbau
Kreppan mikla	Grande Depressão
Atlético Madrid	Club Atlético de Madrid
London Gatwick-flugvöllur	Aeroporto de Londres Gatwick
Walt Disney	Walt Disney
Meiji-endurreisnin	Restauração Meiji
London Stansted-flugvöllur	Aeroporto de Londres Stansted
Sevilla	Sevilha
Rússneska byltingin 1917	Revolução Russa de 1917
Tjingveldið	Dinastia Qing
Versalasamningurinn	Tratado de Versalhes (1919)
Arkímedes	Arquimedes
Víetnamstríðið	Guerra do Vietnã
Thomas Alva Edison	Thomas Edison
Evklíð	Euclides
Albanska	Língua albanesa
Michael Faraday	Michael Faraday
Baskneska	Língua basca
Enrico Fermi	Enrico Fermi
Colin Maclaurin	Colin Maclaurin
Leonardo Pisano	Leonardo Fibonacci
Aragónska	Língua aragonesa
British Airways	British Airways
Henry Ford	Henry Ford
Jean Baptiste Joseph Fourier	Jean-Baptiste Joseph Fourier
Aklanska	Língua aklan
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Galenos	Cláudio Galeno
Armenska	Língua arménia
Alsatíska	Língua alsaciana
Dulmálsfræði	Criptografia
IP-samskiptareglur	Protocolo de Internet
Úkraínska	Língua ucraniana
Bæti	Byte
TCP	Transmission Control Protocol
Biti (tölvufræði)	Bit
HTML	HTML
Augustin Louis Cauchy	Augustin-Louis Cauchy
València	Valência (Espanha)
Unicode	Unicode
Svartfellska	Língua montenegrina
Robot Chicken	Robot Chicken
Palma de Mallorca	Palma de Maiorca
Propertius	Propércio
Majorka	Maiorca
Gaius Maecenas	Caio Cílnio Mecenas
Krabbinn (stjörnumerki)	Cancer
Malaga	Málaga
Óríon (stjörnumerki)	Orion (constelação)
Satyajit Ray	Satyajit Ray
Steven Spielberg	Steven Spielberg
Framkvæmdastjórn Evrópusambandsins	Comissão Europeia
Evrópska ráðið	Conselho Europeu
Evrópuþingið	Parlamento Europeu
Ráðherraráð Evrópusambandsins	Conselho da União Europeia
Seðlabanki Evrópu	Banco Central Europeu
Naðurvaldi	Ophiuchus
Evrópuráðið	Conselho da Europa
Tvíburarnir (stjörnumerki)	Gemini (constelação)
Stjörnumerki	Constelação
Evrópska efnahagssvæðið	Espaço Económico Europeu
Johann Gutenberg	Johannes Gutenberg
James Prescott Joule	James Prescott Joule
Johannes Kepler	Johannes Kepler
Schaffhausen	Schaffhausen
Max Planck	Max Planck
Sænska	Língua sueca
Danska	Língua dinamarquesa
Nikola Tesla	Nikola Tesla
Al-Khwarizmi	Al-Khwarizmi
James Watt	James Watt
Norska	Língua norueguesa
Chanakya	Cautília
Gottfried Wilhelm von Leibniz	Gottfried Wilhelm Leibniz
Noam Chomsky	Noam Chomsky
Lúxemborgíska	Língua luxemburguesa
Tékkneska	Língua tcheca
Slóvakíska	Língua eslovaca
Karl Marx	Karl Marx
Slóvenska	Língua eslovena
Ungverska	Língua húngara
Voltaire	Voltaire
Eistneska	Língua estónia
Móses	Moisés
Lettneska	Língua letã
Þekking	Conhecimento
Litháíska	Língua lituana
Hindúismi	Hinduísmo
Hvítrússneska	Língua bielorrussa
José Mujica	José Mujica
James Clerk Maxwell	James Clerk Maxwell
Tabaré Vázquez	Tabaré Vázquez
Brjóst	Mama
Dmitri Mendelejev	Dmitri Mendeleiev
Kenenisa Bekele	Kenenisa Bekele
Frumeind	Átomo
Ernest Rutherford	Ernest Rutherford
Winterthur	Winterthur
Ljós	Luz
Gríska	Língua grega
Erwin Schrödinger	Erwin Schrödinger
Goðafræði	Mitologia
Stýrikerfi	Sistema operativo
Taj Mahal	Taj Mahal
Írska	Língua irlandesa
Forritunarmál	Linguagem de programação
Mörgæsir	Pinguim
Bókstafstrú	Fundamentalismo
Dayron Robles	Dayron Robles
Tölvupóstur	E-mail
Eingyðistrú	Monoteísmo
Fjölgyðistrú	Politeísmo
Sál	Alma
Maltneska	Língua maltesa
Persneska	Língua persa
Trúarbrögð	Religião
Kóreska	Língua coreana
Abraham	Abraão
1. Mósebók	Gênesis
Kantónska	Cantonês
Empire State-byggingin	Empire State Building
2. Mósebók	Livro do Êxodo
René Descartes	René Descartes
Mandarín	Língua mandarim
Víetnamska	Língua vietnamita
Páll postuli	Paulo de Tarso
Frelsisstyttan	Estátua da Liberdade
C. S. Lewis	Clive Staples Lewis
Sigmund Freud	Sigmund Freud
