ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	Estados Unidos
Category:User af-1	Categoria:Usuário af-1
Category:User als	Categoria:Usuários als
Category:User als-1	Categoria:Usuário als-1
Category:User ar	Categoria:Usuários ar
Category:User ast	Categoria:Usuários ast
Category:User ast-1	Categoria:Usuário ast-1
Category:User az-N	Categoria:Usuário az
Category:User bar	Categoria:Usuários bar
Category:User bar-1	Categoria:Usuário bar-1
Category:User bg	Categoria:Usuários bg
Category:User bg-1	Categoria:Usuário bg-1
Category:User bg-N	Categoria:Usuário bg
Category:User ca	Categoria:Usuários ca
Category:User ca-1	Categoria:Usuário ca-1
Category:User cr	Categoria:Usuários cr
Category:User cr-1	Categoria:Usuário cr-1
Category:User cs	Categoria:Usuários cs
Category:ᒥᓂᔥᑎᒄ	Categoria:Ilhas
Category:User da	Categoria:Usuários da
Category:User de	Categoria:Usuários de
Category:User de-2	Categoria:Usuário de-2
Category:User de-3	Categoria:Usuário de-3
Category:User de-N	Categoria:Usuário de
Category:User el	Categoria:Usuários el
Category:User el-1	Categoria:Usuário el-1
Category:User el-N	Categoria:Usuário el
Category:User en-3	Categoria:Usuário en-3
Category:User en-N	Categoria:Usuário en
Category:User eo-3	Categoria:Usuário eo-3
Category:User es	Categoria:Usuários es
Category:User es-2	Categoria:Usuário es-2
Category:User fi	Categoria:Usuários fi
Category:User fi-N	Categoria:Usuário fi
Category:User ko	Categoria:Usuários ko
Wikipedia:Babel	Wikipédia:Babel
Template:User sv-1	Predefinição:User sv-1
Category:ᓃᐲᔾ	Categoria:Água
Category:User ru	Categoria:Usuários ru
Category:User ru-2	Categoria:Usuário ru-2
Category:User ru-4	Categoria:Usuário ru-4
Category:User sv-1	Categoria:Usuário sv-1
Category:User tr	Categoria:Usuários tr
Category:User tr-N	Categoria:Usuário tr
Template:Lang	Predefinição:Lang
Template:Modèle:Fr	Predefinição:Fr icon
Category:ᓰᐲ	Categoria:Rios
Template:User ko	Predefinição:User ko
Category:User no-2	Categoria:Usuário no-2
Category:User no	Categoria:Usuários no
Category:ᐱᓯᐢᑭᐤ	Categoria:Animais
Category:ᑫᐧᐃᐧᐣ	Categoria:Armas
Category:Onikamow	Categoria:Cantores
Category:ᓵᑲᐦᐄᑲᓐ	Categoria:Lagos
Template:User cr-1	Predefinição:User cr-1
Category:ᑯᐯᒃ	Categoria:Quebec
Category:Itasinâsowin	Categoria:Cor
Category:User cr-2	Categoria:Usuário cr-2
Category:User cr-N	Categoria:Usuário cr
Category:ᐅᑌᓈᐤ	Categoria:Cidades
Category:User en-1	Categoria:Usuário en-1
Category:User de-1	Categoria:Usuário de-1
Category:User cr-3	Categoria:Usuário cr-3
Category:User da-N	Categoria:Usuário da
Special:RecentChanges	Especial:Mudanças recentes
