Africa	África
Nguruve	Sus domesticus
Haiti	Haiti
El Salvador	El Salvador
Iran	Irão
Iraq	Iraque
Costa Rica	Costa Rica
Israel	Israel
Panama	Panamá
Yemen	Iémen
Jordan	Jordânia
Nicaragua	Nicarágua
Florida	Flórida
Kyrgyzstan	Quirguistão
Kuwait	Kuwait
Laos	Laos
Lebanon	Líbano
Maldives	Maldivas
America (dzose)	América
Malaysia	Malásia
Burma	Myanmar
Nepal	Nepal
Oman	Omã
Pakistan	Paquistão
Qatar	Catar
Saudi Arabia	Arábia Saudita
Sri Lanka	Sri Lanka
Syria	Síria
Tajikistan	Tajiquistão
Taiwan	República da China
Thailand	Tailândia
Chitima	Trem
Turkmenistan	Turquemenistão
United Arab Emirates	Emirados Árabes Unidos
Vietnam	Vietname
South Korea	Coreia do Sul
Afghanistan	Afeganistão
Muronga Suez Canal	Canal de Suez
Bangladesh	Bangladesh
Mali	Mali
Angola	Angola
Bhutan	Butão
Brunei	Brunei
Tanzania	Tanzânia
Philippines	Filipinas
Central African Republic	República Centro-Africana
Isaac Newton	Isaac Newton
Togo	Togo
Tunisia	Tunísia
Zambia (nyika)	Zâmbia
Zimbabwe	Zimbabwe
Beijing	Pequim
South Sudan	Sudão do Sul
Benin	Benim
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Comores
Republic of the Congo	República do Congo
Democratic Republic of the Congo	República Democrática do Congo
Djibouti	Djibouti
Equatorial Guinea	Guiné Equatorial
Eritrea	Eritreia
New Delhi	Nova Deli
Tbilisi	Tbilisi
Gabon	Gabão
Gambia	Gâmbia
Guinea	Guiné
Guinea-Bissau	Guiné-Bissau
Côte d'Ivoire	Costa do Marfim
Cameroon	Camarões
Cape Verde	Cabo Verde
Lesotho	Lesoto
Liberia	Libéria
Libya	Líbia
Madagascar	Madagáscar
Malawi	Malawi
Mauritania	Mauritânia
Mauritius	Maurícia
Morocco	Marrocos
Mozambique	Moçambique
Namibia	Namíbia
Niger	Níger
Nigeria	Nigéria
Uganda	Uganda
Rwanda	Ruanda
Sao Tome and Principe	São Tomé e Príncipe
Senegal	Senegal
Seychelles	Seicheles
Sierra Leone	Serra Leoa
Somalia	Somália
Julius Caesar	Júlio César
Sudan	Sudão
Swaziland	Suazilândia
Mubatanidzwa weNyika Pasirose	Organização das Nações Unidas
Ketanyika	Geologia
Taranyika	Geografia
Moyo	Coração
Huropi	Cérebro
Prague	Praga
Jerusalem	Jerusalém
Kosovo	Kosovo
Chicago	Chicago
Chirimo	Primavera
Tsazahusiku	Equinócio
Montevideo	Montevidéu
Dhaka	Daca
Buwe	Aranha
Islamabad	Islamabad
Muchero	Fruto
Shoko	Macaco
Mari	Dinheiro
Zagreb	Zagreb
Manila	Manila
Buenos Aires	Buenos Aires
Mexico City	Cidade do México
Tokyo	Tóquio
La Paz	La Paz
Dziva rokushambira	Piscina
Abu Dhabi	Abu Dhabi
Astana	Astana
Athens	Atenas
Baghdad	Bagdá
Caracas	Caracas
Guatemala City	Cidade da Guatemala
Havana	Havana
Fodya	Tabaco
Vienna	Viena
Copenhagen	Copenhaga
Stockholm	Estocolmo
Helsinki	Helsínquia
Dublin	Dublin
Reykjavík	Reykjavík
Tallinn	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapeste
Vaduz	Vaduz
Bhaibheri	Bíblia
City of San Marino	San Marino (cidade)
Phnom Penh	Phnom Penh
Guta reHo Chi Minh	Cidade de Ho Chi Minh
Hanoi	Hanói
True Jesus Church	Verdadeira Igreja de Jesus
Chirungu	Língua inglesa
Bangkok	Banguecoque
Andorra la Vella	Andorra-a-Velha
Kuala Lumpur	Kuala Lumpur
Taipei	Taipé
Dong Hoi	Dong Hoi
Kyiv	Kiev
Ottawa	Ottawa
Juba	Juba (Sudão do Sul)
Yerevan	Erevan
Dar es Salaam	Dar es Salaam
Khartoum	Cartum
Kudya	Alimento
Nyoka	Serpente
Nhanzvi	Sexo oral
Minsk	Minsk
Chemishonga	Química
Mogadishu	Mogadíscio
Nassau	Nassau (Bahamas)
Sana'a	Saná
Nhabvu	Futebol
Rutsvamhumburu	Holocausto
Madrid	Madrid
Bogotá	Bogotá
Brasília	Brasília
Lima	Lima
Santiago	Santiago (Chile)
Quito	Quito
Asunción	Assunção
Mbudzi	Capra aegagrus hircus
Mhuru	Vitelo (animal)
Paramaribo	Paramaribo
Mukomana	Menino
Musikana	Menina
Kathmandu	Catmandu
Belmopan	Belmopan
San José	San José (Costa Rica)
San Salvador	San Salvador
Canberra	Camberra
Moto	Fogo
Tegucigalpa	Tegucigalpa
Managua	Manágua
Panama City	Cidade do Panamá
Rwizi Nile	Rio Nilo
Rabat	Rabat
Algiers	Argel
Tunis	Tunes
Tripoli	Trípoli
Djibouti (city)	Djibouti (cidade)
Tehran	Teerã
Addis Ababa	Adis Abeba
Jakarta	Jacarta
Ankara	Ancara
Asmara	Asmara
N'Djamena	N'Djamena
Nouakchott	Nouakchott
Riyadh	Riade
Bamako	Bamako
Belgrade	Belgrado
Dakar	Dakar
Banjul	Banjul
Conakry	Conacri
Bissau	Bissau
Monrovia	Monróvia
Praia	Praia (Cabo Verde)
Accra	Acra
Damascus	Damasco
Yamoussoukro	Yamoussoukro
French Guiana	Guiana Francesa
Ouagadougou	Ouagadougou
Freetown	Freetown
Abuja	Abuja
Lomé	Lomé
Porto-Novo	Porto Novo (Benim)
Amman	Amã
Yaoundé	Yaoundé
Malabo	Malabo
Beirut	Beirute
Libreville	Libreville
Muscat	Mascate
Bangui	Bangui
Kinshasa	Kinshasa
Brazzaville	Brazzaville
Bujumbura	Bujumbura
Nicosia	Nicósia
Kigali	Kigali
Doha	Doha
Dodoma	Dodoma
Nairobi	Nairóbi
Lilongwe	Lilongwe
Lusaka	Lusaka
Manama	Manama
Kudzikatidzwa kwezuva	Eclipse solar
Maputo	Maputo
Kampala	Kampala
Luanda	Luanda
Moroni	Moroni
Mbabane	Mbabane
Maseru	Maseru
Muravanembiri	Sistema de numeração binário
Chikoro	Escola
Antananarivo	Antananarivo
Gaborone	Gaborone
Harare	Harare
Pretoria	Pretória
Port Louis	Port Louis
São Tomé	São Tomé (São Tomé e Príncipe)
Windhoek	Windhoek
Victoria (Seychelles)	Victoria (Seychelles)
Imba	Casa
Rwizi	Rio
Boterekwa	Órbita
Dong Hoi Airport	Aeroporto de Dong Hoi
Mukaha weChadenga	Espaço sideral
Chiringakure	Telescópio
Curitiba	Curitiba
Sango	Floresta
Category:Masvomhu	Categoria:Matemática
Mbiru	Coluna
Gungwa Mediterranean	Mar Mediterrâneo
Chitendero chechiKristu	Cristianismo
Mupunga	Arroz
Ziwumbe	Continente
Shiri	Aves
Mwedzi (Mwaka)	Mês
Peji Rekutanga	Wikipédia:Página principal
Cape Town	Cidade do Cabo
Durban	Durban
Bhazi	Ônibus
Kabul	Cabul
Gumbeze	Cobertor
Kusvira	Relação sexual
Mbutu	Vagina
Category:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
Shambira	Natação
Category:Zvechadenga	Categoria:Astronomia
Mbayo	Materialismo
Matongerwo eNyika	Política
Kupatsanura zvipenyu	Taxonomia (geral)
Baradzira	Propaganda
Kilimanjaro	Kilimanjaro
Kutsvoda	Beijo
Rudzi rwaIsrael	Judeu
Nzeve	Orelha
Mhuno	Nariz
Ziso	Olho
Humhutu	Culicidae
Hwayi	Ovis aries
Nghamera	Camelo
Dzinoyamwisa	Mamíferos
Nzou	Elefante
Nyuchi	Anthophila
Amai (vakakubereka)	Mãe
Sinowo	Neve
Baba	Pai
Vana	Criança
Ngongoni	Gnu
Chingwa	Pão
Sangano reHutano Pasirose	Organização Mundial da Saúde
Chimbuzi	Vaso sanitário
Sera (rezvinorarama)	Célula
Ropa	Sangue
Mapapu	Pulmão humano
Casablanca	Casablanca
Kundengenyeka kwenyika	Sismo
Muchegwa	Mineral
Chokwadi	Verdade
Mashandiro eZvinhu Zvisingararami	Ciências naturais
Dombo	Rocha
Chikwatamabwe	Vulcão
Pimagonyonhatu	Trigonometria
Pimanyika	Geometria
Mhepo	Vento
Gute romweya	Atmosfera
Muchenga Pfuma	Economia
Hushangazhi	Indústria
Misambo paBonde	Lista de posições sexuais
Bonyora	Masturbação
Chita	Sociedade
Mhuri	Família
Murume	Homem
Rusaruraganda	Racismo
Muranda	Escravidão
Mukaka	Leite
Gomo	Montanha
Gwenga	Deserto
Lagos	Lagos (Nigéria)
Seoul	Seul
Ruzivo	Conhecimento
Zamu	Mama
Chiedza	Luz
Chinamato	Religião
Genesisi	Gênesis
Eksodo	Livro do Êxodo
Baku	Baku
Thimphu	Thimbu
Bandar Seri Begawan	Bandar Seri Begawan
Dili	Díli
Vientiane	Vienciana
Malé	Malé
Bishkek	Bisqueque
Dushanbe	Duchambe
Chitaka	Fígado
Itsvo	Rim
Jende	Testículo
Tsuro	Coelho
Gungwa	Oceano
Tsindi	Esquilo
Kufema	Respiração
Muzongoza	Medula espinhal
Chibereko	Útero
Rurimi	Língua
Dzira (nhengo)	Nervo
Makandiro	Ovário
Mutsipa	Pescoço
Matumbu	Intestino
Chipfuva	Peito
Tsatsadzi	Glândula
Muronga wechikafu	Aparelho digestivo
Huronyo	Sémen
Nouméa	Nouméa
Ronald Reagan	Ronald Reagan
Cardiff	Cardiff
Robert Gabriel Mugabe	Robert Mugabe
Georgetown	Georgetown (Guiana)
Bununu	Nudez
Dzinokambaira	Répteis
Muti	Árvore
Dzehugaro huviri	Anfíbios
Huchi	Mel
Nyama	Carne
Mbatatisi	Batata
Shuga	Açúcar
Muriwo	Hortaliça
Pepanhau	Jornal
Runhare	Telefone
Tsika	Cultura
Sarajevo	Sarajevo
Mhetapawa	Logaritmo
Huwandu	Aritmética
Zviringani	Sistema de coordenadas
Munyu	Sal de cozinha
Enzane	Equação
Munangatire	Função (matemática)
Gonyo	Ângulo
Chidenhi	Hormona
Rufangu	Aceleração
Simba	Energia
Manikidzo	Força
Ngoma	Tambor
Chinyenze	Flauta
Gunganidzo	Gravidade
Huremu	Massa
Simbi	Metal
Misandu yeSebhe	Estados físicos da matéria
Gasi	Gás
Mutuvi	Líquido
Godo	Sólido
Kurima	Agricultura
Donje	Algodão
Zvipfeko	Roupa
Kurima neMombe	Arado
Muchacha	Velocidade
Hujoto	Temperatura
Kukorora Simbi	Metalurgia
Nguva	Tempo
Nharaunda	Área
Dudzirazivo raPythagoras	Teorema de Pitágoras
Nhamba	Número
Chibage	Milho
Kudzana	Dança
Rufuvha (magetsi)	Corrente elétrica
Hwiriro	Frequência
Sikarudzi	Reprodução
Nhumbu	Gravidez
Gorosi	Trigo
Mapfunde	Sorghum
Hutano	Saúde
Kufuta	Obesidade
Zambuko	Ponte
Dhamu	Barragem
Kupimirana	Simetria
Nhamba mhumburu	Número inteiro
Mburungwa	Esfera
Danhiko	Escada
Munondo	Espada
Zvombo zveShomwe	Bomba nuclear
Majuro	Majuro
Dehenya	Crânio
Ranjisi	Citrus × sinensis
Ruomba	Nata
Chindau	Língua ndau
Bhodhi	Sutiã
Penzura	Lápis
Tafura	Mesa
Template:Location map Zimbabwe	Predefinição:Mapa de localização/Zimbabwe
Twiza	Girafa
Muromo	Lábio
Tsoka	Pé
Dzvinyu	Lagartos
Pahuro	Garganta
Template:Link FA	Predefinição:Link FA
Pasirose	Mundo
Wikipedia:Community Portal	Wikipédia:Esplanada
Guam	Guam
American Samoa	Samoa Americana
Northern Mariana Islands	Marianas Setentrionais
Lolol	Lolol
Chipatara	Hospital
Kereke	Igreja (edifício)
Zai	Ovo
Denderedzwa	Círculo
Mutsendo	Plano (geometria)
Chizinganhare	Telefone celular
Mhou (shiri)	Avestruz
Dudzirazivo	Teoria
Pyongyang	Pyongyang
Pfumbamwe	Nove
Tirana	Tirana
Mbongoro	Equus africanus asinus
Gonyonhatu	Triângulo
Cecil John Rhodes	Cecil Rhodes
Chișinău	Chișinău
Gumbapamwe reZviringani ZveTaranyika	Coordenadas geográficas
Njanji	Ferrovia
Shangu	Sapato
Nomwe	Sete
Nhuta	Chrysochloridae
Sere	Oito
Vhiki	Semana
Nyanza	Lago
Ulaanbaatar	Ulan Bator
Edinburgh	Edimburgo
Ashgabat	Asgabate
Chitsuwa	Ilha
Tanhatu	Seis
Madomasi	Tomate
Muenzanisi	Linha do equador
Podgorica	Podgorica
Duramahwi	Dicionário
Musoro	Cabeça
Wellington	Wellington
Valletta	Valeta
Gumi	Dez
Dindingwe	Acinonyx jubatus
Mwaka yepaNyika	Estação do ano
Zizi	Strigiformes
Nguva dzezuva	Hora
Dzemuzongoza	Vertebrados
Nowy Dwór Królewski	Nowy Dwór Królewski
Pristina	Pristina
Nyundo	Martelo
Pichilemu	Pichilemu
Bete	Barata
Pawa	Potência
Shuramurove	Cegonha-branca
Mukweso	Resistência elétrica
Haka	Pangolim
Mukwava	Vértice
Cook Islands	Ilhas Cook
Chipo (huwandu)	Aproximação
Vhudzi	Pelo
Pimamuganhu	Perímetro
Jira	Tecido têxtil
Chedza	Tentativa de crime
Huduma	Densidade
Mbiti	Lontra-europeia
Mafuro	Pasto
Twana	Caracal caracal
Alofi	Alofi
Jamestown	Jamestown (Santa Helena)
French Polynesia	Polinésia Francesa
Hagåtña	Hagåtña
Mata-Utu	Mata-Utu
Yaren	Yaren
Tambo	Corda
Wedzaniso	Adição
Tsiva	Boxe
Banga	Faca
Mbizi	Zebra
ChiBantu	Línguas bantas
Muradanuro	Exponenciação
Mheni	Raio (meteorologia)
New Caledonia	Nova Caledónia
Hugari hwevanhu	População
Shizha	Folha
ChiShona	Língua chona
Niue	Niue
Rumbariro	Latitude
Mapopoma	Queda de água
Funafuti	Funafuti
Humburumbira	Cilindro
Port-au-Prince	Porto Príncipe
Chitendero	Crença
Sipo	Sabonete
Mugwagwa	Estrada
Mvuu	Hipopótamo-comum
Munwe	Dedo
Mirairo gumi yaMwari	Dez Mandamentos
Johannesburg	Joanesburgo
Jecha	Areia
Kingston	Kingston
Mbada	Leopardo
Chipembere	Rhinocerotidae
Santo Domingo	Santo Domingo
Kuwait City	Kuwait (cidade)
Arab	Árabes
Colombo	Colombo
Bako	Caverna
Wallis and Futuna	Wallis e Futuna
Mhakatwa	Matéria
Kukotsira	Sono
Kubhabhatidza	Batismo
Igwa	Barco
Mushenjere	Bambu
Ivhu (Dhaga)	Solo
Bridgetown	Bridgetown
Hurefu	Comprimento
Apia	Apia
Saint John's	Saint John's
Roseau	Roseau
Chiroto	Sonho
Hunhungo	Longitude
Port Moresby	Port Moresby
Kupirimuka kwemishonga	Reação química
Chipfambi	Prostituição
Gonhi	Porta
Gonyoina	Quadrilátero
Tokelau	Tokelau
Nzimbe	Cana-de-açúcar
Gumi nembiri	Doze
Chiso	Face
Shambadza	Publicidade
Mutsetse	Reta
Gumi neimwe	Onze
Gumi nenhatu	Treze
Masaisai	Onda
Gurapakati	Diâmetro
Mudzidzisi	Professor
Mweya Mutsvene	Espírito Santo
Nzungu	Amendoim
Naypyidaw	Naypyidaw
Zana	Cem
Mabvi	Joelho
Bvungapfunga	Nevoeiro
Gonyozhinji	Polígono
Chivhuramabwe	Granizo
Musika (Kunotengeswa)	Mercado
Rwavhi	Camaleão
Bloemfontein	Bloemfontein
Mawuto ehondo	Exército
Port Vila	Port Vila
Firiji	Frigorífico
Mbambaira	Batata-doce
Mitemo yeruhambo yaNewton	Leis de Newton
Gumi neina	Catorze
Nwiwa	Melancia
Gumi neshanu	Quinze
Gumi nesere	Dezoito
Suva	Suva
Nukuʻalofa	Nuku'alofa
Port of Spain	Port of Spain
Mbeva	Mus
Mumhu	Volume
Puresha	Pressão
Chiremba	Médico
Mupata	Vale
Kuverengwa kweVanhu	Censo demográfico
Gumi nepfumbamwe	Dezanove
Mudhebhe	Calça
Mwaka wechikumi	Década
Zvidhinha	Tijolo
Denderende	Elipse
Gumi nenomwe	17 (número)
Gumi nenhanhatu	Dezasseis
Kuunga huwandu	Multiplicação
Makumi maviri	Vinte
Gweta	Advogado
Kubvisa	Subtração
Mbeu	Semente
Mhando	Kata (artes marciais)
Gakanje	Caranguejo
Honiara	Honiara
Mutundo	Urina
Huma	Testa
Mapisarema	Livro de Salmos
Dova	Orvalho
Gonyoina tsazamativi	Losango
Mburungwagama rekuchamhembe	Hemisfério sul
Runhanhira	Momento linear
Basseterre	Basseterre
Kingstown	Kingstown
St. George's, Grenada	Saint George's (Granada)
Castries	Castries
Rudzi	Grupo étnico
Fanza	Ebulição
Chisumamunyati	Hipótese
Zvakazarurwa	Apocalipse
Bere	Hiena
Magaro	Nádegas
Mubhedha	Cama
Basa	Trabalho (física)
Gwenzi	Arbusto
Munyakwe	Argila
Makumi mana	Quarenta
Charaka	Cone
Mutsimba	Luta
Nzunza	Serval
Palikir	Palikir
Ndebvu	Barba
Makumi matatu	Trinta
Muchovha	Veículo
Muduso	Finanças
Shangwa	Seca
Rwizi Zambezi	Rio Zambeze
Garwe	Crocodilo
Tsivatsaona	Seguro
Gonyeti	Camião
Victoria Falls	Cataratas Vitória
Gunguwo	Corvo
Nzvari	Fêmea
Ruwoko	Braço
Tsime	Poço (água)
Cotonou	Cotonou
Sokisi	Meia
Ngarikuni	Peru (ave)
Guvhu	Umbigo
Hono	Macho
Injini	Motor
Kudzikatidzwa kwemwedzi	Eclipse lunar
Cayenne	Caiena
Madziya	Calor
Pfumo	Lança
Chigayo	Moinho
Mugodhi	Mineração
Poyindi	Ponto (matemática)
Gonyoina sambamba	Paralelogramo
Museve	Flecha
Annaba	Annaba
Hweru	Orictéropo
Dandare remagetsi	Campo elétrico
Simba reNhekairo	Energia cinética
Gonyoina sambambiri	Trapézio (geometria)
Uta	Arco (arma)
Kamba	Testudinidae
Mandundu	Cordilheira
Chindori	Anel
Saint-Denis	Saint-Denis (Reunião)
Mugomo	Balde
Chiyero chekupimisa	Unidade de medida
Bhoni	Lâmpada incandescente
Chitupa	Documento de identidade
Template:Commons category	Predefinição:Commonscat
Chitunha	Cadáver
Kennedy Space Center	Centro Espacial John F. Kennedy
Penti	Calcinha
Kuramwa Basa	Greve
Muchato	Boda
Gwaro	Documento
Muzasedimbu	Proporcionalidade
Quilicura	Quilicura
Pago Pago	Pago Pago
Saipan	Saipan
Chirwere cheEbola	Doença por vírus Ébola
Datya	Anura
Sambamba	Retas paralelas
Musenerera	Osmose
Choya	Pelos púbicos
Ndiro (yokudyira)	Prato
Morgan Tsvangirai	Morgan Tsvangirai
Dandira (zvakarongeka)	Sistema
Swakopmund	Swakopmund
Chivi (kutadza)	Pecado
Pakati	Center
Marudzi aShem	Semita
Chanduru	Vesícula biliar
Kugetsenura	Eletrólise
Dimbu	Fração
Rutsaudzo rwechiedza	Refração
Doworume	Espermatozoide
Duvurwi	Planalto
Misodzi	Lágrima
Mushonga	Substância
Makumi matanhatu	Sessenta
Mukonikoni	Libélula
Bhodhoro	Garrafa
Jerenyenje	Herpestidae
Derere	Quiabo
Fes	Fez
Nhevedzwa dzeMvura	Ciclo hidrológico
Muravanegumi	Sistema de numeração decimal
Chikara (mhuka)	Carnívoro
Kurwadziwa	Dor
Nyanga	Corno
Mhesvi	Catálise
Rudzindi	Atrito
Dunhu	Região
Zita	Nome
Gonyonhanhatu	Hexágono
Denga (Remba)	Telhado
Chidembo	Mephitidae
Dzingiswa	Circuncisão
Huchenjeri	Inteligência
Honha	Lingote
Mazita eMhuri	Sobrenome
Dare	Sino
Lobamba	Lobamba
Marrakesh	Marrakech
Mhopo	Verruga
Chitofu (mugodhi)	Minério
Nyauka	Fusão (física)
Kayiti	Deltoide
Dendera	Movimento de rotação
Marin County	Condado de Marin
Kuperekera magetsi	Resistividade
Chinepfu (ruhambo)	Inércia
Tsika yekurava nhamba	Sistema de numeração
Gora	Abutre
Huyu	Favo
Zuvaragodza	Solstício
Mhanda (Kurwa)	Violência
Chisipiti	Nascente (hidrografia)
Chindunduma	Rebelião
Port Elizabeth	Porto Elizabeth
Nhambwe	Distância
Tangier	Tânger
Kurutsa	Vômito
Gavakava	Aloe
Bhomba	Bomba
Makunakuna	Incesto
Tsanga (ziso)	Catarata
Mafuta	Gordura
Zvidya	Coxa
Papeetē	Papeete
Jekanyika	Geodésia
Badza	Enxada
South Tarawa	Tarawa do Sul
Chidzayo	Cunha (ferramenta)
2 Johane	Segunda Epístola de João
Muprofita Isaya	Livro de Isaías
3 Johane	Terceira Epístola de João
Judi	Epístola de Judas
Nhoo	Escudo
Muprofita Jeremia	Livro de Jeremias
Menduru	Medalha
Sandhuru	Sandália
Kuverereka	Sublimação
Oran	Orã
Zano	Ideia
Mhara	Impala
Mamoudzou	Mamoudzou
Sasauka	Evaporação
Mhondi	Assassínio
Africa Zasi kweSahara	África subsariana
Haro	Passo de montanha
Gumbo	Perna
Bvurunuro	Difração
Bhande (chipfeko)	Cinto
Chikero	Balança
Pombi	Bomba hidráulica
Kun'ura	Corrosão
Nhoro	Tragelaphus strepsiceros
Tsono (kusona)	Agulha
Gwaya	Abramis brama
Munyungu	Solvente
Kisangani	Kisangani
Dovi	Manteiga de amendoim
Rumanda	Cerca
Mufundisi	Pastor (religião)
Chisuvi chemvura	Divisória de águas
Dota	Cinzas
Kamba dzenhapwa	Campo de concentração
Gomo reNyangani	Monte Nyangani
Kamba dzekuuraya	Campo de extermínio
Poto	Panela
Chidzudzani	Congruência (geometria)
Simba reChakunga	Energia potencial
Gonyonhatu tsazakose	Triângulo equilátero
Zenda	Noivado
Garoua	Garoua
Ramallah	Ramallah
Gonyonhatu yakarurama	Triângulo retângulo
Nhokwe	Cyperus papyrus
Gonje	Sisal
Chiwundudzi	Bolor
Gudo	Babuíno
Mapatya	Gêmeos
Mureza weZimbabwe	Bandeira do Zimbabwe
Mumvuri	Sombra
Nyati	Búfalo-africano
Mhene	Planície
Ruchichinuko	Convecção
Keetmanshoop	Keetmanshoop
Muchacha pima negonya	Velocidade angular
Munyonga	Curva
Hudonongodzwa	List
Ketamabwe	Petrologia
Mukoko	Colmeia
Tsanga	Arundo
Nhanga (Muchero)	Abóbora
Francistown	Francistown
Nhunzi	Musca domestica
Kubundira	Condensação
Betafo	Betafo
Remba	Lemba
Ambuya	Avós
Mhete	Brinco
Caselle Landi	Caselle Landi
Hargeisa	Hargeisa
Hwata	Sagittarius serpentarius
Nelspruit	Nelspruit
Matoro	Zona úmida
Avarua	Avarua
Agadir	Agadir
Maun	Maun
Zvombo zvinechefu	Guerra biológica
Nhovo	Colchão
Sunflower	Girassol
Bwato	Canoa
Tsaona	Acidente
Hanga	Numididae
Rukuvhute	Cordão umbilical
Gupuko	Molalidade
Fosi yeRutondapakati	Força centrípeta
Nhoozhinji	Poliedro
Bantu	Bantos
Guva	Túmulo
Mhumhi	Mabeco
Taramunyongo	Raio (geometria)
Chitsitsinho	Calcanhar
Mukondo	Autoridade
Ruwa	Zona rural
Toamasina	Toamasina
