Afirik	África
Kudaku	Batata
Limle	Número
Masarji	Milho
Ngaluuji leydi	Lista de Estados soberanos
Modèle:Link FA	Predefinição:Link FA
Wikipedia:Accueil	Wikipédia:Esplanada
Joweenayi	Nove
Bien Hoa	Bien Hoa
Nha Trang	Nha Trang
Vung Tau	Vũng Tàu
Bahai	Fé bahá'í
Joweeɗiɗi	Sete
Joweetati	Oito
Joweego	Seis
Paltoga	Paltoga
Entrena	Entrena
Sappo	Dez
Aéroport de Cam Ranh	Aeroporto Internacional Cam Ranh
Nowy Dwór Królewski	Nowy Dwór Królewski
Ca Mau	Cà Mau (cidade)
Da Nang	Da Nang
Fulfulde	Língua fula
Cirgu	Leopardo
Ido	Língua ido
Sappo e ɗiɗi	Doze
Sappo e go’o	Onze
Sappo e tati	Treze
Teemerre	Cem
Miliyonji	Milhão
Sappo e nay	Catorze
Sappo e jowi	Quinze
Sappo e joweetati	Dezoito
Ciifol Gaaza	Faixa de Gaza
Sappo e joweenay	Dezanove
Sappo e joweeɗiɗi	17 (número)
Sappo e joweego	Dezasseis
Noogas	Vinte
Cappanɗe nayi	Quarenta
Cappanɗe tati	Trinta
Booro	Mil
Montehermoso	Montehermoso
Lacuna Coil	Lacuna Coil
Cappanɗe joweego	Sessenta
Coronel Fabriciano	Coronel Fabriciano
Ba Don	Ba Don
Ahmed Seeku Tuuree	Ahmed Sékou Touré
Aamadu Tumani Tuure	Amadou Toumani Touré
Tigranes II	Tigranes, o Grande
Pullo	Fulas
Lansana Konte	Lansana Conté
Teemeɗɗe jowi	Quinhentos
Cappanɗe joweenayi	Noventa
Teemeɗɗe joweego	Seiscentos
Aañam-Goli	Agnam-Goly
Booro sappo	Dez mil
Paramore	Paramore
Aéroport de Tan Son Nhat	Aeroporto Internacional Tan Son Nhat
Buford	Buford (Wyoming)
Cappanɗe joweetati	Oitenta
Noogas e go’o	Vinte e um
Noogas e ɗiɗi	Vinte e dois
Cappanɗe joweeɗiɗi	Setenta
Cappanɗe jowi	Cinquenta
Teemeɗɗe ɗiɗi	Duzentos
Teemeɗɗe joweeɗiɗi	Setecentos
Teemeɗɗe joweenayi	Novecentos
Teemeɗɗe joweetati	Oitocentos
Aéroport de Da Nang	Aeroporto Internacional de Da Nang
Laamateeri Adamaawa	Emirado de Adamawa
Adradas	Adradas
Arenillas	Arenillas
Medford	Medford (Oregon)
Aéroport de Ca Mau	Aeroporto de Ca Mau
Fonnye	Fonio
Teemeɗɗe tati	Trezentos
Catégorie:Roosiya	Categoria:Rússia
Catégorie:Hispaanya	Categoria:Espanha
Catégorie:Vietnam	Categoria:Vietname
Catégorie:Taariika	Categoria:História
Catégorie:Mbaalaandi	Categoria:Geografia
Catégorie:Diina	Categoria:Religião
Catégorie:Siyansi	Categoria:Ciência
Teemeɗɗe nayi	Quatrocentos
Catégorie:Duungal	Categoria:Continentes
Catégorie:Leydi	Categoria:Países
Wikipedia:Administrateurs	Wikipédia:Administradores
Catégorie:Yimɓe	Categoria:Pessoas
Modèle:Bot	Predefinição:Robô
Wikipedia:Copyrights	Wikipédia:Direitos de autor
Catégorie:Yuroopu	Categoria:Europa
Modèle:Documentation	Predefinição:Documentação
Catégorie:Babel	Categoria:!Wikipedistas por idioma
Sung Jae-gi	Sung Jae-ki
Alfaya	Alfaya
Modèle:Softredirect	Predefinição:Pseudorredirecionamento
Modèle:Db	Predefinição:ER
Catégorie:Wikipeediya	Categoria:Wikipédia
Wikipedia:Statistiques	Wikipédia:Estatísticas
Modèle:Clear	Predefinição:Limpar
Catégorie:Afirik	Categoria:África
Catégorie:Limle	Categoria:Números
Modèle:Babel	Predefinição:Babel
Modèle:Commons	Predefinição:Commons
Modèle:Stub	Predefinição:Esboço
Modèle:User af-1	Predefinição:User af-1
Modèle:User ar-1	Predefinição:User ar-1
Modèle:User ast-1	Predefinição:User ast-1
Modèle:User az	Predefinição:User az
Modèle:User bar-1	Predefinição:User bar-1
Modèle:User eo-1	Predefinição:User eo-1
Modèle:User da-2	Predefinição:User da-2
Modèle:User da	Predefinição:User da
Modèle:User ca-1	Predefinição:User ca-1
Modèle:User be-2	Predefinição:User be-2
Modèle:User da-1	Predefinição:User da-1
Modèle:User cs-1	Predefinição:User cs-1
Modèle:User bg-1	Predefinição:User bg-1
Modèle:User eo-3	Predefinição:User eo-3
Modèle:User de	Predefinição:User de
Modèle:User de-1	Predefinição:User de-1
Modèle:User eu	Predefinição:User eu
Modèle:User et-1	Predefinição:User et-1
Modèle:User es	Predefinição:User es
Modèle:User de-3	Predefinição:User de-3
Modèle:User en-3	Predefinição:User en-3
Modèle:User en-1	Predefinição:User en-1
Modèle:User en-2	Predefinição:User en-2
Modèle:User eo-2	Predefinição:User eo-2
Modèle:User en-4	Predefinição:User en-4
Modèle:User fi	Predefinição:User fi
Modèle:User en-0	Predefinição:User en-0
Modèle:User en	Predefinição:User en
Modèle:User de-2	Predefinição:User de-2
Modèle:User es-1	Predefinição:User es-1
Modèle:User fr-1	Predefinição:User fr-1
Modèle:User ia-2	Predefinição:User ia-2
Modèle:User he-1	Predefinição:User he-1
Modèle:User io-3	Predefinição:User io-3
Modèle:User it-3	Predefinição:User it-3
Modèle:User sk	Predefinição:User sk
Modèle:User tr-2	Predefinição:User tr-2
Modèle:User fr-2	Predefinição:User fr-2
Modèle:User tr	Predefinição:User tr
Modèle:User ja	Predefinição:User ja
Modèle:User ja-1	Predefinição:User ja-1
Modèle:User it-1	Predefinição:User it-1
Modèle:User hr-1	Predefinição:User hr-1
Modèle:User fr	Predefinição:User fr
Modèle:User he	Predefinição:User he
Catégorie:Aasiya	Categoria:Ásia
Catégorie:User uk	Categoria:Usuários uk
Modèle:Mod	Predefinição:Mod
Modèle:User sv	Predefinição:User sv
Modèle:User it	Predefinição:User it
Modèle:User es-2	Predefinição:User es-2
Catégorie:User fr-1	Categoria:Usuário fr-1
Modèle:Official website	Predefinição:Oficial
Catégorie:User en-4	Categoria:Utilizador en-4
Catégorie:User en	Categoria:Usuários en
Catégorie:User zh	Categoria:Usuários zh
Catégorie:User zh-N	Categoria:Usuário zh
Catégorie:User en-2	Categoria:Usuário en-2
Modèle:User eo	Predefinição:User eo
Modèle:User zh	Predefinição:User zh
Modèle:User ru-4	Predefinição:User ru-4
Modèle:User nl-1	Predefinição:User nl-1
Modèle:User nl-2	Predefinição:User nl-2
Modèle:User ru	Predefinição:User ru
Catégorie:Aameerik	Categoria:América
Modèle:Ɗemngal e innde mun	Predefinição:Língua com nome
Modèle:User pt-1	Predefinição:User pt-1
Modèle:User pl	Predefinição:User pl
Modèle:User nl	Predefinição:User nl
Modèle:User no-2	Predefinição:User no-2
Modèle:Ɗemngal-de	Predefinição:Lang-de
Modèle:User fr-3	Predefinição:User fr-3
Modèle:User lt	Predefinição:User lt
Modèle:Oppose	Predefinição:Discordo
Modèle:User ar-2	Predefinição:User ar-2
Modèle:User ar-3	Predefinição:User ar-3
Modèle:User ar	Predefinição:User ar
Catégorie:User ja-N	Categoria:Usuário ja
Modèle:URL	Predefinição:URL
Modèle:User no	Predefinição:User no
Modèle:Ɗemngal-fr	Predefinição:Lang-fr
Modèle:User pt-0	Predefinição:User pt-0
Modèle:User pt-3	Predefinição:User pt-3
Modèle:User pt-2	Predefinição:User pt-2
Catégorie:User az	Categoria:Usuários az
Catégorie:User be	Categoria:Usuários be
Catégorie:User hr	Categoria:Usuários hr
Catégorie:User sk	Categoria:Usuários sk
Catégorie:User eo	Categoria:Usuários eo
Catégorie:User fr	Categoria:Usuários fr
Catégorie:User ja	Categoria:Usuários ja
Catégorie:User lt	Categoria:Usuários lt
Catégorie:User mk	Categoria:Usuários mk
Catégorie:User pt	Categoria:Usuários pt
Catégorie:User sv	Categoria:Usuários sv
Catégorie:User it-3	Categoria:Usuário it-3
Catégorie:User ar-3	Categoria:Usuário ar-3
Catégorie:User cs-1	Categoria:Usuário cs-1
Catégorie:User da-1	Categoria:Usuário da-1
Catégorie:User mk-1	Categoria:Usuário mk-1
Catégorie:User nl-1	Categoria:Usuário nl-1
Catégorie:User be-2	Categoria:Usuário be-2
Catégorie:User da-2	Categoria:Usuário da-2
Catégorie:User fr-2	Categoria:Usuário fr-2
Catégorie:User nl-2	Categoria:Usuário nl-2
Catégorie:User tr-2	Categoria:Usuário tr-2
Catégorie:User ar-2	Categoria:Usuário ar-2
Catégorie:User fr-N	Categoria:Usuário fr
Catégorie:User lt-N	Categoria:Usuário lt
Catégorie:User no-N	Categoria:Usuário no
Catégorie:User ru-N	Categoria:Usuário ru
Catégorie:User af	Categoria:Usuários af
Catégorie:User af-1	Categoria:Usuário af-1
Catégorie:User als	Categoria:Usuários als
Catégorie:User als-1	Categoria:Usuário als-1
Catégorie:User ar	Categoria:Usuários ar
Catégorie:User ast	Categoria:Usuários ast
Catégorie:User ast-1	Categoria:Usuário ast-1
Catégorie:User az-N	Categoria:Usuário az
Catégorie:User bar	Categoria:Usuários bar
Catégorie:User bar-1	Categoria:Usuário bar-1
Catégorie:User bg	Categoria:Usuários bg
Catégorie:User bg-1	Categoria:Usuário bg-1
Catégorie:User ca	Categoria:Usuários ca
Catégorie:User ca-1	Categoria:Usuário ca-1
Catégorie:User cs	Categoria:Usuários cs
Catégorie:User da	Categoria:Usuários da
Catégorie:User sk-N	Categoria:Usuário sk
Catégorie:User de	Categoria:Usuários de
Catégorie:User de-2	Categoria:Usuário de-2
Catégorie:User de-3	Categoria:Usuário de-3
Catégorie:User de-N	Categoria:Usuário de
Catégorie:User en-3	Categoria:Usuário en-3
Catégorie:User en-N	Categoria:Usuário en
Catégorie:User eo-1	Categoria:Usuário eo-1
Catégorie:User eo-3	Categoria:Usuário eo-3
Catégorie:User eo-N	Categoria:Usuário eo
Catégorie:User es	Categoria:Usuários es
Catégorie:User es-1	Categoria:Usuário es-1
Catégorie:User es-2	Categoria:Usuário es-2
Catégorie:User es-4	Categoria:Usuário es-4
Catégorie:User es-N	Categoria:Usuário es
Catégorie:User hr-1	Categoria:Usuário hr-1
Catégorie:User pl-N	Categoria:Usuário pl
Catégorie:User it	Categoria:Usuários it
Catégorie:User it-1	Categoria:Usuário it-1
Catégorie:User ja-1	Categoria:Usuário ja-1
Catégorie:User ru-1	Categoria:Usuário ru-1
Modèle:User sv-1	Predefinição:User sv-1
Catégorie:Njuɓɓudi naangeyankoori	Categoria:Sistema solar
Modèle:User pt-4	Predefinição:User pt-4
Modèle:User cs	Predefinição:User cs
Modèle:User ru-2	Predefinição:User ru-2
Modèle:User ko-3	Predefinição:User ko-3
Catégorie:User pt-0	Categoria:Usuário pt-0
Catégorie:User pt-N	Categoria:Usuário pt
Catégorie:User ru	Categoria:Usuários ru
Catégorie:User ru-2	Categoria:Usuário ru-2
Catégorie:User ru-4	Categoria:Usuário ru-4
Catégorie:User sr	Categoria:Usuários sr
Catégorie:User sr-1	Categoria:Usuário sr-1
Catégorie:User sv-1	Categoria:Usuário sv-1
Catégorie:User sv-3	Categoria:Usuário sv-3
Catégorie:User tr	Categoria:Usuários tr
Catégorie:User tr-N	Categoria:Usuário tr
Catégorie:User uk-4	Categoria:Usuário uk-4
Catégorie:User vi	Categoria:Usuários vi
Catégorie:User vi-N	Categoria:Usuário vi
Modèle:User sv-3	Predefinição:User sv-3
Catégorie:Gine	Categoria:Guiné
Catégorie:Maali	Categoria:Mali
Catégorie:Muritani	Categoria:Mauritânia
Modèle:User ko	Predefinição:User ko
Modèle:User mk-1	Predefinição:User mk-1
Modèle:User no-1	Predefinição:User no-1
Modèle:User pt	Predefinição:User pt
Modèle:User ru-1	Predefinição:User ru-1
Modèle:User sr-1	Predefinição:User sr-1
Modèle:User uk-4	Predefinição:User uk-4
Modèle:User zh-1	Predefinição:User zh-1
Modèle:User zh-2	Predefinição:User zh-2
Modèle:User zh-3	Predefinição:User zh-3
Catégorie:Senegal	Categoria:Senegal
Catégorie:User nl	Categoria:Usuários nl
Catégorie:User no-1	Categoria:Usuário no-1
Catégorie:User no-2	Categoria:Usuário no-2
Catégorie:User no	Categoria:Usuários no
Catégorie:User zh-1	Categoria:Usuário zh-1
Catégorie:User zh-2	Categoria:Usuário zh-2
Catégorie:East Timor	Categoria:Timor-Leste
Catégorie:Dabbaji	Categoria:Animais
Catégorie:Ndenndaandi	Categoria:Repúblicas
Catégorie:Alqur'aana	Categoria:Alcorão
Catégorie:User pl	Categoria:Usuários pl
Trojany	Trojany
Kappe	Inhame
Modèle:User ia	Predefinição:User ia
Modèle:User et	Predefinição:User et
Modèle:User bm-1	Predefinição:User bm-1
Catégorie:Fulɓe	Categoria:Fula
Modèle:User vi	Predefinição:User vi
Catégorie:User en-1	Categoria:Usuário en-1
Catégorie:User de-1	Categoria:Usuário de-1
Catégorie:User da-N	Categoria:Usuário da
Modèle:User ru-3	Predefinição:User ru-3
Modèle:User li	Predefinição:User li
Modèle:User hi	Predefinição:User hi
Wikipedia:Proposed deletions	Wikipédia:Eliminação semirrápida
Modèle:User bm-2	Predefinição:User bm-2
Spécial:Modifications récentes	Especial:Mudanças recentes
