ఆఫ్రికా	África
పండుగప్ప	Perca-gigante
అడవి ఆముదము చెట్టు	Jatropha curcas
డెల్ఫీ	Delfos
పీఠభూమి	Planalto
ఎ లాట్ లైక్ లవ్	A Lot Like Love
ఎలిజబెత్ హర్లె	Elizabeth Hurley
సామ్యూల్ F. B. మోర్స్	Samuel Morse
హాగ్ చేప	Peixe-bruxa
బుడగ	Bubble
సబ్బు బుడగ	Bolha de sabão
బోరిస్ బెకర్	Boris Becker
26/11 ముంబై పై దాడి	Atentados de 26 de novembro de 2008 em Bombaim
ఎమిల్ వాన్ బెరింగ్	Emil Adolf von Behring
డాప్లర్ ప్రభావం	Efeito Doppler
కన్నీరు	Lágrima
చొక్కా	Camisa
ఫ్రెడ్రిక్‌ అగస్ట్‌ కెకూలే	August Kekulé
మాక్స్‌ డెల్‌బ్రక్	Max Delbrück
సివిల్ ఇంజనీరింగ్	Engenharia civil
రేడియాలజీ	Radiologia
ఏకదళబీజాలు	Monocotiledónea
వీధి	Rua
సూపర్ మేన్	Superman
గూగుల్ క్రోమ్ OS	Google Chrome OS
గూగుల్ డెస్క్‌టాప్	Google Desktop
గూగుల్ ప్లే	Google Play
గూగుల్ వెబ్ టూల్‌కిట్	Google Web Toolkit
తుఫాను (సైక్లోన్)	Ciclone
3G	3G
లైసెన్సు	Licença
కిలోబైట్	Kilobyte
టెరాబైట్	Terabyte
కొవ్వొత్తి	Vela
భారమితి	Barómetro
ఫ్రెండ్స్ (ధారావాహిక)	Friends
తట్టు	Sarampo
యాంత్రిక అనువాదం	Tradução automática
క్రోధం	Ira
బ్రెయిలీ లిపి	Braille
ప్రభుత్వేతర సంస్థ	Organização não governamental
కృష్ణ పదార్థం	Matéria escura
మొటిమ	Acne
పుప్పొడి	Pólen
క్రైస్ట్‌ ద రిడీమర్ (శిలా విగ్రహం)	Cristo Redentor
కాశీ	Varanasi
25 (సంఖ్య)	Vinte e cinco
24 (సంఖ్య)	Vinte e quatro
గజనిమ్మ	Pomelo
చెక్కు	Cheque
ప్రిజన్ బ్రేక్	Prison Break
సొనెట్	Soneto
మేగాన్ ఫాక్స్	Megan Fox
చిహ్నం	Símbolo
కలబంద	Babosa
మానవీయ శాస్త్రాలు	Humanidades
టోపీ	Chapéu
చింపాంజీ	Chimpanzé
జోసెఫ్ లూయిస్ లెగ్రాంజ్	Joseph-Louis Lagrange
సీసా	Garrafa
చింత	Tamarindus
ఏంజెల్ జలపాతము	Salto Ángel
కార్న్	Korn
లిబరేషన్ టైగర్స్ ఆఫ్ తమిళ్ ఈలం	Tigres de Liberação do Tamil Eelam
బెంగాల్	Bengala
ముంగిస	Herpestidae
పాట్నా	Patna
రూపాయి	Rupia indiana
బెండకాయ	Quiabo
డైనమైట్	Dinamite
టెన్సింగ్ నార్కే	Tenzing Norgay
పలభా యంత్రము	Relógio de sol
స్పుత్నిక్	Sputnik I
హ్యారీ పాటర్ అండ్ ది ఆర్డర్ ఆఫ్ ది ఫినిక్స్	Harry Potter e a Ordem da Fênix
అన్నే బోలీన్	Ana Bolena
గబ్రియేలా మిస్ట్రాల్	Gabriela Mistral
అణు రియాక్టరు	Reator nuclear
జేమ్స్ చాడ్విక్	James Chadwick
మైక్రోసాఫ్ట్ ఔట్లుక్	Microsoft Outlook
పశు పోషణ	Pecuária
కేట్ బ్లాంచెట్	Cate Blanchett
జుడాస్ ఇస్కారియట్	Judas Iscariotes
ఈక	Pena
జలచక్రం	Ciclo hidrológico
హోమియోపతీ వైద్య విధానం	Homeopatia
ఇంజనీరు	Engenheiro
ఫిరంగి	Canhão
అణుపుంజము	Polímero
మార్ఫిన్	Morfina
సిమెన్స్ AG	Siemens AG
ఆటోమేటెడ్ టెల్లర్ మెషీన్	Caixa eletrônico
ఎకరం	Acre (unidade)
బ్రెట్ హార్ట్	Bret Hart
శనగలు	Grão-de-bico
పాల కూర	Espinafre
సిట్రస్	Citrus
పియర్స్ బ్రోస్నన్	Pierce Brosnan
పాస్కల్(కంప్యూటర్)	Pascal (linguagem de programação)
తుమ్మ	Acácia
ఫాస్ట్ ఫుడ్	Fast-food
వాతావరణ పీడనం	Pressão atmosférica
మోనికా బెల్లూచి	Monica Bellucci
గొంగళి పురుగు	Lagarta
చెంచా	Colher
నొప్పి	Dor
జిబ్రయీల్	Gabriel (anjo)
కాంచెన్‌జంగా	Kanchenjunga
కొమ్ము	Corno
భాషా భాగాలు	Classe gramatical
స్టీవెన్ సీగల్	Steven Seagal
ఆహార మరియు వ్యవసాయ సంస్థ	Organização das Nações Unidas para Alimentação e Agricultura
ఉత్ప్రేరకాలు	Catálise
అవక్షేపణ రాయి	Rocha sedimentar
విరామ చిహ్నములు	Pontuação
రక్త పీడనం	Pressão arterial
గడ్డం	Queixo
చిత్రం స్కానర్	Digitalizador
పేరు	Nome
సొకొట్రా	Socotorá
నారాయణ్ కార్తికేయన్	Narain Karthikeyan
రాజకీయవేత్త	Político
చైనా చరిత్ర	História da China
షడ్భుజి	Hexágono
పుట్ట గొడుగు	Cogumelo
భారత జాతీయగీతం	Jana Gana Mana
టవర్ వంతెన	Tower Bridge
షార్లోట్టేస్ వెబ్ 2: విల్బుర్స్ గ్రేట్ అడ్వెంచర్	Wilbur e Seus Amigos
శ్రీనివాస రామానుజన్	Srinivasa Ramanujan
ఈస్టిండియా కంపెనీ	Companhia Britânica das Índias Orientais
జాజికాయ	Noz-moscada
పైకప్పు	Telhado
అలీనోద్యమం	Movimento Não Alinhado
కెప్లర్ గ్రహ గమన నియమాలు	Leis de Kepler
నేరం	Crime
స్పాంజ్‌బాబ్ స్క్వేర్ పాంట్స్	SpongeBob SquarePants
శిలావరణం	Litosfera
ఉరుము	Trovão
ఫోర్ట్రాన్	Fortran
టైఫాయిడ్	Febre tifoide
నైట్రిక్ ఆమ్లం	Ácido nítrico
గియాకోమో కాసనోవా	Giacomo Casanova
గురునానక్	Guru Nanak
ఎరువు	Fertilizante
లైసోసోము	Lisossomo
జేమ్స్‌ వాట్సన్‌	James Watson
సున్తీ	Circuncisão
ఒరిగమి	Origami
జేమ్స్ డీన్	James Dean
జీన్స్ (వస్త్రం)	Jeans
కర్మాగారము	Fábrica
స్పార్టకస్	Espártaco
మెగాడెత్	Megadeth
జాన్ టెర్రీ	John Terry
సభ్యోక్తి	Eufemismo
జుడాస్ ప్రీస్ట్	Judas Priest
వేడి నీటి బుగ్గ	Géiser
మరాఠా సామ్రాజ్యం	Império Marata
షాజహాన్	Shah Jahan
సిమ్లా	Shimla
పైథాన్ సాఫ్ట్‌వేర్ ఫౌండేషన్	Python Software Foundation
ఋతుచక్రం	Ciclo menstrual
గౌడ	Gouda
HCard	HCard
రాతప్రతులు	Manuscrito
శబ్ద కాలుష్యం	Poluição sonora
వర్గం:బార్‌కోడ్‌లు	Categoria:Código de barras
మూస:Cite book	Predefinição:Citar livro
జేమ్స్ గోస్లింగ్	James Gosling
ఆలిస్'స్ ఎడ్వెన్చర్స్ ఇన్ వండర్‌ల్యాండ్	Alice no País das Maravilhas
ఎరిక్ ఇ. ష్మిత్	Eric Schmidt
సర్జీ బ్రిన్	Sergey Brin
డా.రాజ్ రెడ్డి	Raj Reddy
సుభాష్ కాక	Subhash Kak
విలియం హార్వే	William Harvey
లూయీ బ్రెయిలీ	Louis Braille
రేఖాచిత్రం	Desenho
కోడి గుడ్డు	Ovo (alimento)
విడాకులు	Divórcio
బాలీవుడ్	Bollywood
తులిప్	Tulipa
డాక్యుమెంటరీ చిత్రం	Documentário
ఈము	Emu
ఓ.ఎస్.ఐ నమూనా	Modelo OSI
ద హూ	The Who
సీమస్ హీనీ	Seamus Heaney
బాబ్ హోప్	Bob Hope
పొద్దుతిరుగుడు నూనె	Óleo de girassol
ఖాన్ అకాడమీ	Khan Academy
పాంథియోన్, రోమ్	Panteão (Roma)
ఫాల్కిర్క్ చక్రము	Roda de Falkirk
తలగడ	Travesseiro
వైశాలి	Distrito de Vaishali
పౌండ్ (పరిమాణం)	Libra (massa)
ఇతర పదాల మొదటి అక్షరాల నుండి పుట్టిన పదం (ఏక్రానిం) మరియు ఇనీష్యలిజం	Acrónimo
ప్రోటోజోవా	Protozoário
మెకానికల్ ఇంజనీరింగ్	Engenharia mecânica
ఇంటి పేర్లు	Sobrenome
గంట (పరికరం)	Sino
స్వైన్ ఫ్లూ	Pandemia de gripe A de 2009
ఎస్టర్	Éster
ఆల్డిహైడు	Aldeído
డీప్ పర్పుల్	Deep Purple
రాక్షస గూళ్లు	Dólmen
వాక్యూమ్ క్లీనర్	Aspirador
బలిపీఠము	Altar
ఇగ్లూ	Iglu
తేయాకు	Camellia sinensis
కలుపు మొక్క	Erva daninha
సెగవ్యాధి	Gonorreia
ప్రయోగం	Experiência científica
ఉలిపిరి కాయలు	Verruga
రోనాల్డ్ రాస్	Ronald Ross
ఇవాంజెలిస్టా టొర్రిసెల్లి	Evangelista Torricelli
డాక్టర్ నో	Dr. No
కనిష్ఠ సామాన్య గుణిజం	Mínimo múltiplo comum
సోడియమ్ హైడ్రాక్సైడ్	Hidróxido de sódio
ఖనిజాలు	Minério
తేనెటీగ	Apis
హారియట్ టబ్‌మన్	Harriet Tubman
కేసరము	Estame
ఈథరు	Éter
వి ఫర్ వెండెట్టా	V for Vendetta
రవి శంకర్	Ravi Shankar
మూలవాసులు	Indígenas
చార్లీ షీన్	Charlie Sheen
తెలుగు వచనములు	Número (gramática)
రాతినార	Asbesto
పల్ప్ ఫిక్షన్ (చలన చిత్రం)	Pulp Fiction
పంటి చిగురు	Gengiva
జాన్ బోర్గ్	Björn Borg
పౌర్ణమి	Lua cheia
రాబర్ట్‌ ఎడ్వర్డ్స్‌	Robert Geoffrey Edwards
రేడియో పౌనఃపున్య గుర్తింపు	Identificação por radiofrequência
సిడ్నీ షెల్డన్	Sidney Sheldon
గోమేదికం	Granada (mineralogia)
క్రైస్తవుడు	Cristão
సీలియేటా	Ciliophora
మజ్జిగ	Leitelho
మాగ్నస్ కార్ల్‌సన్	Magnus Carlsen
జగ్జీత్ సింగ్	Jagjit Singh
రాజేష్ ఖన్నా	Rajesh Khanna
కాపర్ సల్ఫేట్	Sulfato de cobre (II)
మెగా	Mega
పుష్ప రక్షక పత్రం	Sépala
ది బోర్న్ అల్టిమేటం (చలనచిత్రం)	The Bourne Ultimatum
పక్షవాతం	Paralisia
రాబర్ట్ లుకాస్	Robert Lucas, Jr.
పూరేకు	Pétala
హరగోవింద్ ఖొరానా	Har Khorana
అగ్నిమాపక శాఖ	Bombeiro
నార్త్ గోవా	Goa Norte
పరీక్ష నాళిక	Tubo de ensaio
సౌత్ గోవా	Goa Sul
ధ్యానం	Meditação
గిగా-	Giga
టెరా-	Tera
ఎ. ఆర్. రెహమాన్	A. R. Rahman
ఇంక్‌జెట్ ప్రింటర్	Impressora de jato de tinta
దేశాల జాబితా – తలసరి నామినల్ జి.డి.పి. క్రమంలో	Lista de países por PIB nominal per capita
రోటరీ క్లబ్	Rotary International
యుగళగీతం	Dueto
ఇంగువ	Ferula assafoetida
మాలకాకి	Corvo-de-bico-grosso
మన్మథుడు	Kamadeva
రాధ	Radha
రినైటిస్‌	Rinite
సంగమగ్రామ మాధవుడు	Madhava de Sangamagrama
బాట్‌మాన్ (1989 చిత్రం)	Batman (1989)
చుండ్రు	Caspa
గ్రాండ్ కేనియన్	Grand Canyon
మాగ్నోలియేసి	Magnoliaceae
క్లోనింగ్	Clonagem
అమేడియో మొడిగ్లియాని	Amedeo Modigliani
భీమ్‌సేన్ జోషి	Bhimsen Joshi
సమాచార వ్యవస్థలు	Sistema de informação
మెలోప్సిట్టాసిని	Periquito-australiano
అవస్థాపన సౌకర్యాలు	Infraestrutura (engenharia)
అలీసియా కీస్	Alicia Keys
ఆక్యుపంక్చర్	Acupuntura
హిల్లరీ డఫ్	Hilary Duff
వొడఫోన్	Vodafone
హెర్మన్ రోషాక్	Hermann Rorschach
రాబందు	Abutre
గోల్డ్ ఫిష్	Carassius auratus
వెనెస్సా హడ్జెన్స్	Vanessa Hudgens
ఫ్లాస్టిక్ కాలుష్యం	Estresse
భూపరివేష్టిత దేశం	Lista de países sem costa marítima
ఆవిష్కరణ	Invenção
రాయల్ సొసైటీ	Royal Society
జకాత్	Zakat
స్కార్పియన్స్ (బ్యాండ్)	Scorpions
కిస్ (బ్యాండ్)	Kiss
వానపాము	Minhoca
డయాబెటిస్ మెల్లిటస్ రకం 1	Diabetes mellitus tipo 1
వాషింగ్ మెషీన్	Máquina de lavar roupa
ధరిత్రి దినోత్సవం	Dia da Terra
రుచి	Paladar
ప్లాటీహెల్మింథిస్	Platelmintos
స్లమ్‌డాగ్ మిలియనీర్	Slumdog Millionaire
సాల్మా హాయక్	Salma Hayek
కమలాపండు	Tangerina
రంపం	Serra (ferramenta)
సముద్రమట్టం	Nível médio do mar
ఇమామ్	Imame
ఎడ్వర్డ్ నార్టన్	Edward Norton
దూరం	Distância
హన్నా మోంటానా	Hannah Montana
వ్యావహారికసత్తావాదం	Pragmatismo
కిండర్ గార్టెన్ (బాల విహార్)	Jardim de infância
కండర సంకోచము	Contracção muscular
మంగళూరు	Mangalore
ఫోలిక్ ఆమ్లం	Ácido fólico
వాంతి	Vômito
పెర్ల్ నౌకాశ్రయం	Pearl Harbor
అలో	Aloe
బిగ్ బ్రదర్ (TV సిరీస్)	Big Brother (reality show)
బాంబు	Bomba
గర్భాదానము	Fecundação
నీలమణి	Safira
పెనం	Frigideira
శుక్లము	Catarata
పంచభుజి	Pentágono
మైక్రోవేవ్ ఓవెన్	Forno de micro-ondas
లెవీ స్ట్రాస్ అండ్ కో.	Levi Strauss & Co.
కొలెస్టరాల్‌	Gordura
గిట్ట	Casco (animal)
నైరూప్య కళ	Arte abstrata
క్యూబా క్షిపణి సంక్షోభం	Crise dos mísseis de Cuba
ఇంద్రుడు	Indra
బయోఇన్ఫర్మేటిక్స్	Bioinformática
రొమ్ము కాన్సర్	Câncer de mama
పునర్జన్మ	Reencarnação
జాన్ నాష్	John Forbes Nash
భారతదేశ విభజన	Partição da Índia
ట్రఫాల్గర్ స్క్వేర్	Trafalgar Square
చంద్రశేఖరేంద్ర సరస్వతి స్వామి	Patrick White
బోను	Jaula
రక్త విరేచనాలు	Disenteria
దుగోంగ్	Dugongo
హ్యూ జాక్‌మన్	Hugh Jackman
యతి (ఒక వింత జీవి)	Ieti
తొడ	Coxa
అడోబీ ఫోటోషాప్	Adobe Photoshop
లండన్ వంతెన	Ponte de Londres
గండభేరుండము	Grifo
మక్‌బెత్	Macbeth
జార్జ్ మైకేల్	George Michael
సృష్ఠివాదం	Criacionismo
భ్రాంతి	Alucinação
పొగ	Fumo
కీచురాయి	Cigarra
చూయింగ్ గమ్	Chiclete
దాలియా	Dahlia
కెలోరి	Caloria
అనుమస్తిష్కము	Cerebelo
హారూన్ రషీద్	Harun al-Rashid
టాక్సోప్లాస్మా	Toxoplasma gondii
ఎయిర్ ఫ్రాన్స్	Air France
సైంటాలజీ	Cientologia
పాల్ క్రుగ్మాన్	Paul Krugman
అన్నా కోర్నికోవా	Anna Kournikova
వాయు కాలుష్యం	Poluição atmosférica
అనస్థీషియా	Anestesia
డిటర్మినిజం	Determinismo
ఛలోక్తి	Piada
కోబాల్	COBOL
టామ్ మరియు జెర్రీ	Tom and Jerry
ఆదర్శధామం	Utopia
వెబ్ 2.0	Web 2.0
వెల్డింగ్	Soldagem
ప్రొపేన్	Propano
గొల్లభామ (కీటకం)	Louva-a-deus
విమ్	Vim
సంభాషణ	Diálogo
సాసేజ్ (నంజుడు కూర)	Salsicha
లక్ష్మి	Lakshmi
ఫ్లోరా (వృక్ష జాతులు)	Flora
యునైటెడ్ స్టేట్స్ లైబ్రరీ ఆఫ్ కాంగ్రెస్	Biblioteca do Congresso
హిజ్రత్	Hégira
వ్యాపార సంస్థ వనరుల ప్రణాళికా రచన	Sistema integrado de gestão empresarial
మంత్రం	Mantra
సోఫా	Sofá
కార్యకర్త	Empreendedor
బూమరాంగ్	Bumerangue
భారతదేశం యొక్క రాష్ట్రాలు మరియు కేంద్రపాలిత ప్రాంతాలు	Estados e territórios da Índia
సముచిత వినియోగం	Fair use
నల్లమందు	Papoila-dormideira
స్మిత్‌సోనియన్ సంస్థ	Smithsonian Institution
పతకం	Medalha
లినక్స్ పంపకం	Distribuição Linux
జలాశయము	Lago artificial
పిండోత్పత్తి	Embriologia
క్రిస్ ఏంజెల్	Criss Angel
తువ్వాలు	Toalha
హెన్రీ కేవిండిష్	Henry Cavendish
అంటువ్యాధి	Doença infecciosa
హెపటైటిస్	Hepatite
అత్తరు	Perfume
అనోరెక్సియా నెర్వోసా	Anorexia nervosa
గరిష్ఠ సామాన్య భాజకం	Máximo divisor comum
బైపోలార్ డిజార్డర్	Transtorno bipolar
హంఫ్రీ డేవీ	Humphry Davy
యవ్వనం	Adolescência
రబ్బరు	Borracha
గవర్నరు	Governador
కాళికాదేవి	Kali
సానియా మీర్జా	Sania Mirza
నైట్రోసోమానాస్	Nitrosomonas
నిసీరియా	Neisseria
స్టైలిడియేసి	Stylidiaceae
స్టెమోనేసి	Stemonaceae
లేడీ స్లిప్పర్ పూలు	Cypripedioideae
ప్రోటియస్	Proteus (bactéria)
ఎర్సీనియా	Yersinia
ఆర్గోఫిల్లేసి	Argophyllaceae
సిట్రుల్లస్	Citrullus
పండుగ	Festival
వృక్క సిర	Veia renal
ఆయుర్వేదం	Ayurveda
డేవిస్ కప్	Copa Davis
షోరియా	Shorea
గట్టిఫెరె	Clusiaceae
ఎసిటోబాక్టర్	Acetobacter
అభివృద్ధి చెందిన దేశం	País desenvolvido
అమర్త్యా సేన్	Amartya Sen
ఎలక్ట్రాన్ సూక్ష్మదర్శిని	Microscópio eletrônico
రీసైక్లింగ్	Reciclagem
రేసుకుక్కలు	Cão-selvagem-asiático
విటెక్స్	Vitex
జీలకర్ర	Cominho
విగ్నా	Vigna
అబూటిలాన్	Abutilon
యమునా నది	Rio Yamuna
ఫ్యాక్స్	Fax
థామస్ హార్డీ	Thomas Hardy
హత్య	Assassínio
మదరసా	Madraçal
టిరోకార్పస్	Pterocarpus
డిస్లెక్సియా	Dislexia
డునెడిన్	Dunedin
గిలక (హెర్నియా)	Hérnia
గౌటు	Gota (doença)
కాలు	Perna
భారతదేశ చరిత్ర	História da Índia
విద్యుదయస్కాంత వర్ణపటం	Espectro eletromagnético
అసిటిలిన్	Acetileno
మెంతులు	Feno-grego
ఫిలాంథేసి	Phyllanthaceae
ముస్లిం బ్రదర్‌హుడ్	Irmandade Muçulmana
పచ్చకామెర్లు	Icterícia
వీపు	Costas
తెగలు	Tribo
ప్రోసోపిస్	Prosopis
వర్ణాంధత్వం	Daltonismo
వివృతబీజాలు	Gimnospérmica
దంత క్షయం	Cárie dentária
పార్శ్వపు తలనొప్పి	Enxaqueca
వివర్తనం	Difração
యాంటి ఆక్సిడెంట్	Antioxidante
జిహోలార్నిస్	Shenzhouraptor sinensis
కొరినీబాక్టీరియమ్	Corynebacterium
ప్రధమచికిత్స	Primeiros socorros
అంగస్తంభన	Ereção
రాచెల్ వీజ్	Rachel Weisz
సొలనేసి	Solanaceae
మాజిక్ జాన్సన్	Magic Johnson
బ్యుటేన్	Butano
టూత్ బ్రష్	Escova de dentes
పోలో	Polo (esporte)
కాండం	Caule
ధర్మము	Darma
వృశ్చిక రాశి	Escorpião (astrologia)
న్యూటన్ విశ్వగురుత్వాకర్షణ సిద్ధాంతం	Lei da gravitação universal
అజాక్స్ (ప్రోగ్రామింగ్)	AJAX (programação)
తక్కెడ	Balança
పంపు	Bomba hidráulica
పరాగసంపర్కము	Polinização
టర్రిటోప్సిస్ నూట్రికోలా	Turritopsis nutricula
మార్టినా హింగిస్	Martina Hingis
టీకా	Vacina
కార్బాక్సిలిక్ ఆమ్లం	Ácido carboxílico
కోరింత దగ్గు	Pertússis
క్విన్ ఆఫ్ ఆండీస్	Puya raimondii
లాలాజల గ్రంధులు	Glândula salivar
సెలాస్ట్రేసి	Celastraceae
ఒల్మెక్ నాగరికత	Olmecas
రషోమాన్	Rashomon
అగ్ని శ్వాస	Cospe-fogo
తెల్లబూరుగ	Mafumeira
యుగాంతం	Fenômeno 2012
స్వేచ్ఛా పతనం	Queda livre
గోల్డ్ కోస్ట్, క్వీన్స్‌‌ల్యాండ్	Gold Coast (Queensland)
సొక్రాటియా ఎక్సోర్హిజా	Socratea exorrhiza
సంఖ్యాశాస్త్రము	Numerologia
ఆర్యభటుని సంఖ్యాపద్ధతి	Numeração Āryabhaṭa
ఎన్క్రిప్షన్	Encriptação
పట్టభద్రుడు	Pós-graduação
సూది	Agulha
పేకాట	Jogos de cartas
పాలిథిలిన్	Polietileno
డెంటల్ ఇంప్లాంట్	Implantodontia
ముద్రణా యంత్రం	Prensa móvel
భారతీయ నాగ జెముడు	Opuntia ficus-indica
హెర్బర్ట్ స్పెన్సర్	Herbert Spencer
పెపావరేసి	Papaveraceae
పైసమ్	Pisum
దక్షిణాసియా ప్రాంతీయ సహకార మండలి	Associação Sul-Asiática para a Cooperação Regional
కన్వాల్వులేసి	Convolvulaceae
అంబెల్లిఫెరె	Apiaceae
రానన్కులేసి	Ranunculaceae
రూటేసి	Rutáceas
గోదురు కప్ప	Sapo-comum
కామంచి	Erva-moura
బ్రాందీ	Conhaque
శిక్షాస్మృతి	Direito penal
ద్రావణం	Solvente
సొలానమ్	Solanum
యుఫోర్బియా	Euphorbia
నింఫియా	Nymphaea
2002 ఆయిలర్	2002 Euler
దేవదారు	Cedro-do-himalaia
తెల్ల కలువ	Nymphaea alba
చేదు నారింజ	Laranja-azeda
హౌ ఐ మెట్ యువర్ మదర్	How I Met Your Mother
కన్వాల్వులస్	Convolvulus
కోలా పానీయాలు	Refrigerante
బంతిపువ్వు	Tagetes
చాపం	Arco (matemática)
సుబ్రహ్మణ్య చంద్రశేఖర్	Subrahmanyan Chandrasekhar
ఓషో	Rajneesh
నక్షత్రశాల	Planetário
ఇంద్రజాలం	Ilusionismo
అండాశయం (మొక్కలు)	Ovário (botânica)
అత్తిపత్తి	Mimosa pudica
కంచె	Cerca
పూతకొమ్మ	Panícula
నింఫియేసి	Nymphaeaceae
కుకుమిస్	Cucumis
టైఫేసి	Typhaceae
సమాచార ఉపగ్రహము	Satélite de comunicação
మాదీఫలం	Cidra
హెక్సేను	Hexano
జార్జ్ కార్లిన్	George Carlin
ఆక్టేన్	Octano
ప్లేబోయ్	Playboy
ఫ్రాంకెన్‌స్టెయిన్	Frankenstein
సాల్మొనెల్లా	Salmonella
చోళ సామ్రాజ్యము	Império Chola
సింహిక	Esfinge
ఫ్రెడెరిక్ సాంజెర్	Frederick Sanger
వికీపీడియా:దిద్దుబాట్లు ఎలా చెయ్యాలి	Ajuda:Guia de edição/Formatação
బిపి	BP
ఫ్రెంచ్ ఫ్రైస్	Batata frita
టాటా నానో	Tata Nano
తుఫాను నర్గిస్	Ciclone Nargis
నోరు మరియు కాలి వ్యాధి	Febre aftosa
ఆల్వా మిర్థాల్	Alva Reimer Myrdal
గున్నార్ మిర్థాల్	Gunnar Myrdal
బహుమతి ప్రదాత	Patrocínio (economia)
రవికె	Blusa
లైఫ్ అఫ్ పై	Life of Pi (filme)
ఫ్రూట్ సలాడ్	Salada de frutas
కొరడా	Chicote
జట్రోఫా	Jatropha
ఇన్గ్లోరియస్ బాస్టర్డ్స్ (2005)	Inglourious Basterds
కాట్ స్టీవెన్స్	Cat Stevens
2000వ దశకం చివర్లో మాంద్యం	Grande Recessão
ఇటాలో కాల్వినో	Italo Calvino
నార్మన్ బోర్లాగ్	Norman Borlaug
వోయెజర్	Voyager
మొక్కల నర్సరీ	Viveiro (plantas)
సెసేమ్ స్ట్రీట్	Sesame Street
స్థితిశక్తి	Energia potencial
వీలునామా	Testamento
కంపాన్యులేసి	Campanulaceae
డయోనియా	Dioneia
గన్నేరు	Oleandro
సైపరేసి	Cyperaceae
చినువ అచెబె	Chinua Achebe
ఆముదము	Mamona
భారజలం	Água pesada
ఎకోనిటమ్	Aconitum
లాలాజలం	Saliva
అమరాంథేసి	Amaranthaceae
ఇరిడేసి	Iridaceae
జిరానియేసి	Geraniaceae
బెర్బెరిడేసి	Berberidaceae
లైనేసి	Linaceae
టెనొఫవిర్	Tenofovir
లైత్రేసి	Lythraceae
హైడ్రోకారిడే	Hydrocharitaceae
వయోలేసి	Violaceae
నేత్ర కోటరం	Órbita (anatomia)
రామ్నేసి	Rhamnaceae
తక్షశిల	Taxila
అల్ఫాల్ఫా	Medicago sativa
ప్లంబజినేసి	Plumbaginaceae
డ్రోసిరేసి	Droseraceae
గ్లాడియోలస్	Gladiolus
అరిస్టోలోకియా	Aristolochia
పింఛను	Reforma pensionária
నిక్టాజినేసి	Nyctaginaceae
యుక్కా	Yucca
కారణ శాస్త్రం	Etiologia
జె.బి.ఎస్‌. హాల్డేన్‌	J. B. S. Haldane
లెవీ స్ట్రాస్	Levi Strauss
తోటకూర	Amaranto
లతా మంగేష్కర్	Lata Mangeshkar
సర్వేపల్లి రాధాకృష్ణన్	Sarvepalli Radhakrishnan
కాఫియా	Cafeeiro
ఆర్టిమీసియా	Artemisia (botânica)
అరిస్టోలోకియేసి	Aristolochiaceae
పైపరేసి	Piperaceae
మూసేసి	Musaceae
బ్రొమిలియేసి	Bromeliaceae
డిజిటాలిస్	Digitalis
రబ్బరు చెట్టు	Seringueira
ఆగ్జాలిడేసి	Oxalidaceae
మాల్వేసి	Malvaceae
మిర్టేసి	Myrtaceae
రూబియేసి	Rubiaceae
థియేసి	Theaceae
మోరేసి	Moraceae
యుఫోర్బియేసి	Euphorbiaceae
అనకార్డియేసి	Anacardiaceae
కుసుమ	Carthamus tinctorius
కారికేసి	Caricaceae
పియూష గ్రంధి	Hipófise
బ్రాసికేసి	Brassicaceae
ఇంగ్లీష్ విల్లో	Salgueiro-branco
వెర్బినేసి	Verbenaceae
పోకచెట్టు	Areca catechu
కాగితంపూలు	Bougainvillea
సమబాహు త్రిభుజం	Triângulo equilátero
హానిమాన్	Samuel Hahnemann
ప్యూమా ఏజీ	Puma SE
హైబిస్కస్	Hibiscus
సాల్వియా	Salvia
ఆస్పరాగేసి	Asparagaceae
లాథిరస్	Lathyrus
జెన్షియనేసి	Gentianaceae
నికోబార్ జిల్లా	Ilhas Nicobar
గుడ్‌విల్‌ (అకౌంటింగ్‌)	Patrimônio de marca
జోసెఫ్ డాల్టన్ హుకర్	Joseph Dalton Hooker
మార్టిన్ లూథర్ 95 చర్చనీయాంశాలు	95 Teses
సంరక్షకుడు (లీగల్)	Curador (direito)
నిశ్చితార్థం	Noivado
చార్లెస్ లూసిన్ బొనపార్టే	Charles Lucien Bonaparte
ద బాయ్ ఇన్ ద స్ట్రిప్డ్ పైజమాస్	The Boy in the Striped Pyjamas (filme)
శ్మశానం	Forno crematório
జుబిన్ మెహతా	Zubin Mehta
వస	Açoro
గ్వాలియర్	Gwalior
బెగోనియా	Begônia
ఫైసాలిస్	Physalis
పురీషనాళం	Reto
బ్రహ్మ మల్లిక	Adansonia digitata
ప్రియాంక చోప్రా	Priyanka Chopra
మెలియేసి	Meliaceae
సపోటేసి	Sapotaceae
హనుమ ఫలం	Cherimoia
నాగజెముడు	Opuntia
దీపిక పడుకోన్	Deepika Padukone
కొండముచ్చు	Babuíno
నక్షత్ర ఫలం చెట్టు	Carambola
ఆహారపు గొలుసు	Cadeia alimentar
తమలపాకు	Piper betle
మందార	Hibiscus rosa-sinensis
కుట్ర సిద్ధాంతం	Teoria da conspiração
పైపర్	Piper
జెట్ లీ	Jet Li
దూర విద్య	Educação a distância
అన్నపూర్ణ శిఖరం	Annapurna
జోసెఫ్ ప్రీస్ట్‌లీ	Joseph Priestley
